"ple0016","year","n","percent","lower_confidence","upper_confidence","value"
"No","2009","17832","0.982258443365081","0.980336653717891","0.984180233012271","2"
"Yes","2009","294","0.0177415566349187","0.0158197669877288","0.0196633462821087","1"
"No","2010","","","","","2"
"Yes","2010","","","","","1"
"No","2011","20426","0.976779020637146","0.974735263122616","0.978822778151675","2"
"Yes","2011","434","0.0232209793628544","0.021177221848325","0.0252647368773838","1"
"No","2012","","","","","2"
"Yes","2012","","","","","1"
"No","2013","18553","0.976451374661144","0.9742935752531","0.978609174069188","2"
"Yes","2013","418","0.0235486253388558","0.0213908259308118","0.0257064247468998","1"
"No","2014","","","","","2"
"Yes","2014","","","","","1"
"No","2015","24670","0.976747852633197","0.974886068824056","0.978609636442338","2"
"Yes","2015","500","0.023252147366803","0.021390363557662","0.025113931175944","1"
"No","2016","","","","","2"
"Yes","2016","","","","","1"
"No","2017","26205","0.977280111816201","0.975493549742039","0.979066673890362","2"
"Yes","2017","518","0.0227198881837993","0.0209333261096377","0.0245064502579608","1"
"No","2018","","","","","2"
"Yes","2018","","","","","1"
"No","2019","25337","0.976823881787303","0.974990746835083","0.978657016739522","2"
"Yes","2019","543","0.023176118212697","0.0213429832604775","0.0250092531649165","1"
