"ple0016","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Full Time","(0) in school","","","",""
"Yes","2009","Full Time","(1a) inadequately completed","","","",""
"Yes","2009","Full Time","(1b) general elementary school","1","","",""
"Yes","2009","Full Time","(1c) basic vocational qualification","10","","",""
"Yes","2009","Full Time","(2b) intermediate general qualification","","","",""
"Yes","2009","Full Time","(2a) intermediate vocational","7","","",""
"Yes","2009","Full Time","(2c_gen) general maturity certificate","1","","",""
"Yes","2009","Full Time","(2c_voc) vocational maturity certificate","3","","",""
"Yes","2009","Full Time","(3a) lower tertiary education","1","","",""
"Yes","2009","Full Time","(3b) higher tertiary education","5","","",""
"Yes","2009","Part Time","(0) in school","","","",""
"Yes","2009","Part Time","(1a) inadequately completed","","","",""
"Yes","2009","Part Time","(1b) general elementary school","1","","",""
"Yes","2009","Part Time","(1c) basic vocational qualification","11","","",""
"Yes","2009","Part Time","(2b) intermediate general qualification","","","",""
"Yes","2009","Part Time","(2a) intermediate vocational","12","","",""
"Yes","2009","Part Time","(2c_gen) general maturity certificate","","","",""
"Yes","2009","Part Time","(2c_voc) vocational maturity certificate","2","","",""
"Yes","2009","Part Time","(3a) lower tertiary education","3","","",""
"Yes","2009","Part Time","(3b) higher tertiary education","5","","",""
"Yes","2009","Not Working","(0) in school","","","",""
"Yes","2009","Not Working","(1a) inadequately completed","6","","",""
"Yes","2009","Not Working","(1b) general elementary school","38","1","1","1"
"Yes","2009","Not Working","(1c) basic vocational qualification","116","1","1","1"
"Yes","2009","Not Working","(2b) intermediate general qualification","3","","",""
"Yes","2009","Not Working","(2a) intermediate vocational","30","1","1","1"
"Yes","2009","Not Working","(2c_gen) general maturity certificate","1","","",""
"Yes","2009","Not Working","(2c_voc) vocational maturity certificate","9","","",""
"Yes","2009","Not Working","(3a) lower tertiary education","14","","",""
"Yes","2009","Not Working","(3b) higher tertiary education","13","","",""
"Yes","2010","Full Time","(0) in school","","","",""
"Yes","2010","Full Time","(1a) inadequately completed","","","",""
"Yes","2010","Full Time","(1b) general elementary school","","","",""
"Yes","2010","Full Time","(1c) basic vocational qualification","","","",""
"Yes","2010","Full Time","(2b) intermediate general qualification","","","",""
"Yes","2010","Full Time","(2a) intermediate vocational","","","",""
"Yes","2010","Full Time","(2c_gen) general maturity certificate","","","",""
"Yes","2010","Full Time","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","Full Time","(3a) lower tertiary education","","","",""
"Yes","2010","Full Time","(3b) higher tertiary education","","","",""
"Yes","2010","Part Time","(0) in school","","","",""
"Yes","2010","Part Time","(1a) inadequately completed","","","",""
"Yes","2010","Part Time","(1b) general elementary school","","","",""
"Yes","2010","Part Time","(1c) basic vocational qualification","","","",""
"Yes","2010","Part Time","(2b) intermediate general qualification","","","",""
"Yes","2010","Part Time","(2a) intermediate vocational","","","",""
