"ple0016","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","Urban Area","8","","",""
"Yes","2009","Schleswig-Holstein","Rural Area","3","","",""
"Yes","2009","Hamburg","Urban Area","4","","",""
"Yes","2009","Hamburg","Rural Area","","","",""
"Yes","2009","Lower Saxony","Urban Area","11","","",""
"Yes","2009","Lower Saxony","Rural Area","17","","",""
"Yes","2009","Bremen","Urban Area","3","","",""
"Yes","2009","Bremen","Rural Area","","","",""
"Yes","2009","North Rhine-Westphalia","Urban Area","53","0.0176312059051672","0.0132952376146639","0.0219671741956704"
"Yes","2009","North Rhine-Westphalia","Rural Area","1","","",""
"Yes","2009","Hesse","Urban Area","19","","",""
"Yes","2009","Hesse","Rural Area","4","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","Urban Area","11","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","Rural Area","2","","",""
"Yes","2009","Baden-Württemberg","Urban Area","24","","",""
"Yes","2009","Baden-Württemberg","Rural Area","6","","",""
"Yes","2009","Bavaria","Urban Area","22","","",""
"Yes","2009","Bavaria","Rural Area","17","","",""
"Yes","2009","Berlin","Urban Area","11","","",""
"Yes","2009","Berlin","Rural Area","","","",""
"Yes","2009","Brandenburg","Urban Area","1","","",""
"Yes","2009","Brandenburg","Rural Area","15","","",""
"Yes","2009","Mecklenburg-Western Pomerania","Urban Area","1","","",""
"Yes","2009","Mecklenburg-Western Pomerania","Rural Area","7","","",""
"Yes","2009","Saxony","Urban Area","13","","",""
"Yes","2009","Saxony","Rural Area","15","","",""
"Yes","2009","Saxony-Anhalt","Urban Area","3","","",""
"Yes","2009","Saxony-Anhalt","Rural Area","10","","",""
"Yes","2009","Thuringia","Urban Area","2","","",""
"Yes","2009","Thuringia","Rural Area","11","","",""
"No","2009","Schleswig-Holstein","Urban Area","188","0.933350429397455","0.898433093638126","0.968267765156785"
"No","2009","Schleswig-Holstein","Rural Area","317","0.99430436858016","0.986059120744591","1.00254961641573"
"No","2009","Hamburg","Urban Area","267","0.983430854069461","0.96823288970361","0.998628818435312"
"No","2009","Hamburg","Rural Area","","","",""
"No","2009","Lower Saxony","Urban Area","820","0.984362137572015","0.975926581364388","0.992797693779641"
"No","2009","Lower Saxony","Rural Area","799","0.977103619460802","0.966841035105781","0.987366203815822"
"No","2009","Bremen","Urban Area","117","0.971755829430796","0.942114310261534","1.00139734860006"
"No","2009","Bremen","Rural Area","","","",""
"No","2009","North Rhine-Westphalia","Urban Area","3486","0.982368794094833","0.97803282580433","0.986704762385336"
"No","2009","North Rhine-Westphalia","Rural Area","105","0.997489493468318","0.987963067404211","1.00701591953242"
"No","2009","Hesse","Urban Area","986","0.984458126275729","0.976810698707779","0.99210555384368"
"No","2009","Hesse","Rural Area","217","0.964925520630446","0.940670901055467","0.989180140205424"
"No","2009","Rhineland-Palatinate,Saarland","Urban Area","767","0.988867337378159","0.981494632793895","0.996240041962422"
"No","2009","Rhineland-Palatinate,Saarland","Rural Area","247","0.995451629761657","0.987093936979292","1.00380932254402"
"No","2009","Baden-Württemberg","Urban Area","1902","0.983490816809546","0.977800087900443","0.989181545718649"
"No","2009","Baden-Württemberg","Rural Area","186","0.983096623590976","0.964862608486555","1.0013306386954"
"No","2009","Bavaria","Urban Area","1219","0.982948096102213","0.975745087534445","0.990151104669981"
"No","2009","Bavaria","Rural Area","1370","0.989233567075119","0.983802374495374","0.994664759654864"
"No","2009","Berlin","Urban Area","675","0.978460069171482","0.967596319776425","0.989323818566539"
"No","2009","Berlin","Rural Area","","","",""
"No","2009","Brandenburg","Urban Area","64","0.990869225834784","0.967745735762893","1.01399271590667"
"No","2009","Brandenburg","Rural Area","715","0.974507702633847","0.963074081770881","0.985941323496813"
"No","2009","Mecklenburg-Western Pomerania","Urban Area","57","0.982992067938215","0.949715781259752","1.01626835461668"
"No","2009","Mecklenburg-Western Pomerania","Rural Area","411","0.964591817432911","0.946875087915864","0.982308546949959"
"No","2009","Saxony","Urban Area","684","0.985823659844813","0.977047320986689","0.994599998702937"
"No","2009","Saxony","Rural Area","662","0.980976824629552","0.97068660519123","0.991267044067873"
"No","2009","Saxony-Anhalt","Urban Area","203","0.979036559225144","0.95947311941377","0.998599999036518"
"No","2009","Saxony-Anhalt","Rural Area","556","0.97411879174308","0.961037877158563","0.987199706327597"
"No","2009","Thuringia","Urban Area","245","0.99475530918911","0.98574753081218","1.00376308756604"
"No","2009","Thuringia","Rural Area","567","0.983150466659623","0.97265774614011","0.993643187179135"
"Yes","2010","Schleswig-Holstein","Urban Area","","","",""
"Yes","2010","Schleswig-Holstein","Rural Area","","","",""
"Yes","2010","Hamburg","Urban Area","","","",""
"Yes","2010","Hamburg","Rural Area","","","",""
"Yes","2010","Lower Saxony","Urban Area","","","",""
"Yes","2010","Lower Saxony","Rural Area","","","",""
"Yes","2010","Bremen","Urban Area","","","",""
"Yes","2010","Bremen","Rural Area","","","",""
"Yes","2010","North Rhine-Westphalia","Urban Area","","","",""
"Yes","2010","North Rhine-Westphalia","Rural Area","","","",""
"Yes","2010","Hesse","Urban Area","","","",""
"Yes","2010","Hesse","Rural Area","","","",""
"Yes","2010","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"Yes","2010","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Yes","2010","Baden-Württemberg","Urban Area","","","",""
"Yes","2010","Baden-Württemberg","Rural Area","","","",""
"Yes","2010","Bavaria","Urban Area","","","",""
"Yes","2010","Bavaria","Rural Area","","","",""
"Yes","2010","Berlin","Urban Area","","","",""
"Yes","2010","Berlin","Rural Area","","","",""
"Yes","2010","Brandenburg","Urban Area","","","",""
"Yes","2010","Brandenburg","Rural Area","","","",""
"Yes","2010","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Yes","2010","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Yes","2010","Saxony","Urban Area","","","",""
"Yes","2010","Saxony","Rural Area","","","",""
"Yes","2010","Saxony-Anhalt","Urban Area","","","",""
"Yes","2010","Saxony-Anhalt","Rural Area","","","",""
"Yes","2010","Thuringia","Urban Area","","","",""
"Yes","2010","Thuringia","Rural Area","","","",""
"No","2010","Schleswig-Holstein","Urban Area","","","",""
"No","2010","Schleswig-Holstein","Rural Area","","","",""
"No","2010","Hamburg","Urban Area","","","",""
"No","2010","Hamburg","Rural Area","","","",""
"No","2010","Lower Saxony","Urban Area","","","",""
"No","2010","Lower Saxony","Rural Area","","","",""
"No","2010","Bremen","Urban Area","","","",""
"No","2010","Bremen","Rural Area","","","",""
"No","2010","North Rhine-Westphalia","Urban Area","","","",""
"No","2010","North Rhine-Westphalia","Rural Area","","","",""
"No","2010","Hesse","Urban Area","","","",""
"No","2010","Hesse","Rural Area","","","",""
"No","2010","Rhineland-Palatinate,Saarland","Urban Area","","","",""
