"ple0016","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Not Working","West Germany","4846","0.963430480545633","0.958234481572751","0.968626479518516","2"
"No","2009","Full Time","West Germany","5185","0.99588311582779","0.994143274322903","0.997622957332676","2"
"No","2009","Full Time","East Germany","1801","0.994328523951598","0.990869911775787","0.997787136127409","2"
"No","2009","Not Working","East Germany","1802","0.963231334866469","0.954694828573944","0.971767841158994","2"
"No","2009","Part Time","West Germany","3319","0.991616278971415","0.988527331891314","0.994705226051515","2"
"No","2009","Part Time","East Germany","879","0.98953118073992","0.98282554360641","0.996236817873431","2"
"Yes","2009","Full Time","West Germany","18","","","","1"
"Yes","2009","Full Time","East Germany","10","","","","1"
"Yes","2009","Part Time","West Germany","28","","","","1"
"Yes","2009","Part Time","East Germany","6","","","","1"
"Yes","2009","Not Working","West Germany","167","0.0365695194543667","0.0313735204814844","0.041765518427249","1"
"Yes","2009","Not Working","East Germany","65","0.0367686651335311","0.0282321588410062","0.045305171426056","1"
"No","2010","Not Working","West Germany","","","","","2"
"No","2010","Full Time","West Germany","","","","","2"
"No","2010","Not Working","East Germany","","","","","2"
"No","2010","Full Time","East Germany","","","","","2"
"No","2010","Part Time","West Germany","","","","","2"
"No","2010","Part Time","East Germany","","","","","2"
"Yes","2010","Full Time","West Germany","","","","","1"
"Yes","2010","Full Time","East Germany","","","","","1"
"Yes","2010","Part Time","West Germany","","","","","1"
"Yes","2010","Part Time","East Germany","","","","","1"
"Yes","2010","Not Working","West Germany","","","","","1"
"Yes","2010","Not Working","East Germany","","","","","1"
"No","2011","Full Time","West Germany","5838","0.996099752703236","0.994504021568615","0.997695483837858","2"
"No","2011","Not Working","West Germany","5869","0.949304837025271","0.943812724976828","0.954796949073713","2"
"No","2011","Not Working","East Germany","1919","0.949582285808152","0.940033392957249","0.959131178659056","2"
"No","2011","Full Time","East Germany","1937","0.994021681994438","0.990599291140457","0.997444072848419","2"
