"ple0016","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Urban Area","11680","0.9824064039547","0.980040926465277","0.984771881444123","2"
"No","2009","Rural Area","6152","0.981942582395197","0.978643966159289","0.985241198631105","2"
"Yes","2009","Urban Area","186","0.0175935960453004","0.0152281185558774","0.0199590735347234","1"
"Yes","2009","Rural Area","108","0.0180574176048027","0.0147588013688945","0.021356033840711","1"
"No","2010","Urban Area","","","","","2"
"No","2010","Rural Area","","","","","2"
"Yes","2010","Urban Area","","","","","1"
"Yes","2010","Rural Area","","","","","1"
"No","2011","Urban Area","13321","0.976441810688519","0.973892418501807","0.978991202875231","2"
"No","2011","Rural Area","7105","0.977505038356144","0.974094976129597","0.980915100582692","2"
"Yes","2011","Urban Area","275","0.0235581893114808","0.0210087971247686","0.026107581498193","1"
"Yes","2011","Rural Area","159","0.0224949616438558","0.0190848994173081","0.0259050238704035","1"
"No","2012","Urban Area","","","","","2"
"No","2012","Rural Area","","","","","2"
"Yes","2012","Urban Area","","","","","1"
"Yes","2012","Rural Area","","","","","1"
"No","2013","Urban Area","12034","0.97718342002275","0.974542995064059","0.979823844981441","2"
"No","2013","Rural Area","6519","0.974959852899461","0.971214638287523","0.978705067511399","2"
"Yes","2013","Urban Area","251","0.0228165799772497","0.0201761550185585","0.0254570049359408","1"
"Yes","2013","Rural Area","167","0.0250401471005392","0.0212949324886014","0.028785361712477","1"
"No","2014","Urban Area","","","","","2"
"No","2014","Rural Area","","","","","2"
"Yes","2014","Urban Area","","","","","1"
"Yes","2014","Rural Area","","","","","1"
"No","2015","Urban Area","16113","0.97759773341416","0.97533495427283","0.97986051255549","2"
"No","2015","Rural Area","8557","0.974910371174294","0.971631331398715","0.978189410949873","2"
"Yes","2015","Urban Area","318","0.0224022665858398","0.0201394874445101","0.0246650457271695","1"
"Yes","2015","Rural Area","182","0.0250896288257057","0.0218105890501265","0.0283686686012849","1"
"No","2016","Urban Area","","","","","2"
"No","2016","Rural Area","","","","","2"
"Yes","2016","Urban Area","","","","","1"
"Yes","2016","Rural Area","","","","","1"
"No","2017","Urban Area","16962","0.978721211894839","0.976568963986969","0.98087345980271","2"
"No","2017","Rural Area","9243","0.974131226720435","0.970930984249738","0.977331469191132","2"
"Yes","2017","Urban Area","309","0.0212787881051607","0.0191265401972903","0.0234310360130311","1"
"Yes","2017","Rural Area","209","0.0258687732795647","0.0226685308088675","0.029069015750262","1"
"No","2018","Urban Area","","","","","2"
"No","2018","Rural Area","","","","","2"
"Yes","2018","Urban Area","","","","","1"
"Yes","2018","Rural Area","","","","","1"
"No","2019","Urban Area","15170","0.977982394845746","0.975670493549213","0.980294296142279","2"
"No","2019","Rural Area","8676","0.974177897650779","0.970879279145304","0.977476516156254","2"
"Yes","2019","Urban Area","306","0.0220176051542543","0.019705703857721","0.0243295064507875","1"
"Yes","2019","Rural Area","205","0.0258221023492212","0.0225234838437465","0.0291207208546959","1"
