"ple0016","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Full Time","6986","0.995593822941477","0.99404380302185","0.997143842861104","2"
"No","2009","Part Time","4198","0.991287268776994","0.988487306474907","0.99408723107908","2"
"No","2009","Not Working","6648","0.963389582350309","0.958951890044843","0.967827274655774","2"
"Yes","2009","Full Time","28","","","","1"
"Yes","2009","Part Time","34","0.00871273122300619","0.0059127689209199","0.0115126935250925","1"
"Yes","2009","Not Working","232","0.0366104176496914","0.0321727253442256","0.0410481099551573","1"
"No","2010","Full Time","","","","","2"
"No","2010","Part Time","","","","","2"
"No","2010","Not Working","","","","","2"
"Yes","2010","Full Time","","","","","1"
"Yes","2010","Part Time","","","","","1"
"Yes","2010","Not Working","","","","","1"
"No","2011","Full Time","7775","0.995706786985788","0.994256748509078","0.997156825462499","2"
"No","2011","Part Time","4863","0.991512002320779","0.988944419423319","0.994079585218239","2"
"No","2011","Not Working","7788","0.94935863108348","0.944597131418279","0.954120130748681","2"
"Yes","2011","Full Time","35","0.00429321301421158","0.00284317453750081","0.00574325149092236","1"
"Yes","2011","Part Time","41","0.00848799767922103","0.00592041478176106","0.011055580576681","1"
"Yes","2011","Not Working","358","0.0506413689165201","0.0458798692513188","0.0554028685817213","1"
"No","2012","Full Time","","","","","2"
"No","2012","Part Time","","","","","2"
"No","2012","Not Working","","","","","2"
"Yes","2012","Full Time","","","","","1"
"Yes","2012","Part Time","","","","","1"
"Yes","2012","Not Working","","","","","1"
"No","2013","Full Time","6963","0.995898190215101","0.994400619344322","0.997395761085879","2"
"No","2013","Part Time","4547","0.989767170493084","0.986858275802303","0.992676065183865","2"
"No","2013","Not Working","7043","0.950534253571305","0.945585750930949","0.955482756211662","2"
"Yes","2013","Full Time","34","0.00410180978489936","0.00260423891412057","0.00559938065567816","1"
"Yes","2013","Part Time","51","0.0102328295069163","0.00732393481613525","0.0131417241976974","1"
"Yes","2013","Not Working","333","0.0494657464286949","0.0445172437883385","0.0544142490690514","1"
"No","2014","Full Time","","","","","2"
"No","2014","Part Time","","","","","2"
"No","2014","Not Working","","","","","2"
"Yes","2014","Full Time","","","","","1"
"Yes","2014","Part Time","","","","","1"
"Yes","2014","Not Working","","","","","1"
"No","2015","Full Time","9463","0.993488009104319","0.991872622024876","0.995103396183761","2"
"No","2015","Part Time","7066","0.988905651942606","0.986475923582304","0.991335380302908","2"
"No","2015","Not Working","8141","0.95128807763778","0.946713683979147","0.955862471296412","2"
"Yes","2015","Full Time","61","0.00651199089568152","0.00489660381623911","0.00812737797512393","1"
"Yes","2015","Part Time","73","0.011094348057394","0.00866461969709211","0.0135240764176959","1"
"Yes","2015","Not Working","366","0.0487119223622203","0.044137528703588","0.0532863160208527","1"
"No","2016","Full Time","","","","","2"
"No","2016","Part Time","","","","","2"
"No","2016","Not Working","","","","","2"
"Yes","2016","Full Time","","","","","1"
"Yes","2016","Part Time","","","","","1"
"Yes","2016","Not Working","","","","","1"
"No","2017","Full Time","10343","0.994264170315762","0.992813420229683","0.99571492040184","2"
"No","2017","Part Time","7601","0.98734496860796","0.984845005768907","0.989844931447013","2"
"No","2017","Not Working","8261","0.951665549893278","0.94714165366784","0.956189446118717","2"
"Yes","2017","Full Time","66","0.00573582968423837","0.00428507959816015","0.00718657977031658","1"
"Yes","2017","Part Time","79","0.01265503139204","0.0101550685529872","0.0151549942310928","1"
"Yes","2017","Not Working","373","0.0483344501067218","0.0438105538812832","0.0528583463321603","1"
"No","2018","Full Time","","","","","2"
"No","2018","Part Time","","","","","2"
"No","2018","Not Working","","","","","2"
"Yes","2018","Full Time","","","","","1"
"Yes","2018","Part Time","","","","","1"
"Yes","2018","Not Working","","","","","1"
"No","2019","Full Time","10438","0.993121590910781","0.991542290336033","0.994700891485529","2"
"No","2019","Part Time","7153","0.987054753619725","0.98445043217426","0.98965907506519","2"
"No","2019","Not Working","7746","0.95112692130609","0.946438024395742","0.955815818216438","2"
"Yes","2019","Full Time","83","0.0068784090892188","0.00529910851447063","0.00845770966396697","1"
"Yes","2019","Part Time","84","0.0129452463802749","0.0103409249348101","0.0155495678257397","1"
"Yes","2019","Not Working","376","0.0488730786939102","0.0441841817835625","0.0535619756042579","1"
