"plh0206i05","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","(0) in school","","","",""
"1 Strongly disagree","2005","Full Time","(1a) inadequately completed","6","","",""
"1 Strongly disagree","2005","Full Time","(1b) general elementary school","68","0.187793466908284","0.146877996570736","0.228708937245831"
"1 Strongly disagree","2005","Full Time","(1c) basic vocational qualification","293","0.156946052091248","0.140225368348201","0.173666735834295"
"1 Strongly disagree","2005","Full Time","(2b) intermediate general qualification","17","","",""
"1 Strongly disagree","2005","Full Time","(2a) intermediate vocational","380","0.154748208815972","0.140097681737824","0.169398735894121"
"1 Strongly disagree","2005","Full Time","(2c_gen) general maturity certificate","23","","",""
"1 Strongly disagree","2005","Full Time","(2c_voc) vocational maturity certificate","114","0.156868148958362","0.130395693778474","0.18334060413825"
"1 Strongly disagree","2005","Full Time","(3a) lower tertiary education","161","0.219059523960537","0.191122375127715","0.24699667279336"
"1 Strongly disagree","2005","Full Time","(3b) higher tertiary education","257","0.160274099170159","0.140988144677744","0.179560053662575"
"1 Strongly disagree","2005","Part Time","(0) in school","9","","",""
"1 Strongly disagree","2005","Part Time","(1a) inadequately completed","8","","",""
"1 Strongly disagree","2005","Part Time","(1b) general elementary school","59","0.144097040629597","0.107252328104137","0.180941753155057"
"1 Strongly disagree","2005","Part Time","(1c) basic vocational qualification","195","0.17408432559652","0.15151174882536","0.196656902367679"
"1 Strongly disagree","2005","Part Time","(2b) intermediate general qualification","19","","",""
"1 Strongly disagree","2005","Part Time","(2a) intermediate vocational","243","0.19298887685182","0.17165886413959","0.21431888956405"
"1 Strongly disagree","2005","Part Time","(2c_gen) general maturity certificate","34","0.126349335127529","0.0898327701845434","0.162865900070515"
"1 Strongly disagree","2005","Part Time","(2c_voc) vocational maturity certificate","79","0.246113413986176","0.204469855777173","0.287756972195179"
"1 Strongly disagree","2005","Part Time","(3a) lower tertiary education","69","0.169196076397202","0.129518471883647","0.208873680910758"
"1 Strongly disagree","2005","Part Time","(3b) higher tertiary education","114","0.203187554123248","0.170581611219243","0.235793497027254"
"1 Strongly disagree","2005","Not Working","(0) in school","65","0.142229474965184","0.113012026840506","0.171446923089861"
"1 Strongly disagree","2005","Not Working","(1a) inadequately completed","53","0.410083246885178","0.331633599465921","0.488532894304436"
"1 Strongly disagree","2005","Not Working","(1b) general elementary school","263","0.228452302940671","0.20426092695488","0.252643678926462"
"1 Strongly disagree","2005","Not Working","(1c) basic vocational qualification","649","0.249735451517842","0.233713832586698","0.265757070448985"
"1 Strongly disagree","2005","Not Working","(2b) intermediate general qualification","40","0.23106404659902","0.173780790675719","0.288347302522322"
"1 Strongly disagree","2005","Not Working","(2a) intermediate vocational","277","0.26463902960305","0.238963536130277","0.290314523075822"
"1 Strongly disagree","2005","Not Working","(2c_gen) general maturity certificate","52","0.172237003444016","0.130736748402158","0.213737258485874"
"1 Strongly disagree","2005","Not Working","(2c_voc) vocational maturity certificate","87","0.234727132530035","0.191887673977283","0.277566591082786"
"1 Strongly disagree","2005","Not Working","(3a) lower tertiary education","117","0.264181629300827","0.223978142220801","0.304385116380853"
"1 Strongly disagree","2005","Not Working","(3b) higher tertiary education","139","0.259673646863475","0.222658519199913","0.296688774527037"
"2 on scale 1-7 ","2005","Full Time","(0) in school","","","",""
"2 on scale 1-7 ","2005","Full Time","(1a) inadequately completed","11","","",""
"2 on scale 1-7 ","2005","Full Time","(1b) general elementary school","47","0.141963679647522","0.105399525724257","0.178527833570786"
"2 on scale 1-7 ","2005","Full Time","(1c) basic vocational qualification","337","0.190917698819804","0.172851341413768","0.208984056225839"
"2 on scale 1-7 ","2005","Full Time","(2b) intermediate general qualification","34","0.158130209500084","0.109245719311586","0.207014699688582"
"2 on scale 1-7 ","2005","Full Time","(2a) intermediate vocational","489","0.212303797196637","0.195738255534545","0.228869338858729"
"2 on scale 1-7 ","2005","Full Time","(2c_gen) general maturity certificate","34","0.12798392613446","0.0760573738143157","0.179910478454605"
