"plh0206i05","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","1-pers.-HH","West Germany","503","0.231781917967611","0.214244617682743","0.249319218252479","1"
"1 Strongly disagree","2005","1-pers.-HH","East Germany","175","0.247860111828814","0.21656027786229","0.279159945795338","1"
"1 Strongly disagree","2005","(Married) couple without C. ","West Germany","1158","0.223028162858258","0.211768909962491","0.234287415754025","1"
"1 Strongly disagree","2005","(Married) couple without C. ","East Germany","359","0.211725890572152","0.192639782767468","0.230811998376836","1"
"1 Strongly disagree","2005","Single parent ","West Germany","152","0.185374692857927","0.158276600634557","0.212472785081297","1"
"1 Strongly disagree","2005","Single parent ","East Germany","67","0.214867769669793","0.168772621829582","0.260962917510004","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","West Germany","484","0.151887514850207","0.139065608230006","0.164709421470408","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","East Germany","102","0.13104665398597","0.105940536661346","0.156152771310594","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","West Germany","391","0.14439209029298","0.130850332175846","0.157933848410114","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","East Germany","155","0.15807582948916","0.136020377792956","0.180131281185364","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","West Germany","247","0.195356480694291","0.174024641560607","0.216688319827974","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","East Germany","53","0.147450809287009","0.111469498655717","0.1834321199183","1"
"2 on scale 1-7 ","2005","(Married) couple without C. ","West Germany","1155","0.201896619947352","0.191039336372408","0.212753903522296","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","West Germany","668","0.207776606796912","0.193282648775185","0.222270564818638","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","West Germany","231","0.159258694170249","0.139570975389633","0.178946412950865","2"
"2 on scale 1-7 ","2005","1-pers.-HH","East Germany","139","0.171333167298303","0.144018236627648","0.198648097968959","2"
"2 on scale 1-7 ","2005","Single parent ","East Germany","61","0.201896238857652","0.156846532518283","0.246945945197021","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","East Germany","92","0.208985279488541","0.167723894062598","0.250246664914484","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","East Germany","381","0.211757474272645","0.192670325351874","0.230844623193415","2"
"2 on scale 1-7 ","2005","1-pers.-HH","West Germany","481","0.21322939444333","0.196206700170383","0.230252088716277","2"
"2 on scale 1-7 ","2005","Single parent ","West Germany","140","0.177191155765654","0.150565210099111","0.203817101432196","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","East Germany","154","0.21031661848352","0.17999644720246","0.24063678976458","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","West Germany","518","0.190339463482527","0.175214934397852","0.205463992567203","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","East Germany","229","0.192408967553452","0.16857726160929","0.216240673497615","2"
"3 on scale 1-7 ","2005","1-pers.-HH","East Germany","110","0.139309113043684","0.114207434221429","0.164410791865938","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","West Germany","921","0.163646098380038","0.153639765344156","0.17365243141592","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","East Germany","302","0.163529731171907","0.146250859742138","0.180808602601676","3"
"3 on scale 1-7 ","2005","Single parent ","West Germany","112","0.138857994813362","0.114744654405933","0.16297133522079","3"
"3 on scale 1-7 ","2005","Single parent ","East Germany","45","0.148418825577333","0.108520406032811","0.188317245121856","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","West Germany","533","0.173495289297991","0.159967359105238","0.187023219490744","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","East Germany","125","0.1808931830024","0.152254718667805","0.209531647336995","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","West Germany","469","0.170349732772344","0.1558658763163","0.184833589228388","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","East Germany","199","0.204011715304235","0.179648891484162","0.228374539124307","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","West Germany","230","0.17231607499533","0.151996819708908","0.192635330281751","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","East Germany","63","0.136197405546468","0.101388902672753","0.171005908420183","3"
"3 on scale 1-7 ","2005","1-pers.-HH","West Germany","400","0.177972751404235","0.162076286200721","0.193869216607749","3"
"4 on scale 1-7","2005","Single parent ","East Germany","62","0.178238916693648","0.135288021154674","0.221189812232623","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","West Germany","272","0.198049047860025","0.176606671592251","0.219491424127798","4"
"4 on scale 1-7","2005","1-pers.-HH","East Germany","144","0.218095181972986","0.188159484385235","0.248030879560736","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","West Germany","587","0.209234813022071","0.194703475625525","0.223766150418618","4"
"4 on scale 1-7","2005","Single parent ","West Germany","170","0.212026956609304","0.183524272118449","0.240529641100158","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","East Germany","135","0.167868939615979","0.14006224317528","0.195675636056678","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","West Germany","568","0.229310242518958","0.213113880501699","0.245506604536217","4"
"4 on scale 1-7","2005","1-pers.-HH","West Germany","385","0.168961443982699","0.153387984673858","0.184534903291541","4"
"4 on scale 1-7","2005","(Married) couple without C. ","West Germany","928","0.186664804831166","0.176125958184159","0.197203651478173","4"
"4 on scale 1-7","2005","(Married) couple without C. ","East Germany","280","0.169860416838732","0.152317031158229","0.187403802519236","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","East Germany","233","0.239268628556478","0.21347542554901","0.265061831563947","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","East Germany","69","0.164124378432693","0.126536219727612","0.201712537137774","4"
"5 on scale 1-7","2005","Couple + C. LE 16 ","West Germany","378","0.124363401710917","0.112574506911949","0.136152296509886","5"
