"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","2.39","2","22178","2","2","3","3","4","2.38","2.4","1","4","2","2"
"2004","","","","","","","","","","","","","",""
"2005","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","2.41","2","19372","2","2","3","3","4","2.4","2.42","1","4","2","2"
"2009","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","",""
"2013","2.31","2","25529","2","2","3","3","4","2.3","2.32","1","4","2","2"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","","","","","","","","","","","","","",""
"2018","2.29","2","29495","2","2","3","3","4","2.28","2.3","1","4","2","2"
