"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1989","6.99","7","8647","4","5","9","10","10","6.94","7.04","0","10","7","7"
"1990","","","","","","","","","","","","","",""
"1991","","","","","","","","","","","","","",""
"1992","","","","","","","","","","","","","",""
"1993","6.91","7","11154","4","5","8","10","10","6.87","6.95","0","10","7","7"
"1994","","","","","","","","","","","","","",""
"1995","","","","","","","","","","","","","",""
"1996","","","","","","","","","","","","","",""
"1997","","","","","","","","","","","","","",""
"1998","","","","","","","","","","","","","",""
"1999","","","","","","","","","","","","","",""
"2000","7.05","7","22350","4","6","8","10","10","7.02","7.08","0","10","7","7"
"2001","","","","","","","","","","","","","",""
"2002","","","","","","","","","","","","","",""
"2003","","","","","","","","","","","","","",""
"2004","6.85","7","20173","4","5","8","10","10","6.82","6.88","0","10","7","7"
"2005","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","7.11","8","17920","4","6","9","10","10","7.08","7.14","0","10","8","8"
"2009","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","",""
"2013","","","","","","","","","","","","","",""
"2014","7.46","8","25184","5","7","9","10","10","7.43","7.49","0","10","8","8"
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","","","","","","","","","","","","","",""
"2018","","","","","","","","","","","","","",""
"2019","7.65","8","24180","5","7","9","10","10","7.63","7.67","0","10","8","8"
