"year","age_gr","sampreg","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1989","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1989","16-34 y.","Westdeutschland, alte Bundeslaender","7.23","8","3513","7.16","7.3","5","6","9","10"
"1989","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1989","35-65 y.","Westdeutschland, alte Bundeslaender","6.74","7","4303","6.67","6.81","4","5","8","10"
"1989","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1989","66 and older","Westdeutschland, alte Bundeslaender","7.18","7","831","7.03","7.33","5","5","9","10"
"1990","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1990","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1990","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1990","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1990","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1990","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1991","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1991","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1991","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1991","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1991","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1991","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1992","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1992","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1992","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1992","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1992","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1992","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1993","16-34 y.","Ostdeutschland, neue Bundeslaender","6.87","7","1218","6.75","6.99","4","5","8","9"
"1993","16-34 y.","Westdeutschland, alte Bundeslaender","7.2","8","3308","7.12","7.28","5","6","9","10"
"1993","35-65 y.","Ostdeutschland, neue Bundeslaender","6.71","7","1660","6.61","6.81","4","5","8","9"
"1993","35-65 y.","Westdeutschland, alte Bundeslaender","6.75","7","3951","6.67","6.83","4","5","8","10"
"1993","66 and older","Ostdeutschland, neue Bundeslaender","6.91","7","188","6.59","7.23","5","5","9","10"
"1993","66 and older","Westdeutschland, alte Bundeslaender","6.99","7","829","6.83","7.15","4","5","9","10"
"1994","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1994","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1994","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1994","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1994","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1994","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1995","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1995","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1995","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1995","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1995","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1995","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1996","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1996","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1996","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1996","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1996","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1996","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1997","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1997","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1997","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1997","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1997","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1997","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1998","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1998","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1998","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1998","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1998","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1998","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1999","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1999","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1999","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1999","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"1999","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1999","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2000","16-34 y.","Ostdeutschland, neue Bundeslaender","7.26","8","1591","7.16","7.36","5","6","9","10"
"2000","16-34 y.","Westdeutschland, alte Bundeslaender","7.25","8","5322","7.19","7.31","5","6","9","10"
"2000","35-65 y.","Ostdeutschland, neue Bundeslaender","7.19","8","2799","7.12","7.26","5","6","8","10"
"2000","35-65 y.","Westdeutschland, alte Bundeslaender","6.95","7","9580","6.91","6.99","4","5","8","10"
"2000","66 and older","Ostdeutschland, neue Bundeslaender","7","7","641","6.85","7.15","5","6","8","10"
"2000","66 and older","Westdeutschland, alte Bundeslaender","6.87","7","2415","6.78","6.96","4","5","8","10"
"2001","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
