"year","bula_h","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1989","Baden-Württemberg","(0) in school","","","","","","","","","","","","","",""
"1989","Baden-Württemberg","(1a) inadequately completed","4.96","5","161","1","3","7","8","10","4.56","5.36","0","10","4","5"
"1989","Baden-Württemberg","(1b) general elementary school","5.41","5","366","2","3","7","9","10","5.15","5.67","0","10","5","6"
"1989","Baden-Württemberg","(1c) basic vocational qualification","6.75","7","498","4","5","8","10","10","6.56","6.94","0","10","7","7"
"1989","Baden-Württemberg","(2a) intermediate vocational","7.35","7","158","5","6","9","10","10","7.08","7.62","2","10","7","8"
"1989","Baden-Württemberg","(2b) intermediate general qualification","7.14","8","77","5","6","9","9","10","6.62","7.66","0","10","7","8"
"1989","Baden-Württemberg","(2c_gen) general maturity certificate","7.67","8","48","5","7","8","10","10","7.06","8.28","0","10","7","8"
"1989","Baden-Württemberg","(2c_voc) vocational maturity certificate","7.49","8","60","5","6","9","10","10","6.91","8.07","0","10","7","8"
"1989","Baden-Württemberg","(3a) lower tertiary education","7.88","8","33","5","7","10","10","10","7.22","8.54","4","10","8","9"
"1989","Baden-Württemberg","(3b) higher tertiary education","8.54","9","59","7","8","9","10","10","8.13","8.95","2","10","8","9"
"1989","Bavaria","(0) in school","7.33","8","35","5","6","9","10","10","6.62","8.04","0","10","6","8"
"1989","Bavaria","(1a) inadequately completed","4.96","4.24","47","2","3","7","9","10","4.24","5.68","0","10","4","5"
"1989","Bavaria","(1b) general elementary school","5.93","5","297","3","5","8","9","10","5.65","6.21","0","10","5","6"
"1989","Bavaria","(1c) basic vocational qualification","6.65","7","522","4","5","8","10","10","6.46","6.84","0","10","7","7"
"1989","Bavaria","(2a) intermediate vocational","7.44","8","192","5","7","9","10","10","7.2","7.68","1","10","7","8"
"1989","Bavaria","(2b) intermediate general qualification","7.22","7","65","5","5","9","10","10","6.73","7.71","3","10","7","8"
"1989","Bavaria","(2c_gen) general maturity certificate","7.19","8","44","4","6","8","10","10","6.58","7.8","2","10","7","8"
"1989","Bavaria","(2c_voc) vocational maturity certificate","7.89","8","57","5","7","9","10","10","7.31","8.47","0","10","7","9"
"1989","Bavaria","(3a) lower tertiary education","7.93","8","42","6","7","9","10","10","7.47","8.39","2","10","8","9"
"1989","Bavaria","(3b) higher tertiary education","8.17","9","86","5","7","10","10","10","7.68","8.66","0","10","8","9"
"1989","Berlin","(0) in school","","","","","","","","","","","","","",""
"1989","Berlin","(1a) inadequately completed","","","","","","","","","","","","","",""
"1989","Berlin","(1b) general elementary school","5.54","5","67","2","5","8","8","10","4.87","6.21","0","10","5","7"
"1989","Berlin","(1c) basic vocational qualification","6.74","7","90","5","5","8","10","10","6.31","7.17","2","10","6","7"
"1989","Berlin","(2a) intermediate vocational","7.11","7","44","5","6","8","10","10","6.48","7.74","0","10","7","8"
"1989","Berlin","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1989","Berlin","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1989","Berlin","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1989","Berlin","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1989","Berlin","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1989","Brandenburg","(0) in school","","","","","","","","","","","","","",""
"1989","Brandenburg","(1a) inadequately completed","","","","","","","","","","","","","",""
"1989","Brandenburg","(1b) general elementary school","","","","","","","","","","","","","",""
"1989","Brandenburg","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"1989","Brandenburg","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1989","Brandenburg","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1989","Brandenburg","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1989","Brandenburg","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1989","Brandenburg","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1989","Brandenburg","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1989","Bremen","(0) in school","","","","","","","","","","","","","",""
"1989","Bremen","(1a) inadequately completed","","","","","","","","","","","","","",""
"1989","Bremen","(1b) general elementary school","","","","","","","","","","","","","",""
"1989","Bremen","(1c) basic vocational qualification","7.23","7","37","5","6","8","10","10","6.6","7.86","3","10","6","8"
"1989","Bremen","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1989","Bremen","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1989","Bremen","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1989","Bremen","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1989","Bremen","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1989","Bremen","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1989","Hamburg","(0) in school","","","","","","","","","","","","","",""
"1989","Hamburg","(1a) inadequately completed","","","","","","","","","","","","","",""
"1989","Hamburg","(1b) general elementary school","6.43","6","33","3","5","8","10","10","5.45","7.41","1","10","5","6"
"1989","Hamburg","(1c) basic vocational qualification","6.91","7","57","5","5","8","10","10","6.3","7.52","0","10","5","8"
"1989","Hamburg","(2a) intermediate vocational","6.95","7","34","5","6","8","10","10","6.19","7.71","1","10","6","8"
"1989","Hamburg","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1989","Hamburg","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1989","Hamburg","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1989","Hamburg","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1989","Hamburg","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1989","Hesse","(0) in school","","","","","","","","","","","","","",""
"1989","Hesse","(1a) inadequately completed","4.7","4.14","92","1","2","7","10","10","4.1","5.3","0","10","5","6"
