"plh0216","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","(0) in school","West Germany","45","0.0808517077532207","0.0570756529544977","0.104627762551944"
"1 Strongly disagree","2005","(0) in school","East Germany","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","West Germany","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","East Germany","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","West Germany","63","0.0403214892019525","0.03082993601272","0.0498130423911851"
"1 Strongly disagree","2005","(1b) general elementary school","East Germany","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","West Germany","141","0.0386362259980362","0.0330824737477883","0.0441899782482841"
"1 Strongly disagree","2005","(1c) basic vocational qualification","East Germany","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","West Germany","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","East Germany","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","West Germany","87","0.0260507483837912","0.0204363061913333","0.0316651905762491"
"1 Strongly disagree","2005","(2a) intermediate vocational","East Germany","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","West Germany","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","East Germany","","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","West Germany","47","0.0432033659695935","0.0321639907591784","0.0542427411800086"
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","East Germany","","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","West Germany","42","0.0354814397648591","0.0239637022861651","0.0469991772435531"
"1 Strongly disagree","2005","(3a) lower tertiary education","East Germany","","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","West Germany","92","0.0540909225761333","0.0439652489350756","0.064216596217191"
"1 Strongly disagree","2005","(3b) higher tertiary education","East Germany","","","",""
"2 on scale 1-7 ","2005","(0) in school","West Germany","95","0.193596208323729","0.159135269395954","0.228057147251504"
"2 on scale 1-7 ","2005","(0) in school","East Germany","","","",""
"2 on scale 1-7 ","2005","(1a) inadequately completed","West Germany","","","",""
"2 on scale 1-7 ","2005","(1a) inadequately completed","East Germany","","","",""
"2 on scale 1-7 ","2005","(1b) general elementary school","West Germany","97","0.0587956188763442","0.0474449730666862","0.0701462646860023"
"2 on scale 1-7 ","2005","(1b) general elementary school","East Germany","","","",""
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","West Germany","331","0.0722833539772866","0.0648210643777046","0.0797456435768686"
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","East Germany","38","0.0323203130701724","0.0217876678802266","0.0428529582601181"
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","West Germany","37","0.0817305366009366","0.0560745758774102","0.107386497324463"
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","East Germany","","","",""
"2 on scale 1-7 ","2005","(2a) intermediate vocational","West Germany","290","0.0958137725790515","0.0854391749385738","0.106188370219529"
"2 on scale 1-7 ","2005","(2a) intermediate vocational","East Germany","92","0.0583245474889051","0.0471907164381286","0.0694583785396815"
"2 on scale 1-7 ","2005","(2c_gen) general maturity certificate","West Germany","64","0.0876472525621435","0.0652066910806616","0.110087814043625"
"2 on scale 1-7 ","2005","(2c_gen) general maturity certificate","East Germany","","","",""
"2 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","West Germany","135","0.108842407849114","0.0919320729249256","0.125752742773302"
"2 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","East Germany","","","",""
"2 on scale 1-7 ","2005","(3a) lower tertiary education","West Germany","135","0.121682048765624","0.101328019249556","0.142036078281692"
"2 on scale 1-7 ","2005","(3a) lower tertiary education","East Germany","33","0.0491393897825477","0.0326357896802042","0.0656429898848913"
"2 on scale 1-7 ","2005","(3b) higher tertiary education","West Germany","247","0.108213230451319","0.0943070542447267","0.12211940665791"
"2 on scale 1-7 ","2005","(3b) higher tertiary education","East Germany","51","0.0831592845195383","0.0609539568432517","0.105364612195825"
"3 on scale 1-7 ","2005","(0) in school","West Germany","78","0.104080543552178","0.0774474471025431","0.130713640001814"
"3 on scale 1-7 ","2005","(0) in school","East Germany","","","",""
"3 on scale 1-7 ","2005","(1a) inadequately completed","West Germany","","","",""
"3 on scale 1-7 ","2005","(1a) inadequately completed","East Germany","","","",""
"3 on scale 1-7 ","2005","(1b) general elementary school","West Germany","148","0.0807244930760812","0.0675803697083355","0.0938686164438268"
"3 on scale 1-7 ","2005","(1b) general elementary school","East Germany","","","",""
"3 on scale 1-7 ","2005","(1c) basic vocational qualification","West Germany","496","0.0983538752447785","0.0897724568847359","0.106935293604821"
"3 on scale 1-7 ","2005","(1c) basic vocational qualification","East Germany","72","0.066855613366856","0.0519799197329263","0.0817313070007857"
"3 on scale 1-7 ","2005","(2b) intermediate general qualification","West Germany","64","0.160495420426813","0.126119535019441","0.194871305834185"
"3 on scale 1-7 ","2005","(2b) intermediate general qualification","East Germany","","","",""
"3 on scale 1-7 ","2005","(2a) intermediate vocational","West Germany","375","0.116266986600543","0.104968582694168","0.127565390506918"
"3 on scale 1-7 ","2005","(2a) intermediate vocational","East Germany","191","0.0840274308223292","0.0708472888119889","0.0972075728326696"
"3 on scale 1-7 ","2005","(2c_gen) general maturity certificate","West Germany","86","0.145831780100776","0.117823853051206","0.173839707150346"
