"pld0045","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","16-34 y.","West Germany","2373","0.532844668427788","0.518082649808545","0.54760668704703","5"
"Never","2003","16-34 y.","East Germany","802","0.537979773561893","0.512415323701979","0.563544223421806","5"
"Never","2003","35-65 y.","West Germany","5461","0.578871020734895","0.5690276094848","0.58871443198499","5"
"Never","2003","35-65 y.","East Germany","1788","0.635153669454514","0.617843904840149","0.652463434068878","5"
"Never","2003","66 and older","West Germany","1988","0.724828069449193","0.70813330529631","0.741522833602075","5"
"Never","2003","66 and older","East Germany","632","0.697451113669708","0.667621778919132","0.727280448420283","5"
"Often","2003","35-65 y.","West Germany","866","0.0840165660040243","0.0784859509064817","0.0895471811015669","2"
"Often","2003","16-34 y.","West Germany","407","0.0964593829700843","0.0877244241589344","0.105194341781234","2"
"Often","2003","16-34 y.","East Germany","128","0.0872226313903954","0.0727542480400982","0.101691014740693","2"
"Often","2003","66 and older","West Germany","145","0.0447437859195697","0.0370154316671495","0.0524721401719899","2"
"Often","2003","35-65 y.","East Germany","203","0.0648530101449109","0.0559977408168636","0.0737082794729583","2"
"Often","2003","66 and older","East Germany","43","0.0436478800873027","0.0303806765235046","0.0569150836511008","2"
"Rarely","2003","35-65 y.","West Germany","1784","0.180146936210181","0.172485174972205","0.187808697448157","4"
"Rarely","2003","16-34 y.","West Germany","857","0.195173960031796","0.183447235369283","0.206900684694309","4"
"Rarely","2003","16-34 y.","East Germany","300","0.211550706317723","0.190608756859587","0.232492655775858","4"
"Rarely","2003","66 and older","West Germany","315","0.114984789825171","0.103059847526002","0.126909732124339","4"
"Rarely","2003","35-65 y.","East Germany","558","0.164621240924166","0.151286597255515","0.177955884592816","4"
"Rarely","2003","66 and older","East Germany","134","0.149493680962046","0.126338984472582","0.17264837745151","4"
"Sometimes","2003","16-34 y.","West Germany","483","0.116464508080037","0.106973254430584","0.125955761729489","3"
"Sometimes","2003","16-34 y.","East Germany","169","0.115028210128266","0.0986679623217096","0.131388457934823","3"
