"pld0045","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Full Time","1-pers.-HH","647","0.615421932619424","0.586353561480424","0.644490303758425","5"
"Never","2003","Full Time","(Married) couple without C. ","1463","0.594488190950559","0.575203095775736","0.613773286125383","5"
"Never","2003","Full Time","Couple + C. LE 16 ","1089","0.496174769362662","0.475348255622977","0.517001283102346","5"
"Never","2003","Full Time","Couple + C. LE and GT 16","386","0.490251970445766","0.454965489124303","0.525538451767229","5"
"Never","2003","Full Time","Single parent ","216","0.519199008880469","0.469989378551113","0.568408639209825","5"
"Never","2003","Full Time","Couple + C. GT 16 ","938","0.555800941445874","0.532420817596864","0.579181065294884","5"
"Never","2003","Part Time","1-pers.-HH","260","0.562913587711615","0.517032950670358","0.608794224752872","5"
"Never","2003","Part Time","(Married) couple without C. ","735","0.590595223891462","0.56336858864321","0.617821859139713","5"
"Never","2003","Part Time","Single parent ","178","0.53135407101354","0.47767642280793","0.585031719219151","5"
"Never","2003","Part Time","Couple + C. LE 16 ","676","0.488333907060608","0.461649663004652","0.515018151116564","5"
"Never","2003","Part Time","Couple + C. GT 16 ","551","0.549981734040601","0.519555228759907","0.580408239321295","5"
"Never","2003","Part Time","Couple + C. LE and GT 16","286","0.501842933574228","0.46046834248348","0.543217524664975","5"
"Never","2003","Not Working","1-pers.-HH","1052","0.725650630236915","0.702732289321746","0.748568971152084","5"
"Never","2003","Not Working","(Married) couple without C. ","2519","0.718545789322084","0.703723234599401","0.733368344044767","5"
"Never","2003","Not Working","Couple + C. GT 16 ","710","0.607159723776179","0.579258751290604","0.635060696261754","5"
"Never","2003","Not Working","Couple + C. LE and GT 16","278","0.55761630849043","0.514125596686032","0.601107020294828","5"
"Never","2003","Not Working","Single parent ","234","0.577693365412298","0.528291298340734","0.627095432483862","5"
"Never","2003","Not Working","Couple + C. LE 16 ","454","0.550450409132158","0.516065492995736","0.584835325268581","5"
"Often","2003","Full Time","Couple + C. GT 16 ","156","0.0869143007683784","0.0736586900296945","0.100169911507062","2"
"Often","2003","Full Time","1-pers.-HH","90","0.0793115554204851","0.063165496420092","0.0954576144208783","2"
"Often","2003","Full Time","(Married) couple without C. ","206","0.0853682143442035","0.0743928319319484","0.0963435967564586","2"
"Often","2003","Full Time","Single parent ","44","0.101633530907705","0.0718726506888015","0.131394411126609","2"
"Often","2003","Full Time","Couple + C. LE 16 ","216","0.097084797655205","0.0847520916032321","0.109417503707178","2"
"Often","2003","Full Time","Couple + C. LE and GT 16","85","0.113776228970421","0.0913622806075556","0.136190177333285","2"
"Often","2003","Part Time","1-pers.-HH","32","0.0615815173135548","0.0393459410302601","0.0838170935968495","2"
"Often","2003","Part Time","(Married) couple without C. ","108","0.0837270629136741","0.0683908576140656","0.0990632682132826","2"
"Often","2003","Part Time","Couple + C. GT 16 ","87","0.0771501720476776","0.0608310482706771","0.0934692958246782","2"
"Often","2003","Part Time","Couple + C. LE and GT 16","51","0.112626084938546","0.0864659799088845","0.138786189968208","2"
"Often","2003","Not Working","1-pers.-HH","67","0.0426845012292086","0.0323013290897804","0.0530676733686369","2"
"Often","2003","Part Time","Single parent ","34","0.114695130183034","0.0804185121341378","0.148971748231931","2"
"Often","2003","Part Time","Couple + C. LE 16 ","144","0.0988958353756903","0.0829598234893577","0.114831847262023","2"
"Often","2003","Not Working","(Married) couple without C. ","176","0.0446289954045483","0.037823080001729","0.0514349108073675","2"
"Often","2003","Not Working","Single parent ","36","0.10684230206841","0.0759451699360556","0.137739434200764","2"
"Often","2003","Not Working","Couple + C. LE 16 ","70","0.087709208602252","0.0681563928267029","0.107262024377801","2"
"Often","2003","Not Working","Couple + C. GT 16 ","89","0.0737378217186307","0.0588074033582909","0.0886682400789705","2"
"Often","2003","Not Working","Couple + C. LE and GT 16","47","0.0966950880811886","0.0708160207414183","0.122574155420959","2"
"Rarely","2003","Full Time","Single parent ","80","0.249522847767205","0.206901773228561","0.292143922305849","4"
"Rarely","2003","Full Time","(Married) couple without C. ","490","0.187859485137055","0.172517534905768","0.203201435368342","4"
"Rarely","2003","Full Time","1-pers.-HH","184","0.163019984569492","0.140949090647879","0.185090878491105","4"
"Rarely","2003","Full Time","Couple + C. LE 16 ","496","0.226423195137212","0.208990222051089","0.243856168223336","4"
"Rarely","2003","Full Time","Couple + C. GT 16 ","385","0.205256194017013","0.186251535816016","0.224260852218011","4"
"Rarely","2003","Full Time","Couple + C. LE and GT 16","156","0.22236553932106","0.193013222051168","0.251717856590953","4"
"Rarely","2003","Part Time","1-pers.-HH","80","0.179200122891102","0.143725914456245","0.21467433132596","4"
"Rarely","2003","Part Time","(Married) couple without C. ","235","0.1814195790536","0.160081991831262","0.202757166275937","4"
"Rarely","2003","Part Time","Single parent ","52","0.144104812237215","0.106327715053469","0.181881909420961","4"
"Rarely","2003","Part Time","Couple + C. LE 16 ","259","0.185482705945897","0.164733331344662","0.206232080547133","4"
"Rarely","2003","Part Time","Couple + C. GT 16 ","189","0.160689576235068","0.138229148102666","0.183150004367469","4"
"Rarely","2003","Part Time","Couple + C. LE and GT 16","108","0.18921406091251","0.156802759627672","0.221625362197349","4"
"Rarely","2003","Not Working","1-pers.-HH","170","0.113978259899722","0.0976552364777094","0.130301283321735","4"
"Rarely","2003","Not Working","(Married) couple without C. ","459","0.131728449739931","0.120581410271302","0.14287548920856","4"
"Rarely","2003","Not Working","Single parent ","66","0.158884655685379","0.122320863213213","0.195448448157545","4"
"Rarely","2003","Not Working","Couple + C. LE 16 ","142","0.170520476441608","0.144524198589383","0.196516754293834","4"
"Rarely","2003","Not Working","Couple + C. GT 16 ","211","0.178696250170821","0.156810094594784","0.200582405746857","4"
"Rarely","2003","Not Working","Couple + C. LE and GT 16","89","0.187107351001287","0.152957308279575","0.221257393722999","4"
"Sometimes","2003","Part Time","(Married) couple without C. ","116","0.105739195343655","0.0887128023168422","0.122765588370469","3"
"Sometimes","2003","Full Time","1-pers.-HH","108","0.103404173251636","0.0852109627188892","0.121597383784382","3"
"Sometimes","2003","Full Time","(Married) couple without C. ","237","0.0920107244219059","0.0806577933264191","0.103363655517393","3"
"Sometimes","2003","Full Time","Single parent ","38","0.0795620032349961","0.0529087256700122","0.10621528079998","3"
"Sometimes","2003","Full Time","Couple + C. LE 16 ","300","0.134347032261639","0.120141901609383","0.148552162913895","3"
"Sometimes","2003","Full Time","Couple + C. GT 16 ","186","0.104115921368267","0.089745058868361","0.118486783868174","3"
"Sometimes","2003","Full Time","Couple + C. LE and GT 16","106","0.116163944647453","0.0935465573590745","0.138781331935831","3"
"Sometimes","2003","Part Time","1-pers.-HH","40","0.102755051440809","0.0746695603608399","0.130840542520779","3"
"Sometimes","2003","Part Time","Single parent ","44","0.144872170825468","0.107011609095263","0.182732732555672","3"
"Sometimes","2003","Part Time","Couple + C. LE 16 ","173","0.151819296467972","0.132663031914952","0.170975561020991","3"
"Sometimes","2003","Part Time","Couple + C. GT 16 ","138","0.141203699137441","0.119906083309444","0.162501314965437","3"
"Sometimes","2003","Part Time","Couple + C. LE and GT 16","77","0.134980313137666","0.106704515044782","0.163256111230549","3"
