"pld0045","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2003","West Germany","Male","374","0.0456426986082246","0.0410896879008913","0.0501957093155579"
"Very often","2003","West Germany","Female","495","0.0549732318853614","0.0501920126369138","0.059754451133809"
"Very often","2003","East Germany","Male","73","0.0262413067584355","0.0200802922181556","0.0324023212987155"
"Very often","2003","East Germany","Female","112","0.0432243123894192","0.0356333153837288","0.0508153093951097"
"Often","2003","West Germany","Male","690","0.0808338792487529","0.0748875188260725","0.0867802396714332"
"Often","2003","West Germany","Female","728","0.0768119920397536","0.0712259968098093","0.0823979872696978"
"Often","2003","East Germany","Male","180","0.0647302140080901","0.0552469944736401","0.0742134335425402"
"Often","2003","East Germany","Female","194","0.0662450478145504","0.0569613098057452","0.0755287858233555"
"Sometimes","2003","West Germany","Male","857","0.104717804073955","0.0980382456684231","0.111397362479487"
"Sometimes","2003","West Germany","Female","880","0.0999729335800071","0.093680625584492","0.106265241575522"
"Sometimes","2003","East Germany","Male","293","0.112291924041852","0.100123252245657","0.124460595838047"
"Sometimes","2003","East Germany","Female","277","0.0908472517418141","0.0801196156480395","0.101574887835589"
"Rarely","2003","West Germany","Male","1535","0.188110092920498","0.179584744548061","0.196635441292935"
"Rarely","2003","West Germany","Female","1421","0.153139111958699","0.145584884295051","0.160693339622346"
"Rarely","2003","East Germany","Male","485","0.176332479405274","0.161644029775683","0.191020929034866"
"Rarely","2003","East Germany","Female","507","0.169148466586392","0.155154995545907","0.183141937626876"
"Never","2003","West Germany","Male","4616","0.580695525148569","0.569930959697474","0.591460090599664"
"Never","2003","West Germany","Female","5206","0.615102730536179","0.604895986782247","0.625309474290112"
"Never","2003","East Germany","Male","1555","0.620404075786348","0.601700186538012","0.639107965034684"
"Never","2003","East Germany","Female","1667","0.630534921467825","0.612518398569129","0.64855144436652"
"Very often","2004","West Germany","Male","","","",""
"Very often","2004","West Germany","Female","","","",""
"Very often","2004","East Germany","Male","","","",""
"Very often","2004","East Germany","Female","","","",""
"Often","2004","West Germany","Male","","","",""
"Often","2004","West Germany","Female","","","",""
"Often","2004","East Germany","Male","","","",""
"Often","2004","East Germany","Female","","","",""
"Sometimes","2004","West Germany","Male","","","",""
"Sometimes","2004","West Germany","Female","","","",""
"Sometimes","2004","East Germany","Male","","","",""
"Sometimes","2004","East Germany","Female","","","",""
