"pld0045","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","lower secondary degree","(0) in school","","","",""
"Very often","2003","lower secondary degree","(1a) inadequately completed","","","",""
"Very often","2003","lower secondary degree","(1b) general elementary school","69","0.0371929666844485","0.0282912602408728","0.0460946731280243"
"Very often","2003","lower secondary degree","(1c) basic vocational qualification","232","0.0406557295148249","0.0356108686235548","0.0457005904060949"
"Very often","2003","lower secondary degree","(2b) intermediate general qualification","","","",""
"Very often","2003","lower secondary degree","(2a) intermediate vocational","","","",""
"Very often","2003","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Very often","2003","lower secondary degree","(2c_voc) vocational maturity certificate","1","","",""
"Very often","2003","lower secondary degree","(3a) lower tertiary education","5","","",""
"Very often","2003","lower secondary degree","(3b) higher tertiary education","4","","",""
"Very often","2003","secondary school degree","(0) in school","","","",""
"Very often","2003","secondary school degree","(1a) inadequately completed","","","",""
"Very often","2003","secondary school degree","(1b) general elementary school","","","",""
"Very often","2003","secondary school degree","(1c) basic vocational qualification","","","",""
"Very often","2003","secondary school degree","(2b) intermediate general qualification","44","0.0903891393960171","0.0679808495896744","0.11279742920236"
"Very often","2003","secondary school degree","(2a) intermediate vocational","235","0.050774832661242","0.0447614064934901","0.056788258828994"
"Very often","2003","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Very often","2003","secondary school degree","(2c_voc) vocational maturity certificate","3","","",""
"Very often","2003","secondary school degree","(3a) lower tertiary education","22","","",""
"Very often","2003","secondary school degree","(3b) higher tertiary education","6","","",""
"Very often","2003","college entrance qualification","(0) in school","","","",""
"Very often","2003","college entrance qualification","(1a) inadequately completed","","","",""
"Very often","2003","college entrance qualification","(1b) general elementary school","","","",""
"Very often","2003","college entrance qualification","(1c) basic vocational qualification","","","",""
"Very often","2003","college entrance qualification","(2b) intermediate general qualification","","","",""
"Very often","2003","college entrance qualification","(2a) intermediate vocational","","","",""
"Very often","2003","college entrance qualification","(2c_gen) general maturity certificate","50","0.048561691172087","0.0335441807101811","0.0635792016339929"
"Very often","2003","college entrance qualification","(2c_voc) vocational maturity certificate","78","0.0607116701360835","0.04791143520153","0.073511905070637"
"Very often","2003","college entrance qualification","(3a) lower tertiary education","57","0.0526447066978594","0.0388719396352554","0.0664174737604634"
"Very often","2003","college entrance qualification","(3b) higher tertiary education","132","0.0563625573922509","0.0469190467481307","0.0658060680363711"
"Very often","2003","Other degree","(0) in school","","","",""
"Very often","2003","Other degree","(1a) inadequately completed","","","",""
"Very often","2003","Other degree","(1b) general elementary school","9","","",""
"Very often","2003","Other degree","(1c) basic vocational qualification","18","","",""
"Very often","2003","Other degree","(2b) intermediate general qualification","","","",""
"Very often","2003","Other degree","(2a) intermediate vocational","","","",""
"Very often","2003","Other degree","(2c_gen) general maturity certificate","4","","",""
"Very often","2003","Other degree","(2c_voc) vocational maturity certificate","9","","",""
"Very often","2003","Other degree","(3a) lower tertiary education","1","","",""
"Very often","2003","Other degree","(3b) higher tertiary education","9","","",""
"Very often","2003","no degree/no degree yet","(0) in school","38","0.0663045138678527","0.0465595041980386","0.0860495235376668"
"Very often","2003","no degree/no degree yet","(1a) inadequately completed","13","","",""
"Very often","2003","no degree/no degree yet","(1b) general elementary school","","","",""
"Very often","2003","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Very often","2003","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Very often","2003","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Very often","2003","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Very often","2003","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Very often","2003","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Often","2003","lower secondary degree","(0) in school","","","",""
"Often","2003","lower secondary degree","(1a) inadequately completed","","","",""
"Often","2003","lower secondary degree","(1b) general elementary school","119","0.0622098050271027","0.05084778646242","0.0735718235917854"
"Often","2003","lower secondary degree","(1c) basic vocational qualification","414","0.0670034639284771","0.0606165698108612","0.0733903580460929"
"Often","2003","lower secondary degree","(2b) intermediate general qualification","","","",""
"Often","2003","lower secondary degree","(2a) intermediate vocational","1","","",""
"Often","2003","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Often","2003","lower secondary degree","(2c_voc) vocational maturity certificate","3","","",""
"Often","2003","lower secondary degree","(3a) lower tertiary education","10","","",""
"Often","2003","lower secondary degree","(3b) higher tertiary education","2","","",""
"Often","2003","secondary school degree","(0) in school","","","",""
"Often","2003","secondary school degree","(1a) inadequately completed","","","",""
"Often","2003","secondary school degree","(1b) general elementary school","","","",""
"Often","2003","secondary school degree","(1c) basic vocational qualification","","","",""
