"pld0045","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2003","lower secondary degree","West Germany","265","0.0417779731630464","0.0368525395103333","0.0467034068157594"
"Very often","2003","lower secondary degree","East Germany","46","0.028025117643503","0.0197953970198854","0.0362548382671206"
"Very often","2003","secondary school degree","West Germany","233","0.0615471251923617","0.054143610207273","0.0689506401774503"
"Very often","2003","secondary school degree","East Germany","77","0.0373862170079738","0.0297806615112671","0.0449917725046805"
"Very often","2003","college entrance qualification","West Germany","268","0.0589155166652404","0.0518808890691657","0.0659501442613151"
"Very often","2003","college entrance qualification","East Germany","49","0.039039672882074","0.0277012905102592","0.0503780552538887"
"Very often","2003","Other degree","West Germany","49","0.0338808099118179","0.0236272482556392","0.0441343715679967"
"Very often","2003","Other degree","East Germany","1","","",""
"Very often","2003","no degree/no degree yet","West Germany","42","0.0640389201603346","0.0459541640440735","0.0821236762765956"
"Very often","2003","no degree/no degree yet","East Germany","9","","",""
"Often","2003","lower secondary degree","West Germany","463","0.0670482186748142","0.0608913351703651","0.0732051021792632"
"Often","2003","lower secondary degree","East Germany","86","0.0547138605833799","0.0433738313572136","0.0660538898095462"
"Often","2003","secondary school degree","West Germany","343","0.0787988242132636","0.0704990753881448","0.0870985730383825"
"Often","2003","secondary school degree","East Germany","179","0.0744377200665144","0.06391450380732","0.0849609363257088"
"Often","2003","college entrance qualification","West Germany","461","0.104889750105165","0.095735626965527","0.114043873244804"
"Often","2003","college entrance qualification","East Germany","88","0.0618020166109011","0.0477060826798329","0.0758979505419693"
"Often","2003","Other degree","West Germany","81","0.0688625517181339","0.0545115917278971","0.0832135117083708"
"Often","2003","Other degree","East Germany","5","","",""
"Often","2003","no degree/no degree yet","West Germany","50","0.0743880008176345","0.0550047019100246","0.0937712997252445"
"Often","2003","no degree/no degree yet","East Germany","14","","",""
"Sometimes","2003","lower secondary degree","West Germany","584","0.0872653265871398","0.0803177898993606","0.0942128632749189"
"Sometimes","2003","lower secondary degree","East Germany","117","0.0733323453669914","0.0603338333858766","0.0863308573481061"
"Sometimes","2003","secondary school degree","West Germany","432","0.105864495490359","0.0963867580071846","0.115342232973534"
"Sometimes","2003","secondary school degree","East Germany","280","0.119413563695819","0.106413006506852","0.132414120884786"
"Sometimes","2003","college entrance qualification","West Germany","522","0.137878769835588","0.127578589470721","0.148178950200455"
"Sometimes","2003","college entrance qualification","East Germany","150","0.119946187086873","0.100926948667887","0.138965425505858"
"Sometimes","2003","Other degree","West Germany","106","0.0777070256408066","0.0625348768059585","0.0928791744756546"
"Sometimes","2003","Other degree","East Germany","2","","",""
"Sometimes","2003","no degree/no degree yet","West Germany","71","0.100949086282952","0.0786952391209682","0.123202933444936"
"Sometimes","2003","no degree/no degree yet","East Germany","16","","",""
"Rarely","2003","lower secondary degree","West Germany","1015","0.155077239311136","0.146166366386528","0.163988112235743"
"Rarely","2003","lower secondary degree","East Germany","253","0.153142358244443","0.135185236799921","0.171099479688964"
"Rarely","2003","secondary school degree","West Germany","739","0.1771072808406","0.165347000984734","0.188867560696466"
"Rarely","2003","secondary school degree","East Germany","460","0.178917751170138","0.163551455424437","0.194284046915838"
"Rarely","2003","college entrance qualification","West Germany","867","0.194617537307949","0.182789735727815","0.206445338888083"
"Rarely","2003","college entrance qualification","East Germany","231","0.200737833814149","0.177289902716694","0.224185764911604"
"Rarely","2003","Other degree","West Germany","161","0.154808751318108","0.134308567708539","0.175308934927677"
"Rarely","2003","Other degree","East Germany","5","","",""
"Rarely","2003","no degree/no degree yet","West Germany","128","0.172050423051763","0.144170499526644","0.199930346576882"
"Rarely","2003","no degree/no degree yet","East Germany","35","0.190755677562423","0.133517292677202","0.247994062447645"
"Never","2003","lower secondary degree","West Germany","4012","0.648831242263864","0.637080602088977","0.660581882438751"
"Never","2003","lower secondary degree","East Germany","1043","0.690786318161683","0.667740875011549","0.713831761311816"
"Never","2003","secondary school degree","West Germany","2301","0.576682274263415","0.561461758561022","0.591902789965809"
"Never","2003","secondary school degree","East Germany","1394","0.589844748059556","0.570125418852671","0.60956407726644"
"Never","2003","college entrance qualification","West Germany","2186","0.503698426086058","0.488761195583176","0.518635656588939"
"Never","2003","college entrance qualification","East Germany","603","0.578474289606003","0.549567534051804","0.607381045160202"
"Never","2003","Other degree","West Germany","799","0.664740861411134","0.637986228205225","0.691495494617043"
"Never","2003","Other degree","East Germany","33","0.812545703030737","0.699763447907915","0.925327958153559"
"Never","2003","no degree/no degree yet","West Germany","413","0.588573569687316","0.55222325012178","0.624923889252852"
"Never","2003","no degree/no degree yet","East Germany","107","0.598077277865148","0.526650882291884","0.669503673438412"
"Very often","2004","lower secondary degree","West Germany","","","",""
"Very often","2004","lower secondary degree","East Germany","","","",""
