"pld0045","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Brandenburg","Not Working","257","0.641771871259238","0.594427302903827","0.689116439614649","5"
"Never","2003","Saxony","Part Time","175","0.560106384191868","0.504850779616","0.615361988767737","5"
"Never","2003","Mecklenburg-Western Pomerania","Full Time","123","0.566905691033466","0.501871415544129","0.631939966522803","5"
"Never","2003","Saxony","Full Time","390","0.578088604152911","0.541023627087496","0.615153581218326","5"
"Never","2003","Mecklenburg-Western Pomerania","Part Time","76","0.62953114279787","0.541648408846148","0.717413876749592","5"
"Never","2003","Mecklenburg-Western Pomerania","Not Working","133","0.773253326228359","0.713398313528266","0.833108338928452","5"
"Never","2003","Saxony","Not Working","446","0.713099689217884","0.677610471276915","0.748588907158854","5"
"Never","2003","Saxony-Anhalt","Full Time","184","0.559377995876531","0.508791684952138","0.609964306800924","5"
"Never","2003","Saxony-Anhalt","Part Time","85","0.580075142449074","0.504074283049656","0.656076001848492","5"
"Never","2003","Thuringia","Full Time","202","0.540460872111983","0.490936763537094","0.589984980686872","5"
"Never","2003","Thuringia","Part Time","98","0.507558293251818","0.435710737674454","0.579405848829183","5"
"Never","2003","Thuringia","Not Working","269","0.690211696905752","0.643841378832729","0.736582014978774","5"
"Never","2003","Saxony-Anhalt","Not Working","230","0.606310695894734","0.558431977354086","0.654189414435382","5"
"Never","2003","Schleswig-Holstein","Full Time","153","0.475434774810908","0.415645138119047","0.535224411502768","5"
"Never","2003","Schleswig-Holstein","Part Time","93","0.531213623180082","0.452398451869838","0.610028794490327","5"
"Never","2003","Schleswig-Holstein","Not Working","177","0.703510283291529","0.646438613398979","0.760581953184079","5"
"Never","2003","Hamburg","Full Time","67","0.637054446820888","0.551377413212025","0.72273148042975","5"
"Never","2003","Hamburg","Part Time","24","","","","5"
"Never","2003","Hamburg","Not Working","69","0.642369619159442","0.551974306284508","0.732764932034376","5"
"Never","2003","Lower Saxony","Full Time","317","0.461945219256838","0.425705120598198","0.498185317915478","5"
"Never","2003","Lower Saxony","Part Time","234","0.519321707540403","0.47424807241046","0.564395342670345","5"
"Never","2003","Lower Saxony","Not Working","428","0.640725480940584","0.605434143037613","0.676016818843554","5"
"Never","2003","Bremen","Full Time","48","0.784287326877656","0.684294961560486","0.884279692194827","5"
"Never","2003","Bremen","Part Time","25","","","","5"
"Never","2003","Bremen","Not Working","53","0.73299704746246","0.628613346653938","0.837380748270981","5"
"Never","2003","North Rhine-Westphalia","Full Time","1071","0.586442668249652","0.563603093864183","0.609282242635121","5"
"Never","2003","North Rhine-Westphalia","Part Time","616","0.537825808665902","0.508509132756141","0.567142484575663","5"
"Never","2003","North Rhine-Westphalia","Not Working","1283","0.748874331971268","0.728654392956617","0.769094270985919","5"
"Never","2003","Hesse","Full Time","355","0.601741938117492","0.563815196563608","0.639668679671375","5"
"Never","2003","Hesse","Part Time","205","0.576434163081437","0.526356090175852","0.626512235987022","5"
"Never","2003","Hesse","Not Working","319","0.682452867159624","0.640676628959509","0.724229105359739","5"
"Never","2003","Rhineland-Palatinate,Saarland","Full Time","283","0.572515755091234","0.528801878935609","0.616229631246859","5"
"Never","2003","Rhineland-Palatinate,Saarland","Part Time","177","0.579044990729604","0.523270085807134","0.634819895652074","5"
"Never","2003","Rhineland-Palatinate,Saarland","Not Working","358","0.662970231381802","0.622953018152971","0.702987444610634","5"
"Never","2003","Baden-Württemberg","Full Time","603","0.549721803979478","0.520267093775998","0.579176514182957","5"
