"pld0045","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Often","2003","Schleswig-Holstein","Other degree","1","","",""
"Often","2003","Schleswig-Holstein","no degree/no degree yet","1","","",""
"Often","2003","Hamburg","lower secondary degree","6","","",""
"Often","2003","Hamburg","secondary school degree","8","","",""
"Often","2003","Hamburg","college entrance qualification","4","","",""
"Often","2003","Hamburg","Other degree","1","","",""
"Often","2003","Hamburg","no degree/no degree yet","","","",""
"Often","2003","Lower Saxony","lower secondary degree","61","0.07461908479903","0.0554250149410291","0.0938131546570309"
"Often","2003","Lower Saxony","secondary school degree","46","0.0688902528739994","0.0480436214719821","0.0897368842760167"
"Often","2003","Lower Saxony","college entrance qualification","56","0.112554367897793","0.0827169311946424","0.142391804600943"
"Often","2003","Lower Saxony","Other degree","7","","",""
"Often","2003","Lower Saxony","no degree/no degree yet","6","","",""
"Often","2003","Bremen","lower secondary degree","2","","",""
"Often","2003","Bremen","secondary school degree","3","","",""
"Often","2003","Bremen","college entrance qualification","6","","",""
"Often","2003","Bremen","Other degree","","","",""
"Often","2003","Bremen","no degree/no degree yet","1","","",""
"Often","2003","North Rhine-Westphalia","lower secondary degree","96","0.0522837025561143","0.0418034643993571","0.0627639407128715"
"Often","2003","North Rhine-Westphalia","secondary school degree","63","0.0618868710764512","0.0469003669818042","0.0768733751710983"
"Often","2003","North Rhine-Westphalia","college entrance qualification","122","0.091409619720766","0.0757916621973976","0.107027577244134"
"Often","2003","North Rhine-Westphalia","Other degree","17","","",""
"Often","2003","North Rhine-Westphalia","no degree/no degree yet","15","","",""
"Often","2003","Hesse","lower secondary degree","31","0.0528500779081812","0.0329177698777219","0.0727823859386404"
"Often","2003","Hesse","secondary school degree","31","0.0630017563587495","0.0386050432022144","0.0873984695152846"
"Often","2003","Hesse","college entrance qualification","49","0.0992906350377986","0.0711878121823822","0.127393457893215"
"Often","2003","Hesse","Other degree","8","","",""
"Often","2003","Hesse","no degree/no degree yet","4","","",""
"Often","2003","Rhineland-Palatinate,Saarland","lower secondary degree","46","0.066692113797323","0.0470697194244109","0.086314508170235"
"Often","2003","Rhineland-Palatinate,Saarland","secondary school degree","25","","",""
"Often","2003","Rhineland-Palatinate,Saarland","college entrance qualification","30","0.147096874743349","0.104207568525655","0.189986180961044"
"Often","2003","Rhineland-Palatinate,Saarland","Other degree","9","","",""
"Often","2003","Rhineland-Palatinate,Saarland","no degree/no degree yet","7","","",""
"Often","2003","Baden-Württemberg","lower secondary degree","75","0.0635214747364413","0.0480527111240264","0.0789902383488563"
"Often","2003","Baden-Württemberg","secondary school degree","69","0.13027254471085","0.103946457997645","0.156598631424055"
"Often","2003","Baden-Württemberg","college entrance qualification","65","0.0910833726142633","0.0686689368051037","0.113497808423423"
"Often","2003","Baden-Württemberg","Other degree","16","","",""
"Often","2003","Baden-Württemberg","no degree/no degree yet","8","","",""
"Often","2003","Bavaria","lower secondary degree","123","0.0822069655835016","0.0674058361490766","0.0970080950179266"
"Often","2003","Bavaria","secondary school degree","80","0.0769172804864382","0.0579482227227738","0.0958863382501026"
"Often","2003","Bavaria","college entrance qualification","100","0.14636421864772","0.121050208671311","0.171678228624129"
"Often","2003","Bavaria","Other degree","20","","",""
"Often","2003","Bavaria","no degree/no degree yet","5","","",""
"Often","2003","Berlin","lower secondary degree","7","","",""
"Often","2003","Berlin","secondary school degree","11","","",""
"Often","2003","Berlin","college entrance qualification","17","","",""
"Often","2003","Berlin","Other degree","2","","",""
"Often","2003","Berlin","no degree/no degree yet","4","","",""
"Often","2003","Brandenburg","lower secondary degree","12","","",""
"Often","2003","Brandenburg","secondary school degree","31","0.0832044956392603","0.0565676558323474","0.109841335446173"
"Often","2003","Brandenburg","college entrance qualification","13","","",""
"Often","2003","Brandenburg","Other degree","","","",""
"Often","2003","Brandenburg","no degree/no degree yet","2","","",""
"Often","2003","Mecklenburg-Western Pomerania","lower secondary degree","6","","",""
"Often","2003","Mecklenburg-Western Pomerania","secondary school degree","10","","",""
"Often","2003","Mecklenburg-Western Pomerania","college entrance qualification","13","","",""
"Often","2003","Mecklenburg-Western Pomerania","Other degree","","","",""
"Often","2003","Mecklenburg-Western Pomerania","no degree/no degree yet","1","","",""
"Often","2003","Saxony","lower secondary degree","18","","",""
"Often","2003","Saxony","secondary school degree","60","0.0882534921074448","0.0680330709453985","0.108473913269491"
"Often","2003","Saxony","college entrance qualification","28","","",""
"Often","2003","Saxony","Other degree","3","","",""
"Often","2003","Saxony","no degree/no degree yet","5","","",""
"Often","2003","Saxony-Anhalt","lower secondary degree","32","0.0951640414300369","0.0623393790644779","0.127988703795596"
"Often","2003","Saxony-Anhalt","secondary school degree","46","0.114745853003015","0.0829509925639256","0.146540713442104"
"Often","2003","Saxony-Anhalt","college entrance qualification","13","","",""
"Often","2003","Saxony-Anhalt","Other degree","2","","",""
"Often","2003","Saxony-Anhalt","no degree/no degree yet","3","","",""
"Often","2003","Thuringia","lower secondary degree","16","","",""
"Often","2003","Thuringia","secondary school degree","27","","",""
"Often","2003","Thuringia","college entrance qualification","15","","",""
"Often","2003","Thuringia","Other degree","","","",""
"Often","2003","Thuringia","no degree/no degree yet","2","","",""
"Sometimes","2003","Schleswig-Holstein","lower secondary degree","19","","",""
"Sometimes","2003","Schleswig-Holstein","secondary school degree","14","","",""
"Sometimes","2003","Schleswig-Holstein","college entrance qualification","14","","",""
"Sometimes","2003","Schleswig-Holstein","Other degree","2","","",""
"Sometimes","2003","Schleswig-Holstein","no degree/no degree yet","1","","",""
"Sometimes","2003","Hamburg","lower secondary degree","6","","",""
"Sometimes","2003","Hamburg","secondary school degree","10","","",""
"Sometimes","2003","Hamburg","college entrance qualification","8","","",""
"Sometimes","2003","Hamburg","Other degree","1","","",""
"Sometimes","2003","Hamburg","no degree/no degree yet","1","","",""
"Sometimes","2003","Lower Saxony","lower secondary degree","86","0.11791098858961","0.0943542485637664","0.141467728615453"
"Sometimes","2003","Lower Saxony","secondary school degree","85","0.168571794033673","0.137756849321422","0.199386738745923"
"Sometimes","2003","Lower Saxony","college entrance qualification","61","0.11684391287229","0.0865167882872156","0.147171037457364"
"Sometimes","2003","Lower Saxony","Other degree","11","","",""
"Sometimes","2003","Lower Saxony","no degree/no degree yet","11","","",""
"Sometimes","2003","Bremen","lower secondary degree","4","","",""
"Sometimes","2003","Bremen","secondary school degree","5","","",""
"Sometimes","2003","Bremen","college entrance qualification","5","","",""
"Sometimes","2003","Bremen","Other degree","","","",""
"Sometimes","2003","Bremen","no degree/no degree yet","","","",""
"Sometimes","2003","North Rhine-Westphalia","lower secondary degree","137","0.073411894388403","0.0611325441783996","0.0856912445984064"
"Sometimes","2003","North Rhine-Westphalia","secondary school degree","101","0.0981600317698961","0.079654330329003","0.116665733210789"
"Sometimes","2003","North Rhine-Westphalia","college entrance qualification","161","0.161512595516204","0.141569356751029","0.18145583428138"
"Sometimes","2003","North Rhine-Westphalia","Other degree","22","","",""
"Sometimes","2003","North Rhine-Westphalia","no degree/no degree yet","22","","",""
"Sometimes","2003","Hesse","lower secondary degree","40","0.0747982530006982","0.0513619362224262","0.0982345697789702"
"Sometimes","2003","Hesse","secondary school degree","40","0.0865373973009824","0.058305965555285","0.11476882904668"
"Sometimes","2003","Hesse","college entrance qualification","62","0.12538454164555","0.0942649395464656","0.156504143744634"
"Sometimes","2003","Hesse","Other degree","7","","",""
"Sometimes","2003","Hesse","no degree/no degree yet","5","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","lower secondary degree","39","0.059316080699795","0.0407375923440223","0.0778945690555677"
"Sometimes","2003","Rhineland-Palatinate,Saarland","secondary school degree","28","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","college entrance qualification","26","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","Other degree","8","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","no degree/no degree yet","6","","",""
"Sometimes","2003","Baden-Württemberg","lower secondary degree","99","0.0946802392381925","0.0761117282694467","0.113248750206938"
"Sometimes","2003","Baden-Württemberg","secondary school degree","50","0.0726450436417566","0.052345126634494","0.0929449606490192"
"Sometimes","2003","Baden-Württemberg","college entrance qualification","69","0.147922554354555","0.120265688085172","0.175579420623938"
"Sometimes","2003","Baden-Württemberg","Other degree","33","0.0995007099954377","0.0655720057465982","0.133429414244277"
"Sometimes","2003","Baden-Württemberg","no degree/no degree yet","11","","",""
"Sometimes","2003","Bavaria","lower secondary degree","147","0.100300096978751","0.0841130479470677","0.116487146010434"
"Sometimes","2003","Bavaria","secondary school degree","84","0.103778498911296","0.0820677472393863","0.125489250583207"
"Sometimes","2003","Bavaria","college entrance qualification","101","0.157594766827249","0.131500890108661","0.183688643545837"
"Sometimes","2003","Bavaria","Other degree","18","","",""
"Sometimes","2003","Bavaria","no degree/no degree yet","10","","",""
"Sometimes","2003","Berlin","lower secondary degree","10","","",""
"Sometimes","2003","Berlin","secondary school degree","25","","",""
"Sometimes","2003","Berlin","college entrance qualification","29","","",""
"Sometimes","2003","Berlin","Other degree","4","","",""
"Sometimes","2003","Berlin","no degree/no degree yet","4","","",""
"Sometimes","2003","Brandenburg","lower secondary degree","16","","",""
"Sometimes","2003","Brandenburg","secondary school degree","49","0.120754512235822","0.0893291839459668","0.152179840525677"
"Sometimes","2003","Brandenburg","college entrance qualification","26","","",""
"Sometimes","2003","Brandenburg","Other degree","1","","",""
"Sometimes","2003","Brandenburg","no degree/no degree yet","4","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","lower secondary degree","9","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","secondary school degree","29","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","college entrance qualification","15","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","Other degree","","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","no degree/no degree yet","2","","",""
"Sometimes","2003","Saxony","lower secondary degree","33","0.0753496222262731","0.0508802039481162","0.0998190405044301"
"Sometimes","2003","Saxony","secondary school degree","86","0.108140733073495","0.0860031597565192","0.130278306390472"
"Sometimes","2003","Saxony","college entrance qualification","43","0.112770372432671","0.0788476746742369","0.146693070191104"
"Sometimes","2003","Saxony","Other degree","1","","",""
"Sometimes","2003","Saxony","no degree/no degree yet","5","","",""
"Sometimes","2003","Saxony-Anhalt","lower secondary degree","32","0.083749602786825","0.0527627571129058","0.114736448460744"
"Sometimes","2003","Saxony-Anhalt","secondary school degree","50","0.140335263762093","0.10568533050588","0.174985197018305"
"Sometimes","2003","Saxony-Anhalt","college entrance qualification","27","","",""
"Sometimes","2003","Saxony-Anhalt","Other degree","","","",""
"Sometimes","2003","Saxony-Anhalt","no degree/no degree yet","4","","",""
"Sometimes","2003","Thuringia","lower secondary degree","24","","",""
"Sometimes","2003","Thuringia","secondary school degree","56","0.164205415929553","0.129190154103137","0.199220677755969"
"Sometimes","2003","Thuringia","college entrance qualification","25","","",""
"Sometimes","2003","Thuringia","Other degree","","","",""
"Sometimes","2003","Thuringia","no degree/no degree yet","1","","",""
"Rarely","2003","Schleswig-Holstein","lower secondary degree","54","0.20709392159787","0.159113135471696","0.255074707724044"
"Rarely","2003","Schleswig-Holstein","secondary school degree","26","","",""
"Rarely","2003","Schleswig-Holstein","college entrance qualification","26","","",""
"Rarely","2003","Schleswig-Holstein","Other degree","6","","",""
"Rarely","2003","Schleswig-Holstein","no degree/no degree yet","3","","",""
"Rarely","2003","Hamburg","lower secondary degree","19","","",""
"Rarely","2003","Hamburg","secondary school degree","18","","",""
"Rarely","2003","Hamburg","college entrance qualification","31","0.362000898968635","0.268737151282354","0.455264646654916"
"Rarely","2003","Hamburg","Other degree","4","","",""
"Rarely","2003","Hamburg","no degree/no degree yet","3","","",""
"Rarely","2003","Lower Saxony","lower secondary degree","140","0.189638578894253","0.161004410967661","0.218272746820845"
"Rarely","2003","Lower Saxony","secondary school degree","117","0.195727584658952","0.163069992069824","0.228385177248079"
"Rarely","2003","Lower Saxony","college entrance qualification","91","0.199149128600434","0.161446251935501","0.236852005265366"
"Rarely","2003","Lower Saxony","Other degree","7","","",""
"Rarely","2003","Lower Saxony","no degree/no degree yet","15","","",""
"Rarely","2003","Bremen","lower secondary degree","6","","",""
"Rarely","2003","Bremen","secondary school degree","2","","",""
"Rarely","2003","Bremen","college entrance qualification","6","","",""
"Rarely","2003","Bremen","Other degree","3","","",""
"Rarely","2003","Bremen","no degree/no degree yet","","","",""
"Rarely","2003","North Rhine-Westphalia","lower secondary degree","242","0.133909663241465","0.117875866819876","0.149943459663054"
"Rarely","2003","North Rhine-Westphalia","secondary school degree","171","0.169518352258689","0.146181254375109","0.192855450142269"
"Rarely","2003","North Rhine-Westphalia","college entrance qualification","243","0.18482689756361","0.163791451468643","0.205862343658576"
"Rarely","2003","North Rhine-Westphalia","Other degree","33","0.0900040976689167","0.0596287147806792","0.120379480557154"
"Rarely","2003","North Rhine-Westphalia","no degree/no degree yet","51","0.225788888305287","0.172333050250087","0.279244726360486"
"Rarely","2003","Hesse","lower secondary degree","75","0.155561320085444","0.123271897470826","0.187850742700063"
"Rarely","2003","Hesse","secondary school degree","68","0.149756860091606","0.11392655267444","0.185587167508772"
"Rarely","2003","Hesse","college entrance qualification","76","0.182282158062448","0.146001322519267","0.218562993605629"
"Rarely","2003","Hesse","Other degree","13","","",""
"Rarely","2003","Hesse","no degree/no degree yet","6","","",""
"Rarely","2003","Rhineland-Palatinate,Saarland","lower secondary degree","90","0.153302265434298","0.124966119783253","0.181638411085343"
"Rarely","2003","Rhineland-Palatinate,Saarland","secondary school degree","44","0.175039602102845","0.130766537777188","0.219312666428501"
"Rarely","2003","Rhineland-Palatinate,Saarland","college entrance qualification","45","0.173117000406532","0.127303936662594","0.218930064150471"
"Rarely","2003","Rhineland-Palatinate,Saarland","Other degree","9","","",""
"Rarely","2003","Rhineland-Palatinate,Saarland","no degree/no degree yet","7","","",""
"Rarely","2003","Baden-Württemberg","lower secondary degree","140","0.130565677309727","0.109196917936076","0.151934436683377"
"Rarely","2003","Baden-Württemberg","secondary school degree","113","0.153497364587964","0.125304910091955","0.181689819083973"
"Rarely","2003","Baden-Württemberg","college entrance qualification","133","0.180270898521012","0.150324525885086","0.210217271156938"
"Rarely","2003","Baden-Württemberg","Other degree","54","0.201105058324794","0.155672328755159","0.246537787894429"
"Rarely","2003","Baden-Württemberg","no degree/no degree yet","27","","",""
"Rarely","2003","Bavaria","lower secondary degree","232","0.170318058370056","0.150062028140386","0.190574088599726"
"Rarely","2003","Bavaria","secondary school degree","164","0.241142438468021","0.210689413027554","0.271595463908488"
"Rarely","2003","Bavaria","college entrance qualification","178","0.212516472428225","0.183219400291054","0.241813544565396"
"Rarely","2003","Bavaria","Other degree","22","","",""
"Rarely","2003","Bavaria","no degree/no degree yet","12","","",""
"Rarely","2003","Berlin","lower secondary degree","31","0.169197977801839","0.109982656899237","0.228413298704442"
"Rarely","2003","Berlin","secondary school degree","38","0.0920121193698153","0.0581564333509468","0.125867805388684"
"Rarely","2003","Berlin","college entrance qualification","60","0.184932566422045","0.140553527315466","0.229311605528624"
"Rarely","2003","Berlin","Other degree","12","","",""
"Rarely","2003","Berlin","no degree/no degree yet","8","","",""
"Rarely","2003","Brandenburg","lower secondary degree","44","0.145667186219307","0.103588650524759","0.187745721913854"
"Rarely","2003","Brandenburg","secondary school degree","88","0.200390110973448","0.161784512769567","0.238995709177328"
"Rarely","2003","Brandenburg","college entrance qualification","54","0.268231328451959","0.207877534643344","0.328585122260573"
"Rarely","2003","Brandenburg","Other degree","2","","",""
"Rarely","2003","Brandenburg","no degree/no degree yet","9","","",""
"Rarely","2003","Mecklenburg-Western Pomerania","lower secondary degree","19","","",""
"Rarely","2003","Mecklenburg-Western Pomerania","secondary school degree","50","0.187704881395331","0.139778713377749","0.235631049412913"
"Rarely","2003","Mecklenburg-Western Pomerania","college entrance qualification","14","","",""
"Rarely","2003","Mecklenburg-Western Pomerania","Other degree","","","",""
"Rarely","2003","Mecklenburg-Western Pomerania","no degree/no degree yet","7","","",""
"Rarely","2003","Saxony","lower secondary degree","73","0.170176462945401","0.135339767618164","0.205013158272638"
"Rarely","2003","Saxony","secondary school degree","124","0.167008767899915","0.140421295972311","0.19359623982752"
"Rarely","2003","Saxony","college entrance qualification","63","0.197836117617921","0.155113367607047","0.240558867628795"
"Rarely","2003","Saxony","Other degree","","","",""
"Rarely","2003","Saxony","no degree/no degree yet","5","","",""
"Rarely","2003","Saxony-Anhalt","lower secondary degree","54","0.167898454243807","0.126087467546549","0.209709440941065"
"Rarely","2003","Saxony-Anhalt","secondary school degree","77","0.159038134234965","0.122554908854599","0.195521359615332"
"Rarely","2003","Saxony-Anhalt","college entrance qualification","44","0.202473876933435","0.145032330366061","0.259915423500809"
"Rarely","2003","Saxony-Anhalt","Other degree","","","",""
"Rarely","2003","Saxony-Anhalt","no degree/no degree yet","4","","",""
"Rarely","2003","Thuringia","lower secondary degree","49","0.125102327322379","0.0888542957837422","0.161350358861016"
"Rarely","2003","Thuringia","secondary school degree","99","0.229260581777233","0.189529321260841","0.268991842293625"
"Rarely","2003","Thuringia","college entrance qualification","34","0.189811002264604","0.130155856830827","0.249466147698382"
"Rarely","2003","Thuringia","Other degree","1","","",""
"Rarely","2003","Thuringia","no degree/no degree yet","6","","",""
"Never","2003","Schleswig-Holstein","lower secondary degree","179","0.573523712088975","0.514964403080193","0.632083021097757"
"Never","2003","Schleswig-Holstein","secondary school degree","111","0.591799148496287","0.517915599014","0.665682697978574"
"Never","2003","Schleswig-Holstein","college entrance qualification","97","0.543597185864383","0.46782552554521","0.619368846183555"
"Never","2003","Schleswig-Holstein","Other degree","17","","",""
"Never","2003","Schleswig-Holstein","no degree/no degree yet","16","","",""
"Never","2003","Hamburg","lower secondary degree","50","0.673807863629466","0.572335927744621","0.775279799514312"
"Never","2003","Hamburg","secondary school degree","53","0.618465542373831","0.518107663504845","0.718823421242818"
"Never","2003","Hamburg","college entrance qualification","49","0.517972153580564","0.42100218043907","0.614942126722057"
"Never","2003","Hamburg","Other degree","2","","",""
"Never","2003","Hamburg","no degree/no degree yet","5","","",""
"Never","2003","Lower Saxony","lower secondary degree","400","0.587023848106409","0.551059499232013","0.622988196980805"
"Never","2003","Lower Saxony","secondary school degree","279","0.502408800460202","0.461253902804384","0.54356369811602"
"Never","2003","Lower Saxony","college entrance qualification","192","0.485308576429279","0.438124886104786","0.532492266753771"
"Never","2003","Lower Saxony","Other degree","53","0.716337721825922","0.620508418222481","0.812167025429363"
"Never","2003","Lower Saxony","no degree/no degree yet","45","0.641766732997026","0.538614032479765","0.744919433514288"
"Never","2003","Bremen","lower secondary degree","45","0.800548627329885","0.696814170664101","0.904283083995669"
"Never","2003","Bremen","secondary school degree","37","0.710861651857255","0.582607077616246","0.839116226098265"
"Never","2003","Bremen","college entrance qualification","31","0.561662794243802","0.422734070369149","0.700591518118456"
"Never","2003","Bremen","Other degree","9","","",""
"Never","2003","Bremen","no degree/no degree yet","2","","",""
"Never","2003","North Rhine-Westphalia","lower secondary degree","1214","0.716345697375735","0.695122792582984","0.737568602168485"
"Never","2003","North Rhine-Westphalia","secondary school degree","621","0.626537825473601","0.596451411609642","0.656624239337559"
"Never","2003","North Rhine-Westphalia","college entrance qualification","720","0.50882125427975","0.481728907618586","0.535913600940914"
"Never","2003","North Rhine-Westphalia","Other degree","249","0.769978027542446","0.725310210439819","0.814645844645073"
"Never","2003","North Rhine-Westphalia","no degree/no degree yet","135","0.564072472891207","0.500672545571995","0.627472400210419"
"Never","2003","Hesse","lower secondary degree","320","0.668305383770358","0.626360200014218","0.710250567526498"
"Never","2003","Hesse","secondary school degree","214","0.622571580411066","0.57389752318554","0.671245637636592"
"Never","2003","Hesse","college entrance qualification","210","0.513676631363491","0.466707672199364","0.560645590527618"
"Never","2003","Hesse","Other degree","95","0.753367516223148","0.678399707979557","0.82833532446674"
"Never","2003","Hesse","no degree/no degree yet","34","0.652403667789492","0.5229715048346","0.781835830744385"
"Never","2003","Rhineland-Palatinate,Saarland","lower secondary degree","420","0.679515632346313","0.642812304553047","0.716218960139579"
"Never","2003","Rhineland-Palatinate,Saarland","secondary school degree","158","0.560302999856575","0.502474343927963","0.618131655785186"
"Never","2003","Rhineland-Palatinate,Saarland","college entrance qualification","144","0.488299981135566","0.427773069381472","0.54882689288966"
"Never","2003","Rhineland-Palatinate,Saarland","Other degree","61","0.570482636018479","0.469877953554205","0.671087318482752"
"Never","2003","Rhineland-Palatinate,Saarland","no degree/no degree yet","28","","",""
"Never","2003","Baden-Württemberg","lower secondary degree","607","0.671840093343937","0.642060269545174","0.701619917142699"
"Never","2003","Baden-Württemberg","secondary school degree","361","0.576202226910064","0.537553510884202","0.614850942935925"
"Never","2003","Baden-Württemberg","college entrance qualification","328","0.530541183412351","0.491663127793212","0.56941923903149"
"Never","2003","Baden-Württemberg","Other degree","191","0.61075483628217","0.555488895567614","0.666020776996725"
"Never","2003","Baden-Württemberg","no degree/no degree yet","76","0.575593888726387","0.489293705048984","0.661894072403791"
"Never","2003","Bavaria","lower secondary degree","719","0.567653890195256","0.540959146466319","0.594348633924194"
"Never","2003","Bavaria","secondary school degree","375","0.491719261928208","0.45612959491165","0.527308928944767"
"Never","2003","Bavaria","college entrance qualification","312","0.416415890577461","0.3811120008355","0.451719780319421"
"Never","2003","Bavaria","Other degree","107","0.610347481988117","0.537677950271437","0.683017013704797"
"Never","2003","Bavaria","no degree/no degree yet","65","0.652471813317151","0.558193685905561","0.74674994072874"
"Never","2003","Berlin","lower secondary degree","103","0.69703228926283","0.624453060056613","0.769611518469046"
"Never","2003","Berlin","secondary school degree","198","0.735625704242809","0.683971326132885","0.787280082352733"
"Never","2003","Berlin","college entrance qualification","182","0.636978250687022","0.582011122130276","0.691945379243767"
"Never","2003","Berlin","Other degree","16","","",""
"Never","2003","Berlin","no degree/no degree yet","25","","",""
"Never","2003","Brandenburg","lower secondary degree","188","0.705323126077001","0.650943865522499","0.759702386631504"
"Never","2003","Brandenburg","secondary school degree","235","0.573162597680484","0.525459869189563","0.620865326171405"
"Never","2003","Brandenburg","college entrance qualification","106","0.475787084856838","0.407753539872815","0.543820629840861"
"Never","2003","Brandenburg","Other degree","7","","",""
"Never","2003","Brandenburg","no degree/no degree yet","14","","",""
"Never","2003","Mecklenburg-Western Pomerania","lower secondary degree","100","0.72016391642238","0.644992048303638","0.795335784541122"
