"pld0045","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Urban Area","686","0.045066910169969","0.0417293287315453","0.0484044916083927"
"Very often","2003","Rural Area","368","0.0530306746331094","0.0478914305981437","0.0581699186680752"
"Often","2003","Urban Area","1124","0.0707091233839074","0.0665850149858136","0.0748332317820011"
"Often","2003","Rural Area","668","0.0886697512415335","0.0821505656253868","0.0951889368576801"
"Sometimes","2003","Urban Area","1403","0.0940087201809665","0.0893134283837893","0.0987040119781437"
"Sometimes","2003","Rural Area","904","0.120190194782937","0.112732636998813","0.127647752567061"
"Rarely","2003","Urban Area","2462","0.16215790621745","0.156227742812632","0.168088069622269"
"Rarely","2003","Rural Area","1486","0.189222990747261","0.180240322248587","0.198205659245934"
"Never","2003","Urban Area","9166","0.628057340047707","0.620281377636592","0.635833302458822"
"Never","2003","Rural Area","3878","0.54888638859516","0.537474647632568","0.560298129557752"
"Very often","2004","Urban Area","","","",""
"Very often","2004","Rural Area","","","",""
"Often","2004","Urban Area","","","",""
"Often","2004","Rural Area","","","",""
"Sometimes","2004","Urban Area","","","",""
"Sometimes","2004","Rural Area","","","",""
"Rarely","2004","Urban Area","","","",""
"Rarely","2004","Rural Area","","","",""
"Never","2004","Urban Area","","","",""
"Never","2004","Rural Area","","","",""
"Very often","2005","Urban Area","","","",""
"Very often","2005","Rural Area","","","",""
"Often","2005","Urban Area","","","",""
"Often","2005","Rural Area","","","",""
"Sometimes","2005","Urban Area","","","",""
"Sometimes","2005","Rural Area","","","",""
"Rarely","2005","Urban Area","","","",""
"Rarely","2005","Rural Area","","","",""
"Never","2005","Urban Area","","","",""
"Never","2005","Rural Area","","","",""
"Very often","2006","Urban Area","","","",""
"Very often","2006","Rural Area","","","",""
"Often","2006","Urban Area","","","",""
"Often","2006","Rural Area","","","",""
"Sometimes","2006","Urban Area","","","",""
"Sometimes","2006","Rural Area","","","",""
"Rarely","2006","Urban Area","","","",""
"Rarely","2006","Rural Area","","","",""
"Never","2006","Urban Area","","","",""
"Never","2006","Rural Area","","","",""
"Very often","2007","Urban Area","","","",""
"Very often","2007","Rural Area","","","",""
"Often","2007","Urban Area","","","",""
"Often","2007","Rural Area","","","",""
"Sometimes","2007","Urban Area","","","",""
"Sometimes","2007","Rural Area","","","",""
"Rarely","2007","Urban Area","","","",""
"Rarely","2007","Rural Area","","","",""
"Never","2007","Urban Area","","","",""
"Never","2007","Rural Area","","","",""
