"pld0045","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2003","(0) in school","West Germany","30","0.0689299947191244","0.0455494238606383","0.0923105655776105"
"Very often","2003","(0) in school","East Germany","8","","",""
"Very often","2003","(1a) inadequately completed","West Germany","12","","",""
"Very often","2003","(1a) inadequately completed","East Germany","1","","",""
"Very often","2003","(1b) general elementary school","West Germany","70","0.0330397553674584","0.024987908531352","0.0410916022035648"
"Very often","2003","(1b) general elementary school","East Germany","8","","",""
"Very often","2003","(1c) basic vocational qualification","West Germany","217","0.0440286301838329","0.038400258258753","0.0496570021089129"
"Very often","2003","(1c) basic vocational qualification","East Germany","33","0.0246282087859247","0.0158296513734836","0.0334267661983657"
"Very often","2003","(2b) intermediate general qualification","West Germany","36","0.0922482495736604","0.0658612677559745","0.118635231391346"
"Very often","2003","(2b) intermediate general qualification","East Germany","8","","",""
"Very often","2003","(2a) intermediate vocational","West Germany","177","0.0561975937069382","0.0483589625339568","0.0640362248799196"
"Very often","2003","(2a) intermediate vocational","East Germany","58","0.0369452753036216","0.0282935516105209","0.0455969989967222"
"Very often","2003","(2c_gen) general maturity certificate","West Germany","42","0.0466604423253682","0.0308545771582957","0.0624663074924407"
"Very often","2003","(2c_gen) general maturity certificate","East Germany","12","","",""
"Very often","2003","(2c_voc) vocational maturity certificate","West Germany","86","0.0623404716610456","0.0495982654695401","0.075082677852551"
"Very often","2003","(2c_voc) vocational maturity certificate","East Germany","5","","",""
"Very often","2003","(3a) lower tertiary education","West Germany","62","0.0575479649294278","0.0433393136428517","0.0717566162160038"
"Very often","2003","(3a) lower tertiary education","East Germany","23","","",""
"Very often","2003","(3b) higher tertiary education","West Germany","125","0.0552971288297168","0.0453349020417582","0.0652593556176755"
"Very often","2003","(3b) higher tertiary education","East Germany","26","","",""
"Often","2003","(0) in school","West Germany","37","0.103440337025093","0.0753346386390674","0.131546035411119"
"Often","2003","(0) in school","East Germany","14","","",""
"Often","2003","(1a) inadequately completed","West Germany","13","","",""
"Often","2003","(1a) inadequately completed","East Germany","","","",""
"Often","2003","(1b) general elementary school","West Germany","120","0.0582940846309171","0.047739462810575","0.0688487064512593"
"Often","2003","(1b) general elementary school","East Germany","16","","",""
"Often","2003","(1c) basic vocational qualification","West Germany","383","0.0714959830163456","0.0644275121468673","0.0785644538858239"
"Often","2003","(1c) basic vocational qualification","East Germany","68","0.0572195299462695","0.0440343095097342","0.0704047503828048"
"Often","2003","(2b) intermediate general qualification","West Germany","39","0.0724337177942897","0.0487979361991067","0.0960694993894727"
"Often","2003","(2b) intermediate general qualification","East Germany","10","","",""
"Often","2003","(2a) intermediate vocational","West Germany","286","0.0812559668379094","0.0719563356146054","0.0905555980612133"
"Often","2003","(2a) intermediate vocational","East Germany","140","0.076816609794789","0.0646022906442522","0.0890309289453259"
"Often","2003","(2c_gen) general maturity certificate","West Germany","64","0.0926669074550125","0.0709366060346123","0.114397208875413"
"Often","2003","(2c_gen) general maturity certificate","East Germany","13","","",""
"Often","2003","(2c_voc) vocational maturity certificate","West Germany","140","0.099832628018093","0.0840334356714447","0.115631820364741"
"Often","2003","(2c_voc) vocational maturity certificate","East Germany","16","","",""
"Often","2003","(3a) lower tertiary education","West Germany","113","0.0959653964007202","0.0779949816631394","0.113935811138301"
"Often","2003","(3a) lower tertiary education","East Germany","45","0.058775575946899","0.0411748300092324","0.0763763218845656"
"Often","2003","(3b) higher tertiary education","West Germany","205","0.0963921518188865","0.083528379336815","0.109255924300958"
