"pld0045","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Not Employed","(0) in school","31","0.0695894470995772","0.0471509573240421","0.0920279368751124"
"Very often","2003","Not Employed","(1a) inadequately completed","7","","",""
"Very often","2003","Not Employed","(1b) general elementary school","52","0.0400519613121967","0.0293601178669615","0.050743804757432"
"Very often","2003","Not Employed","(1c) basic vocational qualification","95","0.0288636886942561","0.0228746273776148","0.0348527500108975"
"Very often","2003","Not Employed","(2b) intermediate general qualification","9","","",""
"Very often","2003","Not Employed","(2a) intermediate vocational","55","0.0538365304472187","0.0409372332152578","0.0667358276791795"
"Very often","2003","Not Employed","(2c_gen) general maturity certificate","19","","",""
"Very often","2003","Not Employed","(2c_voc) vocational maturity certificate","19","","",""
"Very often","2003","Not Employed","(3a) lower tertiary education","15","","",""
"Very often","2003","Not Employed","(3b) higher tertiary education","26","","",""
"Very often","2003","Employed","(0) in school","7","","",""
"Very often","2003","Employed","(1a) inadequately completed","6","","",""
"Very often","2003","Employed","(1b) general elementary school","26","","",""
"Very often","2003","Employed","(1c) basic vocational qualification","155","0.0531787306656495","0.0455158990977548","0.0608415622335443"
"Very often","2003","Employed","(2b) intermediate general qualification","35","0.112784889012109","0.0823871453054836","0.143182632718735"
"Very often","2003","Employed","(2a) intermediate vocational","180","0.0492953983077406","0.0425579146600389","0.0560328819554422"
"Very often","2003","Employed","(2c_gen) general maturity certificate","35","0.0550184140251317","0.0354953421103229","0.0745414859399405"
"Very often","2003","Employed","(2c_voc) vocational maturity certificate","72","0.0587781944775772","0.045363609128778","0.0721927798263764"
"Very often","2003","Employed","(3a) lower tertiary education","70","0.0488433935243362","0.0369704017316497","0.0607163853170227"
"Very often","2003","Employed","(3b) higher tertiary education","125","0.0570289696183054","0.0471436085368368","0.066914330699774"
"Often","2003","Not Employed","(0) in school","41","0.0989012063251644","0.0725760102171037","0.125226402433225"
"Often","2003","Not Employed","(1a) inadequately completed","8","","",""
"Often","2003","Not Employed","(1b) general elementary school","76","0.0541774596072945","0.0418341681895043","0.0665207510250848"
"Often","2003","Not Employed","(1c) basic vocational qualification","152","0.0465878885666225","0.0390487870138173","0.0541269901194276"
"Often","2003","Not Employed","(2b) intermediate general qualification","12","","",""
"Often","2003","Not Employed","(2a) intermediate vocational","85","0.064327641667914","0.050305797218915","0.078349486116913"
"Often","2003","Not Employed","(2c_gen) general maturity certificate","26","","",""
"Often","2003","Not Employed","(2c_voc) vocational maturity certificate","42","0.104220766624345","0.0740122470353622","0.134429286213327"
"Often","2003","Not Employed","(3a) lower tertiary education","31","0.0581346030150508","0.0365625911718951","0.0797066148582064"
"Often","2003","Not Employed","(3b) higher tertiary education","31","0.0536394672458231","0.0341047027965793","0.073174231695067"
"Often","2003","Employed","(0) in school","10","","",""
"Often","2003","Employed","(1a) inadequately completed","5","","",""
"Often","2003","Employed","(1b) general elementary school","60","0.0653183396825853","0.0487562755199892","0.0818804038451815"
"Often","2003","Employed","(1c) basic vocational qualification","299","0.091656730392051","0.0818031633599861","0.101510297424116"
"Often","2003","Employed","(2b) intermediate general qualification","37","0.0755387257544061","0.0501447550285624","0.10093269648025"
"Often","2003","Employed","(2a) intermediate vocational","341","0.085454909765216","0.0767544378929241","0.0941553816375079"
"Often","2003","Employed","(2c_gen) general maturity certificate","51","0.103734820299242","0.0776274584163449","0.129842182182138"
"Often","2003","Employed","(2c_voc) vocational maturity certificate","114","0.0925337159708837","0.0760069303815772","0.10906050156019"
"Often","2003","Employed","(3a) lower tertiary education","127","0.0952071610188425","0.079039744650318","0.111374577387367"
"Often","2003","Employed","(3b) higher tertiary education","224","0.100246391120107","0.0874439799358163","0.113048802304397"
"Sometimes","2003","Not Employed","(0) in school","51","0.091822811024893","0.0663577217407252","0.117287900309061"
"Sometimes","2003","Not Employed","(1a) inadequately completed","9","","",""
"Sometimes","2003","Not Employed","(1b) general elementary school","85","0.0553013738596755","0.042838120134625","0.067764627584726"
"Sometimes","2003","Not Employed","(1c) basic vocational qualification","224","0.0724353038774314","0.0631629500518594","0.0817076577030034"
"Sometimes","2003","Not Employed","(2b) intermediate general qualification","30","0.143524971591964","0.0966598283904722","0.190390114793456"
"Sometimes","2003","Not Employed","(2a) intermediate vocational","106","0.107451514330368","0.0897517856493175","0.125151243011418"
"Sometimes","2003","Not Employed","(2c_gen) general maturity certificate","33","0.114213631800686","0.0805036510133481","0.147923612588023"
"Sometimes","2003","Not Employed","(2c_voc) vocational maturity certificate","37","0.100236390742835","0.0705451232128168","0.129927658272853"
"Sometimes","2003","Not Employed","(3a) lower tertiary education","51","0.0934716942817682","0.0666361989690524","0.120307189594484"
"Sometimes","2003","Not Employed","(3b) higher tertiary education","58","0.115384647759849","0.0876840659208699","0.143085229598828"
"Sometimes","2003","Employed","(0) in school","18","","",""
"Sometimes","2003","Employed","(1a) inadequately completed","9","","",""
"Sometimes","2003","Employed","(1b) general elementary school","88","0.109827751600024","0.0888693525337222","0.130786150666325"
"Sometimes","2003","Employed","(1c) basic vocational qualification","339","0.100113639786112","0.0898635716165565","0.110363707955667"
"Sometimes","2003","Employed","(2b) intermediate general qualification","43","0.0735293974840014","0.0484482298383436","0.0986105651296593"
"Sometimes","2003","Employed","(2a) intermediate vocational","460","0.112776829981873","0.102932229070372","0.122621430893374"
"Sometimes","2003","Employed","(2c_gen) general maturity certificate","69","0.146902332694581","0.116591618411603","0.177213046977559"
"Sometimes","2003","Employed","(2c_voc) vocational maturity certificate","145","0.138443965451706","0.118746882145465","0.158141048757947"
"Sometimes","2003","Employed","(3a) lower tertiary education","161","0.149871760819591","0.130209503998959","0.169534017640223"
"Sometimes","2003","Employed","(3b) higher tertiary education","264","0.121918099073287","0.107970572304374","0.135865625842201"
"Rarely","2003","Not Employed","(0) in school","105","0.218602107304654","0.182156272152339","0.255047942456969"
"Rarely","2003","Not Employed","(1a) inadequately completed","21","","",""
"Rarely","2003","Not Employed","(1b) general elementary school","165","0.11634864157249","0.0988647555189769","0.133832527626002"
"Rarely","2003","Not Employed","(1c) basic vocational qualification","404","0.130410743467696","0.118364364674469","0.142457122260924"
"Rarely","2003","Not Employed","(2b) intermediate general qualification","31","0.119790480899079","0.0763861519973398","0.163194809800819"
"Rarely","2003","Not Employed","(2a) intermediate vocational","152","0.139227524034104","0.119441835603264","0.159013212464943"
"Rarely","2003","Not Employed","(2c_gen) general maturity certificate","66","0.233069527422133","0.188261504401223","0.277877550443044"
"Rarely","2003","Not Employed","(2c_voc) vocational maturity certificate","61","0.136040360013292","0.102145610440641","0.169935109585943"
"Rarely","2003","Not Employed","(3a) lower tertiary education","71","0.12934722251371","0.0984100996364925","0.160284345390928"
"Rarely","2003","Not Employed","(3b) higher tertiary education","79","0.180517193885115","0.147169419790157","0.213864967980074"
"Rarely","2003","Employed","(0) in school","23","","",""
"Rarely","2003","Employed","(1a) inadequately completed","14","","",""
"Rarely","2003","Employed","(1b) general elementary school","137","0.159803379895263","0.135242242248785","0.18436451754174"
"Rarely","2003","Employed","(1c) basic vocational qualification","616","0.185878764459158","0.172594248843655","0.19916328007466"
"Rarely","2003","Employed","(2b) intermediate general qualification","72","0.187653416715565","0.150134495469946","0.225172337961184"
"Rarely","2003","Employed","(2a) intermediate vocational","811","0.194099992644058","0.181790927350319","0.206409057937796"
"Rarely","2003","Employed","(2c_gen) general maturity certificate","102","0.210788521792436","0.175866239136304","0.245710804448567"
"Rarely","2003","Employed","(2c_voc) vocational maturity certificate","233","0.186859155514797","0.164627939361278","0.209090371668315"
"Rarely","2003","Employed","(3a) lower tertiary education","272","0.202194516267967","0.180070476360593","0.224318556175342"
"Rarely","2003","Employed","(3b) higher tertiary education","459","0.22086819556109","0.203184718740931","0.23855167238125"
"Never","2003","Not Employed","(0) in school","266","0.521084428245711","0.477032173373877","0.565136683117545"
"Never","2003","Not Employed","(1a) inadequately completed","118","0.714756244424712","0.645438991858084","0.784073496991341"
"Never","2003","Not Employed","(1b) general elementary school","914","0.734120563648344","0.710030225083954","0.758210902212733"
"Never","2003","Not Employed","(1c) basic vocational qualification","2127","0.721702375393994","0.705670786623444","0.737733964164543"
"Never","2003","Not Employed","(2b) intermediate general qualification","133","0.627425849386519","0.562798488021257","0.692053210751781"
"Never","2003","Not Employed","(2a) intermediate vocational","778","0.635156789520396","0.607643783897564","0.662669795143228"
"Never","2003","Not Employed","(2c_gen) general maturity certificate","198","0.54936593395891","0.496633488706077","0.602098379211743"
"Never","2003","Not Employed","(2c_voc) vocational maturity certificate","234","0.601796522208142","0.553398325874743","0.650194718541541"
"Never","2003","Not Employed","(3a) lower tertiary education","284","0.673321481846805","0.630084995104169","0.716557968589441"
"Never","2003","Not Employed","(3b) higher tertiary education","317","0.609351473808498","0.567049106781892","0.651653840835104"
"Never","2003","Employed","(0) in school","58","0.528401874761982","0.43755974526259","0.619244004261374"
"Never","2003","Employed","(1a) inadequately completed","76","0.633187502570143","0.543125836340106","0.723249168800179"
"Never","2003","Employed","(1b) general elementary school","544","0.642175682498246","0.610044486786834","0.674306878209658"
"Never","2003","Employed","(1c) basic vocational qualification","1885","0.56917213469703","0.552261496376349","0.586082773017711"
"Never","2003","Employed","(2b) intermediate general qualification","229","0.550493571033918","0.50269163293416","0.598295509133677"
"Never","2003","Employed","(2a) intermediate vocational","2174","0.558372869301113","0.542918127169119","0.573827611433107"
"Never","2003","Employed","(2c_gen) general maturity certificate","267","0.48355591118861","0.440768358070571","0.526343464306649"
"Never","2003","Employed","(2c_voc) vocational maturity certificate","617","0.523384968585036","0.494899876186323","0.55187006098375"
"Never","2003","Employed","(3a) lower tertiary education","636","0.503883168369263","0.476341633172356","0.53142470356617"
"Never","2003","Employed","(3b) higher tertiary education","1042","0.49993834462721","0.478624313260556","0.521252375993864"
"Very often","2004","Not Employed","(0) in school","","","",""
"Very often","2004","Not Employed","(1a) inadequately completed","","","",""
"Very often","2004","Not Employed","(1b) general elementary school","","","",""
"Very often","2004","Not Employed","(1c) basic vocational qualification","","","",""
"Very often","2004","Not Employed","(2b) intermediate general qualification","","","",""
"Very often","2004","Not Employed","(2a) intermediate vocational","","","",""
"Very often","2004","Not Employed","(2c_gen) general maturity certificate","","","",""
"Very often","2004","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Very often","2004","Not Employed","(3a) lower tertiary education","","","",""
"Very often","2004","Not Employed","(3b) higher tertiary education","","","",""
"Very often","2004","Employed","(0) in school","","","",""
"Very often","2004","Employed","(1a) inadequately completed","","","",""
"Very often","2004","Employed","(1b) general elementary school","","","",""
"Very often","2004","Employed","(1c) basic vocational qualification","","","",""
"Very often","2004","Employed","(2b) intermediate general qualification","","","",""
"Very often","2004","Employed","(2a) intermediate vocational","","","",""
"Very often","2004","Employed","(2c_gen) general maturity certificate","","","",""
"Very often","2004","Employed","(2c_voc) vocational maturity certificate","","","",""
"Very often","2004","Employed","(3a) lower tertiary education","","","",""
"Very often","2004","Employed","(3b) higher tertiary education","","","",""
"Often","2004","Not Employed","(0) in school","","","",""
"Often","2004","Not Employed","(1a) inadequately completed","","","",""
"Often","2004","Not Employed","(1b) general elementary school","","","",""
"Often","2004","Not Employed","(1c) basic vocational qualification","","","",""
"Often","2004","Not Employed","(2b) intermediate general qualification","","","",""
"Often","2004","Not Employed","(2a) intermediate vocational","","","",""
"Often","2004","Not Employed","(2c_gen) general maturity certificate","","","",""
"Often","2004","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Often","2004","Not Employed","(3a) lower tertiary education","","","",""
"Often","2004","Not Employed","(3b) higher tertiary education","","","",""
"Often","2004","Employed","(0) in school","","","",""
"Often","2004","Employed","(1a) inadequately completed","","","",""
"Often","2004","Employed","(1b) general elementary school","","","",""
"Often","2004","Employed","(1c) basic vocational qualification","","","",""
"Often","2004","Employed","(2b) intermediate general qualification","","","",""
"Often","2004","Employed","(2a) intermediate vocational","","","",""
"Often","2004","Employed","(2c_gen) general maturity certificate","","","",""
"Often","2004","Employed","(2c_voc) vocational maturity certificate","","","",""
"Often","2004","Employed","(3a) lower tertiary education","","","",""
"Often","2004","Employed","(3b) higher tertiary education","","","",""
"Sometimes","2004","Not Employed","(0) in school","","","",""
"Sometimes","2004","Not Employed","(1a) inadequately completed","","","",""
"Sometimes","2004","Not Employed","(1b) general elementary school","","","",""
"Sometimes","2004","Not Employed","(1c) basic vocational qualification","","","",""
"Sometimes","2004","Not Employed","(2b) intermediate general qualification","","","",""
"Sometimes","2004","Not Employed","(2a) intermediate vocational","","","",""
"Sometimes","2004","Not Employed","(2c_gen) general maturity certificate","","","",""
"Sometimes","2004","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2004","Not Employed","(3a) lower tertiary education","","","",""
"Sometimes","2004","Not Employed","(3b) higher tertiary education","","","",""
"Sometimes","2004","Employed","(0) in school","","","",""
"Sometimes","2004","Employed","(1a) inadequately completed","","","",""
"Sometimes","2004","Employed","(1b) general elementary school","","","",""
"Sometimes","2004","Employed","(1c) basic vocational qualification","","","",""
"Sometimes","2004","Employed","(2b) intermediate general qualification","","","",""
"Sometimes","2004","Employed","(2a) intermediate vocational","","","",""
"Sometimes","2004","Employed","(2c_gen) general maturity certificate","","","",""
"Sometimes","2004","Employed","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2004","Employed","(3a) lower tertiary education","","","",""
"Sometimes","2004","Employed","(3b) higher tertiary education","","","",""
"Rarely","2004","Not Employed","(0) in school","","","",""
"Rarely","2004","Not Employed","(1a) inadequately completed","","","",""
"Rarely","2004","Not Employed","(1b) general elementary school","","","",""
"Rarely","2004","Not Employed","(1c) basic vocational qualification","","","",""
"Rarely","2004","Not Employed","(2b) intermediate general qualification","","","",""
"Rarely","2004","Not Employed","(2a) intermediate vocational","","","",""
"Rarely","2004","Not Employed","(2c_gen) general maturity certificate","","","",""
"Rarely","2004","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2004","Not Employed","(3a) lower tertiary education","","","",""
"Rarely","2004","Not Employed","(3b) higher tertiary education","","","",""
"Rarely","2004","Employed","(0) in school","","","",""
"Rarely","2004","Employed","(1a) inadequately completed","","","",""
"Rarely","2004","Employed","(1b) general elementary school","","","",""
"Rarely","2004","Employed","(1c) basic vocational qualification","","","",""
"Rarely","2004","Employed","(2b) intermediate general qualification","","","",""
"Rarely","2004","Employed","(2a) intermediate vocational","","","",""
"Rarely","2004","Employed","(2c_gen) general maturity certificate","","","",""
"Rarely","2004","Employed","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2004","Employed","(3a) lower tertiary education","","","",""
"Rarely","2004","Employed","(3b) higher tertiary education","","","",""
"Never","2004","Not Employed","(0) in school","","","",""
