"pld0045","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2003","1-pers.-HH","Male","65","0.053775423354406","0.0413546449246623","0.0661962017841497"
"Very often","2003","1-pers.-HH","Female","88","0.0475007436750254","0.0374308424786974","0.0575706448713534"
"Very often","2003","(Married) couple without C. ","Male","127","0.0343057685172977","0.0283781907146509","0.0402333463199445"
"Very often","2003","(Married) couple without C. ","Female","142","0.039531350159653","0.0332159913304498","0.0458467089888561"
"Very often","2003","Single parent ","Male","17","","",""
"Very often","2003","Single parent ","Female","39","0.0511270128236427","0.0355088242249019","0.0667452014223835"
"Very often","2003","Couple + C. LE 16 ","Male","94","0.0395653346009719","0.031335032273659","0.0477956369282847"
"Very often","2003","Couple + C. LE 16 ","Female","159","0.0758953838286017","0.0648565811468939","0.0869341865103094"
"Very often","2003","Couple + C. GT 16 ","Male","79","0.042854239818761","0.0341274647252329","0.0515810149122892"
"Very often","2003","Couple + C. GT 16 ","Female","102","0.0606410791478513","0.0498235884495537","0.071458569846149"
"Very often","2003","Couple + C. LE and GT 16","Male","51","0.0537571669176277","0.0392696906199393","0.0682446432153161"
"Very often","2003","Couple + C. LE and GT 16","Female","53","0.0605511651413415","0.0449863975431535","0.0761159327395295"
"Often","2003","1-pers.-HH","Male","84","0.0599060178630169","0.0468388748057646","0.0729731609202692"
"Often","2003","1-pers.-HH","Female","105","0.0568175830443969","0.0458583059471468","0.067776860141647"
"Often","2003","(Married) couple without C. ","Male","247","0.0685082301909879","0.0602813579459646","0.0767351024360113"
"Often","2003","(Married) couple without C. ","Female","243","0.0579448434345878","0.0503724848194674","0.0655172020497081"
"Often","2003","Single parent ","Male","32","0.0821193310055529","0.0532740826775177","0.110964579333588"
"Often","2003","Single parent ","Female","82","0.118618665489883","0.0956909991416559","0.141546331838111"
"Often","2003","Couple + C. LE 16 ","Male","206","0.0904249126714807","0.0783164841837996","0.102533341159162"
"Often","2003","Couple + C. LE 16 ","Female","224","0.101574671472901","0.0889828827965938","0.114166460149208"
"Often","2003","Couple + C. GT 16 ","Male","179","0.0865235976953611","0.0744097029257076","0.0986374924650145"
"Often","2003","Couple + C. GT 16 ","Female","153","0.0728568731762494","0.0610771267023752","0.0846366196501236"
"Often","2003","Couple + C. LE and GT 16","Male","101","0.117360262642561","0.0966862144229838","0.138034310862137"
"Often","2003","Couple + C. LE and GT 16","Female","82","0.099261913314324","0.0797484028017731","0.118775423826875"
"Sometimes","2003","1-pers.-HH","Male","119","0.0989581034599623","0.0825159779934119","0.115400228926513"
"Sometimes","2003","1-pers.-HH","Female","127","0.0785136176912081","0.0657797703957588","0.0912474649866573"
"Sometimes","2003","(Married) couple without C. ","Male","307","0.0838441276962531","0.0748181370685219","0.0928701183239843"
"Sometimes","2003","(Married) couple without C. ","Female","312","0.0819667993925231","0.0730761436663823","0.0908574551186639"
"Sometimes","2003","Single parent ","Male","40","0.149202581606995","0.111769143285005","0.186636019928984"
"Sometimes","2003","Single parent ","Female","76","0.100004321726872","0.0787312106363339","0.121277432817411"
"Sometimes","2003","Couple + C. LE 16 ","Male","285","0.132257667500838","0.117954564181272","0.146560770820404"
"Sometimes","2003","Couple + C. LE 16 ","Female","282","0.147390277183524","0.132614059587015","0.162166494780034"
"Sometimes","2003","Couple + C. GT 16 ","Male","237","0.117078371120024","0.103224623890391","0.130932118349656"
"Sometimes","2003","Couple + C. GT 16 ","Female","205","0.108184811280533","0.0941065874437601","0.122263035117306"
"Sometimes","2003","Couple + C. LE and GT 16","Male","123","0.117295796956886","0.0966266728497085","0.137964921064063"
"Sometimes","2003","Couple + C. LE and GT 16","Female","120","0.122400817076172","0.101012082761309","0.143789551391035"
"Rarely","2003","1-pers.-HH","Male","209","0.168858931036584","0.148230833669554","0.189487028403614"
"Rarely","2003","1-pers.-HH","Female","225","0.118852369074281","0.103531939505367","0.134172798643195"
"Rarely","2003","(Married) couple without C. ","Male","610","0.163558902706743","0.151513296984345","0.175604508429141"
"Rarely","2003","(Married) couple without C. ","Female","574","0.1497664000308","0.138200965939361","0.16133183412224"
"Rarely","2003","Single parent ","Male","67","0.205884910254496","0.163402176861881","0.248367643647111"
"Rarely","2003","Single parent ","Female","131","0.177851126438269","0.15073641700121","0.204965835875329"
"Rarely","2003","Couple + C. LE 16 ","Male","479","0.225989685851388","0.208331660460396","0.243647711242381"
"Rarely","2003","Couple + C. LE 16 ","Female","418","0.178627553674273","0.162661484373718","0.194593622974828"
"Rarely","2003","Couple + C. GT 16 ","Male","438","0.191841641477481","0.17487532666632","0.208807956288641"
"Rarely","2003","Couple + C. GT 16 ","Female","347","0.177457561127222","0.160141317026358","0.194773805228086"
