"pld0045","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Never","2006","Full Time","East Germany","","","",""
"Never","2006","Part Time","West Germany","","","",""
"Never","2006","Part Time","East Germany","","","",""
"Never","2006","Not Working","West Germany","","","",""
"Never","2006","Not Working","East Germany","","","",""
"Very often","2007","Full Time","West Germany","","","",""
"Very often","2007","Full Time","East Germany","","","",""
"Very often","2007","Part Time","West Germany","","","",""
"Very often","2007","Part Time","East Germany","","","",""
"Very often","2007","Not Working","West Germany","","","",""
"Very often","2007","Not Working","East Germany","","","",""
"Often","2007","Full Time","West Germany","","","",""
"Often","2007","Full Time","East Germany","","","",""
"Often","2007","Part Time","West Germany","","","",""
"Often","2007","Part Time","East Germany","","","",""
"Often","2007","Not Working","West Germany","","","",""
"Often","2007","Not Working","East Germany","","","",""
"Sometimes","2007","Full Time","West Germany","","","",""
"Sometimes","2007","Full Time","East Germany","","","",""
"Sometimes","2007","Part Time","West Germany","","","",""
"Sometimes","2007","Part Time","East Germany","","","",""
"Sometimes","2007","Not Working","West Germany","","","",""
"Sometimes","2007","Not Working","East Germany","","","",""
"Rarely","2007","Full Time","West Germany","","","",""
"Rarely","2007","Full Time","East Germany","","","",""
"Rarely","2007","Part Time","West Germany","","","",""
"Rarely","2007","Part Time","East Germany","","","",""
"Rarely","2007","Not Working","West Germany","","","",""
"Rarely","2007","Not Working","East Germany","","","",""
"Never","2007","Full Time","West Germany","","","",""
"Never","2007","Full Time","East Germany","","","",""
"Never","2007","Part Time","West Germany","","","",""
"Never","2007","Part Time","East Germany","","","",""
"Never","2007","Not Working","West Germany","","","",""
"Never","2007","Not Working","East Germany","","","",""
"Very often","2008","Full Time","West Germany","352","0.0639127883110905","0.0575110763872125","0.0703145002349685"
"Very often","2008","Full Time","East Germany","88","0.0377207873463447","0.0290601605812895","0.0463814141113998"
"Very often","2008","Part Time","West Germany","231","0.0650284469636322","0.056826647951283","0.0732302459759814"
"Very often","2008","Part Time","East Germany","54","0.0549289583958585","0.040340439394463","0.0695174773972541"
"Very often","2008","Not Working","West Germany","217","0.0392957914005611","0.0341420854465699","0.0444494973545523"
"Very often","2008","Not Working","East Germany","73","0.0313947865842836","0.0236864884599538","0.0391030847086134"
"Often","2008","Full Time","West Germany","582","0.101357370963526","0.0934584955235982","0.109256246403454"
"Often","2008","Full Time","East Germany","150","0.0770919959449132","0.0649667027922047","0.0892172890976216"
"Often","2008","Part Time","West Germany","371","0.101300725273007","0.0912644698464696","0.111336980699544"
"Often","2008","Part Time","East Germany","99","0.103397385539103","0.0839019440396812","0.122892827038525"
"Often","2008","Not Working","West Germany","391","0.0768052887920844","0.0697422110445373","0.0838683665396314"
"Often","2008","Not Working","East Germany","136","0.0701376958257221","0.0588490615683334","0.0814263300831109"
"Sometimes","2008","Full Time","West Germany","639","0.112089550312951","0.103832760379759","0.120346340246143"
"Sometimes","2008","Full Time","East Germany","222","0.116188894584581","0.101621884085705","0.130755905083457"
"Sometimes","2008","Part Time","West Germany","445","0.129457543749431","0.118291048323738","0.140624039175125"
"Sometimes","2008","Part Time","East Germany","93","0.0897252620583159","0.0714264916376628","0.108024032478969"
"Sometimes","2008","Not Working","West Germany","435","0.0786323869473552","0.0714928676721974","0.085771906222513"
"Sometimes","2008","Not Working","East Germany","160","0.0774553199558502","0.0656391789528048","0.0892714609588955"
"Rarely","2008","Full Time","West Germany","1032","0.179250594935341","0.169211843992021","0.189289345878661"
"Rarely","2008","Full Time","East Germany","385","0.218285958177231","0.199508134684817","0.237063781669645"
"Rarely","2008","Part Time","West Germany","664","0.205696778756776","0.192251644600798","0.219141912912755"
"Rarely","2008","Part Time","East Germany","169","0.160348776844188","0.136854581046803","0.183842972641574"
"Rarely","2008","Not Working","West Germany","836","0.152004160406947","0.142481103755762","0.161527217058132"
"Rarely","2008","Not Working","East Germany","286","0.128164913181352","0.113388872447752","0.142940953914951"
"Never","2008","Full Time","West Germany","3003","0.543389695477092","0.530352846280765","0.556426544673419"
"Never","2008","Full Time","East Germany","1014","0.55071236394693","0.528100672879806","0.573324055014055"
"Never","2008","Part Time","West Germany","1761","0.498516505257154","0.481885200355736","0.515147810158572"
"Never","2008","Part Time","East Germany","522","0.591599617162534","0.560126822522922","0.623072411802146"
"Never","2008","Not Working","West Germany","3581","0.653262372453052","0.640638398836148","0.665886346069957"
"Never","2008","Not Working","East Germany","1311","0.692847284452792","0.672455638906973","0.713238929998611"
"Very often","2009","Full Time","West Germany","","","",""
"Very often","2009","Full Time","East Germany","","","",""
"Very often","2009","Part Time","West Germany","","","",""
"Very often","2009","Part Time","East Germany","","","",""
"Very often","2009","Not Working","West Germany","","","",""
"Very often","2009","Not Working","East Germany","","","",""
"Often","2009","Full Time","West Germany","","","",""
"Often","2009","Full Time","East Germany","","","",""
"Often","2009","Part Time","West Germany","","","",""
"Often","2009","Part Time","East Germany","","","",""
"Often","2009","Not Working","West Germany","","","",""
"Often","2009","Not Working","East Germany","","","",""
"Sometimes","2009","Full Time","West Germany","","","",""
"Sometimes","2009","Full Time","East Germany","","","",""
"Sometimes","2009","Part Time","West Germany","","","",""
"Sometimes","2009","Part Time","East Germany","","","",""
"Sometimes","2009","Not Working","West Germany","","","",""
"Sometimes","2009","Not Working","East Germany","","","",""
"Rarely","2009","Full Time","West Germany","","","",""
"Rarely","2009","Full Time","East Germany","","","",""
"Rarely","2009","Part Time","West Germany","","","",""
"Rarely","2009","Part Time","East Germany","","","",""
"Rarely","2009","Not Working","West Germany","","","",""
"Rarely","2009","Not Working","East Germany","","","",""
"Never","2009","Full Time","West Germany","","","",""
"Never","2009","Full Time","East Germany","","","",""
"Never","2009","Part Time","West Germany","","","",""
"Never","2009","Part Time","East Germany","","","",""
"Never","2009","Not Working","West Germany","","","",""
"Never","2009","Not Working","East Germany","","","",""
"Very often","2010","Full Time","West Germany","","","",""
"Very often","2010","Full Time","East Germany","","","",""
"Very often","2010","Part Time","West Germany","","","",""
"Very often","2010","Part Time","East Germany","","","",""
"Very often","2010","Not Working","West Germany","","","",""
"Very often","2010","Not Working","East Germany","","","",""
"Often","2010","Full Time","West Germany","","","",""
"Often","2010","Full Time","East Germany","","","",""
"Often","2010","Part Time","West Germany","","","",""
"Often","2010","Part Time","East Germany","","","",""
"Often","2010","Not Working","West Germany","","","",""
"Often","2010","Not Working","East Germany","","","",""
"Sometimes","2010","Full Time","West Germany","","","",""
"Sometimes","2010","Full Time","East Germany","","","",""
"Sometimes","2010","Part Time","West Germany","","","",""
"Sometimes","2010","Part Time","East Germany","","","",""
"Sometimes","2010","Not Working","West Germany","","","",""
"Sometimes","2010","Not Working","East Germany","","","",""
"Rarely","2010","Full Time","West Germany","","","",""
"Rarely","2010","Full Time","East Germany","","","",""
"Rarely","2010","Part Time","West Germany","","","",""
"Rarely","2010","Part Time","East Germany","","","",""
"Rarely","2010","Not Working","West Germany","","","",""
"Rarely","2010","Not Working","East Germany","","","",""
"Never","2010","Full Time","West Germany","","","",""
"Never","2010","Full Time","East Germany","","","",""
"Never","2010","Part Time","West Germany","","","",""
"Never","2010","Part Time","East Germany","","","",""
"Never","2010","Not Working","West Germany","","","",""
"Never","2010","Not Working","East Germany","","","",""
"Very often","2011","Full Time","West Germany","","","",""
"Very often","2011","Full Time","East Germany","","","",""
"Very often","2011","Part Time","West Germany","","","",""
"Very often","2011","Part Time","East Germany","","","",""
"Very often","2011","Not Working","West Germany","","","",""
"Very often","2011","Not Working","East Germany","","","",""
"Often","2011","Full Time","West Germany","","","",""
"Often","2011","Full Time","East Germany","","","",""
"Often","2011","Part Time","West Germany","","","",""
"Often","2011","Part Time","East Germany","","","",""
"Often","2011","Not Working","West Germany","","","",""
"Often","2011","Not Working","East Germany","","","",""
"Sometimes","2011","Full Time","West Germany","","","",""
"Sometimes","2011","Full Time","East Germany","","","",""
"Sometimes","2011","Part Time","West Germany","","","",""
"Sometimes","2011","Part Time","East Germany","","","",""
"Sometimes","2011","Not Working","West Germany","","","",""
"Sometimes","2011","Not Working","East Germany","","","",""
"Rarely","2011","Full Time","West Germany","","","",""
"Rarely","2011","Full Time","East Germany","","","",""
"Rarely","2011","Part Time","West Germany","","","",""
"Rarely","2011","Part Time","East Germany","","","",""
"Rarely","2011","Not Working","West Germany","","","",""
"Rarely","2011","Not Working","East Germany","","","",""
"Never","2011","Full Time","West Germany","","","",""
"Never","2011","Full Time","East Germany","","","",""
"Never","2011","Part Time","West Germany","","","",""
"Never","2011","Part Time","East Germany","","","",""
"Never","2011","Not Working","West Germany","","","",""
"Never","2011","Not Working","East Germany","","","",""
"Very often","2012","Full Time","West Germany","","","",""
"Very often","2012","Full Time","East Germany","","","",""
"Very often","2012","Part Time","West Germany","","","",""
"Very often","2012","Part Time","East Germany","","","",""
"Very often","2012","Not Working","West Germany","","","",""
"Very often","2012","Not Working","East Germany","","","",""
"Often","2012","Full Time","West Germany","","","",""
"Often","2012","Full Time","East Germany","","","",""
"Often","2012","Part Time","West Germany","","","",""
"Often","2012","Part Time","East Germany","","","",""
"Often","2012","Not Working","West Germany","","","",""
"Often","2012","Not Working","East Germany","","","",""
"Sometimes","2012","Full Time","West Germany","","","",""
"Sometimes","2012","Full Time","East Germany","","","",""
"Sometimes","2012","Part Time","West Germany","","","",""
"Sometimes","2012","Part Time","East Germany","","","",""
"Sometimes","2012","Not Working","West Germany","","","",""
"Sometimes","2012","Not Working","East Germany","","","",""
"Rarely","2012","Full Time","West Germany","","","",""
"Rarely","2012","Full Time","East Germany","","","",""
"Rarely","2012","Part Time","West Germany","","","",""
"Rarely","2012","Part Time","East Germany","","","",""
"Rarely","2012","Not Working","West Germany","","","",""
"Rarely","2012","Not Working","East Germany","","","",""
"Never","2012","Full Time","West Germany","","","",""
"Never","2012","Full Time","East Germany","","","",""
"Never","2012","Part Time","West Germany","","","",""
"Never","2012","Part Time","East Germany","","","",""
"Never","2012","Not Working","West Germany","","","",""
"Never","2012","Not Working","East Germany","","","",""
"Very often","2013","Full Time","West Germany","556","0.0615103858897155","0.0560383971076842","0.0669823746717468"
"Very often","2013","Full Time","East Germany","96","0.0415937667575828","0.0332507005217653","0.0499368329934003"
"Very often","2013","Part Time","West Germany","522","0.0734161186935033","0.0666664632952362","0.0801657740917704"
"Very often","2013","Part Time","East Germany","79","0.0512487240807476","0.0395209410904548","0.0629765070710403"
"Very often","2013","Not Working","West Germany","362","0.0465655438807318","0.0414852266105819","0.0516458611508818"
"Very often","2013","Not Working","East Germany","91","0.0341738943728183","0.0265158663266624","0.0418319224189742"
"Often","2013","Full Time","West Germany","944","0.109174645534507","0.102072109969107","0.116277181099908"
"Often","2013","Full Time","East Germany","244","0.110171703378008","0.0970881747563275","0.123255231999689"
"Often","2013","Part Time","West Germany","792","0.116453207792278","0.108152138770841","0.124754276813715"
"Often","2013","Part Time","East Germany","137","0.0857298316378076","0.0708395995769527","0.100620063698662"
"Often","2013","Not Working","West Germany","591","0.0789662015566418","0.0724638345006741","0.0854685686126095"
"Often","2013","Not Working","East Germany","140","0.0588136116218074","0.0488962308110458","0.0687309924325691"
"Sometimes","2013","Full Time","West Germany","909","0.108566685258695","0.101481536769352","0.115651833748039"
"Sometimes","2013","Full Time","East Germany","243","0.10691505227596","0.0940027833739841","0.119827321177936"
"Sometimes","2013","Part Time","West Germany","734","0.117987008505708","0.109638707381875","0.12633530962954"
"Sometimes","2013","Part Time","East Germany","157","0.112914696460594","0.0960819053545576","0.129747487566631"
"Sometimes","2013","Not Working","West Germany","610","0.0898542104925081","0.082959154896522","0.0967492660884941"
"Sometimes","2013","Not Working","East Germany","208","0.0972909184278147","0.0847989665194692","0.10978287033616"
"Rarely","2013","Full Time","West Germany","1435","0.200258676409631","0.191144305957705","0.209373046861556"
"Rarely","2013","Full Time","East Germany","454","0.189199962423905","0.172833525028069","0.205566399819741"
"Rarely","2013","Part Time","West Germany","1029","0.1908564519394","0.180686714736735","0.201026189142066"
"Rarely","2013","Part Time","East Germany","243","0.20650200907103","0.184972542853712","0.228031475288347"
"Rarely","2013","Not Working","West Germany","1049","0.155460190663672","0.146723786145217","0.164196595182127"
"Rarely","2013","Not Working","East Germany","366","0.162990428946942","0.147421221345371","0.178559636548513"
"Never","2013","Full Time","West Germany","3562","0.520489606907451","0.509111728703574","0.531867485111329"
"Never","2013","Full Time","East Germany","1163","0.552119515164544","0.531340049798874","0.572898980530215"
"Never","2013","Part Time","West Germany","2659","0.501287213069111","0.488347874257715","0.514226551880506"
"Never","2013","Part Time","East Germany","742","0.543604738749821","0.517113004715631","0.570096472784011"
"Never","2013","Not Working","West Germany","3996","0.629153853406446","0.617507542233773","0.640800164579118"
"Never","2013","Not Working","East Germany","1357","0.646731146630617","0.626583013625822","0.666879279635412"
"Very often","2014","Full Time","West Germany","","","",""
"Very often","2014","Full Time","East Germany","","","",""
"Very often","2014","Part Time","West Germany","","","",""
"Very often","2014","Part Time","East Germany","","","",""
"Very often","2014","Not Working","West Germany","","","",""
"Very often","2014","Not Working","East Germany","","","",""
"Often","2014","Full Time","West Germany","","","",""
"Often","2014","Full Time","East Germany","","","",""
"Often","2014","Part Time","West Germany","","","",""
"Often","2014","Part Time","East Germany","","","",""
"Often","2014","Not Working","West Germany","","","",""
"Often","2014","Not Working","East Germany","","","",""
"Sometimes","2014","Full Time","West Germany","","","",""
"Sometimes","2014","Full Time","East Germany","","","",""
"Sometimes","2014","Part Time","West Germany","","","",""
"Sometimes","2014","Part Time","East Germany","","","",""
"Sometimes","2014","Not Working","West Germany","","","",""
"Sometimes","2014","Not Working","East Germany","","","",""
"Rarely","2014","Full Time","West Germany","","","",""
"Rarely","2014","Full Time","East Germany","","","",""
"Rarely","2014","Part Time","West Germany","","","",""
"Rarely","2014","Part Time","East Germany","","","",""
"Rarely","2014","Not Working","West Germany","","","",""
"Rarely","2014","Not Working","East Germany","","","",""
"Never","2014","Full Time","West Germany","","","",""
"Never","2014","Full Time","East Germany","","","",""
"Never","2014","Part Time","West Germany","","","",""
"Never","2014","Part Time","East Germany","","","",""
"Never","2014","Not Working","West Germany","","","",""
"Never","2014","Not Working","East Germany","","","",""
"Very often","2015","Full Time","West Germany","","","",""
"Very often","2015","Full Time","East Germany","","","",""
"Very often","2015","Part Time","West Germany","","","",""
"Very often","2015","Part Time","East Germany","","","",""
"Very often","2015","Not Working","West Germany","","","",""
"Very often","2015","Not Working","East Germany","","","",""
"Often","2015","Full Time","West Germany","","","",""
"Often","2015","Full Time","East Germany","","","",""
"Often","2015","Part Time","West Germany","","","",""
"Often","2015","Part Time","East Germany","","","",""
"Often","2015","Not Working","West Germany","","","",""
"Often","2015","Not Working","East Germany","","","",""
"Sometimes","2015","Full Time","West Germany","","","",""
"Sometimes","2015","Full Time","East Germany","","","",""
"Sometimes","2015","Part Time","West Germany","","","",""
"Sometimes","2015","Part Time","East Germany","","","",""
"Sometimes","2015","Not Working","West Germany","","","",""
"Sometimes","2015","Not Working","East Germany","","","",""
"Rarely","2015","Full Time","West Germany","","","",""
"Rarely","2015","Full Time","East Germany","","","",""
"Rarely","2015","Part Time","West Germany","","","",""
"Rarely","2015","Part Time","East Germany","","","",""
"Rarely","2015","Not Working","West Germany","","","",""
"Rarely","2015","Not Working","East Germany","","","",""
"Never","2015","Full Time","West Germany","","","",""
"Never","2015","Full Time","East Germany","","","",""
"Never","2015","Part Time","West Germany","","","",""
"Never","2015","Part Time","East Germany","","","",""
"Never","2015","Not Working","West Germany","","","",""
"Never","2015","Not Working","East Germany","","","",""
"Very often","2016","Full Time","West Germany","","","",""
"Very often","2016","Full Time","East Germany","","","",""
"Very often","2016","Part Time","West Germany","","","",""
"Very often","2016","Part Time","East Germany","","","",""
"Very often","2016","Not Working","West Germany","","","",""
"Very often","2016","Not Working","East Germany","","","",""
"Often","2016","Full Time","West Germany","","","",""
"Often","2016","Full Time","East Germany","","","",""
"Often","2016","Part Time","West Germany","","","",""
"Often","2016","Part Time","East Germany","","","",""
"Often","2016","Not Working","West Germany","","","",""
"Often","2016","Not Working","East Germany","","","",""
"Sometimes","2016","Full Time","West Germany","","","",""
"Sometimes","2016","Full Time","East Germany","","","",""
"Sometimes","2016","Part Time","West Germany","","","",""
"Sometimes","2016","Part Time","East Germany","","","",""
"Sometimes","2016","Not Working","West Germany","","","",""
"Sometimes","2016","Not Working","East Germany","","","",""
"Rarely","2016","Full Time","West Germany","","","",""
"Rarely","2016","Full Time","East Germany","","","",""
"Rarely","2016","Part Time","West Germany","","","",""
"Rarely","2016","Part Time","East Germany","","","",""
"Rarely","2016","Not Working","West Germany","","","",""
"Rarely","2016","Not Working","East Germany","","","",""
"Never","2016","Full Time","West Germany","","","",""
"Never","2016","Full Time","East Germany","","","",""
"Never","2016","Part Time","West Germany","","","",""
"Never","2016","Part Time","East Germany","","","",""
"Never","2016","Not Working","West Germany","","","",""
"Never","2016","Not Working","East Germany","","","",""
"Very often","2017","Full Time","West Germany","","","",""
"Very often","2017","Full Time","East Germany","","","",""
"Very often","2017","Part Time","West Germany","","","",""
"Very often","2017","Part Time","East Germany","","","",""
"Very often","2017","Not Working","West Germany","","","",""
"Very often","2017","Not Working","East Germany","","","",""
"Often","2017","Full Time","West Germany","","","",""
"Often","2017","Full Time","East Germany","","","",""
"Often","2017","Part Time","West Germany","","","",""
"Often","2017","Part Time","East Germany","","","",""
"Often","2017","Not Working","West Germany","","","",""
"Often","2017","Not Working","East Germany","","","",""
"Sometimes","2017","Full Time","West Germany","","","",""
"Sometimes","2017","Full Time","East Germany","","","",""
"Sometimes","2017","Part Time","West Germany","","","",""
"Sometimes","2017","Part Time","East Germany","","","",""
"Sometimes","2017","Not Working","West Germany","","","",""
"Sometimes","2017","Not Working","East Germany","","","",""
"Rarely","2017","Full Time","West Germany","","","",""
"Rarely","2017","Full Time","East Germany","","","",""
"Rarely","2017","Part Time","West Germany","","","",""
"Rarely","2017","Part Time","East Germany","","","",""
"Rarely","2017","Not Working","West Germany","","","",""
"Rarely","2017","Not Working","East Germany","","","",""
"Never","2017","Full Time","West Germany","","","",""
"Never","2017","Full Time","East Germany","","","",""
"Never","2017","Part Time","West Germany","","","",""
"Never","2017","Part Time","East Germany","","","",""
"Never","2017","Not Working","West Germany","","","",""
"Never","2017","Not Working","East Germany","","","",""
"Very often","2018","Full Time","West Germany","589","0.0686674731132767","0.0630321635369622","0.0743027826895911"
"Very often","2018","Full Time","East Germany","121","0.0531269747562495","0.0436771690732755","0.0625767804392235"
"Very often","2018","Part Time","West Germany","566","0.0867741005723621","0.0797494475703434","0.0937987535743807"
"Very often","2018","Part Time","East Germany","81","0.061270631204964","0.0484727375798047","0.0740685248301233"
"Very often","2018","Not Working","West Germany","358","0.052316610618766","0.0467959091547108","0.0578373120828213"
"Very often","2018","Not Working","East Germany","84","0.0390753613566325","0.0305638118992548","0.0475869108140102"
"Often","2018","Full Time","West Germany","866","0.106810390073143","0.0999275378966495","0.113693242249637"
"Often","2018","Full Time","East Germany","225","0.0969315745898164","0.0844659964438828","0.10939715273575"
"Often","2018","Part Time","West Germany","731","0.113846756135948","0.105920730876861","0.121772781395035"
"Often","2018","Part Time","East Germany","146","0.115904117622883","0.0988220186964963","0.132986216549269"
"Often","2018","Not Working","West Germany","533","0.075691617070508","0.0691335603825702","0.0822496737584459"
"Often","2018","Not Working","East Germany","139","0.0665925314927522","0.0556413529603176","0.0775437100251869"
"Sometimes","2018","Full Time","West Germany","916","0.122302547408018","0.115001586368702","0.129603508447334"
"Sometimes","2018","Full Time","East Germany","249","0.110384488225899","0.0971814262929288","0.123587550158868"
"Sometimes","2018","Part Time","West Germany","743","0.120017261182376","0.111907657353752","0.128126865011001"
"Sometimes","2018","Part Time","East Germany","149","0.106728996954297","0.090252118109889","0.123205875798705"
"Sometimes","2018","Not Working","West Germany","585","0.0975921323810218","0.0902342698604414","0.104949994901602"
"Sometimes","2018","Not Working","East Germany","171","0.0774828130085253","0.0657391823595686","0.0892264436574821"
"Rarely","2018","Full Time","West Germany","1379","0.191660647252566","0.18288956473471","0.200431729770422"
"Rarely","2018","Full Time","East Germany","367","0.16702643376727","0.151310952805603","0.182741914728937"
"Rarely","2018","Part Time","West Germany","1074","0.175653196301864","0.166157567839685","0.185148824764043"
"Rarely","2018","Part Time","East Germany","218","0.148624286616427","0.129642038912582","0.167606534320273"
"Rarely","2018","Not Working","West Germany","1000","0.164092965397154","0.154910341423409","0.173275589370899"
"Rarely","2018","Not Working","East Germany","270","0.133629478963127","0.11868380748207","0.148575150444185"
"Never","2018","Full Time","West Germany","3986","0.510558942152996","0.499419511270579","0.521698373035413"
"Never","2018","Full Time","East Germany","1202","0.572530528660765","0.551686995409492","0.593374061912039"
"Never","2018","Part Time","West Germany","3055","0.50370868580745","0.491232013664143","0.516185357950756"
"Never","2018","Part Time","East Germany","755","0.567471967601429","0.541034402607907","0.59390953259495"
"Never","2018","Not Working","West Germany","3773","0.61030667453255","0.59821522487096","0.62239812419414"
