"pld0045","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Full Time","Urban Area","251","0.0408758856932088","0.035824395880103","0.0459273755063146"
"Very often","2003","Full Time","Rural Area","140","0.0517334624433307","0.0437798609897837","0.0596870638968777"
"Very often","2003","Part Time","Urban Area","224","0.0637033911882402","0.0556548242115478","0.0717519581649327"
"Very often","2003","Part Time","Rural Area","106","0.0729236407249452","0.0601151028079388","0.0857321786419516"
"Very often","2003","Not Working","Urban Area","211","0.0388509621029532","0.0336978800487573","0.044004044157149"
"Very often","2003","Not Working","Rural Area","122","0.0439846809452951","0.0363093428594327","0.0516600190311574"
"Often","2003","Full Time","Urban Area","502","0.0855634817658157","0.07842724100965","0.0926997225219814"
"Often","2003","Full Time","Rural Area","310","0.0994730674541691","0.088725406748482","0.110220728159856"
"Often","2003","Part Time","Urban Area","308","0.0800355474998054","0.0710930764170754","0.0889780185825353"
"Often","2003","Part Time","Rural Area","163","0.106407774159408","0.0912175562563476","0.121597992062468"
"Often","2003","Not Working","Urban Area","314","0.0522195065999893","0.0462869612582935","0.0581520519416852"
"Often","2003","Not Working","Rural Area","195","0.0697185595854278","0.0601863024944004","0.0792508166764552"
"Sometimes","2003","Full Time","Urban Area","593","0.0980443907809278","0.0904576988984733","0.105631082663382"
"Sometimes","2003","Full Time","Rural Area","413","0.12863928184257","0.116616675376766","0.140661888308373"
"Sometimes","2003","Part Time","Urban Area","405","0.124828312723554","0.113935657915132","0.135720967531976"
"Sometimes","2003","Part Time","Rural Area","201","0.135400103479414","0.118545260097865","0.152254946860964"
"Sometimes","2003","Not Working","Urban Area","405","0.0737802717279629","0.0668092258674292","0.0807513175884967"
"Sometimes","2003","Not Working","Rural Area","290","0.104681309065097","0.093222545359848","0.116140072770347"
"Rarely","2003","Full Time","Urban Area","1130","0.192272565700071","0.182218549835805","0.202326581564337"
"Rarely","2003","Full Time","Rural Area","689","0.219753742329927","0.204884226539792","0.234623258120063"
"Rarely","2003","Part Time","Urban Area","615","0.168230239307743","0.155902479724468","0.180557998891018"
"Rarely","2003","Part Time","Rural Area","337","0.1998972527354","0.180196449786161","0.219598055684639"
"Rarely","2003","Not Working","Urban Area","717","0.131573106662241","0.122559035178741","0.140587178145741"
"Rarely","2003","Not Working","Rural Area","460","0.155948684362215","0.142369000831603","0.169528367892827"
"Never","2003","Full Time","Urban Area","3426","0.583243676059977","0.570665588692111","0.595821763427842"
"Never","2003","Full Time","Rural Area","1427","0.500400445930003","0.482445557762149","0.518355334097858"
"Never","2003","Part Time","Urban Area","1985","0.563202509280658","0.546856832043615","0.579548186517701"
"Never","2003","Part Time","Rural Area","776","0.485371228900833","0.460751023067261","0.509991434734405"
"Never","2003","Not Working","Urban Area","3755","0.703576152906853","0.691397957836639","0.715754347977067"
"Never","2003","Not Working","Rural Area","1675","0.625666766041965","0.607552735220994","0.643780796862936"
"Very often","2004","Full Time","Urban Area","","","",""
"Very often","2004","Full Time","Rural Area","","","",""
"Very often","2004","Part Time","Urban Area","","","",""
"Very often","2004","Part Time","Rural Area","","","",""
"Very often","2004","Not Working","Urban Area","","","",""
"Very often","2004","Not Working","Rural Area","","","",""
"Often","2004","Full Time","Urban Area","","","",""
"Often","2004","Full Time","Rural Area","","","",""
"Often","2004","Part Time","Urban Area","","","",""
"Often","2004","Part Time","Rural Area","","","",""
"Often","2004","Not Working","Urban Area","","","",""
