"pld0045","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Very often","2003","1-pers.-HH","Urban Area","107","0.0508230431931007","0.0414977972977679","0.0601482890884335"
"Very often","2003","1-pers.-HH","Rural Area","46","0.0485018690871906","0.0340600521557663","0.062943686018615"
"Very often","2003","(Married) couple without C. ","Urban Area","179","0.0358543234380041","0.0306553595126191","0.0410532873633891"
"Very often","2003","(Married) couple without C. ","Rural Area","90","0.0390306317066764","0.0312269727126673","0.0468342907006856"
"Very often","2003","Single parent ","Urban Area","39","0.0483520731627282","0.0328337152594034","0.0638704310660531"
"Very often","2003","Single parent ","Rural Area","17","","",""
"Very often","2003","Couple + C. LE 16 ","Urban Area","164","0.0489716704361208","0.0412401676147154","0.0567031732575262"
"Very often","2003","Couple + C. LE 16 ","Rural Area","89","0.0757315356888683","0.0617372649451028","0.0897258064326338"
"Very often","2003","Couple + C. GT 16 ","Urban Area","100","0.0466480181699049","0.0383281058591988","0.0549679304806111"
"Very often","2003","Couple + C. GT 16 ","Rural Area","81","0.0589037074076303","0.0468719213475819","0.0709354934676788"
"Very often","2003","Couple + C. LE and GT 16","Urban Area","73","0.0567032817044609","0.0435850835548216","0.0698214798541003"
"Very often","2003","Couple + C. LE and GT 16","Rural Area","31","0.057451413388115","0.0394087812786857","0.0754940454975442"
"Often","2003","1-pers.-HH","Urban Area","137","0.0590671715733976","0.0490577549976028","0.0690765881491925"
"Often","2003","1-pers.-HH","Rural Area","52","0.0556063494557153","0.0402007944220863","0.0710119044893442"
"Often","2003","(Married) couple without C. ","Urban Area","306","0.0568317040434074","0.0503578240454327","0.0633055840413821"
"Often","2003","(Married) couple without C. ","Rural Area","184","0.0775767707080564","0.0667979391526369","0.088355602263476"
"Often","2003","Single parent ","Urban Area","75","0.10592432949309","0.08366125900337","0.128187399982811"
"Often","2003","Single parent ","Rural Area","39","0.110598101072926","0.0789807812404335","0.142215420905419"
"Often","2003","Couple + C. LE 16 ","Urban Area","274","0.0872511955947046","0.0771410813687861","0.097361309820623"
