"pld0045","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Part Time","indirect migration background","129","0.548282102136758","0.483255282210004","0.613308922063512","5"
"Never","2003","Full Time","no migration background","4097","0.551037875747862","0.539889845879002","0.562185905616723","5"
"Never","2003","Full Time","direct migration background","577","0.592663957244912","0.560966244985028","0.624361669504795","5"
"Never","2003","Part Time","no migration background","2229","0.52948373288885","0.514486472179356","0.544480993598343","5"
"Never","2003","Part Time","direct migration background","403","0.595355514429138","0.557329298720324","0.633381730137952","5"
"Never","2003","Full Time","indirect migration background","179","0.596497316704725","0.541972356502787","0.651022276906664","5"
"Never","2003","Not Working","no migration background","4565","0.680846930052342","0.669804773540684","0.691889086564001","5"
"Never","2003","Not Working","direct migration background","709","0.682290370488071","0.654182522534762","0.71039821844138","5"
"Never","2003","Not Working","indirect migration background","156","0.609049368195115","0.547822733951395","0.670276002438834","5"
"Often","2003","Full Time","direct migration background","69","0.081816001217316","0.0641340077726493","0.0994979946619827","2"
"Often","2003","Full Time","no migration background","715","0.09028712090583","0.0838636816765937","0.0967105601350662","2"
"Often","2003","Part Time","no migration background","402","0.0872655135306428","0.0787855914200731","0.0957454356412125","2"
"Often","2003","Part Time","direct migration background","44","0.08140345639689","0.0602177997114749","0.102589113082305","2"
"Often","2003","Full Time","indirect migration background","28","","","","2"
"Often","2003","Part Time","indirect migration background","25","","","","2"
"Often","2003","Not Working","direct migration background","67","0.0561409755019298","0.042243966808484","0.0700379841953755","2"
"Often","2003","Not Working","indirect migration background","9","","","","2"
"Often","2003","Not Working","no migration background","433","0.0579418769639507","0.0524075505173762","0.0634762034105252","2"
"Rarely","2003","Full Time","no migration background","1598","0.200275534481297","0.191305653370829","0.209245415591766","4"
"Rarely","2003","Full Time","direct migration background","147","0.199650426761186","0.173862156035971","0.2254386974864","4"
"Rarely","2003","Full Time","indirect migration background","74","0.220162521819582","0.174111248429048","0.266213795210116","4"
"Rarely","2003","Part Time","no migration background","836","0.186072326490761","0.174379160627555","0.197765492353966","4"
"Rarely","2003","Part Time","direct migration background","79","0.135394555646883","0.108887121715008","0.161901989578759","4"
"Rarely","2003","Part Time","indirect migration background","37","0.161045487285041","0.11301684397299","0.209074130597091","4"
"Rarely","2003","Not Working","no migration background","992","0.137726130124433","0.129562930278238","0.145889329970628","4"
"Rarely","2003","Not Working","direct migration background","144","0.144937029448008","0.123684211933542","0.166189846962474","4"
"Rarely","2003","Not Working","indirect migration background","41","0.157975389979607","0.112212832395878","0.203737947563337","4"
"Sometimes","2003","Full Time","direct migration background","92","0.0902797880691067","0.0717915115557782","0.108768064582435","3"
"Sometimes","2003","Part Time","indirect migration background","18","","","","3"
"Sometimes","2003","Not Working","no migration background","583","0.0848953023202717","0.0782928257970611","0.0914977788434822","3"
"Sometimes","2003","Full Time","no migration background","896","0.112336048790275","0.105258442346454","0.119413655234095","3"
"Sometimes","2003","Full Time","indirect migration background","18","","","","3"
"Sometimes","2003","Part Time","no migration background","513","0.130560266621412","0.120436932646152","0.140683600596672","3"
"Sometimes","2003","Part Time","direct migration background","75","0.128317230839625","0.102406490388213","0.154227971291038","3"
"Sometimes","2003","Not Working","direct migration background","90","0.0736931457432537","0.0579199834370669","0.0894663080494405","3"
"Sometimes","2003","Not Working","indirect migration background","22","","","","3"
"Very often","2003","Full Time","no migration background","341","0.0460634200747356","0.0413651239373822","0.0507617162120891","1"
"Very often","2003","Full Time","direct migration background","38","0.0355898267074799","0.0236378133818801","0.0475418400330797","1"
"Very often","2003","Full Time","indirect migration background","12","","","","1"
"Very often","2003","Part Time","no migration background","275","0.066618160468335","0.0591257027581136","0.0741106181785564","1"
"Very often","2003","Part Time","direct migration background","39","0.0595292426874633","0.0411978301531905","0.0778606552217362","1"
"Very often","2003","Part Time","indirect migration background","16","","","","1"
"Very often","2003","Not Working","no migration background","273","0.0385897605390021","0.0340270800543006","0.0431524410237036","1"
"Very often","2003","Not Working","direct migration background","44","0.0429384788187372","0.030700180346053","0.0551767772914214","1"
"Very often","2003","Not Working","indirect migration background","16","","","","1"
"Never","2004","Full Time","indirect migration background","","","","","5"
"Never","2004","Part Time","direct migration background","","","","","5"
"Never","2004","Part Time","no migration background","","","","","5"
