"pld0045","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","1-pers.-HH","1959","0.663879847332322","0.646922452910413","0.680837241754231","5"
"Never","2003","(Married) couple without C. ","4717","0.66002549363165","0.649143317206063","0.670907670057236","5"
"Never","2003","Single parent ","628","0.543315129079661","0.51403790417711","0.572592353982212","5"
"Never","2003","Couple + C. LE 16 ","2219","0.504410791462892","0.489580170667884","0.519241412257899","5"
"Never","2003","Couple + C. GT 16 ","2199","0.570606110278045","0.555148183717959","0.586064036838131","5"
"Never","2003","Couple + C. LE and GT 16","950","0.511916700913817","0.489033673469597","0.534799728358038","5"
"Often","2003","Single parent ","114","0.10732713201804","0.089134454259337","0.125519809776742","2"
"Often","2003","1-pers.-HH","189","0.058150088977808","0.0497490471823188","0.0665511307732972","2"
"Often","2003","(Married) couple without C. ","490","0.0633579253869569","0.0577616440826341","0.0689542066912798","2"
"Often","2003","Couple + C. GT 16 ","332","0.0801716304468555","0.0716911812149187","0.0886520796787924","2"
"Often","2003","Couple + C. LE 16 ","430","0.0957998058064396","0.0870696732561152","0.104529938356764","2"
"Often","2003","Couple + C. LE and GT 16","183","0.108840143870305","0.0945827804641479","0.123097507276463","2"
"Rarely","2003","Single parent ","198","0.186523734111137","0.163629021771113","0.209418446451161","4"
"Rarely","2003","1-pers.-HH","434","0.140427712067608","0.127955751878652","0.152899672256563","4"
"Rarely","2003","(Married) couple without C. ","1184","0.156834204044311","0.148480307094565","0.165188100994057","4"
"Rarely","2003","Couple + C. GT 16 ","785","0.185156264366312","0.173026245643477","0.197286283089147","4"
"Rarely","2003","Couple + C. LE 16 ","897","0.203158124771935","0.191223482734712","0.215092766809159","4"
"Rarely","2003","Couple + C. LE and GT 16","353","0.202588517524767","0.18418861533927","0.220988419710264","4"
"Sometimes","2003","1-pers.-HH","246","0.0873343959145855","0.0771995860601411","0.0974692057690298","3"
"Sometimes","2003","(Married) couple without C. ","619","0.0829288139617081","0.0765935242105358","0.0892641037128804","3"
"Sometimes","2003","Single parent ","116","0.115224429327228","0.0964578749391983","0.133990983715257","3"
"Sometimes","2003","Couple + C. GT 16 ","442","0.112944856850085","0.103060153518612","0.122829560181558","3"
"Sometimes","2003","Couple + C. LE 16 ","567","0.139552548165622","0.129273869549104","0.14983122678214","3"
"Sometimes","2003","Couple + C. LE and GT 16","243","0.119699075673758","0.104838766818463","0.134559384529053","3"
"Very often","2003","1-pers.-HH","153","0.0502079557076772","0.0423688298677972","0.0580470815475571","1"
"Very often","2003","(Married) couple without C. ","269","0.0368535629753745","0.0325254545367289","0.0411816714140201","1"
"Very often","2003","Single parent ","56","0.0476095754639352","0.0350940132910187","0.0601251376368517","1"
"Very often","2003","Couple + C. LE 16 ","253","0.0570787297931113","0.0501972618420495","0.0639601977441732","1"
"Very often","2003","Couple + C. GT 16 ","181","0.0511211380587027","0.0442431606757571","0.0579991154416483","1"
"Very often","2003","Couple + C. LE and GT 16","104","0.0569555620173521","0.046345913212034","0.0675652108226702","1"
"Never","2004","1-pers.-HH","","","","","5"
"Never","2004","(Married) couple without C. ","","","","","5"
"Never","2004","Single parent ","","","","","5"
"Never","2004","Couple + C. LE 16 ","","","","","5"
"Never","2004","Couple + C. GT 16 ","","","","","5"
"Never","2004","Couple + C. LE and GT 16","","","","","5"
"Often","2004","(Married) couple without C. ","","","","","2"
"Often","2004","1-pers.-HH","","","","","2"
"Often","2004","Single parent ","","","","","2"
"Often","2004","Couple + C. LE 16 ","","","","","2"
"Often","2004","Couple + C. GT 16 ","","","","","2"
"Often","2004","Couple + C. LE and GT 16","","","","","2"
"Rarely","2004","1-pers.-HH","","","","","4"
"Rarely","2004","Single parent ","","","","","4"
"Rarely","2004","(Married) couple without C. ","","","","","4"
"Rarely","2004","Couple + C. GT 16 ","","","","","4"
"Rarely","2004","Couple + C. LE 16 ","","","","","4"
"Rarely","2004","Couple + C. LE and GT 16","","","","","4"
"Sometimes","2004","(Married) couple without C. ","","","","","3"
"Sometimes","2004","Couple + C. GT 16 ","","","","","3"
"Sometimes","2004","1-pers.-HH","","","","","3"
"Sometimes","2004","Single parent ","","","","","3"
"Sometimes","2004","Couple + C. LE 16 ","","","","","3"
"Sometimes","2004","Couple + C. LE and GT 16","","","","","3"
"Very often","2004","Single parent ","","","","","1"
"Very often","2004","1-pers.-HH","","","","","1"
"Very often","2004","(Married) couple without C. ","","","","","1"
"Very often","2004","Couple + C. LE 16 ","","","","","1"
"Very often","2004","Couple + C. GT 16 ","","","","","1"
"Very often","2004","Couple + C. LE and GT 16","","","","","1"
"Never","2005","Single parent ","","","","","5"
"Never","2005","1-pers.-HH","","","","","5"
"Never","2005","(Married) couple without C. ","","","","","5"
"Never","2005","Couple + C. LE 16 ","","","","","5"
"Never","2005","Couple + C. GT 16 ","","","","","5"
"Never","2005","Couple + C. LE and GT 16","","","","","5"
"Often","2005","1-pers.-HH","","","","","2"
"Often","2005","(Married) couple without C. ","","","","","2"
"Often","2005","Single parent ","","","","","2"
"Often","2005","Couple + C. GT 16 ","","","","","2"
"Often","2005","Couple + C. LE 16 ","","","","","2"
"Often","2005","Couple + C. LE and GT 16","","","","","2"
"Rarely","2005","(Married) couple without C. ","","","","","4"
"Rarely","2005","1-pers.-HH","","","","","4"
"Rarely","2005","Single parent ","","","","","4"
"Rarely","2005","Couple + C. LE 16 ","","","","","4"
"Rarely","2005","Couple + C. GT 16 ","","","","","4"
"Rarely","2005","Couple + C. LE and GT 16","","","","","4"
"Sometimes","2005","1-pers.-HH","","","","","3"
"Sometimes","2005","Single parent ","","","","","3"
"Sometimes","2005","Couple + C. LE 16 ","","","","","3"
"Sometimes","2005","Couple + C. LE and GT 16","","","","","3"
"Sometimes","2005","(Married) couple without C. ","","","","","3"
"Sometimes","2005","Couple + C. GT 16 ","","","","","3"
"Very often","2005","1-pers.-HH","","","","","1"
"Very often","2005","(Married) couple without C. ","","","","","1"
"Very often","2005","Single parent ","","","","","1"
"Very often","2005","Couple + C. LE 16 ","","","","","1"
"Very often","2005","Couple + C. GT 16 ","","","","","1"
"Very often","2005","Couple + C. LE and GT 16","","","","","1"
"Never","2006","(Married) couple without C. ","","","","","5"
"Never","2006","1-pers.-HH","","","","","5"
"Never","2006","Couple + C. LE 16 ","","","","","5"
"Never","2006","Single parent ","","","","","5"
"Never","2006","Couple + C. GT 16 ","","","","","5"
"Never","2006","Couple + C. LE and GT 16","","","","","5"
"Often","2006","1-pers.-HH","","","","","2"
"Often","2006","Single parent ","","","","","2"
"Often","2006","(Married) couple without C. ","","","","","2"
"Often","2006","Couple + C. GT 16 ","","","","","2"
"Often","2006","Couple + C. LE 16 ","","","","","2"
"Often","2006","Couple + C. LE and GT 16","","","","","2"
"Rarely","2006","1-pers.-HH","","","","","4"
"Rarely","2006","Single parent ","","","","","4"
"Rarely","2006","(Married) couple without C. ","","","","","4"
"Rarely","2006","Couple + C. GT 16 ","","","","","4"
"Rarely","2006","Couple + C. LE 16 ","","","","","4"
"Rarely","2006","Couple + C. LE and GT 16","","","","","4"
"Sometimes","2006","Single parent ","","","","","3"
"Sometimes","2006","1-pers.-HH","","","","","3"
"Sometimes","2006","(Married) couple without C. ","","","","","3"
"Sometimes","2006","Couple + C. LE 16 ","","","","","3"
"Sometimes","2006","Couple + C. GT 16 ","","","","","3"
"Sometimes","2006","Couple + C. LE and GT 16","","","","","3"
"Very often","2006","1-pers.-HH","","","","","1"
"Very often","2006","(Married) couple without C. ","","","","","1"
"Very often","2006","Single parent ","","","","","1"
"Very often","2006","Couple + C. LE 16 ","","","","","1"
"Very often","2006","Couple + C. GT 16 ","","","","","1"
"Very often","2006","Couple + C. LE and GT 16","","","","","1"
"Never","2007","1-pers.-HH","","","","","5"
"Never","2007","Single parent ","","","","","5"
"Never","2007","(Married) couple without C. ","","","","","5"
"Never","2007","Couple + C. LE 16 ","","","","","5"
"Never","2007","Couple + C. GT 16 ","","","","","5"
"Never","2007","Couple + C. LE and GT 16","","","","","5"
"Often","2007","(Married) couple without C. ","","","","","2"
"Often","2007","1-pers.-HH","","","","","2"
"Often","2007","Single parent ","","","","","2"
"Often","2007","Couple + C. LE 16 ","","","","","2"
"Often","2007","Couple + C. GT 16 ","","","","","2"
