"pld0045","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Not Employed","East Germany","1429","0.683628739709509","0.663832220808032","0.703425258610985","5"
"Never","2003","Employed","West Germany","5821","0.54545599965114","0.536055588958762","0.554856410343517","5"
"Never","2003","Employed","East Germany","1793","0.576789758956384","0.559732674773547","0.593846843139221","5"
"Never","2003","Not Employed","West Germany","4001","0.678182021237418","0.666384686642293","0.689979355832543","5"
"Often","2003","Not Employed","East Germany","115","0.050702807416644","0.0413638743608825","0.0600417404724056","2"
"Often","2003","Employed","West Germany","1024","0.0915621768406751","0.0861173426364442","0.0970070110449059","2"
"Often","2003","Not Employed","West Germany","394","0.0595036078774807","0.0535297370742088","0.0654774786807526","2"
"Often","2003","Employed","East Germany","259","0.077903240871876","0.0686502113307415","0.0871562704130105","2"
"Rarely","2003","Not Employed","East Germany","313","0.142463693572847","0.127585215179614","0.157342171966079","4"
"Rarely","2003","Not Employed","West Germany","864","0.138292890134215","0.129575522253065","0.147010258015365","4"
"Rarely","2003","Employed","West Germany","2092","0.191153059643163","0.183729660681479","0.198576458604846","4"
"Rarely","2003","Employed","East Germany","679","0.198063416144072","0.184304314339595","0.211822517948548","4"
"Sometimes","2003","Not Employed","East Germany","191","0.0897414671385623","0.0775751502916156","0.101907783985509","3"
"Sometimes","2003","Employed","East Germany","379","0.111277420666874","0.100420552342411","0.122134288991336","3"
"Sometimes","2003","Employed","West Germany","1233","0.115925839789044","0.109881992598714","0.121969686979374","3"
"Sometimes","2003","Not Employed","West Germany","504","0.0817310346882475","0.074812978878119","0.088649090498376","3"
"Very often","2003","Not Employed","West Germany","261","0.0422904460626386","0.0372083408439813","0.047372551281296","1"
"Very often","2003","Not Employed","East Germany","72","0.0334632921624385","0.0258077902474444","0.0411187940774326","1"
"Very often","2003","Employed","West Germany","608","0.0559029240759787","0.0515657726017738","0.0602400755501836","1"
"Very often","2003","Employed","East Germany","113","0.0359661633607949","0.029537641379006","0.0423946853425839","1"
"Never","2004","Employed","West Germany","","","","","5"
"Never","2004","Employed","East Germany","","","","","5"
"Never","2004","Not Employed","West Germany","","","","","5"
"Never","2004","Not Employed","East Germany","","","","","5"
"Often","2004","Employed","West Germany","","","","","2"
"Often","2004","Not Employed","West Germany","","","","","2"
"Often","2004","Not Employed","East Germany","","","","","2"
"Often","2004","Employed","East Germany","","","","","2"
"Rarely","2004","Not Employed","West Germany","","","","","4"
"Rarely","2004","Not Employed","East Germany","","","","","4"
"Rarely","2004","Employed","West Germany","","","","","4"
"Rarely","2004","Employed","East Germany","","","","","4"
"Sometimes","2004","Not Employed","West Germany","","","","","3"
"Sometimes","2004","Employed","West Germany","","","","","3"
"Sometimes","2004","Employed","East Germany","","","","","3"
"Sometimes","2004","Not Employed","East Germany","","","","","3"
"Very often","2004","Not Employed","West Germany","","","","","1"
"Very often","2004","Not Employed","East Germany","","","","","1"
"Very often","2004","Employed","West Germany","","","","","1"
"Very often","2004","Employed","East Germany","","","","","1"
"Never","2005","Not Employed","West Germany","","","","","5"
"Never","2005","Not Employed","East Germany","","","","","5"
"Never","2005","Employed","West Germany","","","","","5"
"Never","2005","Employed","East Germany","","","","","5"
"Often","2005","Not Employed","West Germany","","","","","2"
"Often","2005","Not Employed","East Germany","","","","","2"
"Often","2005","Employed","East Germany","","","","","2"
"Often","2005","Employed","West Germany","","","","","2"
"Rarely","2005","Not Employed","West Germany","","","","","4"
"Rarely","2005","Employed","East Germany","","","","","4"
"Rarely","2005","Not Employed","East Germany","","","","","4"
"Rarely","2005","Employed","West Germany","","","","","4"
"Sometimes","2005","Employed","East Germany","","","","","3"
"Sometimes","2005","Not Employed","West Germany","","","","","3"
"Sometimes","2005","Not Employed","East Germany","","","","","3"
"Sometimes","2005","Employed","West Germany","","","","","3"
