"pld0045","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Urban Area","Male","304","0.0416793907758246","0.0370355562728174","0.0463232252788318"
"Very often","2003","Urban Area","Female","382","0.0482440077215935","0.0434659076842183","0.0530221077589687"
"Very often","2003","Rural Area","Male","143","0.0425002520657765","0.0358578126511394","0.0491426914804136"
"Very often","2003","Rural Area","Female","225","0.0630802727108839","0.055310748987802","0.0708497964339658"
"Often","2003","Urban Area","Male","524","0.0709946826402302","0.0650273169937548","0.0769620482867056"
"Often","2003","Urban Area","Female","600","0.0704413021529278","0.0647354194916257","0.07614718481423"
"Often","2003","Rural Area","Male","346","0.0927039605729144","0.0831543388932092","0.102253582252619"
"Often","2003","Rural Area","Female","322","0.0848197459751015","0.0759154778571968","0.0937240140930063"
"Sometimes","2003","Urban Area","Male","698","0.0971233845295206","0.0902426192158439","0.104004149843197"
"Sometimes","2003","Urban Area","Female","705","0.0910875287944231","0.0846715749616244","0.0975034826272219"
"Sometimes","2003","Rural Area","Male","452","0.126153086192867","0.115220343346837","0.137085829038898"
"Sometimes","2003","Rural Area","Female","452","0.114499572049799","0.104323205453038","0.124675938646559"
"Rarely","2003","Urban Area","Male","1262","0.179236671523349","0.17032451006219","0.188148832984508"
"Rarely","2003","Urban Area","Female","1200","0.146140019048469","0.138263240265665","0.154016797831274"
"Rarely","2003","Rural Area","Male","758","0.200499483446011","0.187316050390235","0.213682916501787"
"Rarely","2003","Rural Area","Female","728","0.178461388482509","0.16622417467816","0.190698602286858"
"Never","2003","Urban Area","Male","4327","0.610965870531075","0.599637616856488","0.622294124205663"
"Never","2003","Urban Area","Female","4839","0.644087142282586","0.633410986734182","0.654763297830991"
"Never","2003","Rural Area","Male","1844","0.538143217722431","0.521727302022728","0.554559133422134"
"Never","2003","Rural Area","Female","2034","0.559139020781707","0.543271570157945","0.575006471405468"
"Very often","2004","Urban Area","Male","","","",""
"Very often","2004","Urban Area","Female","","","",""
"Very often","2004","Rural Area","Male","","","",""
"Very often","2004","Rural Area","Female","","","",""
"Often","2004","Urban Area","Male","","","",""
"Often","2004","Urban Area","Female","","","",""
"Often","2004","Rural Area","Male","","","",""
"Often","2004","Rural Area","Female","","","",""
"Sometimes","2004","Urban Area","Male","","","",""
"Sometimes","2004","Urban Area","Female","","","",""
"Sometimes","2004","Rural Area","Male","","","",""
"Sometimes","2004","Rural Area","Female","","","",""
"Rarely","2004","Urban Area","Male","","","",""
"Rarely","2004","Urban Area","Female","","","",""
"Rarely","2004","Rural Area","Male","","","",""
"Rarely","2004","Rural Area","Female","","","",""
"Never","2004","Urban Area","Male","","","",""
"Never","2004","Urban Area","Female","","","",""
"Never","2004","Rural Area","Male","","","",""
"Never","2004","Rural Area","Female","","","",""
"Very often","2005","Urban Area","Male","","","",""
"Very often","2005","Urban Area","Female","","","",""
"Very often","2005","Rural Area","Male","","","",""
"Very often","2005","Rural Area","Female","","","",""
"Often","2005","Urban Area","Male","","","",""
"Often","2005","Urban Area","Female","","","",""
"Often","2005","Rural Area","Male","","","",""
"Often","2005","Rural Area","Female","","","",""
"Sometimes","2005","Urban Area","Male","","","",""
"Sometimes","2005","Urban Area","Female","","","",""
"Sometimes","2005","Rural Area","Male","","","",""
"Sometimes","2005","Rural Area","Female","","","",""
"Rarely","2005","Urban Area","Male","","","",""
"Rarely","2005","Urban Area","Female","","","",""
"Rarely","2005","Rural Area","Male","","","",""
"Rarely","2005","Rural Area","Female","","","",""
"Never","2005","Urban Area","Male","","","",""
"Never","2005","Urban Area","Female","","","",""
"Never","2005","Rural Area","Male","","","",""
"Never","2005","Rural Area","Female","","","",""
"Very often","2006","Urban Area","Male","","","",""
"Very often","2006","Urban Area","Female","","","",""
"Very often","2006","Rural Area","Male","","","",""
"Very often","2006","Rural Area","Female","","","",""
"Often","2006","Urban Area","Male","","","",""
"Often","2006","Urban Area","Female","","","",""
"Often","2006","Rural Area","Male","","","",""
"Often","2006","Rural Area","Female","","","",""
"Sometimes","2006","Urban Area","Male","","","",""
"Sometimes","2006","Urban Area","Female","","","",""
"Sometimes","2006","Rural Area","Male","","","",""
"Sometimes","2006","Rural Area","Female","","","",""
"Rarely","2006","Urban Area","Male","","","",""
"Rarely","2006","Urban Area","Female","","","",""
"Rarely","2006","Rural Area","Male","","","",""
"Rarely","2006","Rural Area","Female","","","",""
"Never","2006","Urban Area","Male","","","",""
"Never","2006","Urban Area","Female","","","",""
"Never","2006","Rural Area","Male","","","",""
"Never","2006","Rural Area","Female","","","",""
"Very often","2007","Urban Area","Male","","","",""
"Very often","2007","Urban Area","Female","","","",""
"Very often","2007","Rural Area","Male","","","",""
"Very often","2007","Rural Area","Female","","","",""
"Often","2007","Urban Area","Male","","","",""
"Often","2007","Urban Area","Female","","","",""
"Often","2007","Rural Area","Male","","","",""
"Often","2007","Rural Area","Female","","","",""
"Sometimes","2007","Urban Area","Male","","","",""
"Sometimes","2007","Urban Area","Female","","","",""
"Sometimes","2007","Rural Area","Male","","","",""
"Sometimes","2007","Rural Area","Female","","","",""
"Rarely","2007","Urban Area","Male","","","",""
"Rarely","2007","Urban Area","Female","","","",""
"Rarely","2007","Rural Area","Male","","","",""
"Rarely","2007","Rural Area","Female","","","",""
"Never","2007","Urban Area","Male","","","",""
"Never","2007","Urban Area","Female","","","",""
"Never","2007","Rural Area","Male","","","",""
"Never","2007","Rural Area","Female","","","",""
"Very often","2008","Urban Area","Male","269","0.0441807073961898","0.0390042682665368","0.0493571465258428"
"Very often","2008","Urban Area","Female","344","0.048299922572667","0.0431757326706826","0.0534241124746513"
"Very often","2008","Rural Area","Male","175","0.0608032104251703","0.0524474389130634","0.0691589819372772"
"Very often","2008","Rural Area","Female","227","0.0656395974796369","0.0572919197803556","0.0739872751789181"
"Often","2008","Urban Area","Male","483","0.0843432200772714","0.0773428930459334","0.0913435471086095"
"Often","2008","Urban Area","Female","569","0.0806910347323243","0.0741815691254213","0.0872005003392273"
"Often","2008","Rural Area","Male","331","0.103104909171816","0.0924719169516195","0.113737901392013"
"Often","2008","Rural Area","Female","346","0.106465450504449","0.0960689895097719","0.116861911499125"
"Sometimes","2008","Urban Area","Male","606","0.097575535825272","0.0901006806052276","0.105050391045316"
"Sometimes","2008","Urban Area","Female","643","0.0940785572799111","0.0871011746341314","0.101055939925691"
"Sometimes","2008","Rural Area","Male","365","0.111630776664351","0.100619600114165","0.122641953214537"
"Sometimes","2008","Rural Area","Female","380","0.11663846700587","0.105818756300127","0.127458177711612"
"Rarely","2008","Urban Area","Male","1075","0.177851538386315","0.168219220206177","0.187483856566452"
"Rarely","2008","Urban Area","Female","1057","0.156710227632057","0.148021843095585","0.165398612168528"
"Rarely","2008","Rural Area","Male","640","0.209302509486352","0.195077996745154","0.22352702222755"
"Rarely","2008","Rural Area","Female","600","0.168381790251589","0.155768306207","0.180995274296177"
"Never","2008","Urban Area","Male","3621","0.596048998314952","0.583688607329158","0.608409389300746"
"Never","2008","Urban Area","Female","4112","0.620220257783041","0.608620716418539","0.631819799147542"
"Never","2008","Rural Area","Male","1631","0.51515859425231","0.497683669019922","0.532633519484698"
"Never","2008","Rural Area","Female","1828","0.542874694758457","0.526083061653512","0.559666327863401"
"Very often","2009","Urban Area","Male","","","",""
"Very often","2009","Urban Area","Female","","","",""
"Very often","2009","Rural Area","Male","","","",""
"Very often","2009","Rural Area","Female","","","",""
"Often","2009","Urban Area","Male","","","",""
"Often","2009","Urban Area","Female","","","",""
"Often","2009","Rural Area","Male","","","",""
"Often","2009","Rural Area","Female","","","",""
"Sometimes","2009","Urban Area","Male","","","",""
"Sometimes","2009","Urban Area","Female","","","",""
"Sometimes","2009","Rural Area","Male","","","",""
"Sometimes","2009","Rural Area","Female","","","",""
"Rarely","2009","Urban Area","Male","","","",""
"Rarely","2009","Urban Area","Female","","","",""
"Rarely","2009","Rural Area","Male","","","",""
"Rarely","2009","Rural Area","Female","","","",""
"Never","2009","Urban Area","Male","","","",""
"Never","2009","Urban Area","Female","","","",""
"Never","2009","Rural Area","Male","","","",""
"Never","2009","Rural Area","Female","","","",""
"Very often","2010","Urban Area","Male","","","",""
"Very often","2010","Urban Area","Female","","","",""
"Very often","2010","Rural Area","Male","","","",""
"Very often","2010","Rural Area","Female","","","",""
"Often","2010","Urban Area","Male","","","",""
"Often","2010","Urban Area","Female","","","",""
"Often","2010","Rural Area","Male","","","",""
"Often","2010","Rural Area","Female","","","",""
"Sometimes","2010","Urban Area","Male","","","",""
"Sometimes","2010","Urban Area","Female","","","",""
"Sometimes","2010","Rural Area","Male","","","",""
"Sometimes","2010","Rural Area","Female","","","",""
"Rarely","2010","Urban Area","Male","","","",""
"Rarely","2010","Urban Area","Female","","","",""
"Rarely","2010","Rural Area","Male","","","",""
"Rarely","2010","Rural Area","Female","","","",""
"Never","2010","Urban Area","Male","","","",""
"Never","2010","Urban Area","Female","","","",""
"Never","2010","Rural Area","Male","","","",""
"Never","2010","Rural Area","Female","","","",""
"Very often","2011","Urban Area","Male","","","",""
"Very often","2011","Urban Area","Female","","","",""
"Very often","2011","Rural Area","Male","","","",""
"Very often","2011","Rural Area","Female","","","",""
"Often","2011","Urban Area","Male","","","",""
"Often","2011","Urban Area","Female","","","",""
"Often","2011","Rural Area","Male","","","",""
"Often","2011","Rural Area","Female","","","",""
"Sometimes","2011","Urban Area","Male","","","",""
"Sometimes","2011","Urban Area","Female","","","",""
"Sometimes","2011","Rural Area","Male","","","",""
"Sometimes","2011","Rural Area","Female","","","",""
"Rarely","2011","Urban Area","Male","","","",""
"Rarely","2011","Urban Area","Female","","","",""
"Rarely","2011","Rural Area","Male","","","",""
"Rarely","2011","Rural Area","Female","","","",""
"Never","2011","Urban Area","Male","","","",""
"Never","2011","Urban Area","Female","","","",""
"Never","2011","Rural Area","Male","","","",""
"Never","2011","Rural Area","Female","","","",""
"Very often","2012","Urban Area","Male","","","",""
"Very often","2012","Urban Area","Female","","","",""
"Very often","2012","Rural Area","Male","","","",""
"Very often","2012","Rural Area","Female","","","",""
"Often","2012","Urban Area","Male","","","",""
"Often","2012","Urban Area","Female","","","",""
"Often","2012","Rural Area","Male","","","",""
"Often","2012","Rural Area","Female","","","",""
"Sometimes","2012","Urban Area","Male","","","",""
"Sometimes","2012","Urban Area","Female","","","",""
"Sometimes","2012","Rural Area","Male","","","",""
"Sometimes","2012","Rural Area","Female","","","",""
"Rarely","2012","Urban Area","Male","","","",""
"Rarely","2012","Urban Area","Female","","","",""
"Rarely","2012","Rural Area","Male","","","",""
"Rarely","2012","Rural Area","Female","","","",""
"Never","2012","Urban Area","Male","","","",""
"Never","2012","Urban Area","Female","","","",""
"Never","2012","Rural Area","Male","","","",""
"Never","2012","Rural Area","Female","","","",""
"Very often","2013","Urban Area","Male","402","0.049562343708438","0.044595101089137","0.0545295863277389"
"Very often","2013","Urban Area","Female","657","0.0572578376661135","0.0524626356052603","0.0620530397269668"
"Very often","2013","Rural Area","Male","257","0.0508396564685446","0.0441842979437074","0.0574950149933818"
"Very often","2013","Rural Area","Female","390","0.0657246548293473","0.0588096237810474","0.0726396858776472"
"Often","2013","Urban Area","Male","737","0.0866042920544886","0.0801673910585557","0.0930411930504215"
"Often","2013","Urban Area","Female","998","0.093634497926247","0.0876218939162755","0.0996471019362186"
"Often","2013","Rural Area","Male","502","0.111780278816439","0.102233801170818","0.12132675646206"
"Often","2013","Rural Area","Female","611","0.106572176030063","0.0979613624554596","0.115182989604666"
"Sometimes","2013","Urban Area","Male","784","0.0969691264780789","0.0901966784771991","0.103741574478959"
"Sometimes","2013","Urban Area","Female","942","0.0944796999414008","0.0884428368929743","0.100516562989827"
"Sometimes","2013","Rural Area","Male","528","0.125264549991506","0.115235661216749","0.135293438766262"
"Sometimes","2013","Rural Area","Female","607","0.115201336295816","0.106292037574539","0.124110635017093"
"Rarely","2013","Urban Area","Male","1362","0.182600612955825","0.173758706669646","0.191442519242004"
"Rarely","2013","Urban Area","Female","1434","0.161334311329611","0.153742406012302","0.168926216646921"
"Rarely","2013","Rural Area","Male","897","0.216686918375456","0.204204912110115","0.229168924640798"
"Rarely","2013","Rural Area","Female","883","0.185442389962336","0.17459668105816","0.196288098866511"
"Never","2013","Urban Area","Male","4049","0.584263624803169","0.572984092946594","0.595543156659744"
"Never","2013","Urban Area","Female","4987","0.593293653136627","0.583155279286952","0.603432026986302"
"Never","2013","Rural Area","Male","2001","0.495428596348055","0.480280703935583","0.510576488760526"
"Never","2013","Rural Area","Female","2442","0.527059442882439","0.513127053233787","0.540991832531091"
"Very often","2014","Urban Area","Male","","","",""
"Very often","2014","Urban Area","Female","","","",""
"Very often","2014","Rural Area","Male","","","",""
"Very often","2014","Rural Area","Female","","","",""
"Often","2014","Urban Area","Male","","","",""
"Often","2014","Urban Area","Female","","","",""
"Often","2014","Rural Area","Male","","","",""
"Often","2014","Rural Area","Female","","","",""
"Sometimes","2014","Urban Area","Male","","","",""
"Sometimes","2014","Urban Area","Female","","","",""
"Sometimes","2014","Rural Area","Male","","","",""
"Sometimes","2014","Rural Area","Female","","","",""
"Rarely","2014","Urban Area","Male","","","",""
"Rarely","2014","Urban Area","Female","","","",""
"Rarely","2014","Rural Area","Male","","","",""
"Rarely","2014","Rural Area","Female","","","",""
"Never","2014","Urban Area","Male","","","",""
"Never","2014","Urban Area","Female","","","",""
"Never","2014","Rural Area","Male","","","",""
"Never","2014","Rural Area","Female","","","",""
"Very often","2015","Urban Area","Male","","","",""
"Very often","2015","Urban Area","Female","","","",""
"Very often","2015","Rural Area","Male","","","",""
"Very often","2015","Rural Area","Female","","","",""
"Often","2015","Urban Area","Male","","","",""
"Often","2015","Urban Area","Female","","","",""
"Often","2015","Rural Area","Male","","","",""
"Often","2015","Rural Area","Female","","","",""
"Sometimes","2015","Urban Area","Male","","","",""
"Sometimes","2015","Urban Area","Female","","","",""
"Sometimes","2015","Rural Area","Male","","","",""
"Sometimes","2015","Rural Area","Female","","","",""
"Rarely","2015","Urban Area","Male","","","",""
"Rarely","2015","Urban Area","Female","","","",""
"Rarely","2015","Rural Area","Male","","","",""
"Rarely","2015","Rural Area","Female","","","",""
"Never","2015","Urban Area","Male","","","",""
"Never","2015","Urban Area","Female","","","",""
"Never","2015","Rural Area","Male","","","",""
"Never","2015","Rural Area","Female","","","",""
"Very often","2016","Urban Area","Male","","","",""
"Very often","2016","Urban Area","Female","","","",""
"Very often","2016","Rural Area","Male","","","",""
"Very often","2016","Rural Area","Female","","","",""
"Often","2016","Urban Area","Male","","","",""
"Often","2016","Urban Area","Female","","","",""
"Often","2016","Rural Area","Male","","","",""
"Often","2016","Rural Area","Female","","","",""
"Sometimes","2016","Urban Area","Male","","","",""
"Sometimes","2016","Urban Area","Female","","","",""
"Sometimes","2016","Rural Area","Male","","","",""
"Sometimes","2016","Rural Area","Female","","","",""
"Rarely","2016","Urban Area","Male","","","",""
"Rarely","2016","Urban Area","Female","","","",""
"Rarely","2016","Rural Area","Male","","","",""
"Rarely","2016","Rural Area","Female","","","",""
"Never","2016","Urban Area","Male","","","",""
"Never","2016","Urban Area","Female","","","",""
"Never","2016","Rural Area","Male","","","",""
"Never","2016","Rural Area","Female","","","",""
"Very often","2017","Urban Area","Male","","","",""
"Very often","2017","Urban Area","Female","","","",""
"Very often","2017","Rural Area","Male","","","",""
"Very often","2017","Rural Area","Female","","","",""
"Often","2017","Urban Area","Male","","","",""
"Often","2017","Urban Area","Female","","","",""
"Often","2017","Rural Area","Male","","","",""
"Often","2017","Rural Area","Female","","","",""
"Sometimes","2017","Urban Area","Male","","","",""
"Sometimes","2017","Urban Area","Female","","","",""
"Sometimes","2017","Rural Area","Male","","","",""
"Sometimes","2017","Rural Area","Female","","","",""
"Rarely","2017","Urban Area","Male","","","",""
"Rarely","2017","Urban Area","Female","","","",""
"Rarely","2017","Rural Area","Male","","","",""
"Rarely","2017","Rural Area","Female","","","",""
"Never","2017","Urban Area","Male","","","",""
"Never","2017","Urban Area","Female","","","",""
"Never","2017","Rural Area","Male","","","",""
"Never","2017","Rural Area","Female","","","",""
"Very often","2018","Urban Area","Male","457","0.054786508947257","0.0496827698476466","0.0598902480468674"
"Very often","2018","Urban Area","Female","705","0.0729462205563366","0.0675778414644153","0.0783145996482579"
"Very often","2018","Rural Area","Male","265","0.0604964797595405","0.0532761170854805","0.0677168424336006"
"Very often","2018","Rural Area","Female","372","0.0718873352398708","0.0645945038974323","0.0791801665823093"
"Often","2018","Urban Area","Male","698","0.0829578518602142","0.0767718493349529","0.0891438543854755"
"Often","2018","Urban Area","Female","890","0.0946988950918217","0.0886544241333274","0.100743366050316"
"Often","2018","Rural Area","Male","473","0.114024630119865","0.104398429359585","0.123650830880146"
"Often","2018","Rural Area","Female","579","0.113260663662718","0.104313051191697","0.122208276133739"
"Sometimes","2018","Urban Area","Male","810","0.106515802493211","0.0995969008720393","0.113434704114382"
"Sometimes","2018","Urban Area","Female","909","0.10340717338613","0.0971213485069748","0.109692998265286"
"Sometimes","2018","Rural Area","Male","504","0.127874560941454","0.117760482684913","0.137988639197994"
"Sometimes","2018","Rural Area","Female","590","0.117870953438923","0.10876681008632","0.126975096791525"
"Rarely","2018","Urban Area","Male","1323","0.179705111819684","0.171094145038713","0.188316078600654"
"Rarely","2018","Urban Area","Female","1375","0.151889913640738","0.14448056729957","0.159299259981907"
"Rarely","2018","Rural Area","Male","807","0.21112453673045","0.198764540638551","0.22348453282235"
"Rarely","2018","Rural Area","Female","803","0.169949593983174","0.159345295909167","0.180553892057181"
"Never","2018","Urban Area","Male","4349","0.576034724879634","0.564951244122428","0.58711820563684"
"Never","2018","Urban Area","Female","5135","0.577057797324973","0.566859222598778","0.587256372051169"
"Never","2018","Rural Area","Male","2139","0.48647979244869","0.471342230753571","0.501617354143809"
"Never","2018","Rural Area","Female","2475","0.527031453675315","0.512935189655975","0.541127717694655"
