"pld0045","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Schleswig-Holstein","West Germany","22","","",""
"Very often","2003","Schleswig-Holstein","East Germany","","","",""
"Very often","2003","Hamburg","West Germany","15","","",""
"Very often","2003","Hamburg","East Germany","","","",""
"Very often","2003","Lower Saxony","West Germany","119","0.0538540577048152","0.043728162975149","0.0639799524344813"
"Very often","2003","Lower Saxony","East Germany","","","",""
"Very often","2003","Bremen","West Germany","4","","",""
"Very often","2003","Bremen","East Germany","","","",""
"Very often","2003","North Rhine-Westphalia","West Germany","179","0.0388599908063576","0.0333135613348516","0.0444064202778635"
"Very often","2003","North Rhine-Westphalia","East Germany","","","",""
"Very often","2003","Hesse","West Germany","92","0.060548657364017","0.0484427129998353","0.0726546017281987"
"Very often","2003","Hesse","East Germany","","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","West Germany","82","0.0568424410919916","0.0443940253067815","0.0692908568772017"
"Very often","2003","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Very often","2003","Baden-Württemberg","West Germany","119","0.0444936277925019","0.0367018303573974","0.0522854252276064"
"Very often","2003","Baden-Württemberg","East Germany","","","",""
"Very often","2003","Bavaria","West Germany","229","0.0755902680512615","0.0663311045218155","0.0848494315807075"
"Very often","2003","Bavaria","East Germany","","","",""
"Very often","2003","Berlin","West Germany","8","","",""
"Very often","2003","Berlin","East Germany","13","","",""
"Very often","2003","Brandenburg","West Germany","","","",""
"Very often","2003","Brandenburg","East Germany","30","0.0301632261876816","0.019223574009027","0.0411028783663363"
"Very often","2003","Mecklenburg-Western Pomerania","West Germany","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","East Germany","18","","",""
"Very often","2003","Saxony","West Germany","","","",""
"Very often","2003","Saxony","East Germany","54","0.0294160049433554","0.0211777387539881","0.0376542711327226"
"Very often","2003","Saxony-Anhalt","West Germany","","","",""
"Very often","2003","Saxony-Anhalt","East Germany","41","0.0345389126192254","0.0228152894007459","0.046262535837705"
"Very often","2003","Thuringia","West Germany","","","",""
"Very often","2003","Thuringia","East Germany","29","","",""
"Often","2003","Schleswig-Holstein","West Germany","51","0.0964791945239944","0.0740896234826993","0.11886876556529"
"Often","2003","Schleswig-Holstein","East Germany","","","",""
"Often","2003","Hamburg","West Germany","19","","",""
"Often","2003","Hamburg","East Germany","","","",""
"Often","2003","Lower Saxony","West Germany","178","0.079323099329047","0.067200420825814","0.09144577783228"
"Often","2003","Lower Saxony","East Germany","","","",""
"Often","2003","Bremen","West Germany","12","","",""
"Often","2003","Bremen","East Germany","","","",""
"Often","2003","North Rhine-Westphalia","West Germany","315","0.0639280972571746","0.0569075767199877","0.0709486177943615"
"Often","2003","North Rhine-Westphalia","East Germany","","","",""
"Often","2003","Hesse","West Germany","124","0.0701870673235602","0.0572201838319582","0.0831539508151621"
"Often","2003","Hesse","East Germany","","","",""
"Often","2003","Rhineland-Palatinate,Saarland","West Germany","122","0.0910331073759979","0.0755677729099059","0.10649844184209"
"Often","2003","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Often","2003","Baden-Württemberg","West Germany","238","0.0866401702391259","0.0760096981134153","0.0972706423648365"
"Often","2003","Baden-Württemberg","East Germany","","","",""
"Often","2003","Bavaria","West Germany","331","0.0945418986144908","0.0842935734505934","0.104790223778388"
"Often","2003","Bavaria","East Germany","","","",""
"Often","2003","Berlin","West Germany","28","","",""
"Often","2003","Berlin","East Germany","14","","",""
"Often","2003","Brandenburg","West Germany","","","",""
"Often","2003","Brandenburg","East Germany","58","0.0687567845421666","0.0525720852413508","0.0849414838429825"
"Often","2003","Mecklenburg-Western Pomerania","West Germany","","","",""
"Often","2003","Mecklenburg-Western Pomerania","East Germany","30","0.0459536896000688","0.0280769750801576","0.06383040411998"
"Often","2003","Saxony","West Germany","","","",""
"Often","2003","Saxony","East Germany","115","0.0682799838849815","0.0559824839046961","0.0805774838652668"
"Often","2003","Saxony-Anhalt","West Germany","","","",""
"Often","2003","Saxony-Anhalt","East Germany","96","0.1024763874396","0.0830059826823531","0.121946792196846"
"Often","2003","Thuringia","West Germany","","","",""
"Often","2003","Thuringia","East Germany","61","0.0473875119455655","0.0339263604845777","0.0608486634065532"
"Sometimes","2003","Schleswig-Holstein","West Germany","51","0.0891425339835849","0.0675338877922516","0.110751180174918"
"Sometimes","2003","Schleswig-Holstein","East Germany","","","",""
"Sometimes","2003","Hamburg","West Germany","26","","",""
"Sometimes","2003","Hamburg","East Germany","","","",""
"Sometimes","2003","Lower Saxony","West Germany","258","0.131747289386208","0.116575421752705","0.14691915701971"
"Sometimes","2003","Lower Saxony","East Germany","","","",""
"Sometimes","2003","Bremen","West Germany","14","","",""
"Sometimes","2003","Bremen","East Germany","","","",""
"Sometimes","2003","North Rhine-Westphalia","West Germany","450","0.098816065217716","0.0902518155603224","0.10738031487511"
"Sometimes","2003","North Rhine-Westphalia","East Germany","","","",""
"Sometimes","2003","Hesse","West Germany","154","0.0869083593289293","0.0726096371375153","0.101207081520343"
"Sometimes","2003","Hesse","East Germany","","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","West Germany","108","0.0827406428426784","0.067929413003737","0.0975518726816199"
"Sometimes","2003","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Sometimes","2003","Baden-Württemberg","West Germany","266","0.102313780037727","0.0908612538005938","0.113766306274859"
"Sometimes","2003","Baden-Württemberg","East Germany","","","",""
"Sometimes","2003","Bavaria","West Germany","364","0.110492559733941","0.0995114086414453","0.121473710826438"
"Sometimes","2003","Bavaria","East Germany","","","",""
"Sometimes","2003","Berlin","West Germany","46","0.101937651929716","0.0740443819258446","0.129830921933587"
"Sometimes","2003","Berlin","East Germany","27","","",""
"Sometimes","2003","Brandenburg","West Germany","","","",""
"Sometimes","2003","Brandenburg","East Germany","96","0.106212211020912","0.0865052467953437","0.125919175246481"
"Sometimes","2003","Mecklenburg-Western Pomerania","West Germany","","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","East Germany","55","0.0854853133646448","0.0616135841406483","0.109357042588641"
"Sometimes","2003","Saxony","West Germany","","","",""
"Sometimes","2003","Saxony","East Germany","170","0.0972316891447189","0.0827866247887005","0.111676753500737"
"Sometimes","2003","Saxony-Anhalt","West Germany","","","",""
"Sometimes","2003","Saxony-Anhalt","East Germany","115","0.109667355369948","0.0896062449291605","0.129728465810735"
"Sometimes","2003","Thuringia","West Germany","","","",""
"Sometimes","2003","Thuringia","East Germany","107","0.123860114690789","0.102989050834821","0.144731178546758"
"Rarely","2003","Schleswig-Holstein","West Germany","121","0.20396029186043","0.17340404302456","0.234516540696299"
"Rarely","2003","Schleswig-Holstein","East Germany","","","",""
"Rarely","2003","Hamburg","West Germany","75","0.230615795627697","0.182548106795155","0.278683484460238"
"Rarely","2003","Hamburg","East Germany","","","",""
"Rarely","2003","Lower Saxony","West Germany","375","0.185367550819201","0.1679357266998","0.202799374938601"
"Rarely","2003","Lower Saxony","East Germany","","","",""
"Rarely","2003","Bremen","West Germany","17","","",""
"Rarely","2003","Bremen","East Germany","","","",""
"Rarely","2003","North Rhine-Westphalia","West Germany","750","0.154955055686783","0.144569933771198","0.165340177602367"
"Rarely","2003","North Rhine-Westphalia","East Germany","","","",""
"Rarely","2003","Hesse","West Germany","242","0.156553141982857","0.138108551136507","0.174997732829207"
"Rarely","2003","Hesse","East Germany","","","",""
"Rarely","2003","Rhineland-Palatinate,Saarland","West Germany","199","0.156301389459807","0.136777754142207","0.175825024777406"
"Rarely","2003","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Rarely","2003","Baden-Württemberg","West Germany","475","0.158980945387242","0.145162874815343","0.172799015959141"
"Rarely","2003","Baden-Württemberg","East Germany","","","",""
"Rarely","2003","Bavaria","West Germany","615","0.193186922674289","0.179358205836186","0.207015639512392"
"Rarely","2003","Bavaria","East Germany","","","",""
"Rarely","2003","Berlin","West Germany","87","0.169605281304969","0.135008089555368","0.204202473054571"
"Rarely","2003","Berlin","East Germany","64","0.14459240941943","0.108853942523157","0.180330876315703"
"Rarely","2003","Brandenburg","West Germany","","","",""
"Rarely","2003","Brandenburg","East Germany","198","0.194537946469031","0.169219328197266","0.219856564740796"
"Rarely","2003","Mecklenburg-Western Pomerania","West Germany","","","",""
"Rarely","2003","Mecklenburg-Western Pomerania","East Germany","92","0.164537034948434","0.132882333756941","0.196191736139928"
"Rarely","2003","Saxony","West Germany","","","",""
"Rarely","2003","Saxony","East Germany","266","0.169077177880447","0.150802478073244","0.187351877687651"
"Rarely","2003","Saxony-Anhalt","West Germany","","","",""
"Rarely","2003","Saxony-Anhalt","East Germany","181","0.166890687182061","0.142951622350159","0.190829752013962"
"Rarely","2003","Thuringia","West Germany","","","",""
"Rarely","2003","Thuringia","East Germany","191","0.183764436859023","0.159226919908629","0.208301953809417"
"Never","2003","Schleswig-Holstein","West Germany","423","0.573500482061553","0.535995753576412","0.611005210546693"
"Never","2003","Schleswig-Holstein","East Germany","","","",""
"Never","2003","Hamburg","West Germany","160","0.603566741672152","0.547747391736506","0.659386091607797"
"Never","2003","Hamburg","East Germany","","","",""
"Never","2003","Lower Saxony","West Germany","979","0.54970800276073","0.527389848713711","0.572026156807748"
"Never","2003","Lower Saxony","East Germany","","","",""
"Never","2003","Bremen","West Germany","126","0.723407218021074","0.656751581569511","0.790062854472637"
"Never","2003","Bremen","East Germany","","","",""
"Never","2003","North Rhine-Westphalia","West Germany","2970","0.643440791031969","0.629694392087369","0.657187189976569"
"Never","2003","North Rhine-Westphalia","East Germany","","","",""
"Never","2003","Hesse","West Germany","879","0.625802774000636","0.601239950187761","0.650365597813512"
"Never","2003","Hesse","East Germany","","","",""
"Never","2003","Rhineland-Palatinate,Saarland","West Germany","818","0.613082419229525","0.586897317613019","0.639267520846031"
"Never","2003","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Never","2003","Baden-Württemberg","West Germany","1592","0.607571476543404","0.589119158874339","0.626023794212469"
"Never","2003","Baden-Württemberg","East Germany","","","",""
"Never","2003","Bavaria","West Germany","1592","0.526188350926018","0.508698744407741","0.543677957444294"
"Never","2003","Bavaria","East Germany","","","",""
"Never","2003","Berlin","West Germany","283","0.639516948325723","0.595253287607555","0.683780609043892"
"Never","2003","Berlin","East Germany","254","0.702318548076757","0.655854228919528","0.748782867233985"
"Never","2003","Brandenburg","West Germany","","","",""
"Never","2003","Brandenburg","East Germany","557","0.600329831780208","0.568999779179356","0.63165988438106"
"Never","2003","Mecklenburg-Western Pomerania","West Germany","","","",""
"Never","2003","Mecklenburg-Western Pomerania","East Germany","332","0.666639565374278","0.626391468180196","0.70688766256836"
"Never","2003","Saxony","West Germany","","","",""
"Never","2003","Saxony","East Germany","1011","0.635995144146497","0.612536230245785","0.659454058047209"
"Never","2003","Saxony-Anhalt","West Germany","","","",""
"Never","2003","Saxony-Anhalt","East Germany","499","0.586426657389167","0.554809468355267","0.618043846423066"
"Never","2003","Thuringia","West Germany","","","",""
"Never","2003","Thuringia","East Germany","569","0.60235848005981","0.571351069540251","0.633365890579368"
"Very often","2004","Schleswig-Holstein","West Germany","","","",""
"Very often","2004","Schleswig-Holstein","East Germany","","","",""
"Very often","2004","Hamburg","West Germany","","","",""
"Very often","2004","Hamburg","East Germany","","","",""
"Very often","2004","Lower Saxony","West Germany","","","",""
"Very often","2004","Lower Saxony","East Germany","","","",""
"Very often","2004","Bremen","West Germany","","","",""
