"pld0045","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Urban Area","East Germany","1149","0.655130741646263","0.633347000419678","0.676914482872848","5"
"Never","2003","Rural Area","West Germany","1805","0.507583004679137","0.491666469295518","0.523499540062757","5"
"Never","2003","Rural Area","East Germany","2073","0.610460433301324","0.594337213998326","0.626583652604322","5"
"Never","2003","Urban Area","West Germany","8017","0.625327872390338","0.617011084024231","0.633644660756445","5"
"Often","2003","Urban Area","East Germany","121","0.0568581935663084","0.0462454843431269","0.0674709027894899","2"
"Often","2003","Rural Area","West Germany","415","0.101266653208711","0.0916621005352205","0.110871205882201","2"
"Often","2003","Urban Area","West Germany","1003","0.0721055369385172","0.0676611725104525","0.0765499013665819","2"
"Often","2003","Rural Area","East Germany","253","0.0698906069839301","0.0614606834802269","0.0783205304876333","2"
"Rarely","2003","Urban Area","East Germany","301","0.156539498721212","0.139886763282148","0.173192234160276","4"
"Rarely","2003","Urban Area","West Germany","2161","0.162724338975856","0.156382188308857","0.169066489642855","4"
"Rarely","2003","Rural Area","West Germany","795","0.19478922862264","0.182180661265947","0.207397795979334","4"
"Rarely","2003","Rural Area","East Germany","691","0.180924983482756","0.168197037517861","0.193652929447651","4"
"Sometimes","2003","Urban Area","East Germany","188","0.0929155833603537","0.0796107521217783","0.106220414598929","3"
"Sometimes","2003","Rural Area","East Germany","382","0.105798072373826","0.0956284719145854","0.115967672833066","3"
"Sometimes","2003","Rural Area","West Germany","522","0.129844317068823","0.119142970239262","0.140545663898383","3"
"Sometimes","2003","Urban Area","West Germany","1215","0.0941189273001599","0.0891018575262117","0.099135997074108","3"
"Very often","2003","Urban Area","West Germany","616","0.0457233243951285","0.0421342528336127","0.0493123959566443","1"
"Very often","2003","Urban Area","East Germany","70","0.0385559827058632","0.029732315347844","0.0473796500638824","1"
"Very often","2003","Rural Area","West Germany","253","0.0665167964206885","0.0585836147039064","0.0744499781374707","1"
"Very often","2003","Rural Area","East Germany","115","0.0329259038581646","0.0270259863346645","0.0388258213816646","1"
"Never","2004","Rural Area","West Germany","","","","","5"
"Never","2004","Rural Area","East Germany","","","","","5"
"Never","2004","Urban Area","West Germany","","","","","5"
"Never","2004","Urban Area","East Germany","","","","","5"
"Often","2004","Rural Area","West Germany","","","","","2"
"Often","2004","Urban Area","West Germany","","","","","2"
"Often","2004","Urban Area","East Germany","","","","","2"
"Often","2004","Rural Area","East Germany","","","","","2"
"Rarely","2004","Urban Area","West Germany","","","","","4"
"Rarely","2004","Urban Area","East Germany","","","","","4"
"Rarely","2004","Rural Area","West Germany","","","","","4"
"Rarely","2004","Rural Area","East Germany","","","","","4"
"Sometimes","2004","Urban Area","West Germany","","","","","3"
"Sometimes","2004","Rural Area","West Germany","","","","","3"
"Sometimes","2004","Rural Area","East Germany","","","","","3"
"Sometimes","2004","Urban Area","East Germany","","","","","3"
"Very often","2004","Urban Area","West Germany","","","","","1"
"Very often","2004","Urban Area","East Germany","","","","","1"
"Very often","2004","Rural Area","West Germany","","","","","1"
"Very often","2004","Rural Area","East Germany","","","","","1"
"Never","2005","Urban Area","West Germany","","","","","5"
"Never","2005","Urban Area","East Germany","","","","","5"
"Never","2005","Rural Area","West Germany","","","","","5"
"Never","2005","Rural Area","East Germany","","","","","5"
"Often","2005","Urban Area","West Germany","","","","","2"
"Often","2005","Urban Area","East Germany","","","","","2"
"Often","2005","Rural Area","East Germany","","","","","2"
"Often","2005","Rural Area","West Germany","","","","","2"
"Rarely","2005","Urban Area","West Germany","","","","","4"
"Rarely","2005","Rural Area","East Germany","","","","","4"
"Rarely","2005","Urban Area","East Germany","","","","","4"
"Rarely","2005","Rural Area","West Germany","","","","","4"
"Sometimes","2005","Rural Area","East Germany","","","","","3"
"Sometimes","2005","Urban Area","West Germany","","","","","3"
"Sometimes","2005","Urban Area","East Germany","","","","","3"
"Sometimes","2005","Rural Area","West Germany","","","","","3"
"Very often","2005","Rural Area","East Germany","","","","","1"
"Very often","2005","Urban Area","West Germany","","","","","1"
"Very often","2005","Urban Area","East Germany","","","","","1"
"Very often","2005","Rural Area","West Germany","","","","","1"
"Never","2006","Urban Area","West Germany","","","","","5"
"Never","2006","Urban Area","East Germany","","","","","5"
"Never","2006","Rural Area","West Germany","","","","","5"
"Never","2006","Rural Area","East Germany","","","","","5"
"Often","2006","Urban Area","West Germany","","","","","2"
"Often","2006","Urban Area","East Germany","","","","","2"
"Often","2006","Rural Area","East Germany","","","","","2"
"Often","2006","Rural Area","West Germany","","","","","2"
"Rarely","2006","Rural Area","East Germany","","","","","4"
"Rarely","2006","Urban Area","West Germany","","","","","4"
"Rarely","2006","Urban Area","East Germany","","","","","4"
"Rarely","2006","Rural Area","West Germany","","","","","4"
"Sometimes","2006","Rural Area","East Germany","","","","","3"
"Sometimes","2006","Urban Area","West Germany","","","","","3"
"Sometimes","2006","Urban Area","East Germany","","","","","3"
"Sometimes","2006","Rural Area","West Germany","","","","","3"
"Very often","2006","Rural Area","East Germany","","","","","1"
"Very often","2006","Urban Area","West Germany","","","","","1"
