"pld0045","year","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Male","447","0.0419350634264592","0.0381296980865392","0.0457404287663792"
"Very often","2003","Female","607","0.0528098800526379","0.0487199022528611","0.0568998578524147"
"Often","2003","Male","870","0.0777564445851","0.0726724948887335","0.0828403942814665"
"Often","2003","Female","922","0.0748662796562637","0.070053564460041","0.0796789948524863"
"Sometimes","2003","Male","1150","0.10616522979894","0.1003169248839","0.112013534713979"
"Sometimes","2003","Female","1157","0.0982926036963676","0.0928483542432601","0.103736853149475"
"Rarely","2003","Male","2020","0.185859373252324","0.178474344664778","0.19324440183987"
"Rarely","2003","Female","1928","0.156086946156261","0.149449868108444","0.162724024204077"
"Never","2003","Male","6171","0.588283888937178","0.578940538428299","0.597627239446056"
"Never","2003","Female","6873","0.61794429043847","0.609058771648993","0.626829809227948"
"Very often","2004","Male","","","",""
"Very often","2004","Female","","","",""
"Often","2004","Male","","","",""
"Often","2004","Female","","","",""
"Sometimes","2004","Male","","","",""
"Sometimes","2004","Female","","","",""
"Rarely","2004","Male","","","",""
"Rarely","2004","Female","","","",""
"Never","2004","Male","","","",""
"Never","2004","Female","","","",""
"Very often","2005","Male","","","",""
"Very often","2005","Female","","","",""
"Often","2005","Male","","","",""
"Often","2005","Female","","","",""
"Sometimes","2005","Male","","","",""
"Sometimes","2005","Female","","","",""
"Rarely","2005","Male","","","",""
"Rarely","2005","Female","","","",""
"Never","2005","Male","","","",""
"Never","2005","Female","","","",""
"Very often","2006","Male","","","",""
"Very often","2006","Female","","","",""
"Often","2006","Male","","","",""
"Often","2006","Female","","","",""
"Sometimes","2006","Male","","","",""
"Sometimes","2006","Female","","","",""
"Rarely","2006","Male","","","",""
"Rarely","2006","Female","","","",""
"Never","2006","Male","","","",""
"Never","2006","Female","","","",""
"Very often","2007","Male","","","",""
"Very often","2007","Female","","","",""
"Often","2007","Male","","","",""
"Often","2007","Female","","","",""
"Sometimes","2007","Male","","","",""
"Sometimes","2007","Female","","","",""
"Rarely","2007","Male","","","",""
"Rarely","2007","Female","","","",""
