"pld0045","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Not Employed","Male","122","0.0367836474913868","0.0302352663473204","0.0433320286354533"
"Very often","2003","Not Employed","Female","211","0.0427505061370038","0.0371264052866389","0.0483746069873686"
"Very often","2003","Employed","Male","325","0.0444253732956237","0.039757392623079","0.0490933539681683"
"Very often","2003","Employed","Female","396","0.0624566617767004","0.0565816425708596","0.0683316809825413"
"Often","2003","Not Employed","Male","200","0.0565322562565426","0.0484978032004326","0.0645667093126526"
"Often","2003","Not Employed","Female","309","0.0583810527827368","0.0518626160868634","0.0648994894786103"
"Often","2003","Employed","Male","670","0.0880166927044102","0.0815978435605644","0.094435541848256"
"Often","2003","Employed","Female","613","0.0906753535264975","0.0837038196753099","0.0976468873776851"
"Sometimes","2003","Not Employed","Male","275","0.0852055098486519","0.0754928039237201","0.0949182157735838"
"Sometimes","2003","Not Employed","Female","420","0.0822694483449337","0.0746302676268755","0.0899086290629918"
"Sometimes","2003","Employed","Male","875","0.116297627979361","0.109034567836538","0.123560688122185"
"Sometimes","2003","Employed","Female","737","0.113658558228169","0.105952614564217","0.121364501892122"
"Rarely","2003","Not Employed","Male","471","0.149058220969566","0.136668186344678","0.161448255594453"
"Rarely","2003","Not Employed","Female","706","0.132951157488699","0.123511902037498","0.1423904129399"
"Rarely","2003","Employed","Male","1549","0.203649874714732","0.19452608427529","0.212773665154173"
"Rarely","2003","Employed","Female","1222","0.178273804420186","0.168981325966471","0.187566282873901"
"Never","2003","Not Employed","Male","2106","0.672420365433853","0.656092722059386","0.688748008808319"
"Never","2003","Not Employed","Female","3324","0.683647835246627","0.670718639119942","0.696577031373311"
"Never","2003","Employed","Male","4065","0.547610431305873","0.536333956630306","0.558886905981441"
"Never","2003","Employed","Female","3549","0.554935622048446","0.542869799047681","0.567001445049212"
"Very often","2004","Not Employed","Male","","","",""
"Very often","2004","Not Employed","Female","","","",""
"Very often","2004","Employed","Male","","","",""
"Very often","2004","Employed","Female","","","",""
"Often","2004","Not Employed","Male","","","",""
"Often","2004","Not Employed","Female","","","",""
"Often","2004","Employed","Male","","","",""
"Often","2004","Employed","Female","","","",""
"Sometimes","2004","Not Employed","Male","","","",""
"Sometimes","2004","Not Employed","Female","","","",""
"Sometimes","2004","Employed","Male","","","",""
"Sometimes","2004","Employed","Female","","","",""
"Rarely","2004","Not Employed","Male","","","",""
"Rarely","2004","Not Employed","Female","","","",""
"Rarely","2004","Employed","Male","","","",""
"Rarely","2004","Employed","Female","","","",""
"Never","2004","Not Employed","Male","","","",""
"Never","2004","Not Employed","Female","","","",""
"Never","2004","Employed","Male","","","",""
"Never","2004","Employed","Female","","","",""
"Very often","2005","Not Employed","Male","","","",""
"Very often","2005","Not Employed","Female","","","",""
"Very often","2005","Employed","Male","","","",""
"Very often","2005","Employed","Female","","","",""
"Often","2005","Not Employed","Male","","","",""
"Often","2005","Not Employed","Female","","","",""
"Often","2005","Employed","Male","","","",""
"Often","2005","Employed","Female","","","",""
"Sometimes","2005","Not Employed","Male","","","",""
"Sometimes","2005","Not Employed","Female","","","",""
"Sometimes","2005","Employed","Male","","","",""
"Sometimes","2005","Employed","Female","","","",""
"Rarely","2005","Not Employed","Male","","","",""
"Rarely","2005","Not Employed","Female","","","",""
"Rarely","2005","Employed","Male","","","",""
"Rarely","2005","Employed","Female","","","",""
"Never","2005","Not Employed","Male","","","",""
"Never","2005","Not Employed","Female","","","",""
"Never","2005","Employed","Male","","","",""
"Never","2005","Employed","Female","","","",""
"Very often","2006","Not Employed","Male","","","",""
"Very often","2006","Not Employed","Female","","","",""
"Very often","2006","Employed","Male","","","",""
"Very often","2006","Employed","Female","","","",""
"Often","2006","Not Employed","Male","","","",""
"Often","2006","Not Employed","Female","","","",""
"Often","2006","Employed","Male","","","",""
"Often","2006","Employed","Female","","","",""
"Sometimes","2006","Not Employed","Male","","","",""
"Sometimes","2006","Not Employed","Female","","","",""
"Sometimes","2006","Employed","Male","","","",""
"Sometimes","2006","Employed","Female","","","",""
"Rarely","2006","Not Employed","Male","","","",""
"Rarely","2006","Not Employed","Female","","","",""
"Rarely","2006","Employed","Male","","","",""
"Rarely","2006","Employed","Female","","","",""
"Never","2006","Not Employed","Male","","","",""
"Never","2006","Not Employed","Female","","","",""
"Never","2006","Employed","Male","","","",""
"Never","2006","Employed","Female","","","",""
"Very often","2007","Not Employed","Male","","","",""
"Very often","2007","Not Employed","Female","","","",""
"Very often","2007","Employed","Male","","","",""
"Very often","2007","Employed","Female","","","",""
"Often","2007","Not Employed","Male","","","",""
"Often","2007","Not Employed","Female","","","",""
"Often","2007","Employed","Male","","","",""
"Often","2007","Employed","Female","","","",""
"Sometimes","2007","Not Employed","Male","","","",""
"Sometimes","2007","Not Employed","Female","","","",""
"Sometimes","2007","Employed","Male","","","",""
"Sometimes","2007","Employed","Female","","","",""
"Rarely","2007","Not Employed","Male","","","",""
"Rarely","2007","Not Employed","Female","","","",""
"Rarely","2007","Employed","Male","","","",""
"Rarely","2007","Employed","Female","","","",""
"Never","2007","Not Employed","Male","","","",""
"Never","2007","Not Employed","Female","","","",""
"Never","2007","Employed","Male","","","",""
"Never","2007","Employed","Female","","","",""
"Very often","2008","Not Employed","Male","103","0.0319789653610521","0.0257286724778337","0.0382292582442705"
"Very often","2008","Not Employed","Female","187","0.0414457116669392","0.0355442435888641","0.0473471797450142"
"Very often","2008","Employed","Male","341","0.0576245526371245","0.0518014332761278","0.0634476719981212"
"Very often","2008","Employed","Female","384","0.0643958937613958","0.0580371192360207","0.070754668286771"
"Often","2008","Not Employed","Male","207","0.0806174881901884","0.0709461066319658","0.090288869748411"
"Often","2008","Not Employed","Female","320","0.0720614567522246","0.0644050846852994","0.0797178288191497"
"Often","2008","Employed","Male","607","0.0947612827969738","0.087442532104908","0.102080033489039"
"Often","2008","Employed","Female","595","0.103279796573169","0.0953960175512476","0.11116357559509"
"Sometimes","2008","Not Employed","Male","251","0.0792511001350801","0.0696549060936853","0.0888472941764749"
"Sometimes","2008","Not Employed","Female","344","0.0778305736414184","0.069898396946713","0.0857627503361239"
"Sometimes","2008","Employed","Male","720","0.112733644528783","0.104830613116094","0.120636675941473"
"Sometimes","2008","Employed","Female","679","0.121307372934155","0.112849515342924","0.129765230525386"
"Rarely","2008","Not Employed","Male","496","0.169296086289077","0.155973996560147","0.182618176018008"
"Rarely","2008","Not Employed","Female","626","0.132638464021799","0.122595851049751","0.142681076993848"
"Rarely","2008","Employed","Male","1219","0.196409239423912","0.186481774713613","0.206336704134211"
"Rarely","2008","Employed","Female","1031","0.184233505892687","0.174190458349941","0.194276553435434"
"Never","2008","Not Employed","Male","1987","0.638856360024602","0.621792889609266","0.655919830439939"
"Never","2008","Not Employed","Female","2905","0.676023793917618","0.66216742450836","0.689880163326877"
"Never","2008","Employed","Male","3265","0.538471280613206","0.526014076925921","0.550928484300491"
