"pld0045","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Full Time","(0) in school","","","",""
"Very often","2003","Full Time","(1a) inadequately completed","2","","",""
"Very often","2003","Full Time","(1b) general elementary school","13","","",""
"Very often","2003","Full Time","(1c) basic vocational qualification","91","0.0500245928230719","0.0406831230394934","0.0593660626066505"
"Very often","2003","Full Time","(2b) intermediate general qualification","15","","",""
"Very often","2003","Full Time","(2a) intermediate vocational","103","0.0406854911721089","0.0330340438979683","0.0483369384462495"
"Very often","2003","Full Time","(2c_gen) general maturity certificate","4","","",""
"Very often","2003","Full Time","(2c_voc) vocational maturity certificate","28","","",""
"Very often","2003","Full Time","(3a) lower tertiary education","52","0.0491337664890258","0.0354178874918463","0.0628496454862052"
"Very often","2003","Full Time","(3b) higher tertiary education","80","0.0463705182198665","0.0358780916823697","0.0568629447573634"
"Very often","2003","Part Time","(0) in school","7","","",""
"Very often","2003","Part Time","(1a) inadequately completed","4","","",""
"Very often","2003","Part Time","(1b) general elementary school","13","","",""
"Very often","2003","Part Time","(1c) basic vocational qualification","64","0.0587495204830563","0.0454556750321845","0.0720433659339281"
"Very often","2003","Part Time","(2b) intermediate general qualification","20","","",""
"Very often","2003","Part Time","(2a) intermediate vocational","77","0.0656542806274249","0.0527035207057817","0.0786050405490682"
"Very often","2003","Part Time","(2c_gen) general maturity certificate","31","0.0750792794705465","0.0476282420085775","0.102530316932515"
"Very often","2003","Part Time","(2c_voc) vocational maturity certificate","44","0.0920855705031905","0.0645633535848879","0.119607787421493"
"Very often","2003","Part Time","(3a) lower tertiary education","18","","",""
"Very often","2003","Part Time","(3b) higher tertiary education","45","0.0816691611029296","0.0592066311830748","0.104131691022784"
"Very often","2003","Not Working","(0) in school","31","0.0695894470995772","0.0471509573240421","0.0920279368751124"
"Very often","2003","Not Working","(1a) inadequately completed","7","","",""
"Very often","2003","Not Working","(1b) general elementary school","52","0.0400519613121967","0.0293601178669615","0.050743804757432"
"Very often","2003","Not Working","(1c) basic vocational qualification","95","0.0288636886942561","0.0228746273776148","0.0348527500108975"
"Very often","2003","Not Working","(2b) intermediate general qualification","9","","",""
"Very often","2003","Not Working","(2a) intermediate vocational","55","0.0538365304472187","0.0409372332152578","0.0667358276791795"
"Very often","2003","Not Working","(2c_gen) general maturity certificate","19","","",""
"Very often","2003","Not Working","(2c_voc) vocational maturity certificate","19","","",""
"Very often","2003","Not Working","(3a) lower tertiary education","15","","",""
"Very often","2003","Not Working","(3b) higher tertiary education","26","","",""
"Often","2003","Full Time","(0) in school","","","",""
"Often","2003","Full Time","(1a) inadequately completed","5","","",""
"Often","2003","Full Time","(1b) general elementary school","23","","",""
"Often","2003","Full Time","(1c) basic vocational qualification","197","0.0943130702386471","0.0817890937804338","0.10683704669686"
"Often","2003","Full Time","(2b) intermediate general qualification","19","","",""
