"pld0045","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","higher vocational","West Germany","643","0.536284273196659","0.508438057664241","0.564130488729077","5"
"Never","2003","higher vocational","East Germany","258","0.581866131127086","0.536393709150461","0.627338553103711","5"
"Never","2003","higher education","West Germany","1580","0.523648373845108","0.50593516348358","0.541361584206637","5"
"Never","2003","higher education","East Germany","699","0.587334604921091","0.560458677907512","0.61421053193467","5"
"Never","2003","inadequately","West Germany","175","0.722249128385758","0.666392998310779","0.778105258460736","5"
"Never","2003","inadequately","East Germany","14","","","","5"
"Never","2003","general elemantary","West Germany","1530","0.682682712074766","0.663759870708665","0.701605553440868","5"
"Never","2003","general elemantary","East Germany","267","0.633810434759454","0.587626319860552","0.679994549658357","5"
"Never","2003","middle vocational","West Germany","5032","0.614545680730327","0.604073794400716","0.625017567059938","5"
"Never","2003","middle vocational","East Germany","1769","0.642565723926015","0.624846209884457","0.660285237967574","5"
"Never","2003","vocational + Abi","West Germany","537","0.515185594070059","0.48451532271233","0.545855865427789","5"
"Never","2003","vocational + Abi","East Germany","87","0.700762798585109","0.625708877949044","0.775816719221174","5"
"Never","2003","in school","West Germany","235","0.515288314521615","0.469164341235745","0.561412287807486","5"
"Never","2003","in school","East Germany","89","0.548397278746163","0.471044583709626","0.6257499737827","5"
"Often","2003","in school","West Germany","37","0.103440337025093","0.0753346386390674","0.131546035411119","2"
"Often","2003","in school","East Germany","14","","","","2"
"Often","2003","inadequately","West Germany","13","","","","2"
"Often","2003","inadequately","East Germany","","","","","2"
"Often","2003","general elemantary","West Germany","156","0.0605506898620403","0.0508539386568542","0.0702474410672264","2"
"Often","2003","general elemantary","East Germany","26","","","","2"
"Often","2003","middle vocational","West Germany","647","0.0744435284317154","0.0687957674154493","0.0800912894479815","2"
"Often","2003","middle vocational","East Germany","186","0.065614250027814","0.0564592759502029","0.0747692241054251","2"
"Often","2003","vocational + Abi","West Germany","98","0.0990545117781948","0.0807214756876673","0.117387547868722","2"
"Often","2003","vocational + Abi","East Germany","13","","","","2"
"Often","2003","higher vocational","West Germany","135","0.0944871823052621","0.0781537864672505","0.110820578143274","2"
"Often","2003","higher vocational","East Germany","38","0.0903387452373716","0.0639112654542149","0.116766225020528","2"
"Often","2003","higher education","West Germany","318","0.0962272033904839","0.0857681557956608","0.106686250985307","2"
"Often","2003","higher education","East Germany","95","0.0575136491844403","0.0448036761523977","0.0702236222164828","2"
"Rarely","2003","middle vocational","West Germany","1429","0.169183428817756","0.161116785352402","0.177250072283111","4"
"Rarely","2003","higher vocational","East Germany","88","0.164470426759717","0.130295806588795","0.198645046930638","4"
"Rarely","2003","higher education","West Germany","600","0.197170730142973","0.183060100413555","0.211281359872391","4"
"Rarely","2003","higher education","East Germany","281","0.19844090644023","0.176668571531088","0.220213241349372","4"
"Rarely","2003","general elemantary","East Germany","74","0.169985513932413","0.133976706152991","0.205994321711834","4"
"Rarely","2003","middle vocational","East Germany","482","0.164127965425566","0.150433151942327","0.177822778908805","4"
"Rarely","2003","vocational + Abi","West Germany","193","0.171194515399854","0.148078166710048","0.19431086408966","4"
"Rarely","2003","vocational + Abi","East Germany","25","","","","4"
"Rarely","2003","higher vocational","West Germany","238","0.186631549838886","0.16487555587533","0.208387543802442","4"
"Rarely","2003","in school","West Germany","95","0.203400474753572","0.16625073097029","0.240550218536854","4"
"Rarely","2003","in school","East Germany","33","0.213899760302263","0.150162463245451","0.277637057359075","4"
"Rarely","2003","inadequately","West Germany","31","0.114121613433617","0.0744691093152976","0.153774117551937","4"
"Rarely","2003","inadequately","East Germany","1","","","","4"
"Rarely","2003","general elemantary","West Germany","326","0.134547941018257","0.12067431239205","0.148421569644464","4"
"Sometimes","2003","higher vocational","East Germany","51","0.125696515897586","0.0951352317996335","0.156257799995538","3"
"Sometimes","2003","higher education","West Germany","369","0.126786576296692","0.114985804458559","0.138587348134826","3"
"Sometimes","2003","middle vocational","West Germany","808","0.0968052707176369","0.0904431548400423","0.103167386595231","3"
"Sometimes","2003","middle vocational","East Germany","284","0.0964046648835615","0.0854919968057628","0.10731733296136","3"
"Sometimes","2003","higher vocational","West Germany","142","0.112933141089104","0.0952592726438046","0.130607009534404","3"
"Sometimes","2003","vocational + Abi","East Germany","15","","","","3"
"Sometimes","2003","vocational + Abi","West Germany","122","0.142168796175702","0.120737370223897","0.163600222127507","3"
"Sometimes","2003","higher education","East Germany","165","0.121945891725977","0.104082420331373","0.139809363120582","3"
"Sometimes","2003","in school","West Germany","54","0.108940878980595","0.0801862003867055","0.137695557574484","3"
"Sometimes","2003","in school","East Germany","15","","","","3"
"Sometimes","2003","inadequately","West Germany","15","","","","3"
"Sometimes","2003","inadequately","East Germany","","","","","3"
"Sometimes","2003","general elemantary","West Germany","208","0.079648757649184","0.0686410640180393","0.0906564512803286","3"
"Sometimes","2003","general elemantary","East Germany","35","0.0825103087756846","0.0561339614522748","0.108886656099095","3"
"Very often","2003","in school","West Germany","30","0.0689299947191244","0.0455494238606383","0.0923105655776105","1"
"Very often","2003","in school","East Germany","8","","","","1"
"Very often","2003","inadequately","West Germany","13","","","","1"
"Very often","2003","inadequately","East Germany","","","","","1"
"Very often","2003","general elemantary","West Germany","104","0.0425698993957521","0.03436194604238","0.0507778527491242","1"
"Very often","2003","general elemantary","East Germany","16","","","","1"
