"pld0045","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","1-pers.-HH","no migration background","1751","0.669255286840443","0.65138274073031","0.687127832950576","5"
"Never","2003","1-pers.-HH","direct migration background","158","0.626980023593304","0.565148911617739","0.688811135568869","5"
"Never","2003","(Married) couple without C. ","no migration background","4145","0.655213312215238","0.643589576393577","0.6668370480369","5"
"Never","2003","(Married) couple without C. ","indirect migration background","73","0.596271755485899","0.509208508220107","0.683335002751691","5"
"Never","2003","1-pers.-HH","indirect migration background","50","0.569845466639625","0.463969046431486","0.675721886847763","5"
"Never","2003","(Married) couple without C. ","direct migration background","499","0.706706540700297","0.67377054438234","0.739642537018253","5"
"Never","2003","Single parent ","no migration background","510","0.536528953260383","0.504040301622009","0.569017604898758","5"
"Never","2003","Single parent ","direct migration background","90","0.641322089617027","0.562713412586961","0.719930766647092","5"
"Never","2003","Single parent ","indirect migration background","28","","","","5"
"Never","2003","Couple + C. LE 16 ","no migration background","1695","0.481206364294641","0.464716831060373","0.497695897528909","5"
"Never","2003","Couple + C. LE 16 ","direct migration background","414","0.577027224076303","0.539478807459553","0.614575640693054","5"
"Never","2003","Couple + C. LE 16 ","indirect migration background","110","0.661533733519891","0.591225342430386","0.731842124609397","5"
"Never","2003","Couple + C. GT 16 ","no migration background","1813","0.558606943459189","0.541734126159618","0.57547976075876","5"
"Never","2003","Couple + C. GT 16 ","direct migration background","274","0.62582051909415","0.580029076217939","0.671611961970362","5"
"Never","2003","Couple + C. LE and GT 16","direct migration background","178","0.539312446445088","0.482238521214439","0.596386371675737","5"
"Never","2003","Couple + C. LE and GT 16","indirect migration background","78","0.585184088531485","0.499831427821036","0.670536749241933","5"
"Never","2003","Couple + C. GT 16 ","indirect migration background","112","0.6216076271541","0.551340548138217","0.691874706169983","5"
"Never","2003","Couple + C. LE and GT 16","no migration background","694","0.496125532347642","0.470046726099056","0.522204338596228","5"
"Often","2003","(Married) couple without C. ","direct migration background","53","0.0820924504968451","0.0622337355558009","0.101951165437889","2"
"Often","2003","1-pers.-HH","no migration background","173","0.0592433739156811","0.0502752293541551","0.0682115184772071","2"
"Often","2003","1-pers.-HH","direct migration background","14","","","","2"
"Often","2003","1-pers.-HH","indirect migration background","2","","","","2"
"Often","2003","(Married) couple without C. ","no migration background","426","0.0599148745126879","0.0541108391799206","0.0657189098454553","2"
"Often","2003","(Married) couple without C. ","indirect migration background","11","","","","2"
"Often","2003","Single parent ","no migration background","91","0.106777938159436","0.0866571824923802","0.126898693826492","2"
"Often","2003","Single parent ","direct migration background","15","","","","2"
"Often","2003","Couple + C. LE 16 ","direct migration background","44","0.0772287878534302","0.0569391686511946","0.0975184070556657","2"
"Often","2003","Couple + C. LE 16 ","indirect migration background","18","","","","2"
"Often","2003","Couple + C. GT 16 ","no migration background","298","0.0873136641477331","0.0777213460595698","0.0969059822358965","2"
"Often","2003","Single parent ","indirect migration background","8","","","","2"
"Often","2003","Couple + C. LE 16 ","no migration background","368","0.0997572240583086","0.0898671996945021","0.109647248422115","2"
"Often","2003","Couple + C. GT 16 ","direct migration background","24","","","","2"
"Often","2003","Couple + C. GT 16 ","indirect migration background","10","","","","2"
"Often","2003","Couple + C. LE and GT 16","no migration background","148","0.112998140201839","0.0964850384989085","0.129511241904769","2"
"Often","2003","Couple + C. LE and GT 16","direct migration background","25","","","","2"
"Often","2003","Couple + C. LE and GT 16","indirect migration background","10","","","","2"
"Rarely","2003","1-pers.-HH","indirect migration background","19","","","","4"
"Rarely","2003","1-pers.-HH","direct migration background","30","0.151286825376087","0.105473144469666","0.197100506282507","4"
"Rarely","2003","1-pers.-HH","no migration background","385","0.138661697295039","0.125533375859273","0.151790018730805","4"
"Rarely","2003","(Married) couple without C. ","no migration background","1075","0.161943971616999","0.152934526371446","0.170953416862552","4"
"Rarely","2003","(Married) couple without C. ","direct migration background","85","0.113974846757919","0.0909854489621154","0.136964244553722","4"
"Rarely","2003","(Married) couple without C. ","indirect migration background","24","","","","4"
"Rarely","2003","Single parent ","no migration background","162","0.185998217508195","0.160647464119399","0.211348970896992","4"
"Rarely","2003","Single parent ","direct migration background","20","","","","4"
"Rarely","2003","Single parent ","indirect migration background","16","","","","4"
"Rarely","2003","Couple + C. LE 16 ","no migration background","765","0.210846139738211","0.197384156951397","0.224308122525025","4"
"Rarely","2003","Couple + C. LE 16 ","direct migration background","101","0.175663024336177","0.146740923465811","0.204585125206543","4"
"Rarely","2003","Couple + C. LE 16 ","indirect migration background","31","0.168337410067916","0.112742200632473","0.223932619503359","4"
"Rarely","2003","Couple + C. GT 16 ","no migration background","675","0.184615382436954","0.171431695251922","0.197799069621986","4"
"Rarely","2003","Couple + C. GT 16 ","direct migration background","72","0.183448491356738","0.14682427760984","0.220072705103636","4"
"Rarely","2003","Couple + C. GT 16 ","indirect migration background","38","0.199062277591999","0.141210540379917","0.256914014804081","4"
"Rarely","2003","Couple + C. LE and GT 16","no migration background","289","0.2040708716102","0.183049625746396","0.225092117474004","4"
"Rarely","2003","Couple + C. LE and GT 16","direct migration background","45","0.22061536528462","0.173135652958505","0.268095077610734","4"
"Rarely","2003","Couple + C. LE and GT 16","indirect migration background","19","","","","4"
"Sometimes","2003","Single parent ","direct migration background","13","","","","3"
"Sometimes","2003","1-pers.-HH","no migration background","219","0.0848743294748491","0.0742873367990404","0.0954613221506578","3"
"Sometimes","2003","1-pers.-HH","direct migration background","22","","","","3"
"Sometimes","2003","1-pers.-HH","indirect migration background","5","","","","3"
"Sometimes","2003","(Married) couple without C. ","no migration background","550","0.0860258388576043","0.0791684220567813","0.0928832556584272","3"
"Sometimes","2003","(Married) couple without C. ","direct migration background","58","0.0589929332259953","0.0419479531158138","0.0760379133361769","3"
"Sometimes","2003","(Married) couple without C. ","indirect migration background","11","","","","3"
"Sometimes","2003","Single parent ","no migration background","96","0.117839072910052","0.0968331209011482","0.138845024918956","3"
"Sometimes","2003","Single parent ","indirect migration background","7","","","","3"
"Sometimes","2003","Couple + C. LE 16 ","no migration background","488","0.15014331208802","0.138354468506183","0.161932155669857","3"
"Sometimes","2003","Couple + C. LE 16 ","direct migration background","73","0.116076628174341","0.0917312251163759","0.140422031232307","3"
"Sometimes","2003","Couple + C. LE 16 ","indirect migration background","6","","","","3"
"Sometimes","2003","Couple + C. GT 16 ","direct migration background","41","0.0869787346750382","0.0603122091210708","0.113645260229006","3"
"Sometimes","2003","Couple + C. GT 16 ","indirect migration background","16","","","","3"
"Sometimes","2003","Couple + C. LE and GT 16","no migration background","199","0.129738629244503","0.112212328956984","0.147264929532022","3"
"Sometimes","2003","Couple + C. GT 16 ","no migration background","385","0.118949031199741","0.107948778505998","0.129949283893484","3"
"Sometimes","2003","Couple + C. LE and GT 16","direct migration background","35","0.110681296999546","0.074757675354689","0.146604918644404","3"
"Sometimes","2003","Couple + C. LE and GT 16","indirect migration background","9","","","","3"
"Very often","2003","1-pers.-HH","no migration background","134","0.0479653124739877","0.0398475920394249","0.0560830329085505","1"
"Very often","2003","1-pers.-HH","direct migration background","11","","","","1"
"Very often","2003","1-pers.-HH","indirect migration background","8","","","","1"
"Very often","2003","(Married) couple without C. ","no migration background","227","0.0369020027974708","0.0322915950264053","0.0415124105685364","1"
"Very often","2003","(Married) couple without C. ","direct migration background","39","0.0382332288189438","0.0243607064691506","0.0521057511687371","1"
"Very often","2003","(Married) couple without C. ","indirect migration background","3","","","","1"
"Very often","2003","Single parent ","no migration background","46","0.0528558181619332","0.0382784793082842","0.0674331570155823","1"
"Very often","2003","Single parent ","direct migration background","5","","","","1"
"Very often","2003","Single parent ","indirect migration background","5","","","","1"
"Very often","2003","Couple + C. LE 16 ","no migration background","211","0.0580469598208199","0.0503299380292433","0.0657639816123965","1"
"Very often","2003","Couple + C. LE 16 ","direct migration background","33","0.0540043355597479","0.0368254037841601","0.0711832673353357","1"
"Very often","2003","Couple + C. LE 16 ","indirect migration background","9","","","","1"
"Very often","2003","Couple + C. GT 16 ","no migration background","156","0.0505149787563829","0.043073215721286","0.0579567417914798","1"
"Very often","2003","Couple + C. GT 16 ","direct migration background","18","","","","1"
"Very often","2003","Couple + C. GT 16 ","indirect migration background","7","","","","1"
"Very often","2003","Couple + C. LE and GT 16","no migration background","82","0.0570668265958168","0.0449674481319347","0.069166205059699","1"
"Very often","2003","Couple + C. LE and GT 16","direct migration background","10","","","","1"
"Very often","2003","Couple + C. LE and GT 16","indirect migration background","12","","","","1"
"Never","2004","(Married) couple without C. ","indirect migration background","","","","","5"
"Never","2004","1-pers.-HH","no migration background","","","","","5"
"Never","2004","1-pers.-HH","direct migration background","","","","","5"
"Never","2004","1-pers.-HH","indirect migration background","","","","","5"
"Never","2004","(Married) couple without C. ","no migration background","","","","","5"
"Never","2004","(Married) couple without C. ","direct migration background","","","","","5"
"Never","2004","Single parent ","no migration background","","","","","5"
"Never","2004","Single parent ","direct migration background","","","","","5"
"Never","2004","Single parent ","indirect migration background","","","","","5"
"Never","2004","Couple + C. LE 16 ","no migration background","","","","","5"
"Never","2004","Couple + C. LE 16 ","indirect migration background","","","","","5"
"Never","2004","Couple + C. GT 16 ","no migration background","","","","","5"
"Never","2004","Couple + C. GT 16 ","direct migration background","","","","","5"
"Never","2004","Couple + C. LE 16 ","direct migration background","","","","","5"
"Never","2004","Couple + C. GT 16 ","indirect migration background","","","","","5"
"Never","2004","Couple + C. LE and GT 16","no migration background","","","","","5"
"Never","2004","Couple + C. LE and GT 16","direct migration background","","","","","5"
"Never","2004","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"Often","2004","(Married) couple without C. ","direct migration background","","","","","2"
"Often","2004","1-pers.-HH","no migration background","","","","","2"
"Often","2004","1-pers.-HH","direct migration background","","","","","2"
"Often","2004","1-pers.-HH","indirect migration background","","","","","2"
"Often","2004","(Married) couple without C. ","no migration background","","","","","2"
"Often","2004","(Married) couple without C. ","indirect migration background","","","","","2"
"Often","2004","Single parent ","no migration background","","","","","2"
"Often","2004","Couple + C. LE 16 ","direct migration background","","","","","2"
"Often","2004","Couple + C. LE 16 ","indirect migration background","","","","","2"
"Often","2004","Single parent ","direct migration background","","","","","2"
"Often","2004","Single parent ","indirect migration background","","","","","2"
"Often","2004","Couple + C. LE 16 ","no migration background","","","","","2"
"Often","2004","Couple + C. GT 16 ","no migration background","","","","","2"
"Often","2004","Couple + C. GT 16 ","direct migration background","","","","","2"
"Often","2004","Couple + C. GT 16 ","indirect migration background","","","","","2"
"Often","2004","Couple + C. LE and GT 16","no migration background","","","","","2"
"Often","2004","Couple + C. LE and GT 16","direct migration background","","","","","2"
"Often","2004","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"Rarely","2004","1-pers.-HH","indirect migration background","","","","","4"
"Rarely","2004","1-pers.-HH","no migration background","","","","","4"
"Rarely","2004","1-pers.-HH","direct migration background","","","","","4"
"Rarely","2004","(Married) couple without C. ","no migration background","","","","","4"
"Rarely","2004","(Married) couple without C. ","direct migration background","","","","","4"
"Rarely","2004","(Married) couple without C. ","indirect migration background","","","","","4"
"Rarely","2004","Single parent ","no migration background","","","","","4"
"Rarely","2004","Single parent ","direct migration background","","","","","4"
"Rarely","2004","Single parent ","indirect migration background","","","","","4"
"Rarely","2004","Couple + C. LE 16 ","no migration background","","","","","4"
"Rarely","2004","Couple + C. LE 16 ","direct migration background","","","","","4"
"Rarely","2004","Couple + C. LE 16 ","indirect migration background","","","","","4"
"Rarely","2004","Couple + C. GT 16 ","no migration background","","","","","4"
"Rarely","2004","Couple + C. GT 16 ","direct migration background","","","","","4"
"Rarely","2004","Couple + C. GT 16 ","indirect migration background","","","","","4"
"Rarely","2004","Couple + C. LE and GT 16","no migration background","","","","","4"
"Rarely","2004","Couple + C. LE and GT 16","direct migration background","","","","","4"
"Rarely","2004","Couple + C. LE and GT 16","indirect migration background","","","","","4"
"Sometimes","2004","(Married) couple without C. ","no migration background","","","","","3"
"Sometimes","2004","Single parent ","no migration background","","","","","3"
"Sometimes","2004","Single parent ","direct migration background","","","","","3"
"Sometimes","2004","1-pers.-HH","direct migration background","","","","","3"
"Sometimes","2004","1-pers.-HH","indirect migration background","","","","","3"
"Sometimes","2004","1-pers.-HH","no migration background","","","","","3"
"Sometimes","2004","(Married) couple without C. ","indirect migration background","","","","","3"
"Sometimes","2004","Couple + C. LE 16 ","direct migration background","","","","","3"
"Sometimes","2004","(Married) couple without C. ","direct migration background","","","","","3"
"Sometimes","2004","Single parent ","indirect migration background","","","","","3"
"Sometimes","2004","Couple + C. LE 16 ","no migration background","","","","","3"
"Sometimes","2004","Couple + C. LE 16 ","indirect migration background","","","","","3"
"Sometimes","2004","Couple + C. GT 16 ","direct migration background","","","","","3"
"Sometimes","2004","Couple + C. GT 16 ","indirect migration background","","","","","3"
"Sometimes","2004","Couple + C. LE and GT 16","no migration background","","","","","3"
"Sometimes","2004","Couple + C. GT 16 ","no migration background","","","","","3"
"Sometimes","2004","Couple + C. LE and GT 16","direct migration background","","","","","3"
"Sometimes","2004","Couple + C. LE and GT 16","indirect migration background","","","","","3"
"Very often","2004","1-pers.-HH","no migration background","","","","","1"
"Very often","2004","1-pers.-HH","direct migration background","","","","","1"
"Very often","2004","1-pers.-HH","indirect migration background","","","","","1"
"Very often","2004","(Married) couple without C. ","no migration background","","","","","1"
"Very often","2004","(Married) couple without C. ","direct migration background","","","","","1"
"Very often","2004","(Married) couple without C. ","indirect migration background","","","","","1"
"Very often","2004","Single parent ","no migration background","","","","","1"
"Very often","2004","Single parent ","direct migration background","","","","","1"
"Very often","2004","Single parent ","indirect migration background","","","","","1"
"Very often","2004","Couple + C. LE 16 ","no migration background","","","","","1"
"Very often","2004","Couple + C. LE 16 ","direct migration background","","","","","1"
"Very often","2004","Couple + C. LE 16 ","indirect migration background","","","","","1"
"Very often","2004","Couple + C. GT 16 ","no migration background","","","","","1"
"Very often","2004","Couple + C. GT 16 ","direct migration background","","","","","1"
"Very often","2004","Couple + C. GT 16 ","indirect migration background","","","","","1"
"Very often","2004","Couple + C. LE and GT 16","no migration background","","","","","1"
"Very often","2004","Couple + C. LE and GT 16","direct migration background","","","","","1"
"Very often","2004","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"Never","2005","(Married) couple without C. ","direct migration background","","","","","5"
"Never","2005","1-pers.-HH","direct migration background","","","","","5"
"Never","2005","Single parent ","no migration background","","","","","5"
"Never","2005","1-pers.-HH","no migration background","","","","","5"
"Never","2005","1-pers.-HH","indirect migration background","","","","","5"
"Never","2005","(Married) couple without C. ","no migration background","","","","","5"
"Never","2005","(Married) couple without C. ","indirect migration background","","","","","5"
"Never","2005","Single parent ","direct migration background","","","","","5"
"Never","2005","Single parent ","indirect migration background","","","","","5"
"Never","2005","Couple + C. LE 16 ","no migration background","","","","","5"
"Never","2005","Couple + C. LE 16 ","direct migration background","","","","","5"
"Never","2005","Couple + C. GT 16 ","no migration background","","","","","5"
"Never","2005","Couple + C. GT 16 ","direct migration background","","","","","5"
"Never","2005","Couple + C. LE 16 ","indirect migration background","","","","","5"
"Never","2005","Couple + C. GT 16 ","indirect migration background","","","","","5"
"Never","2005","Couple + C. LE and GT 16","no migration background","","","","","5"
"Never","2005","Couple + C. LE and GT 16","direct migration background","","","","","5"
"Never","2005","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"Often","2005","(Married) couple without C. ","direct migration background","","","","","2"
"Often","2005","(Married) couple without C. ","no migration background","","","","","2"
"Often","2005","(Married) couple without C. ","indirect migration background","","","","","2"
"Often","2005","1-pers.-HH","indirect migration background","","","","","2"
"Often","2005","1-pers.-HH","no migration background","","","","","2"
"Often","2005","1-pers.-HH","direct migration background","","","","","2"
"Often","2005","Single parent ","no migration background","","","","","2"
"Often","2005","Single parent ","direct migration background","","","","","2"
"Often","2005","Single parent ","indirect migration background","","","","","2"
"Often","2005","Couple + C. LE 16 ","no migration background","","","","","2"
"Often","2005","Couple + C. LE 16 ","direct migration background","","","","","2"
"Often","2005","Couple + C. LE 16 ","indirect migration background","","","","","2"
"Often","2005","Couple + C. GT 16 ","no migration background","","","","","2"
"Often","2005","Couple + C. GT 16 ","direct migration background","","","","","2"
"Often","2005","Couple + C. GT 16 ","indirect migration background","","","","","2"
"Often","2005","Couple + C. LE and GT 16","no migration background","","","","","2"
"Often","2005","Couple + C. LE and GT 16","direct migration background","","","","","2"
"Often","2005","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"Rarely","2005","1-pers.-HH","no migration background","","","","","4"
"Rarely","2005","1-pers.-HH","direct migration background","","","","","4"
"Rarely","2005","(Married) couple without C. ","no migration background","","","","","4"
"Rarely","2005","(Married) couple without C. ","direct migration background","","","","","4"
"Rarely","2005","(Married) couple without C. ","indirect migration background","","","","","4"
"Rarely","2005","Single parent ","no migration background","","","","","4"
"Rarely","2005","1-pers.-HH","indirect migration background","","","","","4"
"Rarely","2005","Single parent ","direct migration background","","","","","4"
"Rarely","2005","Single parent ","indirect migration background","","","","","4"
"Rarely","2005","Couple + C. LE 16 ","no migration background","","","","","4"
"Rarely","2005","Couple + C. LE 16 ","direct migration background","","","","","4"
"Rarely","2005","Couple + C. LE 16 ","indirect migration background","","","","","4"
"Rarely","2005","Couple + C. GT 16 ","no migration background","","","","","4"
"Rarely","2005","Couple + C. GT 16 ","direct migration background","","","","","4"
"Rarely","2005","Couple + C. GT 16 ","indirect migration background","","","","","4"
"Rarely","2005","Couple + C. LE and GT 16","no migration background","","","","","4"
"Rarely","2005","Couple + C. LE and GT 16","direct migration background","","","","","4"
"Rarely","2005","Couple + C. LE and GT 16","indirect migration background","","","","","4"
"Sometimes","2005","1-pers.-HH","direct migration background","","","","","3"
"Sometimes","2005","Single parent ","no migration background","","","","","3"
"Sometimes","2005","1-pers.-HH","indirect migration background","","","","","3"
"Sometimes","2005","(Married) couple without C. ","direct migration background","","","","","3"
"Sometimes","2005","(Married) couple without C. ","indirect migration background","","","","","3"
"Sometimes","2005","1-pers.-HH","no migration background","","","","","3"
"Sometimes","2005","(Married) couple without C. ","no migration background","","","","","3"
"Sometimes","2005","Single parent ","direct migration background","","","","","3"
"Sometimes","2005","Single parent ","indirect migration background","","","","","3"
"Sometimes","2005","Couple + C. LE 16 ","no migration background","","","","","3"
"Sometimes","2005","Couple + C. LE 16 ","direct migration background","","","","","3"
"Sometimes","2005","Couple + C. LE 16 ","indirect migration background","","","","","3"
"Sometimes","2005","Couple + C. GT 16 ","no migration background","","","","","3"
"Sometimes","2005","Couple + C. GT 16 ","indirect migration background","","","","","3"
"Sometimes","2005","Couple + C. GT 16 ","direct migration background","","","","","3"
"Sometimes","2005","Couple + C. LE and GT 16","no migration background","","","","","3"
"Sometimes","2005","Couple + C. LE and GT 16","direct migration background","","","","","3"
"Sometimes","2005","Couple + C. LE and GT 16","indirect migration background","","","","","3"
"Very often","2005","1-pers.-HH","no migration background","","","","","1"
"Very often","2005","1-pers.-HH","direct migration background","","","","","1"
"Very often","2005","1-pers.-HH","indirect migration background","","","","","1"
"Very often","2005","(Married) couple without C. ","no migration background","","","","","1"
"Very often","2005","(Married) couple without C. ","direct migration background","","","","","1"
"Very often","2005","(Married) couple without C. ","indirect migration background","","","","","1"
"Very often","2005","Single parent ","no migration background","","","","","1"
"Very often","2005","Single parent ","direct migration background","","","","","1"
"Very often","2005","Single parent ","indirect migration background","","","","","1"
