"pld0045","year","migback","n","percent","lower_confidence","upper_confidence","value"
"Rarely","2009","direct migration background","","","","","4"
"Rarely","2009","indirect migration background","","","","","4"
"Sometimes","2009","direct migration background","","","","","3"
"Sometimes","2009","no migration background","","","","","3"
"Sometimes","2009","indirect migration background","","","","","3"
"Very often","2009","no migration background","","","","","1"
"Very often","2009","direct migration background","","","","","1"
"Very often","2009","indirect migration background","","","","","1"
"Never","2010","direct migration background","","","","","5"
"Never","2010","indirect migration background","","","","","5"
"Never","2010","no migration background","","","","","5"
"Often","2010","no migration background","","","","","2"
"Often","2010","direct migration background","","","","","2"
"Often","2010","indirect migration background","","","","","2"
"Rarely","2010","no migration background","","","","","4"
"Rarely","2010","direct migration background","","","","","4"
"Rarely","2010","indirect migration background","","","","","4"
"Sometimes","2010","direct migration background","","","","","3"
"Sometimes","2010","indirect migration background","","","","","3"
"Sometimes","2010","no migration background","","","","","3"
"Very often","2010","direct migration background","","","","","1"
"Very often","2010","indirect migration background","","","","","1"
"Very often","2010","no migration background","","","","","1"
"Never","2011","indirect migration background","","","","","5"
"Never","2011","no migration background","","","","","5"
"Never","2011","direct migration background","","","","","5"
"Often","2011","no migration background","","","","","2"
"Often","2011","direct migration background","","","","","2"
"Often","2011","indirect migration background","","","","","2"
"Rarely","2011","no migration background","","","","","4"
"Rarely","2011","direct migration background","","","","","4"
"Rarely","2011","indirect migration background","","","","","4"
"Sometimes","2011","indirect migration background","","","","","3"
"Sometimes","2011","no migration background","","","","","3"
"Sometimes","2011","direct migration background","","","","","3"
"Very often","2011","indirect migration background","","","","","1"
"Very often","2011","no migration background","","","","","1"
"Very often","2011","direct migration background","","","","","1"
"Never","2012","no migration background","","","","","5"
"Never","2012","direct migration background","","","","","5"
"Never","2012","indirect migration background","","","","","5"
"Often","2012","no migration background","","","","","2"
"Often","2012","direct migration background","","","","","2"
"Often","2012","indirect migration background","","","","","2"
"Rarely","2012","no migration background","","","","","4"
"Rarely","2012","direct migration background","","","","","4"
"Rarely","2012","indirect migration background","","","","","4"
"Sometimes","2012","no migration background","","","","","3"
"Sometimes","2012","indirect migration background","","","","","3"
"Sometimes","2012","direct migration background","","","","","3"
"Very often","2012","no migration background","","","","","1"
"Very often","2012","direct migration background","","","","","1"
"Very often","2012","indirect migration background","","","","","1"
"Never","2013","no migration background","11316","0.557511748756956","0.550896031046833","0.564127466467078","5"
"Never","2013","direct migration background","1541","0.619139802620756","0.600626808393145","0.637652796848367","5"
"Never","2013","indirect migration background","622","0.560612902716228","0.532234734939009","0.588991070493447","5"
"Often","2013","no migration background","2464","0.0986250712022136","0.0946536542634056","0.102596488141022","2"
"Often","2013","direct migration background","274","0.0839392010560857","0.0733675194573156","0.0945108826548558","2"
"Often","2013","indirect migration background","110","0.0734534642215037","0.0585368960431795","0.0883700323998278","2"
"Rarely","2013","no migration background","3972","0.184631078510386","0.179463006432088","0.189799150588683","4"
"Rarely","2013","direct migration background","395","0.152499689426826","0.138793904198445","0.166205474655207","4"
"Rarely","2013","indirect migration background","209","0.170186687345168","0.148699372415914","0.191674002274422","4"
"Sometimes","2013","direct migration background","286","0.0917016375961491","0.0806988603486687","0.102704414843629","3"
"Sometimes","2013","indirect migration background","128","0.132340077393547","0.112964724613535","0.151715430173559","3"
"Sometimes","2013","no migration background","2447","0.104085376048569","0.10001787894439","0.108152873152749","3"
"Very often","2013","indirect migration background","106","0.0634068683235529","0.0494729649686808","0.077340771678425","1"
"Very often","2013","no migration background","1453","0.0551467254818756","0.0521062526088548","0.0581871983548964","1"
"Very often","2013","direct migration background","147","0.0527196693001829","0.0441999534973612","0.0612393851030046","1"
"Never","2014","indirect migration background","","","","","5"
"Never","2014","no migration background","","","","","5"
"Never","2014","direct migration background","","","","","5"
"Often","2014","no migration background","","","","","2"
"Often","2014","direct migration background","","","","","2"
"Often","2014","indirect migration background","","","","","2"
"Rarely","2014","no migration background","","","","","4"
"Rarely","2014","direct migration background","","","","","4"
"Rarely","2014","indirect migration background","","","","","4"
"Sometimes","2014","indirect migration background","","","","","3"
"Sometimes","2014","no migration background","","","","","3"
"Sometimes","2014","direct migration background","","","","","3"
"Very often","2014","indirect migration background","","","","","1"
"Very often","2014","no migration background","","","","","1"
"Very often","2014","direct migration background","","","","","1"
"Never","2015","no migration background","","","","","5"
"Never","2015","direct migration background","","","","","5"
"Never","2015","indirect migration background","","","","","5"
"Often","2015","no migration background","","","","","2"
"Often","2015","direct migration background","","","","","2"
"Often","2015","indirect migration background","","","","","2"
"Rarely","2015","no migration background","","","","","4"
"Rarely","2015","indirect migration background","","","","","4"
"Rarely","2015","direct migration background","","","","","4"
"Sometimes","2015","no migration background","","","","","3"
"Sometimes","2015","direct migration background","","","","","3"
"Sometimes","2015","indirect migration background","","","","","3"
"Very often","2015","no migration background","","","","","1"
"Very often","2015","direct migration background","","","","","1"
"Very often","2015","indirect migration background","","","","","1"
"Never","2016","no migration background","","","","","5"
"Never","2016","direct migration background","","","","","5"
"Never","2016","indirect migration background","","","","","5"
"Often","2016","no migration background","","","","","2"
"Often","2016","direct migration background","","","","","2"
"Often","2016","indirect migration background","","","","","2"
"Rarely","2016","no migration background","","","","","4"
"Rarely","2016","direct migration background","","","","","4"
"Rarely","2016","indirect migration background","","","","","4"
"Sometimes","2016","indirect migration background","","","","","3"
"Sometimes","2016","no migration background","","","","","3"
"Sometimes","2016","direct migration background","","","","","3"
"Very often","2016","indirect migration background","","","","","1"
"Very often","2016","direct migration background","","","","","1"
"Very often","2016","no migration background","","","","","1"
"Never","2017","indirect migration background","","","","","5"
"Never","2017","no migration background","","","","","5"
"Never","2017","direct migration background","","","","","5"
"Often","2017","no migration background","","","","","2"
"Often","2017","direct migration background","","","","","2"
"Often","2017","indirect migration background","","","","","2"
"Rarely","2017","no migration background","","","","","4"
"Rarely","2017","direct migration background","","","","","4"
"Rarely","2017","indirect migration background","","","","","4"
"Sometimes","2017","no migration background","","","","","3"
"Sometimes","2017","indirect migration background","","","","","3"
"Sometimes","2017","direct migration background","","","","","3"
"Very often","2017","indirect migration background","","","","","1"
"Very often","2017","no migration background","","","","","1"
"Very often","2017","direct migration background","","","","","1"
"Never","2018","no migration background","10401","0.543997359067339","0.537014658183961","0.550980059950718","5"
"Never","2018","direct migration background","2770","0.608350712832735","0.593950874792847","0.622750550872623","5"
"Never","2018","indirect migration background","927","0.559743141753193","0.536145365122885","0.583340918383502","5"
"Often","2018","no migration background","2070","0.098385335733172","0.0942097535738129","0.102560917892531","2"
"Often","2018","direct migration background","380","0.084251673744055","0.0760574227581052","0.0924459247300047","2"
"Often","2018","indirect migration background","190","0.106499017825583","0.0918353049349954","0.121162730716171","2"
"Rarely","2018","no migration background","3443","0.17805766496332","0.172694237939951","0.183421091986689","4"
"Rarely","2018","indirect migration background","285","0.171979172763581","0.15404083535671","0.189917510170451","4"
"Rarely","2018","direct migration background","580","0.148957765295723","0.138454143941947","0.1594613866495","4"
"Sometimes","2018","indirect migration background","163","0.0939754275524392","0.0801046510628463","0.107846204042032","3"
"Sometimes","2018","no migration background","2229","0.114485974266161","0.110022066337406","0.118949882194916","3"
"Sometimes","2018","direct migration background","421","0.096454565375859","0.0877455648101527","0.105163565941565","3"
"Very often","2018","no migration background","1401","0.0650736659700081","0.0616156045933262","0.0685317273466901","1"
"Very often","2018","direct migration background","263","0.0619852827516279","0.0548718202558577","0.069098745247398","1"
"Very often","2018","indirect migration background","135","0.0678032401052033","0.0558522840668664","0.0797541961435401","1"
