"pld0043","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Full Time","lower secondary degree","96","0.0399989663141226","0.0320593338892696","0.0479385987389755"
"Very often","2003","Full Time","secondary school degree","154","0.0565320000188264","0.048486148820868","0.0645778512167848"
"Very often","2003","Full Time","college entrance qualification","139","0.0611547849523293","0.05229690299466","0.0700126669099986"
"Very often","2003","Full Time","Other degree","13","","",""
"Very often","2003","Full Time","no degree/no degree yet","2","","",""
"Very often","2003","Part Time","lower secondary degree","51","0.0334102212893442","0.0242702329968529","0.0425502095818356"
"Very often","2003","Part Time","secondary school degree","86","0.0613401603583532","0.0499870196275299","0.0726933010891765"
"Very often","2003","Part Time","college entrance qualification","104","0.0732632307834834","0.0595005717234515","0.0870258898435152"
"Very often","2003","Part Time","Other degree","12","","",""
"Very often","2003","Part Time","no degree/no degree yet","12","","",""
"Very often","2003","Not Working","lower secondary degree","50","0.0125682459219553","0.00914028022978145","0.0159962116141291"
"Very often","2003","Not Working","secondary school degree","41","0.0211829920788622","0.0140421080223235","0.0283238761354008"
"Very often","2003","Not Working","college entrance qualification","57","0.0386853654945945","0.0279690860522058","0.0494016449369833"
"Very often","2003","Not Working","Other degree","13","","",""
"Very often","2003","Not Working","no degree/no degree yet","66","0.0870301911368593","0.0655739074070534","0.108486474866665"
"Often","2003","Full Time","lower secondary degree","361","0.155276626474085","0.140602560697132","0.169950692251038"
"Often","2003","Full Time","secondary school degree","544","0.17018449870811","0.157092317570045","0.183276679846174"
"Often","2003","Full Time","college entrance qualification","633","0.231932304923909","0.216329666661905","0.247534943185913"
"Often","2003","Full Time","Other degree","56","0.14883579634828","0.115036810865789","0.18263478183077"
"Often","2003","Full Time","no degree/no degree yet","3","","",""
"Often","2003","Part Time","lower secondary degree","216","0.160839433123094","0.142153978668991","0.179524887577197"
"Often","2003","Part Time","secondary school degree","356","0.206105083840238","0.186966257056449","0.225243910624026"
"Often","2003","Part Time","college entrance qualification","392","0.290283725442917","0.266310037551927","0.314257413333907"
"Often","2003","Part Time","Other degree","41","0.123427143797262","0.0867523061462959","0.160101981448227"
"Often","2003","Part Time","no degree/no degree yet","46","0.273882178120947","0.204782896180421","0.342981460061473"
"Often","2003","Not Working","lower secondary degree","276","0.064959682265898","0.0573759550722194","0.0725434094595767"
"Often","2003","Not Working","secondary school degree","230","0.145716431080843","0.12821946032916","0.163213401832526"
"Often","2003","Not Working","college entrance qualification","242","0.187265997977162","0.16558688142271","0.208945114531614"
"Often","2003","Not Working","Other degree","44","0.105701365188614","0.0787522400544629","0.132650490322765"
"Often","2003","Not Working","no degree/no degree yet","224","0.310886533915225","0.275654505253467","0.346118562576983"
"Sometimes","2003","Full Time","lower secondary degree","870","0.362824032050316","0.343342734544837","0.382305329555795"
"Sometimes","2003","Full Time","secondary school degree","1239","0.397996687388528","0.380943702663626","0.415049672113429"
"Sometimes","2003","Full Time","college entrance qualification","1185","0.423207213658304","0.404942868357941","0.441471558958667"
"Sometimes","2003","Full Time","Other degree","144","0.339287995990949","0.294327236651771","0.384248755330126"
"Sometimes","2003","Full Time","no degree/no degree yet","20","","",""
"Sometimes","2003","Part Time","lower secondary degree","541","0.335909410506251","0.311887385615475","0.359931435397026"
"Sometimes","2003","Part Time","secondary school degree","655","0.38919212840275","0.366123393101083","0.412260863704416"
"Sometimes","2003","Part Time","college entrance qualification","565","0.399471886166432","0.373602215327327","0.425341557005537"
"Sometimes","2003","Part Time","Other degree","110","0.321503476522971","0.269427730361588","0.373579222684354"
"Sometimes","2003","Part Time","no degree/no degree yet","55","0.305145260029072","0.233796172065217","0.376494347992926"
