"pld0043","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2003","(0) in school","West Germany","56","0.113374022432243","0.0842420831421124","0.142505961722374"
"Very often","2003","(0) in school","East Germany","19","","",""
"Very often","2003","(1a) inadequately completed","West Germany","5","","",""
"Very often","2003","(1a) inadequately completed","East Germany","","","",""
"Very often","2003","(1b) general elementary school","West Germany","48","0.0258126374302924","0.0186596982492013","0.0329655766113836"
"Very often","2003","(1b) general elementary school","East Germany","5","","",""
"Very often","2003","(1c) basic vocational qualification","West Germany","140","0.0260477185572338","0.0216789265319557","0.030416510582512"
"Very often","2003","(1c) basic vocational qualification","East Germany","21","","",""
"Very often","2003","(2b) intermediate general qualification","West Germany","43","0.0870800923665674","0.061397824293792","0.112762360439343"
"Very often","2003","(2b) intermediate general qualification","East Germany","13","","",""
"Very often","2003","(2a) intermediate vocational","West Germany","147","0.0503429163304943","0.0429008519749871","0.0577849806860015"
"Very often","2003","(2a) intermediate vocational","East Germany","63","0.0390923629320607","0.0302100100737914","0.0479747157903301"
"Very often","2003","(2c_gen) general maturity certificate","West Germany","66","0.104885301609134","0.0819396991357765","0.127830904082492"
"Very often","2003","(2c_gen) general maturity certificate","East Germany","22","","",""
"Very often","2003","(2c_voc) vocational maturity certificate","West Germany","60","0.0583519417582097","0.0459934340342711","0.0707104494821484"
"Very often","2003","(2c_voc) vocational maturity certificate","East Germany","8","","",""
"Very often","2003","(3a) lower tertiary education","West Germany","48","0.0432184308034803","0.0308239391558994","0.0556129224510613"
"Very often","2003","(3a) lower tertiary education","East Germany","20","","",""
"Very often","2003","(3b) higher tertiary education","West Germany","91","0.040025416663135","0.0314920773525735","0.0485587559736965"
"Very often","2003","(3b) higher tertiary education","East Germany","21","","",""
"Often","2003","(0) in school","West Germany","180","0.411720930678153","0.366500409443539","0.456941451912768"
"Often","2003","(0) in school","East Germany","70","0.425178004220669","0.349050311502532","0.501305696938806"
