"pld0043","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Very often","2003","1-pers.-HH","no migration background","114","0.0392905075424113","0.0319072650392681","0.0466737500455545"
"Very often","2003","1-pers.-HH","direct migration background","5","","",""
"Very often","2003","1-pers.-HH","indirect migration background","14","","",""
"Very often","2003","(Married) couple without C. ","no migration background","157","0.0200711502035336","0.0166400639405987","0.0235022364664685"
"Very often","2003","(Married) couple without C. ","direct migration background","18","","",""
"Very often","2003","(Married) couple without C. ","indirect migration background","4","","",""
"Very often","2003","Single parent ","no migration background","56","0.0670026965027755","0.0507757424406921","0.083229650564859"
"Very often","2003","Single parent ","direct migration background","5","","",""
"Very often","2003","Single parent ","indirect migration background","2","","",""
"Very often","2003","Couple + C. LE 16 ","no migration background","139","0.0402812678130172","0.033795158112545","0.0467673775134894"
"Very often","2003","Couple + C. LE 16 ","direct migration background","35","0.0651497561040302","0.0463926995297636","0.0839068126782967"
"Very often","2003","Couple + C. LE 16 ","indirect migration background","6","","",""
"Very often","2003","Couple + C. GT 16 ","no migration background","191","0.0675850291438327","0.0590588226609558","0.0761112356267097"
"Very often","2003","Couple + C. GT 16 ","direct migration background","15","","",""
"Very often","2003","Couple + C. GT 16 ","indirect migration background","21","","",""
"Very often","2003","Couple + C. LE and GT 16","no migration background","86","0.0473106444678143","0.0362371209811513","0.0583841679544773"
"Very often","2003","Couple + C. LE and GT 16","direct migration background","11","","",""
"Very often","2003","Couple + C. LE and GT 16","indirect migration background","13","","",""
"Often","2003","1-pers.-HH","no migration background","463","0.172123467570275","0.157778152142612","0.186468782997937"
"Often","2003","1-pers.-HH","direct migration background","36","0.173186241853881","0.124493454040888","0.221879029666874"
"Often","2003","1-pers.-HH","indirect migration background","19","","",""
"Often","2003","(Married) couple without C. ","no migration background","758","0.107694749382886","0.100110681285539","0.115278817480232"
"Often","2003","(Married) couple without C. ","direct migration background","85","0.116087144373645","0.0928975638411198","0.139276724906171"
"Often","2003","(Married) couple without C. ","indirect migration background","30","0.232040696655848","0.157134221866189","0.306947171445507"
"Often","2003","Single parent ","no migration background","177","0.177927735331123","0.153106265483952","0.202749205178293"
"Often","2003","Single parent ","direct migration background","26","","",""
"Often","2003","Single parent ","indirect migration background","18","","",""
"Often","2003","Couple + C. LE 16 ","no migration background","674","0.179997263710575","0.167323624468913","0.192670902952236"
"Often","2003","Couple + C. LE 16 ","direct migration background","112","0.197343525464077","0.16709434825131","0.227592702676845"
"Often","2003","Couple + C. LE 16 ","indirect migration background","38","0.26021303673457","0.195208011819217","0.325218061649923"
"Often","2003","Couple + C. GT 16 ","no migration background","674","0.183784211777007","0.170629462657706","0.196938960896309"
"Often","2003","Couple + C. GT 16 ","direct migration background","60","0.160986459364335","0.126249402258941","0.195723516469729"
"Often","2003","Couple + C. GT 16 ","indirect migration background","60","0.276072602676719","0.211997922216622","0.340147283136817"
"Often","2003","Couple + C. LE and GT 16","no migration background","312","0.231487387040178","0.209487527459066","0.253487246621291"
"Often","2003","Couple + C. LE and GT 16","direct migration background","51","0.211920364364676","0.16520649687754","0.258634231851811"
"Often","2003","Couple + C. LE and GT 16","indirect migration background","46","0.38121567649051","0.297403279206573","0.465028073774447"
"Sometimes","2003","1-pers.-HH","no migration background","769","0.285050244808785","0.267894651481262","0.302205838136308"
"Sometimes","2003","1-pers.-HH","direct migration background","67","0.315428563121983","0.255633683667046","0.37522344257692"
"Sometimes","2003","1-pers.-HH","indirect migration background","36","0.348199962104044","0.246322058790384","0.450077865417705"
"Sometimes","2003","(Married) couple without C. ","no migration background","2072","0.312437482150623","0.301098191275842","0.323776773025404"
"Sometimes","2003","(Married) couple without C. ","direct migration background","193","0.251477336554739","0.220068777911611","0.282885895197867"
"Sometimes","2003","(Married) couple without C. ","indirect migration background","46","0.353855354500597","0.269006509204863","0.43870419979633"
"Sometimes","2003","Single parent ","no migration background","315","0.36161701838981","0.330434172184007","0.392799864595614"
"Sometimes","2003","Single parent ","direct migration background","40","0.293642815102027","0.218997604912904","0.36828802529115"
"Sometimes","2003","Single parent ","indirect migration background","26","","",""
"Sometimes","2003","Couple + C. LE 16 ","no migration background","1480","0.419064676395664","0.402788021403863","0.435341331387465"
