"pld0043","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","(0) in school","75","0.109479932266717","0.0848425464595932","0.134117318073841"
"Very often","2003","(1a) inadequately completed","5","","",""
"Very often","2003","(1b) general elementary school","53","0.0248603251113482","0.0182666860039804","0.0314539642187159"
"Very often","2003","(1c) basic vocational qualification","161","0.0247335960012582","0.0208966120293019","0.0285705799732144"
"Very often","2003","(2b) intermediate general qualification","56","0.0816275359999733","0.060281495836249","0.102973576163698"
"Very often","2003","(2a) intermediate vocational","210","0.0470005473536112","0.0412175474524213","0.0527835472548011"
"Very often","2003","(2c_gen) general maturity certificate","88","0.110220006473766","0.0893746139868161","0.131065398960715"
"Very often","2003","(2c_voc) vocational maturity certificate","68","0.0579709620340181","0.0464225803687543","0.0695193436992818"
"Very often","2003","(3a) lower tertiary education","68","0.0382501197997624","0.0291858810156228","0.0473143585839021"
"Very often","2003","(3b) higher tertiary education","112","0.0390362304628011","0.0316326765769882","0.0464397843486139"
"Often","2003","(0) in school","250","0.414576469862757","0.375703929721853","0.453449010003661"
"Often","2003","(1a) inadequately completed","23","","",""
"Often","2003","(1b) general elementary school","220","0.0992048441643142","0.0865453072815293","0.111864381047099"
"Often","2003","(1c) basic vocational qualification","668","0.107679713687107","0.100021772069879","0.115337655304336"
"Often","2003","(2b) intermediate general qualification","172","0.254098068047121","0.220156562738257","0.288039573355984"
"Often","2003","(2a) intermediate vocational","852","0.163695153450392","0.153585049546389","0.173805257354395"
"Often","2003","(2c_gen) general maturity certificate","306","0.343124755155699","0.311523377511415","0.374726132799984"
"Often","2003","(2c_voc) vocational maturity certificate","312","0.189245284950081","0.169888153237478","0.208602416662684"
"Often","2003","(3a) lower tertiary education","332","0.207238475165667","0.188083114044824","0.22639383628651"
"Often","2003","(3b) higher tertiary education","531","0.208717334222187","0.193182812612459","0.224251855831915"
"Sometimes","2003","(0) in school","210","0.339607802266751","0.302240193658274","0.376975410875228"
"Sometimes","2003","(1a) inadequately completed","69","0.253718061788692","0.202006125828511","0.305429997748872"
"Sometimes","2003","(1b) general elementary school","579","0.256442412292313","0.237950126809425","0.2749346977752"
"Sometimes","2003","(1c) basic vocational qualification","1915","0.295515851987216","0.284243599046706","0.306788104927726"
"Sometimes","2003","(2b) intermediate general qualification","239","0.375564846932368","0.337809741138571","0.413319952726166"
"Sometimes","2003","(2a) intermediate vocational","1937","0.372748729176783","0.35953625163401","0.385961206719557"
"Sometimes","2003","(2c_gen) general maturity certificate","300","0.346856513502815","0.315174135621815","0.378538891383815"
"Sometimes","2003","(2c_voc) vocational maturity certificate","641","0.390315419648615","0.366208362928008","0.414422476369223"
"Sometimes","2003","(3a) lower tertiary education","634","0.359087735504584","0.336416068985863","0.381759402023305"
"Sometimes","2003","(3b) higher tertiary education","1098","0.408493547455349","0.389703618343208","0.42728347656749"
"Rarely","2003","(0) in school","70","0.115286486623403","0.0900867476919326","0.140486225554873"
"Rarely","2003","(1a) inadequately completed","74","0.249606492235243","0.198174172626207","0.30103881184428"
"Rarely","2003","(1b) general elementary school","547","0.254714913124768","0.236263622060932","0.273166204188604"
"Rarely","2003","(1c) basic vocational qualification","1914","0.29434202341054","0.28308281171566","0.305601235105419"
"Rarely","2003","(2b) intermediate general qualification","109","0.178941806145567","0.149058239496749","0.208825372794384"
"Rarely","2003","(2a) intermediate vocational","1559","0.294007476189927","0.281558471242841","0.306456481137013"
"Rarely","2003","(2c_gen) general maturity certificate","125","0.147257378196322","0.123669653000623","0.17084510339202"
"Rarely","2003","(2c_voc) vocational maturity certificate","383","0.245776814474254","0.224500121599599","0.267053507348909"
"Rarely","2003","(3a) lower tertiary education","519","0.289470847706424","0.268038130451877","0.310903564960972"
