"pld0043","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Urban Area","Female","1337","0.206180301318704","0.197160456720902","0.215200145916505","5"
"Never","2003","Rural Area","Male","605","0.195237488506695","0.182187302276352","0.208287674737038","5"
"Never","2003","Rural Area","Female","705","0.229251633983656","0.215831787475869","0.242671480491444","5"
"Never","2003","Urban Area","Male","1087","0.166577091967597","0.157920030998044","0.175234152937149","5"
"Often","2003","Urban Area","Female","1394","0.1627159715561","0.154486612156619","0.170945330955581","2"
"Often","2003","Rural Area","Male","561","0.153947870245109","0.142065949847736","0.165829790642483","2"
"Often","2003","Urban Area","Male","1240","0.173580863817408","0.164780893111579","0.182380834523236","2"
"Often","2003","Rural Area","Female","546","0.135891355895109","0.124951411538085","0.146831300252132","2"
"Rarely","2003","Urban Area","Female","1976","0.261151782620288","0.251358266408556","0.270945298832021","4"
"Rarely","2003","Urban Area","Male","1937","0.259851474880929","0.249661991778833","0.270040957983025","4"
"Rarely","2003","Rural Area","Male","1030","0.296325376061005","0.281291477991899","0.311359274130111","4"
"Rarely","2003","Rural Area","Female","1105","0.281381980922363","0.267026021733478","0.295737940111249","4"
"Sometimes","2003","Urban Area","Female","2691","0.330140235607298","0.319655542838165","0.34062492837643","3"
"Sometimes","2003","Rural Area","Female","1266","0.317839736383966","0.302974140341298","0.332705332426633","3"
"Sometimes","2003","Rural Area","Male","1232","0.322539890875951","0.307150025684257","0.337929756067645","3"
"Sometimes","2003","Urban Area","Male","2527","0.351703897468257","0.340609456666164","0.362798338270351","3"
"Very often","2003","Urban Area","Male","325","0.0482866718658099","0.0433058978984219","0.0532674458331978","1"
"Very often","2003","Urban Area","Female","330","0.03981170889761","0.0354525956983614","0.0441708220968587","1"
"Very often","2003","Rural Area","Male","116","0.0319493743112397","0.0261593358562006","0.0377394127662787","1"
"Very often","2003","Rural Area","Female","147","0.0356352928149057","0.0297170082633682","0.0415535773664433","1"
"Never","2004","Rural Area","Male","","","","","5"
"Never","2004","Rural Area","Female","","","","","5"
"Never","2004","Urban Area","Male","","","","","5"
"Never","2004","Urban Area","Female","","","","","5"
"Often","2004","Rural Area","Male","","","","","2"
"Often","2004","Urban Area","Male","","","","","2"
"Often","2004","Urban Area","Female","","","","","2"
"Often","2004","Rural Area","Female","","","","","2"
"Rarely","2004","Urban Area","Male","","","","","4"
"Rarely","2004","Urban Area","Female","","","","","4"
"Rarely","2004","Rural Area","Male","","","","","4"
"Rarely","2004","Rural Area","Female","","","","","4"
"Sometimes","2004","Urban Area","Male","","","","","3"
"Sometimes","2004","Rural Area","Male","","","","","3"
"Sometimes","2004","Rural Area","Female","","","","","3"
"Sometimes","2004","Urban Area","Female","","","","","3"
"Very often","2004","Urban Area","Male","","","","","1"
"Very often","2004","Urban Area","Female","","","","","1"
"Very often","2004","Rural Area","Male","","","","","1"
"Very often","2004","Rural Area","Female","","","","","1"
"Never","2005","Urban Area","Male","","","","","5"
"Never","2005","Urban Area","Female","","","","","5"
"Never","2005","Rural Area","Male","","","","","5"
"Never","2005","Rural Area","Female","","","","","5"
"Often","2005","Urban Area","Male","","","","","2"
"Often","2005","Urban Area","Female","","","","","2"
"Often","2005","Rural Area","Female","","","","","2"
"Often","2005","Rural Area","Male","","","","","2"
"Rarely","2005","Urban Area","Male","","","","","4"
