"pld0043","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Brandenburg","Not Working","123","0.326418190372469","0.280118047446598","0.37271833329834","5"
"Never","2003","Saxony","Part Time","34","0.106056944581859","0.071780818853307","0.14033307031041","5"
"Never","2003","Mecklenburg-Western Pomerania","Full Time","16","","","","5"
"Never","2003","Saxony","Full Time","72","0.110737050560584","0.0871856098810216","0.134288491240146","5"
"Never","2003","Mecklenburg-Western Pomerania","Part Time","13","","","","5"
"Never","2003","Mecklenburg-Western Pomerania","Not Working","55","0.358303553925829","0.289761116959425","0.426845990892233","5"
"Never","2003","Saxony","Not Working","181","0.307823421602528","0.271518828682276","0.344128014522779","5"
"Never","2003","Saxony-Anhalt","Full Time","40","0.120571867942566","0.087481637413021","0.153662098472111","5"
"Never","2003","Saxony-Anhalt","Part Time","18","","","","5"
"Never","2003","Thuringia","Full Time","43","0.146291513367844","0.11117287604281","0.181410150692877","5"
"Never","2003","Thuringia","Part Time","19","","","","5"
"Never","2003","Thuringia","Not Working","119","0.364478484022747","0.316215131417635","0.412741836627859","5"
"Never","2003","Saxony-Anhalt","Not Working","141","0.39743970421482","0.349482486780981","0.44539692164866","5"
"Never","2003","Schleswig-Holstein","Full Time","19","","","","5"
"Never","2003","Schleswig-Holstein","Part Time","14","","","","5"
"Never","2003","Schleswig-Holstein","Not Working","56","0.264268268703263","0.209278503199363","0.319258034207163","5"
"Never","2003","Hamburg","Full Time","6","","","","5"
"Never","2003","Hamburg","Part Time","7","","","","5"
"Never","2003","Hamburg","Not Working","19","","","","5"
"Never","2003","Lower Saxony","Full Time","44","0.0639335143809762","0.0461751908481825","0.0816918379137698","5"
"Never","2003","Lower Saxony","Part Time","40","0.117370584188605","0.0883339733875753","0.146407194989635","5"
"Never","2003","Lower Saxony","Not Working","171","0.274000723512813","0.241193999478792","0.306807447546834","5"
"Never","2003","Bremen","Full Time","4","","","","5"
"Never","2003","Bremen","Part Time","3","","","","5"
"Never","2003","Bremen","Not Working","20","","","","5"
"Never","2003","North Rhine-Westphalia","Full Time","177","0.0991176413965784","0.0852707450415144","0.112964537751642","5"
"Never","2003","North Rhine-Westphalia","Part Time","96","0.12011817011463","0.10106164473195","0.139174695497309","5"
"Never","2003","North Rhine-Westphalia","Not Working","504","0.322459254440299","0.300628258713262","0.344290250167336","5"
"Never","2003","Hesse","Full Time","55","0.108024391835191","0.083975475680899","0.132073307989482","5"
"Never","2003","Hesse","Part Time","38","0.101825428575283","0.0711761122829796","0.132474744867587","5"
"Never","2003","Hesse","Not Working","147","0.32628466155083","0.284341224189855","0.368228098911806","5"
"Never","2003","Rhineland-Palatinate,Saarland","Full Time","65","0.127096937639822","0.0976352312728896","0.156558644006754","5"
