"pld0043","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Full Time","Male","259","0.0485373062403869","0.0430782965283643","0.0539963159524096"
"Very often","2003","Full Time","Female","154","0.0572958491232055","0.0489006987829092","0.0656909994635018"
"Very often","2003","Part Time","Male","94","0.0661381425343784","0.0537257630100294","0.0785505220587275"
"Very often","2003","Part Time","Female","179","0.0472642498673108","0.0403198452304743","0.0542086545041473"
"Very often","2003","Not Working","Male","88","0.02403481327807","0.0187007078061944","0.0293689187499455"
"Very often","2003","Not Working","Female","144","0.0246565025186483","0.0203434051129686","0.0289695999243279"
"Often","2003","Full Time","Male","1032","0.175137979159603","0.165482785906842","0.184793172412365"
"Often","2003","Full Time","Female","586","0.192693615786242","0.178446332992024","0.20694089858046"
"Often","2003","Part Time","Male","349","0.231351962022924","0.210290520840657","0.252413403205191"
"Often","2003","Part Time","Female","733","0.198876798916731","0.185814364652874","0.211939233180587"
"Often","2003","Not Working","Male","420","0.125744833599921","0.114197326490204","0.137292340709638"
"Often","2003","Not Working","Female","621","0.110846595318968","0.102114986709693","0.119578203928243"
"Sometimes","2003","Full Time","Male","2338","0.392752283091196","0.380346549396868","0.405158016785524"
"Sometimes","2003","Full Time","Female","1151","0.384083493257342","0.366514255040125","0.401652731474559"
"Sometimes","2003","Part Time","Male","551","0.350865998810625","0.327030428283539","0.374701569337712"
"Sometimes","2003","Part Time","Female","1397","0.373483208390202","0.357653084973554","0.389313331806851"
"Sometimes","2003","Not Working","Male","870","0.257845756275342","0.242610451696345","0.273081060854339"
"Sometimes","2003","Not Working","Female","1409","0.272017845370318","0.259641175747386","0.28439451499325"
"Rarely","2003","Full Time","Male","1690","0.269273965090516","0.258005763111701","0.280542167069332"
"Rarely","2003","Full Time","Female","768","0.258772695058695","0.242952416823434","0.274592973293956"
"Rarely","2003","Part Time","Male","385","0.241359744956066","0.219988093071102","0.26273139684103"
"Rarely","2003","Part Time","Female","946","0.259962113654258","0.245608395661185","0.27431583164733"
"Rarely","2003","Not Working","Male","892","0.288072333105127","0.272300115157164","0.303844551053089"
"Rarely","2003","Not Working","Female","1367","0.275716555525273","0.263287720177164","0.288145390873382"
"Never","2003","Full Time","Male","634","0.114298466418298","0.106215997377678","0.122380935458918"
"Never","2003","Full Time","Female","285","0.107154346774516","0.0959812829642617","0.11832741058477"
"Never","2003","Part Time","Male","161","0.110284151676006","0.094639354133834","0.125928949218178"
"Never","2003","Part Time","Female","332","0.120413629171499","0.109763387290082","0.131063871052915"
"Never","2003","Not Working","Male","897","0.304302263741541","0.288277673026052","0.32032685445703"
"Never","2003","Not Working","Female","1425","0.316762501266793","0.303823598111379","0.329701404422206"
"Very often","2004","Full Time","Male","","","",""
"Very often","2004","Full Time","Female","","","",""
"Very often","2004","Part Time","Male","","","",""
"Very often","2004","Part Time","Female","","","",""
"Very often","2004","Not Working","Male","","","",""
"Very often","2004","Not Working","Female","","","",""
"Often","2004","Full Time","Male","","","",""
"Often","2004","Full Time","Female","","","",""
"Often","2004","Part Time","Male","","","",""
"Often","2004","Part Time","Female","","","",""
"Often","2004","Not Working","Male","","","",""
"Often","2004","Not Working","Female","","","",""
"Sometimes","2004","Full Time","Male","","","",""
"Sometimes","2004","Full Time","Female","","","",""
"Sometimes","2004","Part Time","Male","","","",""
"Sometimes","2004","Part Time","Female","","","",""
"Sometimes","2004","Not Working","Male","","","",""
"Sometimes","2004","Not Working","Female","","","",""
"Rarely","2004","Full Time","Male","","","",""
"Rarely","2004","Full Time","Female","","","",""
"Rarely","2004","Part Time","Male","","","",""
"Rarely","2004","Part Time","Female","","","",""
"Rarely","2004","Not Working","Male","","","",""
"Rarely","2004","Not Working","Female","","","",""
"Never","2004","Full Time","Male","","","",""
"Never","2004","Full Time","Female","","","",""
"Never","2004","Part Time","Male","","","",""
"Never","2004","Part Time","Female","","","",""
"Never","2004","Not Working","Male","","","",""
"Never","2004","Not Working","Female","","","",""
"Very often","2005","Full Time","Male","","","",""
"Very often","2005","Full Time","Female","","","",""
"Very often","2005","Part Time","Male","","","",""
"Very often","2005","Part Time","Female","","","",""
"Very often","2005","Not Working","Male","","","",""
"Very often","2005","Not Working","Female","","","",""
"Often","2005","Full Time","Male","","","",""
"Often","2005","Full Time","Female","","","",""
"Often","2005","Part Time","Male","","","",""
"Often","2005","Part Time","Female","","","",""
"Often","2005","Not Working","Male","","","",""
"Often","2005","Not Working","Female","","","",""
"Sometimes","2005","Full Time","Male","","","",""
"Sometimes","2005","Full Time","Female","","","",""
"Sometimes","2005","Part Time","Male","","","",""
"Sometimes","2005","Part Time","Female","","","",""
"Sometimes","2005","Not Working","Male","","","",""
"Sometimes","2005","Not Working","Female","","","",""
"Rarely","2005","Full Time","Male","","","",""
"Rarely","2005","Full Time","Female","","","",""
"Rarely","2005","Part Time","Male","","","",""
"Rarely","2005","Part Time","Female","","","",""
"Rarely","2005","Not Working","Male","","","",""
"Rarely","2005","Not Working","Female","","","",""
"Never","2005","Full Time","Male","","","",""
"Never","2005","Full Time","Female","","","",""
"Never","2005","Part Time","Male","","","",""
"Never","2005","Part Time","Female","","","",""
"Never","2005","Not Working","Male","","","",""
"Never","2005","Not Working","Female","","","",""
"Very often","2006","Full Time","Male","","","",""
"Very often","2006","Full Time","Female","","","",""
"Very often","2006","Part Time","Male","","","",""
"Very often","2006","Part Time","Female","","","",""
"Very often","2006","Not Working","Male","","","",""
"Very often","2006","Not Working","Female","","","",""
"Often","2006","Full Time","Male","","","",""
"Often","2006","Full Time","Female","","","",""
"Often","2006","Part Time","Male","","","",""
"Often","2006","Part Time","Female","","","",""
"Often","2006","Not Working","Male","","","",""
"Often","2006","Not Working","Female","","","",""
"Sometimes","2006","Full Time","Male","","","",""
"Sometimes","2006","Full Time","Female","","","",""
"Sometimes","2006","Part Time","Male","","","",""
"Sometimes","2006","Part Time","Female","","","",""
"Sometimes","2006","Not Working","Male","","","",""
"Sometimes","2006","Not Working","Female","","","",""
"Rarely","2006","Full Time","Male","","","",""
"Rarely","2006","Full Time","Female","","","",""
"Rarely","2006","Part Time","Male","","","",""
"Rarely","2006","Part Time","Female","","","",""
"Rarely","2006","Not Working","Male","","","",""
"Rarely","2006","Not Working","Female","","","",""
"Never","2006","Full Time","Male","","","",""
"Never","2006","Full Time","Female","","","",""
"Never","2006","Part Time","Male","","","",""
"Never","2006","Part Time","Female","","","",""
"Never","2006","Not Working","Male","","","",""
"Never","2006","Not Working","Female","","","",""
"Very often","2007","Full Time","Male","","","",""
"Very often","2007","Full Time","Female","","","",""
"Very often","2007","Part Time","Male","","","",""
"Very often","2007","Part Time","Female","","","",""
"Very often","2007","Not Working","Male","","","",""
"Very often","2007","Not Working","Female","","","",""
"Often","2007","Full Time","Male","","","",""
"Often","2007","Full Time","Female","","","",""
"Often","2007","Part Time","Male","","","",""
"Often","2007","Part Time","Female","","","",""
"Often","2007","Not Working","Male","","","",""
"Often","2007","Not Working","Female","","","",""
"Sometimes","2007","Full Time","Male","","","",""
"Sometimes","2007","Full Time","Female","","","",""
"Sometimes","2007","Part Time","Male","","","",""
"Sometimes","2007","Part Time","Female","","","",""
"Sometimes","2007","Not Working","Male","","","",""
"Sometimes","2007","Not Working","Female","","","",""
"Rarely","2007","Full Time","Male","","","",""
"Rarely","2007","Full Time","Female","","","",""
"Rarely","2007","Part Time","Male","","","",""
"Rarely","2007","Part Time","Female","","","",""
"Rarely","2007","Not Working","Male","","","",""
"Rarely","2007","Not Working","Female","","","",""
"Never","2007","Full Time","Male","","","",""
"Never","2007","Full Time","Female","","","",""
"Never","2007","Part Time","Male","","","",""
"Never","2007","Part Time","Female","","","",""
"Never","2007","Not Working","Male","","","",""
"Never","2007","Not Working","Female","","","",""
"Very often","2008","Full Time","Male","132","0.027407892271843","0.0228586775554511","0.031957106988235"
"Very often","2008","Full Time","Female","110","0.0401189559013111","0.0324601851775269","0.0477777266250953"
"Very often","2008","Part Time","Male","45","0.0413096964069088","0.0300828023344025","0.052536590479415"
"Very often","2008","Part Time","Female","136","0.0479329784222116","0.0405348717248801","0.0553310851195432"
"Very often","2008","Not Working","Male","66","0.0190834418016003","0.0142174644828683","0.0239494191203323"
"Very often","2008","Not Working","Female","124","0.0220868459605611","0.017730473444135","0.0264432184769873"
"Often","2008","Full Time","Male","815","0.172460484778322","0.161934265396153","0.182986704160492"
"Often","2008","Full Time","Female","494","0.190816896173056","0.175481063318394","0.206152729027717"
"Often","2008","Part Time","Male","239","0.19149134510408","0.169293471840074","0.213689218368086"
"Often","2008","Part Time","Female","653","0.197603567732807","0.183813655345585","0.211393480120029"
"Often","2008","Not Working","Male","332","0.101909096696385","0.0911495909992717","0.112668602393498"
"Often","2008","Not Working","Female","495","0.100649925951714","0.0917316864428335","0.109568165460595"
"Sometimes","2008","Full Time","Male","1865","0.367322385493782","0.353890153693815","0.380754617293748"
"Sometimes","2008","Full Time","Female","952","0.380565030126146","0.361615962353844","0.399514097898449"
"Sometimes","2008","Part Time","Male","434","0.35766741031459","0.330626947556553","0.384707873072627"
"Sometimes","2008","Part Time","Female","1246","0.368773354495046","0.352064678013224","0.385482030976869"
"Sometimes","2008","Not Working","Male","816","0.279194489319537","0.263239806853075","0.295149171786"
"Sometimes","2008","Not Working","Female","1278","0.287944660850045","0.274522593829316","0.301366727870773"
"Rarely","2008","Full Time","Male","1590","0.311997398062117","0.299088066005066","0.324906730119168"
"Rarely","2008","Full Time","Female","703","0.278090554385096","0.260603766947212","0.29557734182298"
"Rarely","2008","Part Time","Male","341","0.281809993393384","0.256429951785941","0.307190035000826"
"Rarely","2008","Part Time","Female","825","0.268833294803025","0.253479372006846","0.284187217599203"
"Rarely","2008","Not Working","Male","976","0.311412514332747","0.294943284572818","0.327881744092675"
"Rarely","2008","Not Working","Female","1249","0.288727103910475","0.275294199584285","0.302160008236665"
"Never","2008","Full Time","Male","546","0.120811839393936","0.111730939054747","0.129892739733125"
"Never","2008","Full Time","Female","263","0.110408563414391","0.0981772744569886","0.122639852371794"
"Never","2008","Part Time","Male","148","0.127721554781038","0.108891389818027","0.14655171974405"
"Never","2008","Part Time","Female","343","0.11685680454691","0.105731492824804","0.127982116269016"
"Never","2008","Not Working","Male","847","0.288400457849731","0.272288752986459","0.304512162713003"
"Never","2008","Not Working","Female","1226","0.300591463327205","0.287000138248099","0.314182788406311"
"Very often","2009","Full Time","Male","","","",""
"Very often","2009","Full Time","Female","","","",""
"Very often","2009","Part Time","Male","","","",""
"Very often","2009","Part Time","Female","","","",""
"Very often","2009","Not Working","Male","","","",""
"Very often","2009","Not Working","Female","","","",""
"Often","2009","Full Time","Male","","","",""
"Often","2009","Full Time","Female","","","",""
"Often","2009","Part Time","Male","","","",""
"Often","2009","Part Time","Female","","","",""
"Often","2009","Not Working","Male","","","",""
"Often","2009","Not Working","Female","","","",""
"Sometimes","2009","Full Time","Male","","","",""
"Sometimes","2009","Full Time","Female","","","",""
"Sometimes","2009","Part Time","Male","","","",""
"Sometimes","2009","Part Time","Female","","","",""
"Sometimes","2009","Not Working","Male","","","",""
"Sometimes","2009","Not Working","Female","","","",""
"Rarely","2009","Full Time","Male","","","",""
"Rarely","2009","Full Time","Female","","","",""
"Rarely","2009","Part Time","Male","","","",""
"Rarely","2009","Part Time","Female","","","",""
"Rarely","2009","Not Working","Male","","","",""
"Rarely","2009","Not Working","Female","","","",""
"Never","2009","Full Time","Male","","","",""
"Never","2009","Full Time","Female","","","",""
"Never","2009","Part Time","Male","","","",""
"Never","2009","Part Time","Female","","","",""
"Never","2009","Not Working","Male","","","",""
"Never","2009","Not Working","Female","","","",""
"Very often","2010","Full Time","Male","","","",""
"Very often","2010","Full Time","Female","","","",""
"Very often","2010","Part Time","Male","","","",""
"Very often","2010","Part Time","Female","","","",""
"Very often","2010","Not Working","Male","","","",""
"Very often","2010","Not Working","Female","","","",""
"Often","2010","Full Time","Male","","","",""
"Often","2010","Full Time","Female","","","",""
"Often","2010","Part Time","Male","","","",""
"Often","2010","Part Time","Female","","","",""
"Often","2010","Not Working","Male","","","",""
"Often","2010","Not Working","Female","","","",""
"Sometimes","2010","Full Time","Male","","","",""
"Sometimes","2010","Full Time","Female","","","",""
"Sometimes","2010","Part Time","Male","","","",""
"Sometimes","2010","Part Time","Female","","","",""
"Sometimes","2010","Not Working","Male","","","",""
"Sometimes","2010","Not Working","Female","","","",""
"Rarely","2010","Full Time","Male","","","",""
"Rarely","2010","Full Time","Female","","","",""
"Rarely","2010","Part Time","Male","","","",""
"Rarely","2010","Part Time","Female","","","",""
"Rarely","2010","Not Working","Male","","","",""
"Rarely","2010","Not Working","Female","","","",""
"Never","2010","Full Time","Male","","","",""
"Never","2010","Full Time","Female","","","",""
"Never","2010","Part Time","Male","","","",""
"Never","2010","Part Time","Female","","","",""
"Never","2010","Not Working","Male","","","",""
"Never","2010","Not Working","Female","","","",""
"Very often","2011","Full Time","Male","","","",""
"Very often","2011","Full Time","Female","","","",""
"Very often","2011","Part Time","Male","","","",""
"Very often","2011","Part Time","Female","","","",""
"Very often","2011","Not Working","Male","","","",""
"Very often","2011","Not Working","Female","","","",""
"Often","2011","Full Time","Male","","","",""
"Often","2011","Full Time","Female","","","",""
"Often","2011","Part Time","Male","","","",""
"Often","2011","Part Time","Female","","","",""
"Often","2011","Not Working","Male","","","",""
"Often","2011","Not Working","Female","","","",""
"Sometimes","2011","Full Time","Male","","","",""
"Sometimes","2011","Full Time","Female","","","",""
"Sometimes","2011","Part Time","Male","","","",""
"Sometimes","2011","Part Time","Female","","","",""
"Sometimes","2011","Not Working","Male","","","",""
"Sometimes","2011","Not Working","Female","","","",""
"Rarely","2011","Full Time","Male","","","",""
"Rarely","2011","Full Time","Female","","","",""
"Rarely","2011","Part Time","Male","","","",""
"Rarely","2011","Part Time","Female","","","",""
"Rarely","2011","Not Working","Male","","","",""
"Rarely","2011","Not Working","Female","","","",""
"Never","2011","Full Time","Male","","","",""
"Never","2011","Full Time","Female","","","",""
"Never","2011","Part Time","Male","","","",""
"Never","2011","Part Time","Female","","","",""
"Never","2011","Not Working","Male","","","",""
"Never","2011","Not Working","Female","","","",""
"Very often","2012","Full Time","Male","","","",""
