"pld0043","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Schleswig-Holstein","(0) in school","2","","",""
"Very often","2003","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Very often","2003","Schleswig-Holstein","(1b) general elementary school","3","","",""
"Very often","2003","Schleswig-Holstein","(1c) basic vocational qualification","6","","",""
"Very often","2003","Schleswig-Holstein","(2b) intermediate general qualification","","","",""
"Very often","2003","Schleswig-Holstein","(2a) intermediate vocational","3","","",""
"Very often","2003","Schleswig-Holstein","(2c_gen) general maturity certificate","2","","",""
"Very often","2003","Schleswig-Holstein","(2c_voc) vocational maturity certificate","1","","",""
"Very often","2003","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"Very often","2003","Schleswig-Holstein","(3b) higher tertiary education","1","","",""
"Very often","2003","Hamburg","(0) in school","2","","",""
"Very often","2003","Hamburg","(1a) inadequately completed","","","",""
"Very often","2003","Hamburg","(1b) general elementary school","1","","",""
"Very often","2003","Hamburg","(1c) basic vocational qualification","1","","",""
"Very often","2003","Hamburg","(2b) intermediate general qualification","","","",""
"Very often","2003","Hamburg","(2a) intermediate vocational","4","","",""
"Very often","2003","Hamburg","(2c_gen) general maturity certificate","2","","",""
"Very often","2003","Hamburg","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","Hamburg","(3a) lower tertiary education","1","","",""
"Very often","2003","Hamburg","(3b) higher tertiary education","2","","",""
"Very often","2003","Lower Saxony","(0) in school","11","","",""
"Very often","2003","Lower Saxony","(1a) inadequately completed","1","","",""
"Very often","2003","Lower Saxony","(1b) general elementary school","5","","",""
"Very often","2003","Lower Saxony","(1c) basic vocational qualification","19","","",""
"Very often","2003","Lower Saxony","(2b) intermediate general qualification","10","","",""
"Very often","2003","Lower Saxony","(2a) intermediate vocational","25","","",""
"Very often","2003","Lower Saxony","(2c_gen) general maturity certificate","5","","",""
"Very often","2003","Lower Saxony","(2c_voc) vocational maturity certificate","11","","",""
"Very often","2003","Lower Saxony","(3a) lower tertiary education","5","","",""
"Very often","2003","Lower Saxony","(3b) higher tertiary education","19","","",""
"Very often","2003","Bremen","(0) in school","1","","",""
"Very often","2003","Bremen","(1a) inadequately completed","","","",""
"Very often","2003","Bremen","(1b) general elementary school","","","",""
