"pld0043","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very often","2003","16-34 y.","1-pers.-HH","74","0.0956157844067444","0.0734319054111384","0.11779966340235"
"Very often","2003","16-34 y.","(Married) couple without C. ","66","0.0808168064010916","0.0641313520102015","0.0975022607919817"
"Very often","2003","16-34 y.","Single parent ","38","0.0827833471288002","0.0579242959611842","0.107642398296416"
"Very often","2003","16-34 y.","Couple + C. LE 16 ","83","0.0655212188605205","0.0524801644439674","0.0785622732770737"
"Very often","2003","16-34 y.","Couple + C. GT 16 ","152","0.12679050998868","0.10976360816437","0.14381741181299"
"Very often","2003","16-34 y.","Couple + C. LE and GT 16","75","0.0773980040980506","0.05731328739731","0.0974827207987911"
"Very often","2003","35-65 y.","1-pers.-HH","51","0.0490797885723532","0.0370651510222233","0.061094426122483"
"Very often","2003","35-65 y.","(Married) couple without C. ","100","0.0206736808496984","0.0162909296275058","0.025056432071891"
"Very often","2003","35-65 y.","Single parent ","25","","",""
"Very often","2003","35-65 y.","Couple + C. LE 16 ","97","0.0337929786919158","0.0273085787064465","0.0402773786773852"
"Very often","2003","35-65 y.","Couple + C. GT 16 ","75","0.0404248070328746","0.0323809451341831","0.048468668931566"
"Very often","2003","35-65 y.","Couple + C. LE and GT 16","35","0.021679089852831","0.0132729883826683","0.0300851913229936"
"Very often","2003","66 and older","1-pers.-HH","8","","",""
"Very often","2003","66 and older","(Married) couple without C. ","13","","",""
"Very often","2003","66 and older","Single parent ","","","",""
"Very often","2003","66 and older","Couple + C. LE 16 ","","","",""
"Very often","2003","66 and older","Couple + C. GT 16 ","","","",""
"Very often","2003","66 and older","Couple + C. LE and GT 16","","","",""
"Often","2003","16-34 y.","1-pers.-HH","222","0.342716348043875","0.306911648755581","0.37852104733217"
"Often","2003","16-34 y.","(Married) couple without C. ","254","0.250221014159145","0.223704606911961","0.276737421406329"
"Often","2003","16-34 y.","Single parent ","133","0.250695691328844","0.211595431661373","0.289795950996315"
"Often","2003","16-34 y.","Couple + C. LE 16 ","272","0.200299244763776","0.179206144844743","0.221392344682809"
"Often","2003","16-34 y.","Couple + C. GT 16 ","474","0.296273868665943","0.27290802066169","0.319639716670196"
"Often","2003","16-34 y.","Couple + C. LE and GT 16","232","0.36706842758178","0.330840329871304","0.403296525292257"
"Often","2003","35-65 y.","1-pers.-HH","233","0.195727401321301","0.173661851960946","0.217792950681656"
"Often","2003","35-65 y.","(Married) couple without C. ","491","0.114734309221261","0.10491778659797","0.124550831844551"
"Often","2003","35-65 y.","Single parent ","86","0.142130332236337","0.113564545689913","0.170696118782761"
"Often","2003","35-65 y.","Couple + C. LE 16 ","552","0.178907164878661","0.165153087529832","0.192661242227489"
"Often","2003","35-65 y.","Couple + C. GT 16 ","312","0.129174520185791","0.115476584763557","0.142872455608025"
"Often","2003","35-65 y.","Couple + C. LE and GT 16","177","0.158560230194492","0.137476760281186","0.179643700107797"
"Often","2003","66 and older","1-pers.-HH","63","0.0589999709820229","0.0448087151807701","0.0731912267832757"
"Often","2003","66 and older","(Married) couple without C. ","128","0.0549171720603487","0.0453952527902044","0.0644390913304929"
"Often","2003","66 and older","Single parent ","2","","",""
"Often","2003","66 and older","Couple + C. LE 16 ","","","",""
"Often","2003","66 and older","Couple + C. GT 16 ","8","","",""
"Often","2003","66 and older","Couple + C. LE and GT 16","","","",""
"Sometimes","2003","16-34 y.","1-pers.-HH","255","0.3886352183088","0.351863198095282","0.425407238522318"
"Sometimes","2003","16-34 y.","(Married) couple without C. ","432","0.422757729621904","0.392515695445377","0.452999763798431"
"Sometimes","2003","16-34 y.","Single parent ","182","0.411475837213525","0.367081108181256","0.455870566245794"
"Sometimes","2003","16-34 y.","Couple + C. LE 16 ","534","0.388994106571951","0.363300136649748","0.414688076494155"
"Sometimes","2003","16-34 y.","Couple + C. GT 16 ","575","0.390680564646389","0.365713559376004","0.415647569916774"
"Sometimes","2003","16-34 y.","Couple + C. LE and GT 16","250","0.337425892632259","0.301887312912836","0.372964472351682"
