"pld0043","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very often","2003","1-pers.-HH","133","0.0424133661568023","0.0351728081658458","0.0496539241477587"
"Very often","2003","(Married) couple without C. ","179","0.0228355526413423","0.0194024966297953","0.0262686086528893"
"Very often","2003","Single parent ","63","0.0587423336023727","0.0449650718791266","0.0725195953256188"
"Very often","2003","Couple + C. LE 16 ","180","0.0443785673724077","0.0382728464142949","0.0504842883305206"
"Very often","2003","Couple + C. GT 16 ","227","0.0697303423608634","0.0617846846082621","0.0776760001134646"
"Very often","2003","Couple + C. LE and GT 16","110","0.0429144803254655","0.0336417557898869","0.0521872048610442"
"Often","2003","1-pers.-HH","518","0.172593739425534","0.159016747864424","0.186170730986644"
"Often","2003","(Married) couple without C. ","873","0.110372198926954","0.103170659911856","0.117573737942052"
"Often","2003","Single parent ","221","0.182277236273793","0.159656730600366","0.20489774194722"
"Often","2003","Couple + C. LE 16 ","824","0.185874569126141","0.174341018654975","0.197408119597307"
"Often","2003","Couple + C. GT 16 ","794","0.185250268362114","0.173130172250775","0.197370364473454"
"Often","2003","Couple + C. LE and GT 16","409","0.237920875688211","0.218438300359","0.257403451017423"
"Sometimes","2003","1-pers.-HH","872","0.288721273492805","0.272439904099091","0.30500264288652"
"Sometimes","2003","(Married) couple without C. ","2311","0.306318158859944","0.295724210986818","0.316912106733071"
"Sometimes","2003","Single parent ","381","0.358118120910493","0.330026696969887","0.386209544851099"
"Sometimes","2003","Couple + C. LE 16 ","1799","0.40682176547205","0.392257047945948","0.421386482998151"
"Sometimes","2003","Couple + C. GT 16 ","1469","0.35734562008783","0.342395403122789","0.372295837052872"
"Sometimes","2003","Couple + C. LE and GT 16","687","0.362361136587201","0.340367945235568","0.384354327938834"
"Rarely","2003","1-pers.-HH","692","0.231323944306308","0.216173910619973","0.246473977992642"
"Rarely","2003","(Married) couple without C. ","2289","0.312752187279932","0.302097317207114","0.323407057352751"
"Rarely","2003","Single parent ","275","0.246302630873281","0.221058171594856","0.271547090151706"
"Rarely","2003","Couple + C. LE 16 ","1158","0.262141921900585","0.249102389126202","0.275181454674968"
"Rarely","2003","Couple + C. GT 16 ","1017","0.260327011904764","0.246637308969176","0.274016714840352"
"Rarely","2003","Couple + C. LE and GT 16","454","0.245238723345336","0.225553996837653","0.264923449853019"
"Never","2003","1-pers.-HH","761","0.264947676618551","0.24909250991451","0.280802843322592"
"Never","2003","(Married) couple without C. ","1621","0.247721902291827","0.237800736452004","0.25764306813165"
"Never","2003","Single parent ","179","0.154559678340061","0.133379840591936","0.175739516088187"
"Never","2003","Couple + C. LE 16 ","409","0.100783176128816","0.0918576545398523","0.10970869771778"
"Never","2003","Couple + C. GT 16 ","440","0.127346757284428","0.116946853375791","0.137746661193065"
"Never","2003","Couple + C. LE and GT 16","175","0.111564784053786","0.097160008235848","0.125969559871725"
"Very often","2004","1-pers.-HH","","","",""
"Very often","2004","(Married) couple without C. ","","","",""
"Very often","2004","Single parent ","","","",""
"Very often","2004","Couple + C. LE 16 ","","","",""
"Very often","2004","Couple + C. GT 16 ","","","",""
"Very often","2004","Couple + C. LE and GT 16","","","",""
"Often","2004","1-pers.-HH","","","",""
"Often","2004","(Married) couple without C. ","","","",""
"Often","2004","Single parent ","","","",""
"Often","2004","Couple + C. LE 16 ","","","",""
"Often","2004","Couple + C. GT 16 ","","","",""
"Often","2004","Couple + C. LE and GT 16","","","",""
"Sometimes","2004","1-pers.-HH","","","",""
"Sometimes","2004","(Married) couple without C. ","","","",""
"Sometimes","2004","Single parent ","","","",""
"Sometimes","2004","Couple + C. LE 16 ","","","",""
"Sometimes","2004","Couple + C. GT 16 ","","","",""
"Sometimes","2004","Couple + C. LE and GT 16","","","",""
"Rarely","2004","1-pers.-HH","","","",""
"Rarely","2004","(Married) couple without C. ","","","",""
"Rarely","2004","Single parent ","","","",""
"Rarely","2004","Couple + C. LE 16 ","","","",""
"Rarely","2004","Couple + C. GT 16 ","","","",""
"Rarely","2004","Couple + C. LE and GT 16","","","",""
"Never","2004","1-pers.-HH","","","",""
"Never","2004","(Married) couple without C. ","","","",""
"Never","2004","Single parent ","","","",""
"Never","2004","Couple + C. LE 16 ","","","",""
"Never","2004","Couple + C. GT 16 ","","","",""
"Never","2004","Couple + C. LE and GT 16","","","",""
"Very often","2005","1-pers.-HH","","","",""
"Very often","2005","(Married) couple without C. ","","","",""
"Very often","2005","Single parent ","","","",""
"Very often","2005","Couple + C. LE 16 ","","","",""
"Very often","2005","Couple + C. GT 16 ","","","",""
"Very often","2005","Couple + C. LE and GT 16","","","",""
"Often","2005","1-pers.-HH","","","",""
"Often","2005","(Married) couple without C. ","","","",""
"Often","2005","Single parent ","","","",""
"Often","2005","Couple + C. LE 16 ","","","",""
"Often","2005","Couple + C. GT 16 ","","","",""
"Often","2005","Couple + C. LE and GT 16","","","",""
"Sometimes","2005","1-pers.-HH","","","",""
"Sometimes","2005","(Married) couple without C. ","","","",""
"Sometimes","2005","Single parent ","","","",""
"Sometimes","2005","Couple + C. LE 16 ","","","",""
"Sometimes","2005","Couple + C. GT 16 ","","","",""
"Sometimes","2005","Couple + C. LE and GT 16","","","",""
"Rarely","2005","1-pers.-HH","","","",""
"Rarely","2005","(Married) couple without C. ","","","",""
"Rarely","2005","Single parent ","","","",""
"Rarely","2005","Couple + C. LE 16 ","","","",""
"Rarely","2005","Couple + C. GT 16 ","","","",""
"Rarely","2005","Couple + C. LE and GT 16","","","",""
"Never","2005","1-pers.-HH","","","",""
"Never","2005","(Married) couple without C. ","","","",""
"Never","2005","Single parent ","","","",""
"Never","2005","Couple + C. LE 16 ","","","",""
"Never","2005","Couple + C. GT 16 ","","","",""
"Never","2005","Couple + C. LE and GT 16","","","",""
"Very often","2006","1-pers.-HH","","","",""
"Very often","2006","(Married) couple without C. ","","","",""
"Very often","2006","Single parent ","","","",""
"Very often","2006","Couple + C. LE 16 ","","","",""
"Very often","2006","Couple + C. GT 16 ","","","",""
"Very often","2006","Couple + C. LE and GT 16","","","",""
"Often","2006","1-pers.-HH","","","",""
"Often","2006","(Married) couple without C. ","","","",""
"Often","2006","Single parent ","","","",""
"Often","2006","Couple + C. LE 16 ","","","",""
"Often","2006","Couple + C. GT 16 ","","","",""
"Often","2006","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","1-pers.-HH","","","",""
"Sometimes","2006","(Married) couple without C. ","","","",""
"Sometimes","2006","Single parent ","","","",""
"Sometimes","2006","Couple + C. LE 16 ","","","",""
"Sometimes","2006","Couple + C. GT 16 ","","","",""
"Sometimes","2006","Couple + C. LE and GT 16","","","",""
"Rarely","2006","1-pers.-HH","","","",""
"Rarely","2006","(Married) couple without C. ","","","",""
"Rarely","2006","Single parent ","","","",""
"Rarely","2006","Couple + C. LE 16 ","","","",""
"Rarely","2006","Couple + C. GT 16 ","","","",""
"Rarely","2006","Couple + C. LE and GT 16","","","",""
"Never","2006","1-pers.-HH","","","",""
"Never","2006","(Married) couple without C. ","","","",""
"Never","2006","Single parent ","","","",""
"Never","2006","Couple + C. LE 16 ","","","",""
"Never","2006","Couple + C. GT 16 ","","","",""
"Never","2006","Couple + C. LE and GT 16","","","",""
"Very often","2007","1-pers.-HH","","","",""
"Very often","2007","(Married) couple without C. ","","","",""
"Very often","2007","Single parent ","","","",""
"Very often","2007","Couple + C. LE 16 ","","","",""
"Very often","2007","Couple + C. GT 16 ","","","",""
"Very often","2007","Couple + C. LE and GT 16","","","",""
"Often","2007","1-pers.-HH","","","",""
"Often","2007","(Married) couple without C. ","","","",""
"Often","2007","Single parent ","","","",""
"Often","2007","Couple + C. LE 16 ","","","",""
"Often","2007","Couple + C. GT 16 ","","","",""
"Often","2007","Couple + C. LE and GT 16","","","",""
"Sometimes","2007","1-pers.-HH","","","",""
"Sometimes","2007","(Married) couple without C. ","","","",""
"Sometimes","2007","Single parent ","","","",""
"Sometimes","2007","Couple + C. LE 16 ","","","",""
"Sometimes","2007","Couple + C. GT 16 ","","","",""
"Sometimes","2007","Couple + C. LE and GT 16","","","",""
"Rarely","2007","1-pers.-HH","","","",""
"Rarely","2007","(Married) couple without C. ","","","",""
"Rarely","2007","Single parent ","","","",""
"Rarely","2007","Couple + C. LE 16 ","","","",""
"Rarely","2007","Couple + C. GT 16 ","","","",""
"Rarely","2007","Couple + C. LE and GT 16","","","",""
"Never","2007","1-pers.-HH","","","",""
"Never","2007","(Married) couple without C. ","","","",""
"Never","2007","Single parent ","","","",""
"Never","2007","Couple + C. LE 16 ","","","",""
