"pld0043","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Schleswig-Holstein","lower secondary degree","9","","",""
"Very often","2003","Schleswig-Holstein","secondary school degree","3","","",""
"Very often","2003","Schleswig-Holstein","college entrance qualification","4","","",""
"Very often","2003","Schleswig-Holstein","Other degree","","","",""
"Very often","2003","Schleswig-Holstein","no degree/no degree yet","2","","",""
"Very often","2003","Hamburg","lower secondary degree","2","","",""
"Very often","2003","Hamburg","secondary school degree","4","","",""
"Very often","2003","Hamburg","college entrance qualification","5","","",""
"Very often","2003","Hamburg","Other degree","","","",""
"Very often","2003","Hamburg","no degree/no degree yet","2","","",""
"Very often","2003","Lower Saxony","lower secondary degree","22","","",""
"Very often","2003","Lower Saxony","secondary school degree","36","0.0656426422842351","0.0452758114966679","0.0860094730718024"
"Very often","2003","Lower Saxony","college entrance qualification","38","0.0793439691792417","0.0538573705308033","0.10483056782768"
"Very often","2003","Lower Saxony","Other degree","3","","",""
"Very often","2003","Lower Saxony","no degree/no degree yet","12","","",""
"Very often","2003","Bremen","lower secondary degree","","","",""
"Very often","2003","Bremen","secondary school degree","1","","",""
"Very often","2003","Bremen","college entrance qualification","4","","",""
"Very often","2003","Bremen","Other degree","2","","",""
"Very often","2003","Bremen","no degree/no degree yet","1","","",""
"Very often","2003","North Rhine-Westphalia","lower secondary degree","33","0.020614590279859","0.013915121144643","0.0273140594150749"
"Very often","2003","North Rhine-Westphalia","secondary school degree","50","0.0483248038574686","0.0350198845332516","0.0616297231816856"
"Very often","2003","North Rhine-Westphalia","college entrance qualification","78","0.0654718134003806","0.052087239162743","0.0788563876380182"
"Very often","2003","North Rhine-Westphalia","Other degree","7","","",""
"Very often","2003","North Rhine-Westphalia","no degree/no degree yet","21","","",""
"Very often","2003","Hesse","lower secondary degree","18","","",""
"Very often","2003","Hesse","secondary school degree","17","","",""
"Very often","2003","Hesse","college entrance qualification","26","","",""
"Very often","2003","Hesse","Other degree","6","","",""
"Very often","2003","Hesse","no degree/no degree yet","6","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","lower secondary degree","11","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","secondary school degree","12","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","college entrance qualification","14","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","Other degree","2","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","no degree/no degree yet","5","","",""
"Very often","2003","Baden-Württemberg","lower secondary degree","20","","",""
"Very often","2003","Baden-Württemberg","secondary school degree","33","0.049768120203681","0.0327463494354302","0.0667898909719318"
"Very often","2003","Baden-Württemberg","college entrance qualification","32","0.0531414762032054","0.0356807293548508","0.0706022230515601"
"Very often","2003","Baden-Württemberg","Other degree","7","","",""
"Very often","2003","Baden-Württemberg","no degree/no degree yet","4","","",""
"Very often","2003","Bavaria","lower secondary degree","49","0.035719886918088","0.0257193155921195","0.0457204582440565"
"Very often","2003","Bavaria","secondary school degree","34","0.0510623502428302","0.0353815078306343","0.0667431926550261"
"Very often","2003","Bavaria","college entrance qualification","30","0.0488442265874594","0.033408054023614","0.0642803991513048"
"Very often","2003","Bavaria","Other degree","8","","",""
"Very often","2003","Bavaria","no degree/no degree yet","7","","",""
"Very often","2003","Berlin","lower secondary degree","5","","",""
"Very often","2003","Berlin","secondary school degree","20","","",""
"Very often","2003","Berlin","college entrance qualification","19","","",""
"Very often","2003","Berlin","Other degree","3","","",""
"Very often","2003","Berlin","no degree/no degree yet","2","","",""
"Very often","2003","Brandenburg","lower secondary degree","5","","",""
"Very often","2003","Brandenburg","secondary school degree","17","","",""
"Very often","2003","Brandenburg","college entrance qualification","12","","",""
"Very often","2003","Brandenburg","Other degree","","","",""
"Very often","2003","Brandenburg","no degree/no degree yet","5","","",""
"Very often","2003","Mecklenburg-Western Pomerania","lower secondary degree","3","","",""
"Very often","2003","Mecklenburg-Western Pomerania","secondary school degree","6","","",""
"Very often","2003","Mecklenburg-Western Pomerania","college entrance qualification","6","","",""
"Very often","2003","Mecklenburg-Western Pomerania","Other degree","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","no degree/no degree yet","1","","",""
"Very often","2003","Saxony","lower secondary degree","8","","",""
"Very often","2003","Saxony","secondary school degree","19","","",""
"Very often","2003","Saxony","college entrance qualification","14","","",""
"Very often","2003","Saxony","Other degree","","","",""
"Very often","2003","Saxony","no degree/no degree yet","3","","",""
"Very often","2003","Saxony-Anhalt","lower secondary degree","6","","",""
"Very often","2003","Saxony-Anhalt","secondary school degree","16","","",""
"Very often","2003","Saxony-Anhalt","college entrance qualification","11","","",""
"Very often","2003","Saxony-Anhalt","Other degree","","","",""
"Very often","2003","Saxony-Anhalt","no degree/no degree yet","7","","",""
"Very often","2003","Thuringia","lower secondary degree","6","","",""
"Very often","2003","Thuringia","secondary school degree","13","","",""
"Very often","2003","Thuringia","college entrance qualification","7","","",""
"Very often","2003","Thuringia","Other degree","","","",""
"Very often","2003","Thuringia","no degree/no degree yet","2","","",""
"Often","2003","Schleswig-Holstein","lower secondary degree","22","","",""
"Often","2003","Schleswig-Holstein","secondary school degree","23","","",""
"Often","2003","Schleswig-Holstein","college entrance qualification","38","0.176936614753081","0.118884299505908","0.234988930000254"
"Often","2003","Schleswig-Holstein","Other degree","3","","",""
"Often","2003","Schleswig-Holstein","no degree/no degree yet","6","","",""
"Often","2003","Hamburg","lower secondary degree","5","","",""
