"pld0043","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","(Married) couple without C. ","Female","814","0.250063870504022","0.23602852125708","0.264099219750964","5"
"Never","2003","Single parent ","Male","50","0.145691382795941","0.108677921169737","0.182704844422146","5"
"Never","2003","1-pers.-HH","Female","533","0.332965722605681","0.310622238301125","0.355309206910237","5"
"Never","2003","(Married) couple without C. ","Male","807","0.245487926890289","0.231460369764445","0.259515484016133","5"
"Never","2003","1-pers.-HH","Male","228","0.175611953892173","0.154661054857468","0.196562852926878","5"
"Never","2003","Single parent ","Female","129","0.158509974190135","0.132713787436657","0.184306160943614","5"
"Never","2003","Couple + C. LE 16 ","Male","220","0.11137358745133","0.0980973891176602","0.124649785785","5"
"Never","2003","Couple + C. LE 16 ","Female","189","0.0893985166833293","0.0775111210440646","0.101285912322594","5"
"Never","2003","Couple + C. GT 16 ","Male","239","0.129198756511349","0.114763237529275","0.143634275493422","5"
"Never","2003","Couple + C. GT 16 ","Female","201","0.125209365491272","0.110221158847577","0.140197572134967","5"
"Never","2003","Couple + C. LE and GT 16","Male","94","0.115718530705734","0.0951705112634418","0.136266550148026","5"
"Never","2003","Couple + C. LE and GT 16","Female","81","0.106917202538405","0.0867737675450264","0.127060637531783","5"
"Often","2003","1-pers.-HH","Male","266","0.213519150892327","0.190954829526043","0.236083472258611","2"
"Often","2003","1-pers.-HH","Female","252","0.141434126739391","0.124912949996921","0.157955303481861","2"
"Often","2003","(Married) couple without C. ","Male","424","0.110848795860613","0.10061616798904","0.121081423732186","2"
"Often","2003","(Married) couple without C. ","Female","449","0.109872562777026","0.0997368024610059","0.120008323093046","2"
"Often","2003","Single parent ","Male","87","0.230428295717891","0.186248080517946","0.274608510917837","2"
"Often","2003","Single parent ","Female","134","0.160828815959834","0.134880454324906","0.186777177594762","2"
"Often","2003","Couple + C. LE 16 ","Male","369","0.161869968493256","0.146326001666067","0.177413935320446","2"
"Often","2003","Couple + C. GT 16 ","Male","423","0.194215296887353","0.177189990320522","0.211240603454184","2"
"Often","2003","Couple + C. LE 16 ","Female","455","0.211679440628095","0.194659887605431","0.22869899365076","2"
"Often","2003","Couple + C. GT 16 ","Female","371","0.174903731432332","0.15769966735979","0.192107795504874","2"
"Often","2003","Couple + C. LE and GT 16","Male","185","0.240347684227142","0.212900319422258","0.267795049032027","2"
"Often","2003","Couple + C. LE and GT 16","Female","224","0.235205546263481","0.207557781869908","0.262853310657055","2"
"Rarely","2003","1-pers.-HH","Male","284","0.225074538334858","0.202078504819347","0.248070571850368","4"
"Rarely","2003","1-pers.-HH","Female","408","0.236082089981809","0.215948003655379","0.25621617630824","4"
"Rarely","2003","(Married) couple without C. ","Male","1144","0.311468932591006","0.296374978738508","0.326562886443504","4"
"Rarely","2003","(Married) couple without C. ","Female","1145","0.314097475901977","0.299053970906624","0.329140980897329","4"
"Rarely","2003","Single parent ","Male","73","0.220787678472589","0.177271504964457","0.264303851980721","4"
"Rarely","2003","Single parent ","Female","202","0.257668017838775","0.226777010357822","0.288559025319728","4"
"Rarely","2003","Couple + C. LE 16 ","Female","543","0.239627142353918","0.221842763913366","0.257411520794469","4"
"Rarely","2003","Couple + C. GT 16 ","Female","489","0.274520636214769","0.254310035021123","0.294731237408416","4"
"Rarely","2003","Couple + C. LE 16 ","Male","615","0.283085963079564","0.264074491791545","0.302097434367583","4"
"Rarely","2003","Couple + C. GT 16 ","Male","528","0.248028573530717","0.229442175130822","0.266614971930613","4"
"Rarely","2003","Couple + C. LE and GT 16","Male","257","0.246217224318525","0.218544267159344","0.273890181477706","4"
