"pld0043","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","35-65 y.","Not Working","753","0.241503275464512","0.226321482787054","0.256685068141971","5"
"Never","2003","16-34 y.","Full Time","149","0.0600992614619935","0.0507901872663746","0.0694083356576124","5"
"Never","2003","16-34 y.","Part Time","75","0.0447205373352832","0.0349526060758232","0.0544884685947432","5"
"Never","2003","35-65 y.","Full Time","755","0.13201354759589","0.12368510529139","0.140341989900389","5"
"Never","2003","35-65 y.","Part Time","379","0.145348246312168","0.133223481438194","0.157473011186142","5"
"Never","2003","16-34 y.","Not Working","112","0.0614135253487926","0.0498255670662255","0.0730014836313597","5"
"Never","2003","66 and older","Full Time","15","","","","5"
"Never","2003","66 and older","Part Time","39","0.250588664072971","0.183650161559648","0.317527166586293","5"
"Never","2003","66 and older","Not Working","1457","0.443117343868159","0.426495509417294","0.459739178319023","5"
"Often","2003","16-34 y.","Part Time","507","0.294150674970271","0.272616670737594","0.315684679202948","2"
"Often","2003","16-34 y.","Full Time","601","0.240528232210702","0.223787680159214","0.257268784262191","2"
"Often","2003","35-65 y.","Full Time","1011","0.155612826349452","0.14669433148935","0.164531321209554","2"
"Often","2003","35-65 y.","Part Time","562","0.175111657084356","0.162037041000596","0.188186273168116","2"
"Often","2003","16-34 y.","Not Working","528","0.312513598563657","0.290141625941944","0.33488557118537","2"
"Often","2003","35-65 y.","Not Working","324","0.116390929505688","0.105015328792004","0.127766530219371","2"
"Often","2003","66 and older","Part Time","13","","","","2"
"Often","2003","66 and older","Not Working","189","0.0526190556101036","0.0451481787325533","0.060089932487654","2"
"Often","2003","66 and older","Full Time","6","","","","2"
"Rarely","2003","16-34 y.","Full Time","509","0.198218481811447","0.182603876105752","0.213833087517141","4"
"Rarely","2003","16-34 y.","Part Time","327","0.189205408731374","0.170695423909737","0.207715393553012","4"
"Rarely","2003","16-34 y.","Not Working","275","0.16962787981045","0.15151352960339","0.187742230017509","4"
"Rarely","2003","35-65 y.","Full Time","1934","0.294837969939942","0.283619484646373","0.306056455233512","4"
"Rarely","2003","35-65 y.","Part Time","939","0.278356300568796","0.262938026069563","0.293774575068029","4"
"Rarely","2003","35-65 y.","Not Working","947","0.308862863160408","0.292473969015656","0.32525175730516","4"
"Rarely","2003","66 and older","Full Time","15","","","","4"
"Rarely","2003","66 and older","Part Time","65","0.3832966056619","0.308196454862741","0.458396756461059","4"
"Rarely","2003","66 and older","Not Working","1037","0.296938392262222","0.281649796429762","0.312226988094682","4"
"Sometimes","2003","16-34 y.","Part Time","658","0.382702199374365","0.359732161492479","0.40567223725625","3"
"Sometimes","2003","35-65 y.","Not Working","959","0.309109835963791","0.29271732034578","0.325502351581803","3"
"Sometimes","2003","66 and older","Full Time","10","","","","3"
"Sometimes","2003","16-34 y.","Full Time","1041","0.411086177392965","0.391814334803236","0.430358019982693","3"
"Sometimes","2003","16-34 y.","Not Working","591","0.373223731291055","0.349879549278151","0.396567913303958","3"
"Sometimes","2003","35-65 y.","Full Time","2438","0.382272677157918","0.3703167546438","0.394228599672036","3"
"Sometimes","2003","35-65 y.","Part Time","1247","0.363822859371967","0.347272483760289","0.380373234983644","3"
"Sometimes","2003","66 and older","Part Time","43","0.268328716439055","0.199886079314359","0.336771353563751","3"
"Sometimes","2003","66 and older","Not Working","729","0.201951362421653","0.188518276088058","0.215384448755248","3"
"Very often","2003","16-34 y.","Full Time","204","0.0900678471228928","0.0788548857673221","0.101280808478463","1"
"Very often","2003","16-34 y.","Part Time","153","0.089221179588707","0.0757494204544878","0.102692938722926","1"
"Very often","2003","16-34 y.","Not Working","143","0.0832212649860461","0.0698895142449844","0.0965530157271079","1"
"Very often","2003","35-65 y.","Full Time","208","0.0352629789567978","0.0307250046944197","0.039800953219176","1"
"Very often","2003","35-65 y.","Part Time","119","0.037360936662713","0.0308369291616783","0.0438849441637477","1"
"Very often","2003","35-65 y.","Not Working","70","0.0241330959056008","0.0186894921756375","0.0295766996355641","1"
"Very often","2003","66 and older","Full Time","1","","","","1"
"Very often","2003","66 and older","Part Time","1","","","","1"
"Very often","2003","66 and older","Not Working","19","","","","1"
"Never","2004","16-34 y.","Not Working","","","","","5"
"Never","2004","35-65 y.","Part Time","","","","","5"
"Never","2004","35-65 y.","Full Time","","","","","5"
"Never","2004","16-34 y.","Full Time","","","","","5"
"Never","2004","16-34 y.","Part Time","","","","","5"
"Never","2004","35-65 y.","Not Working","","","","","5"
"Never","2004","66 and older","Full Time","","","","","5"
"Never","2004","66 and older","Part Time","","","","","5"
"Never","2004","66 and older","Not Working","","","","","5"
"Often","2004","16-34 y.","Full Time","","","","","2"
"Often","2004","16-34 y.","Part Time","","","","","2"
"Often","2004","35-65 y.","Full Time","","","","","2"
"Often","2004","35-65 y.","Part Time","","","","","2"
"Often","2004","16-34 y.","Not Working","","","","","2"
"Often","2004","35-65 y.","Not Working","","","","","2"
"Often","2004","66 and older","Part Time","","","","","2"
"Often","2004","66 and older","Not Working","","","","","2"
"Often","2004","66 and older","Full Time","","","","","2"
"Rarely","2004","16-34 y.","Full Time","","","","","4"
"Rarely","2004","35-65 y.","Part Time","","","","","4"
"Rarely","2004","35-65 y.","Not Working","","","","","4"
"Rarely","2004","66 and older","Full Time","","","","","4"
"Rarely","2004","66 and older","Part Time","","","","","4"
"Rarely","2004","66 and older","Not Working","","","","","4"
"Rarely","2004","16-34 y.","Part Time","","","","","4"
"Rarely","2004","16-34 y.","Not Working","","","","","4"
"Rarely","2004","35-65 y.","Full Time","","","","","4"
"Sometimes","2004","35-65 y.","Not Working","","","","","3"
"Sometimes","2004","16-34 y.","Full Time","","","","","3"
"Sometimes","2004","16-34 y.","Part Time","","","","","3"
"Sometimes","2004","35-65 y.","Full Time","","","","","3"
"Sometimes","2004","35-65 y.","Part Time","","","","","3"
"Sometimes","2004","66 and older","Full Time","","","","","3"
"Sometimes","2004","16-34 y.","Not Working","","","","","3"
"Sometimes","2004","66 and older","Part Time","","","","","3"
"Sometimes","2004","66 and older","Not Working","","","","","3"
"Very often","2004","35-65 y.","Part Time","","","","","1"
"Very often","2004","35-65 y.","Not Working","","","","","1"
"Very often","2004","16-34 y.","Full Time","","","","","1"
"Very often","2004","16-34 y.","Part Time","","","","","1"
"Very often","2004","16-34 y.","Not Working","","","","","1"
"Very often","2004","35-65 y.","Full Time","","","","","1"
"Very often","2004","66 and older","Full Time","","","","","1"
"Very often","2004","66 and older","Part Time","","","","","1"
"Very often","2004","66 and older","Not Working","","","","","1"
"Never","2005","16-34 y.","Full Time","","","","","5"
"Never","2005","16-34 y.","Part Time","","","","","5"
"Never","2005","35-65 y.","Not Working","","","","","5"
"Never","2005","35-65 y.","Part Time","","","","","5"
"Never","2005","35-65 y.","Full Time","","","","","5"
"Never","2005","16-34 y.","Not Working","","","","","5"
"Never","2005","66 and older","Part Time","","","","","5"
"Never","2005","66 and older","Not Working","","","","","5"
"Never","2005","66 and older","Full Time","","","","","5"
"Often","2005","16-34 y.","Full Time","","","","","2"
"Often","2005","16-34 y.","Part Time","","","","","2"
"Often","2005","16-34 y.","Not Working","","","","","2"
"Often","2005","35-65 y.","Full Time","","","","","2"
"Often","2005","35-65 y.","Part Time","","","","","2"
"Often","2005","35-65 y.","Not Working","","","","","2"
"Often","2005","66 and older","Part Time","","","","","2"
"Often","2005","66 and older","Not Working","","","","","2"
"Often","2005","66 and older","Full Time","","","","","2"
"Rarely","2005","16-34 y.","Full Time","","","","","4"
"Rarely","2005","16-34 y.","Part Time","","","","","4"
"Rarely","2005","16-34 y.","Not Working","","","","","4"
"Rarely","2005","35-65 y.","Full Time","","","","","4"
"Rarely","2005","35-65 y.","Part Time","","","","","4"
"Rarely","2005","35-65 y.","Not Working","","","","","4"
"Rarely","2005","66 and older","Full Time","","","","","4"
"Rarely","2005","66 and older","Part Time","","","","","4"
"Rarely","2005","66 and older","Not Working","","","","","4"
"Sometimes","2005","16-34 y.","Full Time","","","","","3"
"Sometimes","2005","16-34 y.","Not Working","","","","","3"
"Sometimes","2005","35-65 y.","Full Time","","","","","3"
"Sometimes","2005","35-65 y.","Part Time","","","","","3"
"Sometimes","2005","35-65 y.","Not Working","","","","","3"
"Sometimes","2005","66 and older","Part Time","","","","","3"
"Sometimes","2005","66 and older","Not Working","","","","","3"
"Sometimes","2005","16-34 y.","Part Time","","","","","3"
"Sometimes","2005","66 and older","Full Time","","","","","3"
"Very often","2005","16-34 y.","Full Time","","","","","1"
"Very often","2005","35-65 y.","Part Time","","","","","1"
"Very often","2005","35-65 y.","Not Working","","","","","1"
"Very often","2005","16-34 y.","Part Time","","","","","1"
"Very often","2005","16-34 y.","Not Working","","","","","1"
"Very often","2005","35-65 y.","Full Time","","","","","1"
"Very often","2005","66 and older","Full Time","","","","","1"
"Very often","2005","66 and older","Part Time","","","","","1"
"Very often","2005","66 and older","Not Working","","","","","1"
"Never","2006","16-34 y.","Full Time","","","","","5"
"Never","2006","35-65 y.","Not Working","","","","","5"
