"pld0043","year","education","n","percent","lower_confidence","upper_confidence"
"Very often","2003","lower secondary degree","197","0.0240650255437195","0.0206817802974591","0.02744827078998"
"Very often","2003","secondary school degree","281","0.0479326931035037","0.0427164987257424","0.053148887481265"
"Very often","2003","college entrance qualification","300","0.0581261116703793","0.0519038220051738","0.0643484013355847"
"Very often","2003","Other degree","38","0.0416714076598877","0.0305261292745587","0.0528166860452166"
"Very often","2003","no degree/no degree yet","80","0.0760532304177808","0.0586475282655563","0.0934589325700052"
"Often","2003","lower secondary degree","853","0.107634163222723","0.100792268097353","0.114476058348092"
"Often","2003","secondary school degree","1130","0.172392666461428","0.163169594777809","0.181615738145047"
"Often","2003","college entrance qualification","1267","0.234476161682716","0.223209456816139","0.245742866549294"
"Often","2003","Other degree","141","0.125188823555502","0.106732102322006","0.143645544788999"
"Often","2003","no degree/no degree yet","273","0.280141658419131","0.250655268281991","0.309628048556271"
"Sometimes","2003","lower secondary degree","2333","0.283373562097968","0.273425099911252","0.293322024284683"
"Sometimes","2003","secondary school degree","2418","0.372598859733831","0.360793004923297","0.384404714544366"
"Sometimes","2003","college entrance qualification","2206","0.398299980340229","0.385281407848936","0.411318552831521"
"Sometimes","2003","Other degree","382","0.306885600150628","0.281163564939293","0.332607635361963"
"Sometimes","2003","no degree/no degree yet","280","0.304393595934192","0.274179557284734","0.334607634583649"
"Rarely","2003","lower secondary degree","2345","0.289332098340755","0.27932146547226","0.299342731209251"
"Rarely","2003","secondary school degree","1906","0.285277297918344","0.274251591609563","0.296303004227125"
"Rarely","2003","college entrance qualification","1286","0.232619475053561","0.221383865656672","0.243855084450451"
"Rarely","2003","Other degree","309","0.24773957824929","0.22366290849987","0.271816247998711"
"Rarely","2003","no degree/no degree yet","144","0.170288108390586","0.145606977404503","0.194969239376669"
"Never","2003","lower secondary degree","2154","0.295595150794835","0.285521434936261","0.30566886665341"
"Never","2003","secondary school degree","708","0.121798482782893","0.113812616093679","0.129784349472107"
"Never","2003","college entrance qualification","373","0.0764782712531142","0.0694108528896812","0.0835456896165471"
"Never","2003","Other degree","365","0.278514590384692","0.25351387912753","0.303515301641854"
"Never","2003","no degree/no degree yet","114","0.16912340683831","0.144509567555649","0.193737246120971"
"Very often","2004","lower secondary degree","","","",""
"Very often","2004","secondary school degree","","","",""
"Very often","2004","college entrance qualification","","","",""
"Very often","2004","Other degree","","","",""
"Very often","2004","no degree/no degree yet","","","",""
"Often","2004","lower secondary degree","","","",""
"Often","2004","secondary school degree","","","",""
"Often","2004","college entrance qualification","","","",""
"Often","2004","Other degree","","","",""
"Often","2004","no degree/no degree yet","","","",""
"Sometimes","2004","lower secondary degree","","","",""
"Sometimes","2004","secondary school degree","","","",""
"Sometimes","2004","college entrance qualification","","","",""
"Sometimes","2004","Other degree","","","",""
"Sometimes","2004","no degree/no degree yet","","","",""
"Rarely","2004","lower secondary degree","","","",""
"Rarely","2004","secondary school degree","","","",""
"Rarely","2004","college entrance qualification","","","",""
"Rarely","2004","Other degree","","","",""
