"pld0043","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","West Germany","Female","1507","0.207079731113066","0.198582054641828","0.215577407584304","5"
"Never","2003","East Germany","Male","432","0.187945181295447","0.172876396046321","0.203013966544572","5"
"Never","2003","East Germany","Female","535","0.240799170848112","0.224853526096406","0.256744815599818","5"
"Never","2003","West Germany","Male","1260","0.172583642024465","0.164343057226839","0.180824226822091","5"
"Often","2003","West Germany","Female","1496","0.156104162058006","0.148492696263143","0.163715627852869","2"
"Often","2003","East Germany","Male","404","0.154320110743172","0.140385840255259","0.168254381231085","2"
"Often","2003","West Germany","Male","1397","0.170555376005064","0.162353323000829","0.178757429009299","2"
"Often","2003","East Germany","Female","444","0.147124262366436","0.13391370068795","0.160334824044922","2"
"Rarely","2003","West Germany","Female","2278","0.265253316521286","0.255995344479634","0.274511288562937","4"
"Rarely","2003","West Germany","Male","2205","0.264836642464032","0.255214381535699","0.274458903392365","4"
"Rarely","2003","East Germany","Male","762","0.298331586059984","0.280683990020927","0.315979182099041","4"
"Rarely","2003","East Germany","Female","803","0.276830678707788","0.260144251447015","0.293517105968561","4"
"Sometimes","2003","West Germany","Female","3074","0.332574932584772","0.322694802805811","0.342455062363734","3"
"Sometimes","2003","East Germany","Female","883","0.298772405141674","0.28170230792045","0.315842502362899","3"
"Sometimes","2003","East Germany","Male","887","0.325253990016425","0.307184268848175","0.343323711184675","3"
"Sometimes","2003","West Germany","Male","2872","0.346700531669711","0.336322151558677","0.357078911780745","3"
"Very often","2003","West Germany","Male","344","0.0453238078367278","0.0407876578340991","0.0498599578393566","1"
"Very often","2003","West Germany","Female","380","0.0389878577228696","0.0349286080896477","0.0430471073560915","1"
"Very often","2003","East Germany","Male","97","0.0341491318849723","0.0271440237577484","0.0411542400121963","1"
"Very often","2003","East Germany","Female","97","0.0364734829359896","0.0294822027402324","0.0434647631317469","1"
"Never","2004","East Germany","Male","","","","","5"
"Never","2004","East Germany","Female","","","","","5"
"Never","2004","West Germany","Male","","","","","5"
"Never","2004","West Germany","Female","","","","","5"
"Often","2004","East Germany","Male","","","","","2"
"Often","2004","West Germany","Male","","","","","2"
"Often","2004","West Germany","Female","","","","","2"
"Often","2004","East Germany","Female","","","","","2"
"Rarely","2004","West Germany","Male","","","","","4"
"Rarely","2004","West Germany","Female","","","","","4"
"Rarely","2004","East Germany","Male","","","","","4"
"Rarely","2004","East Germany","Female","","","","","4"
"Sometimes","2004","West Germany","Male","","","","","3"
"Sometimes","2004","East Germany","Male","","","","","3"
"Sometimes","2004","East Germany","Female","","","","","3"
"Sometimes","2004","West Germany","Female","","","","","3"
"Very often","2004","West Germany","Male","","","","","1"
"Very often","2004","West Germany","Female","","","","","1"
"Very often","2004","East Germany","Male","","","","","1"
"Very often","2004","East Germany","Female","","","","","1"
"Never","2005","West Germany","Male","","","","","5"
"Never","2005","West Germany","Female","","","","","5"
"Never","2005","East Germany","Male","","","","","5"
"Never","2005","East Germany","Female","","","","","5"
"Often","2005","West Germany","Male","","","","","2"
"Often","2005","West Germany","Female","","","","","2"
"Often","2005","East Germany","Female","","","","","2"
"Often","2005","East Germany","Male","","","","","2"
"Rarely","2005","West Germany","Male","","","","","4"
"Rarely","2005","East Germany","Female","","","","","4"
"Rarely","2005","West Germany","Female","","","","","4"
"Rarely","2005","East Germany","Male","","","","","4"
"Sometimes","2005","East Germany","Female","","","","","3"
"Sometimes","2005","West Germany","Male","","","","","3"
"Sometimes","2005","West Germany","Female","","","","","3"
"Sometimes","2005","East Germany","Male","","","","","3"
"Very often","2005","East Germany","Female","","","","","1"
"Very often","2005","West Germany","Male","","","","","1"
"Very often","2005","West Germany","Female","","","","","1"
"Very often","2005","East Germany","Male","","","","","1"
"Never","2006","West Germany","Male","","","","","5"
"Never","2006","West Germany","Female","","","","","5"
"Never","2006","East Germany","Male","","","","","5"
"Never","2006","East Germany","Female","","","","","5"
"Often","2006","West Germany","Male","","","","","2"
"Often","2006","West Germany","Female","","","","","2"
"Often","2006","East Germany","Female","","","","","2"
"Often","2006","East Germany","Male","","","","","2"
"Rarely","2006","East Germany","Female","","","","","4"
"Rarely","2006","West Germany","Male","","","","","4"
"Rarely","2006","West Germany","Female","","","","","4"
"Rarely","2006","East Germany","Male","","","","","4"
"Sometimes","2006","East Germany","Female","","","","","3"
"Sometimes","2006","West Germany","Male","","","","","3"
"Sometimes","2006","West Germany","Female","","","","","3"
"Sometimes","2006","East Germany","Male","","","","","3"
"Very often","2006","East Germany","Female","","","","","1"
"Very often","2006","West Germany","Male","","","","","1"
"Very often","2006","West Germany","Female","","","","","1"
"Very often","2006","East Germany","Male","","","","","1"
"Never","2007","East Germany","Female","","","","","5"
"Never","2007","West Germany","Male","","","","","5"
"Never","2007","West Germany","Female","","","","","5"
"Never","2007","East Germany","Male","","","","","5"
"Often","2007","East Germany","Female","","","","","2"
"Often","2007","West Germany","Male","","","","","2"
"Often","2007","East Germany","Male","","","","","2"
"Often","2007","West Germany","Female","","","","","2"
