"pld0043","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2003","16-34 y.","West Germany","384","0.0900651527292144","0.0816140994120967","0.098516206046332"
"Very often","2003","16-34 y.","East Germany","116","0.0789850028028885","0.0651736904065035","0.0927963151992736"
"Very often","2003","35-65 y.","West Germany","325","0.0343344186778419","0.0307053881220692","0.0379634492336146"
"Very often","2003","35-65 y.","East Germany","72","0.0263986929526479","0.020636876817866","0.0321605090874298"
"Very often","2003","66 and older","West Germany","15","","",""
"Very often","2003","66 and older","East Germany","6","","",""
"Often","2003","16-34 y.","West Germany","1233","0.277551956053397","0.264332829690776","0.290771082416017"
"Often","2003","16-34 y.","East Germany","403","0.264402683965098","0.241819650590955","0.286985717339241"
"Often","2003","35-65 y.","West Germany","1502","0.152593818387412","0.145426995308606","0.159760641466218"
"Often","2003","35-65 y.","East Germany","395","0.140164032051505","0.127687217956317","0.152640846146693"
"Often","2003","66 and older","West Germany","158","0.0553983392370206","0.0468235873787157","0.0639730910953255"
"Often","2003","66 and older","East Germany","50","0.0517251198906115","0.0372959390149663","0.0661543007662568"
"Sometimes","2003","16-34 y.","West Germany","1710","0.389443811345165","0.375048783133636","0.403838839556694"
"Sometimes","2003","16-34 y.","East Germany","580","0.407696983582453","0.382533544255572","0.432860422909334"
"Sometimes","2003","35-65 y.","West Germany","3653","0.368840299977174","0.359224150330697","0.37845644962365"
"Sometimes","2003","35-65 y.","East Germany","991","0.311724676208872","0.295077357277429","0.328371995140315"
"Sometimes","2003","66 and older","West Germany","583","0.204655359613799","0.189532355279102","0.219778363948496"
"Sometimes","2003","66 and older","East Germany","199","0.20827857146078","0.181822077146359","0.234735065775201"
"Rarely","2003","16-34 y.","West Germany","821","0.186081157192702","0.174592505878755","0.197569808506648"
"Rarely","2003","16-34 y.","East Germany","290","0.196354914647888","0.176013445646934","0.216696383648841"
"Rarely","2003","35-65 y.","West Germany","2816","0.286586948770451","0.277575157403917","0.295598740136986"
"Rarely","2003","35-65 y.","East Germany","1004","0.328818537306508","0.311934522197897","0.345702552415118"
"Rarely","2003","66 and older","West Germany","846","0.302512252057007","0.285294017812194","0.31973048630182"
"Rarely","2003","66 and older","East Germany","271","0.29065224809117","0.261069382319484","0.320235113862855"
"Never","2003","16-34 y.","West Germany","260","0.0568579226795218","0.0500217763107655","0.0636940690482781"
"Never","2003","16-34 y.","East Germany","76","0.0525604150016724","0.0411333569283586","0.0639874730749862"
