"pld0043","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Not Employed","1-pers.-HH","24","","",""
"Very often","2003","Not Employed","(Married) couple without C. ","43","0.0120499956827628","0.00844862465514779","0.0156513667103779"
"Very often","2003","Not Employed","Single parent ","13","","",""
"Very often","2003","Not Employed","Couple + C. LE 16 ","41","0.0548254756382688","0.0391002328798862","0.0705507183966514"
"Very often","2003","Not Employed","Couple + C. GT 16 ","58","0.0552340114936377","0.042194641561117","0.0682733814261584"
"Very often","2003","Not Employed","Couple + C. LE and GT 16","44","0.0628103010787173","0.0415863897153411","0.0840342124420935"
"Very often","2003","Employed","1-pers.-HH","109","0.0710499346552918","0.0581600553620466","0.083939813948537"
"Very often","2003","Employed","(Married) couple without C. ","136","0.0351355825436157","0.0292401867253308","0.0410309783619006"
"Very often","2003","Employed","Single parent ","50","0.0727216166540741","0.0539226951687938","0.0915205381393545"
"Very often","2003","Employed","Couple + C. LE 16 ","139","0.0418426500413768","0.0352699118637257","0.0484153882190279"
"Very often","2003","Employed","Couple + C. GT 16 ","169","0.0764937815890846","0.0665923492083541","0.0863952139698151"
"Very often","2003","Employed","Couple + C. LE and GT 16","66","0.0356306227648217","0.0256796295862912","0.0455816159433522"
"Often","2003","Not Employed","1-pers.-HH","139","0.0982855599387842","0.0829625719811357","0.113608547896433"
"Often","2003","Not Employed","(Married) couple without C. ","246","0.067385964035467","0.0591114473959043","0.0756604806750297"
"Often","2003","Not Employed","Single parent ","63","0.140168055594938","0.105535403426359","0.174800707763517"
"Often","2003","Not Employed","Couple + C. LE 16 ","155","0.201050718200441","0.173364568003932","0.22873686839695"
"Often","2003","Not Employed","Couple + C. GT 16 ","247","0.188856973161518","0.166515777069827","0.211198169253208"
"Often","2003","Not Employed","Couple + C. LE and GT 16","152","0.338192590315925","0.296807482672545","0.379577697959304"
"Often","2003","Employed","1-pers.-HH","379","0.248848250671929","0.227156132494901","0.270540368848957"
"Often","2003","Employed","(Married) couple without C. ","627","0.15939442156988","0.147674115927618","0.171114727212141"
"Often","2003","Employed","Single parent ","158","0.20492320229732","0.175702125841495","0.234144278753145"
"Often","2003","Employed","Couple + C. LE 16 ","669","0.182190660119149","0.169519761628546","0.194861558609752"
"Often","2003","Employed","Couple + C. GT 16 ","547","0.183567516433483","0.169145595771045","0.197989437095921"
"Often","2003","Employed","Couple + C. LE and GT 16","257","0.201211413144907","0.179689778848913","0.222733047440901"
"Sometimes","2003","Not Employed","1-pers.-HH","295","0.204984547942275","0.184206131937734","0.225762963946817"
"Sometimes","2003","Not Employed","(Married) couple without C. ","913","0.255975595192534","0.241571041447056","0.270380148938012"
"Sometimes","2003","Not Employed","Single parent ","118","0.35079467875396","0.303187551846921","0.398401805660998"
"Sometimes","2003","Not Employed","Couple + C. LE 16 ","303","0.366650981171029","0.333362182112481","0.399939780229578"
"Sometimes","2003","Not Employed","Couple + C. GT 16 ","412","0.333008846594668","0.306107184655008","0.359910508534328"
