"pld0043","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Baden-Württemberg","1-pers.-HH","77","0.204358273836395","0.16045160647348","0.248264941199309","5"
"Never","2003","Baden-Württemberg","(Married) couple without C. ","169","0.231425217537279","0.202309400887541","0.260541034187016","5"
"Never","2003","Baden-Württemberg","Single parent ","24","","","","5"
"Never","2003","Baden-Württemberg","Couple + C. LE 16 ","84","0.130662581557254","0.103894992978031","0.157430170136477","5"
"Never","2003","Baden-Württemberg","Couple + C. GT 16 ","55","0.0945081655559959","0.0679193769967376","0.121096954115254","5"
"Never","2003","Baden-Württemberg","Couple + C. LE and GT 16","46","0.160692149829156","0.118713119859554","0.202671179798757","5"
"Never","2003","Bavaria","1-pers.-HH","91","0.255021658539351","0.212145764005086","0.297897553073616","5"
"Never","2003","Bavaria","(Married) couple without C. ","230","0.274406467368848","0.246483764154044","0.302329170583652","5"
"Never","2003","Bavaria","Single parent ","29","","","","5"
"Never","2003","Bavaria","Couple + C. LE 16 ","61","0.121821424021849","0.0967920823873605","0.146850765656338","5"
"Never","2003","Bavaria","Couple + C. GT 16 ","68","0.147978526468748","0.119253948286862","0.176703104650634","5"
"Never","2003","Bavaria","Couple + C. LE and GT 16","31","0.183067557662715","0.135508855110135","0.230626260215296","5"
"Never","2003","Berlin","1-pers.-HH","32","0.171655523969077","0.119395756221492","0.223915291716663","5"
"Never","2003","Berlin","(Married) couple without C. ","26","","","","5"
"Never","2003","Berlin","Single parent ","6","","","","5"
"Never","2003","Berlin","Couple + C. LE 16 ","15","","","","5"
"Never","2003","Berlin","Couple + C. GT 16 ","19","","","","5"
"Never","2003","Berlin","Couple + C. LE and GT 16","3","","","","5"
"Never","2003","Brandenburg","1-pers.-HH","35","0.290693754027061","0.208060693417138","0.373326814636984","5"
"Never","2003","Brandenburg","(Married) couple without C. ","91","0.29362008742467","0.245563758043789","0.341676416805552","5"
"Never","2003","Brandenburg","Single parent ","6","","","","5"
"Never","2003","Brandenburg","Couple + C. LE 16 ","17","","","","5"
"Often","2003","Schleswig-Holstein","1-pers.-HH","11","","","","2"
"Often","2003","Schleswig-Holstein","(Married) couple without C. ","23","","","","2"
"Often","2003","Schleswig-Holstein","Single parent ","7","","","","2"
"Often","2003","Hamburg","(Married) couple without C. ","11","","","","2"
"Often","2003","Hamburg","Single parent ","1","","","","2"
"Often","2003","Hamburg","Couple + C. LE 16 ","17","","","","2"
"Often","2003","Hamburg","Couple + C. GT 16 ","5","","","","2"
"Often","2003","Hamburg","Couple + C. LE and GT 16","8","","","","2"
"Often","2003","Lower Saxony","1-pers.-HH","38","0.190512902034698","0.137774684027958","0.243251120041439","2"
"Often","2003","Lower Saxony","(Married) couple without C. ","78","0.114082668545134","0.0887711492711107","0.139394187819157","2"
"Often","2003","Lower Saxony","Single parent ","22","","","","2"
"Often","2003","Lower Saxony","Couple + C. LE 16 ","89","0.227162841773937","0.186605563123008","0.267720120424867","2"
"Often","2003","Lower Saxony","Couple + C. GT 16 ","81","0.186590185370093","0.146234411491495","0.226945959248692","2"
"Often","2003","Bremen","Couple + C. LE 16 ","7","","","","2"
"Often","2003","Bremen","Couple + C. GT 16 ","4","","","","2"
"Often","2003","Bremen","Couple + C. LE and GT 16","4","","","","2"
"Often","2003","North Rhine-Westphalia","1-pers.-HH","114","0.170719790765411","0.141523321379646","0.199916260151177","2"
"Often","2003","North Rhine-Westphalia","Couple + C. LE and GT 16","91","0.245047891919932","0.201102902106997","0.288992881732867","2"
"Often","2003","Hesse","1-pers.-HH","37","0.211511698186952","0.152504634635719","0.270518761738184","2"
"Often","2003","Hesse","(Married) couple without C. ","75","0.13219982060914","0.103578988645218","0.160820652573062","2"
"Often","2003","Hesse","Single parent ","14","","","","2"
"Often","2003","Hesse","Couple + C. LE 16 ","71","0.201894672383146","0.158519353918825","0.245269990847467","2"
"Often","2003","Hesse","Couple + C. GT 16 ","46","0.183203674934071","0.132992007281435","0.233415342586707","2"
"Often","2003","Hesse","Couple + C. LE and GT 16","25","","","","2"
"Often","2003","Rhineland-Palatinate,Saarland","1-pers.-HH","25","","","","2"
"Often","2003","Rhineland-Palatinate,Saarland","(Married) couple without C. ","64","0.153178241904442","0.11814505721431","0.188211426594573","2"
"Often","2003","Brandenburg","Couple + C. GT 16 ","35","0.165654789858287","0.112792474889062","0.218517104827512","2"
"Often","2003","Brandenburg","Couple + C. LE and GT 16","13","","","","2"
"Often","2003","Mecklenburg-Western Pomerania","1-pers.-HH","15","","","","2"
"Often","2003","Mecklenburg-Western Pomerania","(Married) couple without C. ","20","","","","2"
"Often","2003","Mecklenburg-Western Pomerania","Single parent ","4","","","","2"
"Often","2003","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","20","","","","2"
"Often","2003","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","23","","","","2"
"Often","2003","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","5","","","","2"
"Often","2003","Saxony","1-pers.-HH","38","0.187270382641947","0.134630555367744","0.23991020991615","2"
"Often","2003","Saxony","(Married) couple without C. ","55","0.0762866061676843","0.0546456253783206","0.097927586957048","2"
"Often","2003","Saxony","Single parent ","22","","","","2"
"Often","2003","Saxony","Couple + C. LE 16 ","54","0.256267730622498","0.201601349735026","0.31093411150997","2"
"Often","2003","Saxony","Couple + C. GT 16 ","58","0.182963787896673","0.13999321729475","0.225934358498596","2"
"Often","2003","Saxony","Couple + C. LE and GT 16","36","0.256170280260936","0.185120093323861","0.327220467198011","2"
"Often","2003","Saxony-Anhalt","1-pers.-HH","21","","","","2"
"Often","2003","Saxony-Anhalt","(Married) couple without C. ","46","0.140926111644307","0.103610904943521","0.178241318345093","2"
"Often","2003","Saxony-Anhalt","Single parent ","9","","","","2"
"Often","2003","Saxony-Anhalt","Couple + C. LE 16 ","27","","","","2"
"Often","2003","Thuringia","Single parent ","5","","","","2"
"Often","2003","Thuringia","Couple + C. LE 16 ","26","","","","2"
"Often","2003","Thuringia","Couple + C. GT 16 ","26","","","","2"
"Often","2003","Thuringia","Couple + C. LE and GT 16","19","","","","2"
"Often","2003","Schleswig-Holstein","Couple + C. LE 16 ","17","","","","2"
"Often","2003","Schleswig-Holstein","Couple + C. GT 16 ","24","","","","2"
"Often","2003","Schleswig-Holstein","Couple + C. LE and GT 16","11","","","","2"
"Often","2003","Hamburg","1-pers.-HH","15","","","","2"
"Often","2003","North Rhine-Westphalia","(Married) couple without C. ","199","0.112357217555973","0.0966758488853501","0.128038586226596","2"
"Often","2003","North Rhine-Westphalia","Single parent ","48","0.191224863218002","0.137651489838309","0.244798236597696","2"
"Often","2003","North Rhine-Westphalia","Couple + C. LE 16 ","197","0.213544567166455","0.187847584529918","0.239241549802992","2"
"Often","2003","North Rhine-Westphalia","Couple + C. GT 16 ","167","0.197187749277014","0.169301399203963","0.225074099350065","2"
"Often","2003","Lower Saxony","Couple + C. LE and GT 16","34","0.212741845331069","0.145430392587808","0.28005329807433","2"
"Often","2003","Bremen","1-pers.-HH","11","","","","2"
"Often","2003","Bremen","(Married) couple without C. ","9","","","","2"
"Often","2003","Bremen","Single parent ","2","","","","2"
"Often","2003","Saxony-Anhalt","Couple + C. GT 16 ","50","0.208458115056174","0.155731848470717","0.261184381641631","2"
"Often","2003","Saxony-Anhalt","Couple + C. LE and GT 16","15","","","","2"
"Often","2003","Thuringia","1-pers.-HH","13","","","","2"
"Often","2003","Thuringia","(Married) couple without C. ","19","","","","2"
"Often","2003","Rhineland-Palatinate,Saarland","Single parent ","13","","","","2"
"Often","2003","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","57","0.221693983239812","0.173039683925246","0.270348282554377","2"
"Often","2003","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","44","0.217884415164126","0.158237534962133","0.277531295366119","2"
"Often","2003","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","39","0.321177466985369","0.243273565657395","0.399081368313342","2"
"Often","2003","Baden-Württemberg","1-pers.-HH","50","0.149321012422829","0.110513223309463","0.188128801536195","2"
"Often","2003","Baden-Württemberg","(Married) couple without C. ","83","0.102957052776374","0.0819765815097107","0.123937524043037","2"
"Often","2003","Baden-Württemberg","Single parent ","21","","","","2"
"Often","2003","Baden-Württemberg","Couple + C. LE 16 ","87","0.130695652810447","0.103925186164813","0.157466119456081","2"
"Often","2003","Baden-Württemberg","Couple + C. GT 16 ","96","0.199570311724996","0.163243174318017","0.235897449131976","2"
"Often","2003","Baden-Württemberg","Couple + C. LE and GT 16","51","0.167893032376401","0.125168202542918","0.210617862209883","2"
"Often","2003","Bavaria","1-pers.-HH","71","0.169613224729419","0.132696521933425","0.206529927525413","2"
"Often","2003","Bavaria","(Married) couple without C. ","118","0.0998954054617217","0.0811310853345664","0.118659725588877","2"
"Often","2003","Bavaria","Single parent ","35","0.224193460762888","0.161867058831266","0.286519862694509","2"
"Often","2003","Bavaria","Couple + C. LE 16 ","120","0.144734531245756","0.117810956663391","0.171658105828122","2"
"Often","2003","Bavaria","Couple + C. GT 16 ","109","0.172988248127841","0.1423902382046","0.203586258051082","2"
"Often","2003","Bavaria","Couple + C. LE and GT 16","42","0.192173376101707","0.143718562883318","0.240628189320096","2"
"Often","2003","Berlin","1-pers.-HH","41","0.186531325929172","0.132545543694863","0.240517108163482","2"
"Often","2003","Berlin","(Married) couple without C. ","41","0.159198670435529","0.111287090224054","0.207110250647004","2"
