"pld0043","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","(Married) couple without C. ","East Germany","467","0.282940776949101","0.262410021997568","0.303471531900635","5"
"Never","2003","Single parent ","West Germany","140","0.167941017160103","0.142601379603429","0.193280654716777","5"
"Never","2003","1-pers.-HH","East Germany","202","0.293824389496803","0.260436009440748","0.327212769552858","5"
"Never","2003","(Married) couple without C. ","West Germany","1154","0.239104078132767","0.227752810310927","0.250455345954607","5"
"Never","2003","1-pers.-HH","West Germany","559","0.258013604441268","0.239978565514612","0.276048643367924","5"
"Never","2003","Single parent ","East Germany","39","0.0967404670414323","0.0623003007279337","0.131180633354931","5"
"Never","2003","Couple + C. LE 16 ","West Germany","327","0.0978462053762694","0.0880824150984073","0.107609995654131","5"
"Never","2003","Couple + C. LE 16 ","East Germany","82","0.117419525442993","0.0952911191766176","0.139547931709368","5"
"Never","2003","Couple + C. GT 16 ","West Germany","329","0.128447018365261","0.116108932874222","0.1407851038563","5"
"Never","2003","Couple + C. GT 16 ","East Germany","111","0.123151299028208","0.103923326514358","0.142379271542057","5"
"Never","2003","Couple + C. LE and GT 16","West Germany","142","0.115628217306837","0.0989841551411551","0.132272279472519","5"
"Never","2003","Couple + C. LE and GT 16","East Germany","33","0.0924841141253378","0.0646779711180144","0.120290257132661","5"
"Often","2003","1-pers.-HH","West Germany","399","0.175299243635175","0.159626824871206","0.190971662399145","2"
"Often","2003","1-pers.-HH","East Germany","119","0.161326757159518","0.134365218952582","0.188288295366454","2"
"Often","2003","(Married) couple without C. ","West Germany","682","0.112935710870554","0.104512426872426","0.121358994868681","2"
"Often","2003","(Married) couple without C. ","East Germany","191","0.0998957719127002","0.0862279412379962","0.113563602587404","2"
"Often","2003","Single parent ","West Germany","168","0.187511503472968","0.161052863262581","0.213970143683355","2"
"Often","2003","Single parent ","East Germany","53","0.159660575470815","0.116984832785409","0.202336318156221","2"
"Often","2003","Couple + C. LE 16 ","West Germany","673","0.185754132943064","0.172973475857887","0.19853479002824","2"
"Often","2003","Couple + C. GT 16 ","West Germany","587","0.189750387979859","0.17529134272203","0.204209433237687","2"
"Often","2003","Couple + C. LE 16 ","East Germany","151","0.18655677490228","0.159779156144351","0.213334393660209","2"
"Often","2003","Couple + C. GT 16 ","East Germany","207","0.16809064658402","0.146209935078132","0.189971358089907","2"
"Often","2003","Couple + C. LE and GT 16","West Germany","313","0.234677388070669","0.212619299762001","0.256735476379336","2"
"Often","2003","Couple + C. LE and GT 16","East Germany","96","0.253151325604147","0.211417665590375","0.294884985617919","2"
"Rarely","2003","1-pers.-HH","West Germany","504","0.224120676651308","0.206932260435791","0.241309092866825","4"
"Rarely","2003","1-pers.-HH","East Germany","188","0.261321712795089","0.229117663340855","0.293525762249322","4"
"Rarely","2003","(Married) couple without C. ","West Germany","1679","0.311949676404823","0.299620313892806","0.32427903891684","4"
"Rarely","2003","(Married) couple without C. ","East Germany","610","0.316031846901655","0.294840283378875","0.337223410424436","4"
"Rarely","2003","Single parent ","West Germany","199","0.237283054316051","0.208445394656133","0.266120713975968","4"
"Rarely","2003","Single parent ","East Germany","76","0.285275173890095","0.232666628182648","0.337883719597542","4"
"Rarely","2003","Couple + C. LE 16 ","East Germany","227","0.285484092876936","0.254438516556285","0.316529669197588","4"
"Rarely","2003","Couple + C. GT 16 ","East Germany","315","0.277449020620931","0.251250455397285","0.303647585844576","4"
"Rarely","2003","Couple + C. LE 16 ","West Germany","931","0.25802110956587","0.243642080801741","0.272400138329999","4"
"Rarely","2003","Couple + C. GT 16 ","West Germany","702","0.255836756331813","0.239746815664472","0.271926696999155","4"
"Rarely","2003","Couple + C. LE and GT 16","West Germany","342","0.2410155020049","0.218754284294802","0.263276719714998","4"
"Rarely","2003","Couple + C. LE and GT 16","East Germany","112","0.265069710447471","0.222707053700294","0.307432367194649","4"
"Sometimes","2003","(Married) couple without C. ","West Germany","1767","0.311759667373132","0.299432358574031","0.324086976172232","3"
"Sometimes","2003","1-pers.-HH","West Germany","688","0.298204140629782","0.279347685790273","0.317060595469291","3"
"Sometimes","2003","1-pers.-HH","East Germany","184","0.24923018880606","0.217523653039073","0.280936724573047","3"
"Sometimes","2003","(Married) couple without C. ","East Germany","544","0.284080085451243","0.263524386337682","0.304635784564805","3"
"Sometimes","2003","Single parent ","West Germany","284","0.353729283826351","0.321318636994229","0.386139930658473","3"
"Sometimes","2003","Single parent ","East Germany","97","0.377081776351544","0.32061562815293","0.433547924550159","3"
"Sometimes","2003","Couple + C. LE 16 ","East Germany","323","0.375839776581152","0.34254683006731","0.409132723094994","3"
"Sometimes","2003","Couple + C. GT 16 ","West Germany","1040","0.35303547401872","0.335412131888488","0.370658816148952","3"
"Sometimes","2003","Couple + C. GT 16 ","East Germany","429","0.373780844623339","0.345471920972261","0.402089768274418","3"
"Sometimes","2003","Couple + C. LE 16 ","West Germany","1476","0.412291306505957","0.396114629856085","0.428467983155828","3"
"Sometimes","2003","Couple + C. LE and GT 16","West Germany","531","0.363734101097183","0.338694851518044","0.388773350676323","3"
"Sometimes","2003","Couple + C. LE and GT 16","East Germany","156","0.355914104974517","0.309959974011738","0.401868235937297","3"
"Very often","2003","1-pers.-HH","West Germany","111","0.0443623346424669","0.0358753847917903","0.0528492844931434","1"
"Very often","2003","1-pers.-HH","East Germany","22","","","","1"
"Very often","2003","(Married) couple without C. ","West Germany","142","0.0242508672187241","0.0201571204509747","0.0283446139864736","1"
"Very often","2003","(Married) couple without C. ","East Germany","37","0.0170515187852994","0.0111505061121734","0.0229525314584255","1"
"Very often","2003","Single parent ","West Germany","45","0.0535351412245273","0.0382764714045241","0.0687938110445305","1"
"Very often","2003","Single parent ","East Germany","18","","","","1"
"Very often","2003","Couple + C. LE 16 ","West Germany","150","0.0460872456088403","0.0391967436115896","0.052977747606091","1"
"Very often","2003","Couple + C. LE 16 ","East Germany","30","0.0346998301966385","0.0221193365048563","0.0472803238884206","1"
"Very often","2003","Couple + C. GT 16 ","West Germany","167","0.0729303633043474","0.0633418951074176","0.0825188315012772","1"
"Very often","2003","Couple + C. GT 16 ","East Germany","60","0.0575281891435027","0.0439035126508998","0.0711528656361057","1"
"Very often","2003","Couple + C. LE and GT 16","West Germany","90","0.0449447915204108","0.0341611883079782","0.0557283947328435","1"
"Very often","2003","Couple + C. LE and GT 16","East Germany","20","","","","1"
"Never","2004","1-pers.-HH","West Germany","","","","","5"
"Never","2004","1-pers.-HH","East Germany","","","","","5"
"Never","2004","(Married) couple without C. ","West Germany","","","","","5"
"Never","2004","(Married) couple without C. ","East Germany","","","","","5"
"Never","2004","Single parent ","West Germany","","","","","5"
"Never","2004","Single parent ","East Germany","","","","","5"
"Never","2004","Couple + C. LE 16 ","West Germany","","","","","5"
"Never","2004","Couple + C. LE 16 ","East Germany","","","","","5"
"Never","2004","Couple + C. GT 16 ","West Germany","","","","","5"
"Never","2004","Couple + C. GT 16 ","East Germany","","","","","5"
"Never","2004","Couple + C. LE and GT 16","West Germany","","","","","5"
"Never","2004","Couple + C. LE and GT 16","East Germany","","","","","5"
"Often","2004","1-pers.-HH","West Germany","","","","","2"
"Often","2004","1-pers.-HH","East Germany","","","","","2"
"Often","2004","(Married) couple without C. ","West Germany","","","","","2"
"Often","2004","(Married) couple without C. ","East Germany","","","","","2"
"Often","2004","Single parent ","West Germany","","","","","2"
"Often","2004","Single parent ","East Germany","","","","","2"
"Often","2004","Couple + C. LE 16 ","East Germany","","","","","2"
"Often","2004","Couple + C. GT 16 ","East Germany","","","","","2"
"Often","2004","Couple + C. LE 16 ","West Germany","","","","","2"
"Often","2004","Couple + C. GT 16 ","West Germany","","","","","2"
"Often","2004","Couple + C. LE and GT 16","West Germany","","","","","2"
"Often","2004","Couple + C. LE and GT 16","East Germany","","","","","2"
"Rarely","2004","1-pers.-HH","West Germany","","","","","4"
"Rarely","2004","1-pers.-HH","East Germany","","","","","4"
"Rarely","2004","(Married) couple without C. ","West Germany","","","","","4"
"Rarely","2004","(Married) couple without C. ","East Germany","","","","","4"
"Rarely","2004","Single parent ","West Germany","","","","","4"
"Rarely","2004","Single parent ","East Germany","","","","","4"
"Rarely","2004","Couple + C. LE 16 ","West Germany","","","","","4"
"Rarely","2004","Couple + C. GT 16 ","West Germany","","","","","4"
"Rarely","2004","Couple + C. LE 16 ","East Germany","","","","","4"
"Rarely","2004","Couple + C. GT 16 ","East Germany","","","","","4"
"Rarely","2004","Couple + C. LE and GT 16","West Germany","","","","","4"
"Rarely","2004","Couple + C. LE and GT 16","East Germany","","","","","4"
"Sometimes","2004","1-pers.-HH","West Germany","","","","","3"
"Sometimes","2004","1-pers.-HH","East Germany","","","","","3"
"Sometimes","2004","(Married) couple without C. ","West Germany","","","","","3"
"Sometimes","2004","(Married) couple without C. ","East Germany","","","","","3"
"Sometimes","2004","Single parent ","West Germany","","","","","3"
"Sometimes","2004","Single parent ","East Germany","","","","","3"
"Sometimes","2004","Couple + C. LE 16 ","West Germany","","","","","3"
"Sometimes","2004","Couple + C. LE 16 ","East Germany","","","","","3"
"Sometimes","2004","Couple + C. GT 16 ","West Germany","","","","","3"
"Sometimes","2004","Couple + C. GT 16 ","East Germany","","","","","3"
"Sometimes","2004","Couple + C. LE and GT 16","West Germany","","","","","3"
"Sometimes","2004","Couple + C. LE and GT 16","East Germany","","","","","3"
"Very often","2004","Single parent ","East Germany","","","","","1"
"Very often","2004","1-pers.-HH","West Germany","","","","","1"
"Very often","2004","1-pers.-HH","East Germany","","","","","1"
"Very often","2004","(Married) couple without C. ","West Germany","","","","","1"
"Very often","2004","(Married) couple without C. ","East Germany","","","","","1"
"Very often","2004","Single parent ","West Germany","","","","","1"
"Very often","2004","Couple + C. LE 16 ","West Germany","","","","","1"
"Very often","2004","Couple + C. LE 16 ","East Germany","","","","","1"
"Very often","2004","Couple + C. GT 16 ","West Germany","","","","","1"
"Very often","2004","Couple + C. GT 16 ","East Germany","","","","","1"
"Very often","2004","Couple + C. LE and GT 16","West Germany","","","","","1"
"Very often","2004","Couple + C. LE and GT 16","East Germany","","","","","1"
"Never","2005","1-pers.-HH","West Germany","","","","","5"
"Never","2005","1-pers.-HH","East Germany","","","","","5"
"Never","2005","(Married) couple without C. ","West Germany","","","","","5"
"Never","2005","(Married) couple without C. ","East Germany","","","","","5"
"Never","2005","Single parent ","West Germany","","","","","5"
"Never","2005","Single parent ","East Germany","","","","","5"
"Never","2005","Couple + C. LE 16 ","West Germany","","","","","5"
"Never","2005","Couple + C. LE 16 ","East Germany","","","","","5"
"Never","2005","Couple + C. GT 16 ","West Germany","","","","","5"
"Never","2005","Couple + C. GT 16 ","East Germany","","","","","5"
"Never","2005","Couple + C. LE and GT 16","West Germany","","","","","5"
"Never","2005","Couple + C. LE and GT 16","East Germany","","","","","5"
"Often","2005","1-pers.-HH","West Germany","","","","","2"
"Often","2005","(Married) couple without C. ","West Germany","","","","","2"
"Often","2005","Single parent ","West Germany","","","","","2"
"Often","2005","1-pers.-HH","East Germany","","","","","2"
"Often","2005","(Married) couple without C. ","East Germany","","","","","2"
"Often","2005","Single parent ","East Germany","","","","","2"
"Often","2005","Couple + C. LE 16 ","West Germany","","","","","2"
"Often","2005","Couple + C. GT 16 ","West Germany","","","","","2"
"Often","2005","Couple + C. LE 16 ","East Germany","","","","","2"
"Often","2005","Couple + C. GT 16 ","East Germany","","","","","2"
"Often","2005","Couple + C. LE and GT 16","West Germany","","","","","2"
"Often","2005","Couple + C. LE and GT 16","East Germany","","","","","2"
"Rarely","2005","1-pers.-HH","East Germany","","","","","4"
"Rarely","2005","(Married) couple without C. ","East Germany","","","","","4"
"Rarely","2005","1-pers.-HH","West Germany","","","","","4"
"Rarely","2005","(Married) couple without C. ","West Germany","","","","","4"
"Rarely","2005","Single parent ","West Germany","","","","","4"
"Rarely","2005","Single parent ","East Germany","","","","","4"
"Rarely","2005","Couple + C. LE 16 ","East Germany","","","","","4"
"Rarely","2005","Couple + C. LE 16 ","West Germany","","","","","4"
"Rarely","2005","Couple + C. GT 16 ","West Germany","","","","","4"
"Rarely","2005","Couple + C. GT 16 ","East Germany","","","","","4"
"Rarely","2005","Couple + C. LE and GT 16","West Germany","","","","","4"
"Rarely","2005","Couple + C. LE and GT 16","East Germany","","","","","4"
"Sometimes","2005","1-pers.-HH","West Germany","","","","","3"
"Sometimes","2005","(Married) couple without C. ","West Germany","","","","","3"
"Sometimes","2005","1-pers.-HH","East Germany","","","","","3"
"Sometimes","2005","Single parent ","West Germany","","","","","3"
"Sometimes","2005","Couple + C. GT 16 ","East Germany","","","","","3"
"Sometimes","2005","(Married) couple without C. ","East Germany","","","","","3"
"Sometimes","2005","Single parent ","East Germany","","","","","3"
"Sometimes","2005","Couple + C. LE 16 ","West Germany","","","","","3"
"Sometimes","2005","Couple + C. LE 16 ","East Germany","","","","","3"
