"pld0043","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Not Employed","(0) in school","63","0.116946556602894","0.0887789269196532","0.145114186286136"
"Very often","2003","Not Employed","(1a) inadequately completed","3","","",""
"Very often","2003","Not Employed","(1b) general elementary school","18","","",""
"Very often","2003","Not Employed","(1c) basic vocational qualification","41","0.0145645087591689","0.0102732548369063","0.0188557626814315"
"Very often","2003","Not Employed","(2b) intermediate general qualification","11","","",""
"Very often","2003","Not Employed","(2a) intermediate vocational","27","","",""
"Very often","2003","Not Employed","(2c_gen) general maturity certificate","24","","",""
"Very often","2003","Not Employed","(2c_voc) vocational maturity certificate","14","","",""
"Very often","2003","Not Employed","(3a) lower tertiary education","11","","",""
"Very often","2003","Not Employed","(3b) higher tertiary education","15","","",""
"Very often","2003","Employed","(0) in school","12","","",""
"Very often","2003","Employed","(1a) inadequately completed","2","","",""
"Very often","2003","Employed","(1b) general elementary school","35","0.0423730899080068","0.0288943999019393","0.0558517799140743"
"Very often","2003","Employed","(1c) basic vocational qualification","120","0.0346254281530873","0.0283875537692513","0.0408633025369233"
"Very often","2003","Employed","(2b) intermediate general qualification","45","0.104961884073378","0.0755436473971261","0.13438012074963"
"Very often","2003","Employed","(2a) intermediate vocational","183","0.0565641710717614","0.0493782948204825","0.0637500473230402"
"Very often","2003","Employed","(2c_gen) general maturity certificate","64","0.144214136593333","0.114134753931741","0.174293519254926"
"Very often","2003","Employed","(2c_voc) vocational maturity certificate","54","0.0612246659969264","0.0475457672542751","0.0749035647395776"
"Very often","2003","Employed","(3a) lower tertiary education","57","0.0481453566444912","0.0363671328905032","0.0599235803984792"
"Very often","2003","Employed","(3b) higher tertiary education","97","0.0443941351815509","0.0356244335862599","0.0531638367768418"
"Often","2003","Not Employed","(0) in school","208","0.425472636441475","0.382136093358388","0.468809179524562"
"Often","2003","Not Employed","(1a) inadequately completed","16","","",""
"Often","2003","Not Employed","(1b) general elementary school","97","0.0709577810092772","0.0569140236542748","0.0850015383642796"
"Often","2003","Not Employed","(1c) basic vocational qualification","192","0.0609542286717275","0.0523844916761324","0.0695239656673226"
"Often","2003","Not Employed","(2b) intermediate general qualification","54","0.211909616128928","0.157284520833014","0.266534711424841"
"Often","2003","Not Employed","(2a) intermediate vocational","155","0.137317592717245","0.117637926909567","0.156997258524924"
"Often","2003","Not Employed","(2c_gen) general maturity certificate","113","0.32460967300722","0.275057902372556","0.374161443641884"
"Often","2003","Not Employed","(2c_voc) vocational maturity certificate","53","0.131322296931237","0.0979296851734061","0.164714908689068"
"Often","2003","Not Employed","(3a) lower tertiary education","54","0.13536089762546","0.10378731461472","0.1669344806362"
"Often","2003","Not Employed","(3b) higher tertiary education","74","0.164967069927993","0.132755385585255","0.197178754270731"
"Often","2003","Employed","(0) in school","42","0.357600041136352","0.270752666900585","0.444447415372118"
"Often","2003","Employed","(1a) inadequately completed","7","","",""
"Often","2003","Employed","(1b) general elementary school","123","0.147192968599636","0.123486145147744","0.170899792051528"
"Often","2003","Employed","(1c) basic vocational qualification","476","0.153131251665061","0.140844669464373","0.165417833865749"
"Often","2003","Employed","(2b) intermediate general qualification","118","0.277583147518914","0.234602738331288","0.32056355670654"
"Often","2003","Employed","(2a) intermediate vocational","697","0.172994447922243","0.161228602651908","0.184760293192577"
"Often","2003","Employed","(2c_gen) general maturity certificate","193","0.355007187922385","0.314036009242648","0.395978366602122"
"Often","2003","Employed","(2c_voc) vocational maturity certificate","259","0.213361610450371","0.189986547116023","0.236736673784718"
"Often","2003","Employed","(3a) lower tertiary education","278","0.238979351605034","0.215515695249373","0.262443007960694"
"Often","2003","Employed","(3b) higher tertiary education","457","0.223172166953494","0.205443951683682","0.240900382223306"
