"pld0043","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","(Married) couple without C. ","Rural Area","615","0.28346164374903","0.265298149922596","0.301625137575465","5"
"Never","2003","Single parent ","Urban Area","111","0.140824581729468","0.115694763898749","0.165954399560186","5"
"Never","2003","1-pers.-HH","Rural Area","248","0.309754488811054","0.278614605150453","0.340894372471654","5"
"Never","2003","(Married) couple without C. ","Urban Area","1006","0.23131348743955","0.219516505279295","0.243110469599805","5"
"Never","2003","1-pers.-HH","Urban Area","513","0.248856175325991","0.230490960114429","0.267221390537553","5"
"Never","2003","Single parent ","Rural Area","68","0.186113541327345","0.147135536785883","0.225091545868806","5"
"Never","2003","Couple + C. LE 16 ","Urban Area","296","0.102150366230838","0.0913079396886358","0.112992792773041","5"
"Never","2003","Couple + C. LE 16 ","Rural Area","113","0.0976309990023491","0.0819310307999697","0.113330967204729","5"
"Never","2003","Couple + C. GT 16 ","Urban Area","286","0.130671688509848","0.11738262485838","0.143960752161316","5"
"Never","2003","Couple + C. GT 16 ","Rural Area","154","0.121616551195599","0.104942415712478","0.13829068667872","5"
"Never","2003","Couple + C. LE and GT 16","Urban Area","115","0.11130252123371","0.0934707857381407","0.12913425672928","5"
"Never","2003","Couple + C. LE and GT 16","Rural Area","60","0.112076827090524","0.0876366857624795","0.136516968418568","5"
"Often","2003","1-pers.-HH","Urban Area","405","0.188838326917752","0.17221342684961","0.205463226985894","2"
"Often","2003","1-pers.-HH","Rural Area","113","0.127360658454709","0.104909361819069","0.14981195509035","2"
"Often","2003","(Married) couple without C. ","Urban Area","629","0.113267574755922","0.104401223969355","0.12213392554249","2"
"Often","2003","(Married) couple without C. ","Rural Area","244","0.104065679712248","0.0917594684123875","0.116371891012109","2"
"Often","2003","Single parent ","Urban Area","153","0.192260609267424","0.163790445048413","0.220730773486435","2"
"Often","2003","Single parent ","Rural Area","68","0.15934226955874","0.122688064187153","0.195996474930326","2"
"Often","2003","Couple + C. LE 16 ","Urban Area","591","0.191313340035062","0.177231238024117","0.205395442046008","2"
"Often","2003","Couple + C. GT 16 ","Urban Area","509","0.191106526604442","0.175604262068661","0.206608791140224","2"
"Often","2003","Couple + C. LE 16 ","Rural Area","233","0.173335004050411","0.153312391938594","0.193357616162228","2"
"Often","2003","Couple + C. GT 16 ","Rural Area","285","0.175157558359156","0.15576635088084","0.194548765837472","2"
"Often","2003","Couple + C. LE and GT 16","Urban Area","285","0.243671190316971","0.219331135465725","0.268011245168218","2"
"Often","2003","Couple + C. LE and GT 16","Rural Area","124","0.226693937139118","0.194255959939865","0.259131914338372","2"
"Rarely","2003","1-pers.-HH","Urban Area","470","0.221061449509471","0.203434856943509","0.238688042075432","4"
"Rarely","2003","1-pers.-HH","Rural Area","222","0.259899878187692","0.230363675361282","0.289436081014102","4"
"Rarely","2003","(Married) couple without C. ","Urban Area","1522","0.307237358495085","0.294330366074237","0.320144350915933","4"
"Rarely","2003","(Married) couple without C. ","Rural Area","767","0.324764228462803","0.305891081012481","0.343637375913126","4"
"Rarely","2003","Single parent ","Urban Area","178","0.257306463841034","0.225724483846465","0.288888443835604","4"
"Rarely","2003","Single parent ","Rural Area","97","0.221023344702723","0.179467702455655","0.262578986949791","4"
"Rarely","2003","Couple + C. LE 16 ","Rural Area","425","0.307099392926088","0.282699508328924","0.331499277523252","4"
"Rarely","2003","Couple + C. GT 16 ","Rural Area","396","0.281525533856266","0.2585815157451","0.304469551967431","4"
"Rarely","2003","Couple + C. LE 16 ","Urban Area","733","0.242642570521531","0.227295034418191","0.25799010662487","4"
"Rarely","2003","Couple + C. GT 16 ","Urban Area","621","0.248026646703815","0.230998706562134","0.265054586845496","4"
"Rarely","2003","Couple + C. LE and GT 16","Urban Area","280","0.243361743867894","0.219032173457181","0.267691314278607","4"
"Rarely","2003","Couple + C. LE and GT 16","Rural Area","174","0.248903345998462","0.215405152638689","0.282401539358234","4"
"Sometimes","2003","(Married) couple without C. ","Urban Area","1613","0.32087930677328","0.307819397759249","0.333939215787312","3"
"Sometimes","2003","1-pers.-HH","Urban Area","637","0.294517710876721","0.275155318083167","0.313880103670276","3"
"Sometimes","2003","1-pers.-HH","Rural Area","235","0.272581083927845","0.242593150492912","0.302569017362778","3"
"Sometimes","2003","(Married) couple without C. ","Rural Area","698","0.274602014038647","0.256614441832455","0.292589586244839","3"
"Sometimes","2003","Single parent ","Urban Area","248","0.349221495133658","0.314780454319083","0.383662535948232","3"
"Sometimes","2003","Single parent ","Rural Area","133","0.378556485398943","0.329981253846034","0.427131716951851","3"
"Sometimes","2003","Couple + C. LE 16 ","Rural Area","553","0.380885885972001","0.355199937043068","0.406571834900933","3"
"Sometimes","2003","Couple + C. GT 16 ","Urban Area","909","0.355104666383322","0.336236290246809","0.373973042519835","3"
"Sometimes","2003","Couple + C. GT 16 ","Rural Area","560","0.361207692922354","0.336702211065484","0.385713174779224","3"
"Sometimes","2003","Couple + C. LE 16 ","Urban Area","1246","0.41807090418382","0.400411960262639","0.435729848105001","3"
"Sometimes","2003","Couple + C. LE and GT 16","Urban Area","439","0.356505944741363","0.329349694873834","0.383662194608892","3"
"Sometimes","2003","Couple + C. LE and GT 16","Rural Area","248","0.373792837857528","0.336309987669575","0.41127568804548","3"
"Very often","2003","1-pers.-HH","Urban Area","104","0.0467263373700651","0.0377613449307197","0.0556913298094105","1"
"Very often","2003","1-pers.-HH","Rural Area","29","","","","1"
"Very often","2003","(Married) couple without C. ","Urban Area","138","0.027302272536162","0.0227431195728802","0.0318614254994438","1"
"Very often","2003","(Married) couple without C. ","Rural Area","41","0.0131064340372711","0.00852279984613914","0.0176900682284031","1"
"Very often","2003","Single parent ","Urban Area","46","0.0603868500284158","0.0431778785451393","0.0775958215116922","1"
"Very often","2003","Single parent ","Rural Area","17","","","","1"
"Very often","2003","Couple + C. LE 16 ","Urban Area","131","0.0458228190287485","0.0383366412827921","0.053308996774705","1"
"Very often","2003","Couple + C. LE 16 ","Rural Area","49","0.0410487180491516","0.0305542387851534","0.0515431973131499","1"
"Very often","2003","Couple + C. GT 16 ","Urban Area","146","0.0750904717985719","0.0646995575316194","0.0854813860655245","1"
"Very often","2003","Couple + C. GT 16 ","Rural Area","81","0.0604926636666252","0.0483306257169694","0.072654701616281","1"
"Very often","2003","Couple + C. LE and GT 16","Urban Area","76","0.0451585998400621","0.0333852515245135","0.0569319481556106","1"
"Very often","2003","Couple + C. LE and GT 16","Rural Area","34","0.0385330519143687","0.0236208427214537","0.0534452611072837","1"
"Never","2004","1-pers.-HH","Urban Area","","","","","5"
"Never","2004","1-pers.-HH","Rural Area","","","","","5"
"Never","2004","(Married) couple without C. ","Urban Area","","","","","5"
"Never","2004","(Married) couple without C. ","Rural Area","","","","","5"
"Never","2004","Single parent ","Urban Area","","","","","5"
"Never","2004","Single parent ","Rural Area","","","","","5"
"Never","2004","Couple + C. LE 16 ","Urban Area","","","","","5"
"Never","2004","Couple + C. LE 16 ","Rural Area","","","","","5"
"Never","2004","Couple + C. GT 16 ","Urban Area","","","","","5"
"Never","2004","Couple + C. GT 16 ","Rural Area","","","","","5"
"Never","2004","Couple + C. LE and GT 16","Urban Area","","","","","5"
"Never","2004","Couple + C. LE and GT 16","Rural Area","","","","","5"
"Often","2004","1-pers.-HH","Urban Area","","","","","2"
