"pld0043","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Full Time","1-pers.-HH","77","0.0714166685299823","0.0560368760776873","0.0867964609822774"
"Very often","2003","Full Time","(Married) couple without C. ","93","0.0334440391539282","0.0263849781446777","0.0405031001631788"
"Very often","2003","Full Time","Single parent ","19","","",""
"Very often","2003","Full Time","Couple + C. LE 16 ","78","0.0388947718123944","0.0308484313660399","0.046941112258749"
"Very often","2003","Full Time","Couple + C. GT 16 ","102","0.0857302582810777","0.0725643016175317","0.0988962149446238"
"Very often","2003","Full Time","Couple + C. LE and GT 16","34","0.0303013208943774","0.0182017467736702","0.0424008950150846"
"Very often","2003","Part Time","1-pers.-HH","32","0.0701595867695079","0.0465345419748356","0.0937846315641803"
"Very often","2003","Part Time","(Married) couple without C. ","43","0.0381582111835386","0.0275590364299607","0.0487573859371165"
"Very often","2003","Part Time","Single parent ","31","0.100944328688622","0.068539233334391","0.133349424042852"
"Very often","2003","Part Time","Couple + C. LE 16 ","61","0.0467764061824417","0.0354998857587647","0.0580529266061188"
"Very often","2003","Part Time","Couple + C. GT 16 ","67","0.0617173408654532","0.0470284431617697","0.0764062385691366"
"Very often","2003","Part Time","Couple + C. LE and GT 16","32","0.0428547470058263","0.0261103957482975","0.059599098263355"
"Very often","2003","Not Working","1-pers.-HH","24","","",""
"Very often","2003","Not Working","(Married) couple without C. ","43","0.0120499956827628","0.00844862465514779","0.0156513667103779"
"Very often","2003","Not Working","Single parent ","13","","",""
"Very often","2003","Not Working","Couple + C. LE 16 ","41","0.0548254756382688","0.0391002328798862","0.0705507183966514"
"Very often","2003","Not Working","Couple + C. GT 16 ","58","0.0552340114936377","0.042194641561117","0.0682733814261584"
"Very often","2003","Not Working","Couple + C. LE and GT 16","44","0.0628103010787173","0.0415863897153411","0.0840342124420935"
"Often","2003","Full Time","1-pers.-HH","265","0.244590642187072","0.218919136703276","0.270262147670868"
"Often","2003","Full Time","(Married) couple without C. ","434","0.16629842470341","0.151679229982987","0.180917619423834"
"Often","2003","Full Time","Single parent ","69","0.162010836361881","0.125947397406001","0.19807427531776"
"Often","2003","Full Time","Couple + C. LE 16 ","395","0.170877918288215","0.155213310217901","0.18654252635853"
"Often","2003","Full Time","Couple + C. GT 16 ","302","0.156344123640414","0.139264762136215","0.173423485144612"
"Often","2003","Full Time","Couple + C. LE and GT 16","122","0.168485666418502","0.14206539639097","0.194905936446034"
"Often","2003","Part Time","1-pers.-HH","114","0.259184772533147","0.218654025152631","0.299715519913663"
"Often","2003","Part Time","(Married) couple without C. ","193","0.147057618548005","0.127463314640276","0.166651922455735"
"Often","2003","Part Time","Single parent ","89","0.256998036702081","0.209993591325328","0.304002482078835"
"Often","2003","Part Time","Couple + C. LE 16 ","274","0.20112438300224","0.179718347639268","0.222530418365213"
"Often","2003","Part Time","Couple + C. GT 16 ","245","0.227119280089384","0.201545083654996","0.252693476523772"
"Often","2003","Part Time","Couple + C. LE and GT 16","135","0.245572732127854","0.209986771593354","0.281158692662355"
"Often","2003","Not Working","1-pers.-HH","139","0.0982855599387842","0.0829625719811357","0.113608547896433"
"Often","2003","Not Working","(Married) couple without C. ","246","0.067385964035467","0.0591114473959043","0.0756604806750297"
"Often","2003","Not Working","Single parent ","63","0.140168055594938","0.105535403426359","0.174800707763517"
"Often","2003","Not Working","Couple + C. LE 16 ","155","0.201050718200441","0.173364568003932","0.22873686839695"
"Often","2003","Not Working","Couple + C. GT 16 ","247","0.188856973161518","0.166515777069827","0.211198169253208"
"Often","2003","Not Working","Couple + C. LE and GT 16","152","0.338192590315925","0.296807482672545","0.379577697959304"
