"pld0043","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Very often","2003","16-34 y.","500","0.0879957134917422","0.0807505650337857","0.0952408619496988"
"Very often","2003","35-65 y.","397","0.0328848338473778","0.0297765147474603","0.0359931529472953"
"Very often","2003","66 and older","21","","",""
"Often","2003","16-34 y.","1636","0.275096066937757","0.263675162194467","0.286516971681047"
"Often","2003","35-65 y.","1897","0.15032332286597","0.144094174048861","0.15655247168308"
"Often","2003","66 and older","208","0.0546649524633936","0.0472790353382551","0.0620508695885321"
"Sometimes","2003","16-34 y.","2290","0.392852955723838","0.380362449340461","0.405343462107215"
"Sometimes","2003","35-65 y.","4644","0.358407235042208","0.350049149972355","0.366765320112061"
"Sometimes","2003","66 and older","782","0.20537876200174","0.192253290504195","0.218504233499285"
"Rarely","2003","16-34 y.","1111","0.18799998653485","0.178007466725199","0.1979925063445"
"Rarely","2003","35-65 y.","3820","0.294301211111187","0.28635803146411","0.302244390758264"
"Rarely","2003","66 and older","1117","0.300144310144632","0.285253224222553","0.31503539606671"
"Never","2003","16-34 y.","336","0.0560552773118134","0.0501722667957106","0.0619382878279163"
"Never","2003","35-65 y.","1887","0.164083397133257","0.157628304643979","0.170538489622535"
"Never","2003","66 and older","1511","0.433758644454763","0.417656566412312","0.449860722497214"
"Very often","2004","16-34 y.","","","",""
"Very often","2004","35-65 y.","","","",""
"Very often","2004","66 and older","","","",""
"Often","2004","16-34 y.","","","",""
"Often","2004","35-65 y.","","","",""
"Often","2004","66 and older","","","",""
"Sometimes","2004","16-34 y.","","","",""
"Sometimes","2004","35-65 y.","","","",""
"Sometimes","2004","66 and older","","","",""
"Rarely","2004","16-34 y.","","","",""
"Rarely","2004","35-65 y.","","","",""
"Rarely","2004","66 and older","","","",""
"Never","2004","16-34 y.","","","",""
"Never","2004","35-65 y.","","","",""
"Never","2004","66 and older","","","",""
"Very often","2005","16-34 y.","","","",""
"Very often","2005","35-65 y.","","","",""
"Very often","2005","66 and older","","","",""
"Often","2005","16-34 y.","","","",""
"Often","2005","35-65 y.","","","",""
"Often","2005","66 and older","","","",""
"Sometimes","2005","16-34 y.","","","",""
"Sometimes","2005","35-65 y.","","","",""
"Sometimes","2005","66 and older","","","",""
"Rarely","2005","16-34 y.","","","",""
"Rarely","2005","35-65 y.","","","",""
"Rarely","2005","66 and older","","","",""
"Never","2005","16-34 y.","","","",""
"Never","2005","35-65 y.","","","",""
"Never","2005","66 and older","","","",""
"Very often","2006","16-34 y.","","","",""
"Very often","2006","35-65 y.","","","",""
"Very often","2006","66 and older","","","",""
"Often","2006","16-34 y.","","","",""
"Often","2006","35-65 y.","","","",""
"Often","2006","66 and older","","","",""
"Sometimes","2006","16-34 y.","","","",""
"Sometimes","2006","35-65 y.","","","",""
"Sometimes","2006","66 and older","","","",""
"Rarely","2006","16-34 y.","","","",""
"Rarely","2006","35-65 y.","","","",""
"Rarely","2006","66 and older","","","",""
"Never","2006","16-34 y.","","","",""
"Never","2006","35-65 y.","","","",""
"Never","2006","66 and older","","","",""
"Very often","2007","16-34 y.","","","",""
"Very often","2007","35-65 y.","","","",""
"Very often","2007","66 and older","","","",""
"Often","2007","16-34 y.","","","",""
