"pld0043","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Not Employed","West Germany","178","0.0255069081751123","0.0215229711120823","0.0294908452381422"
"Very often","2003","Not Employed","East Germany","54","0.0202713813030472","0.0142681893451799","0.0262745732609145"
"Very often","2003","Employed","West Germany","546","0.0530231363873468","0.0487964606464362","0.0572498121282574"
"Very often","2003","Employed","East Germany","140","0.0478956451150857","0.0405278269731862","0.0552634632569853"
"Often","2003","Not Employed","West Germany","779","0.117136953061405","0.109010747418185","0.125263158704624"
"Often","2003","Not Employed","East Germany","262","0.114503727345316","0.100939631721374","0.128067822969258"
"Often","2003","Employed","West Germany","2114","0.19356981151908","0.186117367155634","0.201022255882525"
"Often","2003","Employed","East Germany","586","0.18087890264454","0.167598335512269","0.194159469776811"
"Sometimes","2003","Not Employed","West Germany","1720","0.270206694298593","0.258985420298494","0.281427968298692"
"Sometimes","2003","Not Employed","East Germany","559","0.252669895104052","0.234159288514627","0.271180501693476"
"Sometimes","2003","Employed","West Germany","4226","0.38530544603802","0.37612573951819","0.39448515255785"
"Sometimes","2003","Employed","East Germany","1211","0.361254129912128","0.344680445260161","0.377827814564094"
"Rarely","2003","Not Employed","West Germany","1659","0.281371877760292","0.270009044706238","0.292734710814345"
"Rarely","2003","Not Employed","East Germany","600","0.27708210184051","0.258017120378714","0.296147083302305"
"Rarely","2003","Employed","West Germany","2824","0.254223935048664","0.246010799712987","0.26243707038434"
"Rarely","2003","Employed","East Germany","965","0.296097909437223","0.280346391706548","0.311849427167898"
"Never","2003","Not Employed","West Germany","1680","0.305777566704598","0.294135065028316","0.317420068380881"
"Never","2003","Not Employed","East Germany","642","0.335472894407075","0.315360085379134","0.355585703435017"
"Never","2003","Employed","West Germany","1087","0.11387767100689","0.107885797055298","0.119869544958482"
"Never","2003","Employed","East Germany","325","0.113873412891024","0.102913485917158","0.12483333986489"
"Very often","2004","Not Employed","West Germany","","","",""
"Very often","2004","Not Employed","East Germany","","","",""
"Very often","2004","Employed","West Germany","","","",""
"Very often","2004","Employed","East Germany","","","",""
"Often","2004","Not Employed","West Germany","","","",""
"Often","2004","Not Employed","East Germany","","","",""
"Often","2004","Employed","West Germany","","","",""
"Often","2004","Employed","East Germany","","","",""
"Sometimes","2004","Not Employed","West Germany","","","",""
"Sometimes","2004","Not Employed","East Germany","","","",""
"Sometimes","2004","Employed","West Germany","","","",""
"Sometimes","2004","Employed","East Germany","","","",""
"Rarely","2004","Not Employed","West Germany","","","",""
