"pld0043","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","West Germany","2767","0.190418155867925","0.184483301835402","0.196353009900447","5"
"Never","2003","East Germany","967","0.214706094408884","0.20369696020725","0.225715228610517","5"
"Often","2003","West Germany","2893","0.163084083403412","0.157499739101907","0.168668427704917","2"
"Often","2003","East Germany","848","0.150676724977649","0.141085491453304","0.160267958501993","2"
"Rarely","2003","West Germany","4483","0.265052063383871","0.258380626729278","0.271723500038463","4"
"Rarely","2003","East Germany","1565","0.287445295008315","0.275311362512891","0.29957922750374","4"
"Sometimes","2003","West Germany","5946","0.339397582289552","0.33224027050739","0.346554894071715","3"
"Sometimes","2003","East Germany","1770","0.311845893523857","0.299425717984268","0.324266069063446","3"
"Very often","2003","West Germany","724","0.0420481150552405","0.0390144292559174","0.0450818008545637","1"
"Very often","2003","East Germany","194","0.0353259920812953","0.0303765945375662","0.0402753896250243","1"
"Never","2004","West Germany","","","","","5"
"Never","2004","East Germany","","","","","5"
"Often","2004","West Germany","","","","","2"
"Often","2004","East Germany","","","","","2"
"Rarely","2004","West Germany","","","","","4"
"Rarely","2004","East Germany","","","","","4"
"Sometimes","2004","West Germany","","","","","3"
"Sometimes","2004","East Germany","","","","","3"
"Very often","2004","West Germany","","","","","1"
"Very often","2004","East Germany","","","","","1"
"Never","2005","West Germany","","","","","5"
"Never","2005","East Germany","","","","","5"
"Often","2005","West Germany","","","","","2"
"Often","2005","East Germany","","","","","2"
"Rarely","2005","West Germany","","","","","4"
"Rarely","2005","East Germany","","","","","4"
"Sometimes","2005","West Germany","","","","","3"
"Sometimes","2005","East Germany","","","","","3"
"Very often","2005","West Germany","","","","","1"
"Very often","2005","East Germany","","","","","1"
"Never","2006","West Germany","","","","","5"
"Never","2006","East Germany","","","","","5"
"Often","2006","West Germany","","","","","2"
"Often","2006","East Germany","","","","","2"
"Rarely","2006","West Germany","","","","","4"
"Rarely","2006","East Germany","","","","","4"
"Sometimes","2006","West Germany","","","","","3"
"Sometimes","2006","East Germany","","","","","3"
"Very often","2006","West Germany","","","","","1"
"Very often","2006","East Germany","","","","","1"
"Never","2007","West Germany","","","","","5"
"Never","2007","East Germany","","","","","5"
